,Kmax,Ku,halfmax,n,Vhalf,Cmax
dofetilide,100000000,0.0000179,548300000,0.9999,-1.147,2
bepridil,37350000,0.0001765,1000000000,0.9365,-54.93,33
terfenadine,9884,0.0000818,41380,0.65,-77.49,4
cisapride,9.997,0.0004161,42.06,0.9728,-199.5,2.6
verapamil,46460,0.0007927,9184000,1.043,-100,81
ranolazine,55.84,0.01929,147200,0.95,-94.87,1948.2
mexiletine,9.996,0.09967,2308000,1.304,-86.26,4129
quinidine,5770,0.01,1000000,0.8311,-64.87,3237
sotalol,2403,0.01985,9619000,0.7516,-55,14690
chlorpromazine,206000,0.03866,56770000,0.8871,-14.57,38
ondansetron,33540,0.02325,9950000,0.8874,-82.11,139
diltiazem,251,0.2816,1000000,0.9485,-90.89,122
droperidol,14.21,0.001256,116.5,0.578,-78.68,6.33
pimozide,10.07,0.00004576,5.601,0.8714,-78.68,0.431
