"environment.time","0.I_Kr.I_kr","0.membrane_potential.V_m","1.I_Kr.I_kr","1.membrane_potential.V_m"
 0.00000000000000000e+00, 1.54512067836856684e-09,-8.13454101177712374e+01, 1.54543868173135344e-09,-8.13454089794233965e+01
 1.00000000000000006e-01, 1.54509696822373563e-09,-8.13454209067311211e+01, 1.54541412363698752e-09,-8.13454197903937484e+01
 2.00000000000000011e-01, 1.54507325826022159e-09,-8.13454316956910048e+01, 1.54538959438602967e-09,-8.13454305954089989e+01
 3.00000000000000044e-01, 1.54504954847802409e-09,-8.13454424846508886e+01, 1.54536509393094782e-09,-8.13454413944725445e+01
 4.00000000000000022e-01, 1.54502583887714416e-09,-8.13454532736107723e+01, 1.54534062222411789e-09,-8.13454521875877816e+01
 5.00000000000000000e-01, 1.54500228419782928e-09,-8.13454640271677079e+01, 1.54531617921783821e-09,-8.13454629747580924e+01
 6.00000000000000089e-01, 1.54497873256861222e-09,-8.13454747800677751e+01, 1.54529176486428205e-09,-8.13454737559868875e+01
 7.00000000000000067e-01, 1.54495518111837243e-09,-8.13454855329678423e+01, 1.54526737911555811e-09,-8.13454845312775490e+01
 8.00000000000000044e-01, 1.54493162984712480e-09,-8.13454962858678954e+01, 1.54524302192366408e-09,-8.13454953006334733e+01
 9.00000000000000022e-01, 1.54490807875483957e-09,-8.13455070387679626e+01, 1.54521869324053146e-09,-8.13455060640580285e+01
 1.00000000000000000e+00, 1.54488452784154670e-09,-8.13455177916680157e+01, 1.54519439301796333e-09,-8.13455168215546109e+01
 1.10000000000000009e+00, 1.54486113351363623e-09,-8.13455285081326593e+01, 1.54517012120766598e-09,-8.13455275731266170e+01
 1.20000000000000018e+00, 1.54483777741741727e-09,-8.13455392157321739e+01, 1.54514587776127541e-09,-8.13455383187774146e+01
 1.30000000000000004e+00, 1.54481443827430281e-09,-8.13455499194233767e+01, 1.54512166263031388e-09,-8.13455490585103860e+01
 1.40000000000000013e+00, 1.54479111608392207e-09,-8.13455606192062675e+01, 1.54509747576621698e-09,-8.13455597923288991e+01
 1.50000000000000000e+00, 1.54476781084591977e-09,-8.13455713150808322e+01, 1.54507331712030431e-09,-8.13455705202363362e+01
