"environment.time","0.I_Kr.I_kr","0.membrane_potential.V_m","1.I_Kr.I_kr","1.membrane_potential.V_m"
 0.00000000000000000e+00, 9.04383444934989327e-07,-8.13519394873002710e+01, 9.04811485048210522e-07,-8.13519389478248200e+01
 1.00000000000000006e-01, 9.04370888595125279e-07,-8.13519498232957545e+01, 9.04798186165834426e-07,-8.13519492888849243e+01
 2.00000000000000011e-01, 9.04358351684762696e-07,-8.13519601505509939e+01, 9.04784898901395587e-07,-8.13519596242747980e+01
 3.00000000000000044e-01, 9.04345864873955784e-07,-8.13519704552067680e+01, 9.04771623253833201e-07,-8.13519699539977665e+01
 4.00000000000000022e-01, 9.04333378149352049e-07,-8.13519807598625420e+01, 9.04758359222198804e-07,-8.13519802780571410e+01
 5.00000000000000000e-01, 9.04320891510961022e-07,-8.13519910645183018e+01, 9.04745106805632657e-07,-8.13519905964562611e+01
 6.00000000000000089e-01, 9.04308404958764703e-07,-8.13520013691740758e+01, 9.04731866003395300e-07,-8.13520009091984377e+01
 7.00000000000000067e-01, 9.04295918492772091e-07,-8.13520116738298498e+01, 9.04718636814852835e-07,-8.13520112162869822e+01
 8.00000000000000044e-01, 9.04283482226684201e-07,-8.13520219548422432e+01, 9.04705419239475019e-07,-8.13520215177252055e+01
 9.00000000000000022e-01, 9.04271062154119469e-07,-8.13520322282549131e+01, 9.04692213276836007e-07,-8.13520318135164189e+01
 1.00000000000000000e+00, 9.04258642166843861e-07,-8.13520425016675830e+01, 9.04679018926614244e-07,-8.13520421036639334e+01
 1.10000000000000009e+00, 9.04246222264857376e-07,-8.13520527750802529e+01, 9.04665836188583147e-07,-8.13520523881710744e+01
 1.20000000000000018e+00, 9.04233802448160545e-07,-8.13520630484929228e+01, 9.04652665062646051e-07,-8.13520626670411247e+01
 1.30000000000000004e+00, 9.04221398314232569e-07,-8.13520733145987265e+01, 9.04639505548776166e-07,-8.13520729402774236e+01
 1.40000000000000013e+00, 9.04209045146609702e-07,-8.13520835568682941e+01, 9.04626357647092396e-07,-8.13520832078832399e+01
 1.50000000000000000e+00, 9.04196692063353963e-07,-8.13520937991378759e+01, 9.04613221357775265e-07,-8.13520934698619129e+01
 1.60000000000000009e+00, 9.04184339064473293e-07,-8.13521040414074577e+01, 9.04600096681151409e-07,-8.13521037262167113e+01
 1.70000000000000018e+00, 9.04171986149968223e-07,-8.13521142836770395e+01, 9.04586983617616393e-07,-8.13521139769509603e+01
 1.80000000000000004e+00, 9.04159633319838539e-07,-8.13521245259466212e+01, 9.04573882167686272e-07,-8.13521242220679568e+01
 1.90000000000000013e+00, 9.04147330423945611e-07,-8.13521347452245607e+01, 9.04560792331989332e-07,-8.13521344615709836e+01
 2.00000000000000000e+00, 9.04135054662917578e-07,-8.13521449520259523e+01, 9.04547714111239198e-07,-8.13521446954633518e+01
 2.10000000000000009e+00, 9.04122787085039273e-07,-8.13521551550915092e+01, 9.04534647506261729e-07,-8.13521549237483583e+01
 2.20000000000000018e+00, 9.04110527690136631e-07,-8.13521653544212455e+01, 9.04521592517994059e-07,-8.13521651464292859e+01
 2.30000000000000027e+00, 9.04098276478060997e-07,-8.13521755500151329e+01, 9.04508549147467558e-07,-8.13521753635094313e+01
 2.40000000000000036e+00, 9.04086033448629413e-07,-8.13521857418731997e+01, 9.04495517395824766e-07,-8.13521855749920775e+01
 2.50000000000000000e+00, 9.04073798601685389e-07,-8.13521959299954318e+01, 9.04482497264302882e-07,-8.13521957808805212e+01
 2.60000000000000009e+00, 9.04061571937063330e-07,-8.13522061143818291e+01, 9.04469488754240747e-07,-8.13522059811780593e+01
 2.70000000000000018e+00, 9.04049353454597746e-07,-8.13522162950323917e+01, 9.04456491867089116e-07,-8.13522161758879747e+01
 2.80000000000000027e+00, 9.04037143154114892e-07,-8.13522264719471337e+01, 9.04443506604409072e-07,-8.13522263650135358e+01
 2.90000000000000036e+00, 9.04024941035466852e-07,-8.13522366451260268e+01, 9.04430532967847246e-07,-8.13522365485580394e+01
 3.00000000000000000e+00, 9.04012747098471622e-07,-8.13522468145690993e+01, 9.04417570959151914e-07,-8.13522467265247826e+01
 3.10000000000000009e+00, 9.04000561342972394e-07,-8.13522569802763371e+01, 9.04404620580208571e-07,-8.13522568989170054e+01
 3.20000000000000018e+00, 9.03988383768804526e-07,-8.13522671422477401e+01, 9.04391681832952266e-07,-8.13522670657380331e+01
 3.30000000000000027e+00, 9.03976214375794482e-07,-8.13522773004833226e+01, 9.04378754719471885e-07,-8.13522772269911059e+01
 3.40000000000000036e+00, 9.03964053163795090e-07,-8.13522874549830561e+01, 9.04365839241915295e-07,-8.13522873826795347e+01
 3.50000000000000000e+00, 9.03951903452082196e-07,-8.13522976042272603e+01, 9.04352935402574882e-07,-8.13522975328065598e+01
 3.60000000000000009e+00, 9.03939782353668585e-07,-8.13523077403811357e+01, 9.04340043203810057e-07,-8.13523076773754781e+01
 3.70000000000000018e+00, 9.03927672094956146e-07,-8.13523178715815902e+01, 9.04327162648099134e-07,-8.13523178163895579e+01
 3.80000000000000027e+00, 9.03915572675727087e-07,-8.13523279978286240e+01, 9.04314293738021433e-07,-8.13523279498520679e+01
 3.90000000000000036e+00, 9.03903484095763718e-07,-8.13523381191222370e+01, 9.04301436476249766e-07,-8.13523380777662908e+01
 4.00000000000000000e+00, 9.03891406354857142e-07,-8.13523482354624150e+01, 9.04288590865583048e-07,-8.13523482001354665e+01
 4.10000000000000053e+00, 9.03879339452772306e-07,-8.13523583468491864e+01, 9.04275756908896004e-07,-8.13523583169628779e+01
 4.20000000000000018e+00, 9.03867283389300628e-07,-8.13523684532825371e+01, 9.04262934609172835e-07,-8.13523684282517934e+01
 4.29999999999999982e+00, 9.03855238164225056e-07,-8.13523785547624669e+01, 9.04250123969498860e-07,-8.13523785340054815e+01
 4.40000000000000036e+00, 9.03843203777328221e-07,-8.13523886512889760e+01, 9.04237324993077028e-07,-8.13523886342271823e+01
 4.50000000000000000e+00, 9.03831180228402388e-07,-8.13523987428620501e+01, 9.04224537683176462e-07,-8.13523987289201926e+01
 4.60000000000000053e+00, 9.03819167517213457e-07,-8.13524088294817176e+01, 9.04211762043211023e-07,-8.13524088180877385e+01
 4.70000000000000018e+00, 9.03807165643561847e-07,-8.13524189111479501e+01, 9.04198998076667733e-07,-8.13524189017330883e+01
 4.80000000000000071e+00, 9.03795174607213882e-07,-8.13524289878607760e+01, 9.04186245787135472e-07,-8.13524289798595106e+01
 4.90000000000000036e+00, 9.03783194407971145e-07,-8.13524390596201670e+01, 9.04173505178319267e-07,-8.13524390524702454e+01
 5.00000000000000000e+00, 9.03771225045599538e-07,-8.13524491264261513e+01, 9.04160776254008426e-07,-8.13524491195685613e+01
 5.10000000000000053e+00, 9.03759266519900960e-07,-8.13524591882787007e+01, 9.04148059018100253e-07,-8.13524591811577125e+01
 5.20000000000000018e+00, 9.03747322530666091e-07,-8.13524692433078229e+01, 9.04135353474609686e-07,-8.13524692372409248e+01
 5.30000000000000071e+00, 9.03735392572823797e-07,-8.13524792917686170e+01, 9.04122659627616668e-07,-8.13524792878214811e+01
 5.40000000000000036e+00, 9.03723474186947951e-07,-8.13524893349039928e+01, 9.04109977481327250e-07,-8.13524893329026213e+01
 5.50000000000000000e+00, 9.03711567372816844e-07,-8.13524993727139361e+01, 9.04097307040055898e-07,-8.13524993724875713e+01
 5.60000000000000053e+00, 9.03699672130201035e-07,-8.13525094051984468e+01, 9.04084648308181985e-07,-8.13525094065796139e+01
 5.70000000000000018e+00, 9.03687788458871083e-07,-8.13525194323575249e+01, 9.04072001290227502e-07,-8.13525194351819607e+01
 5.80000000000000071e+00, 9.03675916358597656e-07,-8.13525294541911705e+01, 9.04059365990779874e-07,-8.13525294582978802e+01
 5.90000000000000036e+00, 9.03664055829151101e-07,-8.13525394706993836e+01, 9.04046742414551145e-07,-8.13525394759305982e+01
 6.00000000000000000e+00, 9.03652206870302931e-07,-8.13525494818821642e+01, 9.04034130566344521e-07,-8.13525494880833548e+01
 6.10000000000000053e+00, 9.03640369481815130e-07,-8.13525594877395264e+01, 9.04021530451053206e-07,-8.13525594947594044e+01
 6.20000000000000018e+00, 9.03628543663476998e-07,-8.13525694882714419e+01, 9.04008942073687082e-07,-8.13525694959619727e+01
 6.30000000000000071e+00, 9.03616729415042154e-07,-8.13525794834779390e+01, 9.03996365439338087e-07,-8.13525794916943141e+01
 6.40000000000000036e+00, 9.03604926736299900e-07,-8.13525894733589894e+01, 9.03983800553222039e-07,-8.13525894819596402e+01
 6.50000000000000000e+00, 9.03593135627004701e-07,-8.13525994579146214e+01, 9.03971247420637235e-07,-8.13525994667611911e+01
 6.60000000000000053e+00, 9.03581356086937388e-07,-8.13526094371448210e+01, 9.03958706046971015e-07,-8.13526094461022211e+01
