"environment.time","0.I_Kr.I_kr","0.membrane_potential.V_m","1.I_Kr.I_kr","1.membrane_potential.V_m"
 0.00000000000000000e+00, 4.70711940148480838e-06,-8.13752959146396648e+01, 4.70729330537621686e-06,-8.13752950490987956e+01
 1.00000000000000006e-01, 4.70707085111226536e-06,-8.13753048168740492e+01, 4.70724428350663182e-06,-8.13753039840514987e+01
 2.00000000000000011e-01, 4.70702230098198393e-06,-8.13753137191084193e+01, 4.70719529348096752e-06,-8.13753129141631462e+01
 3.00000000000000044e-01, 4.70697375109391665e-06,-8.13753226213427894e+01, 4.70714633518767312e-06,-8.13753218394369355e+01
 4.00000000000000022e-01, 4.70692520144806691e-06,-8.13753315235771595e+01, 4.70709740851529008e-06,-8.13753307598760358e+01
 5.00000000000000000e-01, 4.70687665204443047e-06,-8.13753404258115296e+01, 4.70704851335223283e-06,-8.13753396754836587e+01
 6.00000000000000089e-01, 4.70682810288296500e-06,-8.13753493280459139e+01, 4.70699964958704624e-06,-8.13753485862629731e+01
 7.00000000000000067e-01, 4.70677955396376111e-06,-8.13753582302802840e+01, 4.70695081710819638e-06,-8.13753574922171765e+01
 8.00000000000000044e-01, 4.70673121908387493e-06,-8.13753671051447611e+01, 4.70690201580419086e-06,-8.13753663933494522e+01
 9.00000000000000022e-01, 4.70668294388691108e-06,-8.13753759723994108e+01, 4.70685324556354405e-06,-8.13753752896629834e+01
 1.00000000000000000e+00, 4.70663466892921541e-06,-8.13753848396540747e+01, 4.70680450627472542e-06,-8.13753841811609675e+01
 1.10000000000000009e+00, 4.70658639421083619e-06,-8.13753937069087385e+01, 4.70675579782629847e-06,-8.13753930678465736e+01
 1.20000000000000018e+00, 4.70653811973177258e-06,-8.13754025741634024e+01, 4.70670712010669541e-06,-8.13754019497230132e+01
 1.30000000000000004e+00, 4.70648984549202288e-06,-8.13754114414180663e+01, 4.70665847300448737e-06,-8.13754108267934555e+01
 1.40000000000000013e+00, 4.70644157149158963e-06,-8.13754203086727301e+01, 4.70660985640815483e-06,-8.13754196990610978e+01
 1.50000000000000000e+00, 4.70639346070283061e-06,-8.13754291565380186e+01, 4.70656127020622910e-06,-8.13754285665291235e+01
 1.60000000000000009e+00, 4.70634549677217558e-06,-8.13754379869592697e+01, 4.70651271428724319e-06,-8.13754374292007157e+01
 1.70000000000000018e+00, 4.70629756003964685e-06,-8.13754468141727045e+01, 4.70646418853968859e-06,-8.13754462870790718e+01
 1.80000000000000004e+00, 4.70624965050472432e-06,-8.13754556381783516e+01, 4.70641569285210426e-06,-8.13754551401673751e+01
 1.90000000000000013e+00, 4.70620176816707089e-06,-8.13754644589761824e+01, 4.70636769962530957e-06,-8.13754639851131003e+01
 2.00000000000000000e+00, 4.70615391302620968e-06,-8.13754732765662112e+01, 4.70631981657217842e-06,-8.13754728247045733e+01
 2.10000000000000009e+00, 4.70610608508171208e-06,-8.13754820909484380e+01, 4.70627197227245463e-06,-8.13754816594513954e+01
 2.20000000000000018e+00, 4.70605828433314866e-06,-8.13754909021228627e+01, 4.70622416666385501e-06,-8.13754904893563946e+01
 2.30000000000000027e+00, 4.70601051078009165e-06,-8.13754997100894855e+01, 4.70617639968405659e-06,-8.13754993144224130e+01
 2.40000000000000036e+00, 4.70596276442211247e-06,-8.13755085148483062e+01, 4.70612867127078125e-06,-8.13755081346522786e+01
 2.50000000000000000e+00, 4.70591504525882740e-06,-8.13755173163993106e+01, 4.70608098136166536e-06,-8.13755169500488478e+01
 2.60000000000000009e+00, 4.70586735328971806e-06,-8.13755261147425273e+01, 4.70603332989443504e-06,-8.13755257606149485e+01
 2.70000000000000018e+00, 4.70581968851444733e-06,-8.13755349098779277e+01, 4.70598571680681983e-06,-8.13755345663534086e+01
 2.80000000000000027e+00, 4.70577205093254257e-06,-8.13755437018055261e+01, 4.70593814203650351e-06,-8.13755433672670705e+01
 2.90000000000000036e+00, 4.70572444054357602e-06,-8.13755524905253225e+01, 4.70589060552117580e-06,-8.13755521633587762e+01
 3.00000000000000000e+00, 4.70567685734711994e-06,-8.13755612760373168e+01, 4.70584310719852218e-06,-8.13755609546313678e+01
 3.10000000000000009e+00, 4.70562930134279485e-06,-8.13755700583414949e+01, 4.70579564700632892e-06,-8.13755697410876593e+01
 3.20000000000000018e+00, 4.70558177253008068e-06,-8.13755788374378852e+01, 4.70574822488219341e-06,-8.13755785227305211e+01
 3.30000000000000027e+00, 4.70553427090864284e-06,-8.13755876133264593e+01, 4.70570084076395022e-06,-8.13755872995627527e+01
 3.40000000000000036e+00, 4.70548679647800955e-06,-8.13755963860072313e+01, 4.70565349458920265e-06,-8.13755960715872249e+01
 3.50000000000000000e+00, 4.70543934923775388e-06,-8.13756051554802013e+01, 4.70560618629574038e-06,-8.13756048388067512e+01
 3.60000000000000009e+00, 4.70539199231727276e-06,-8.13756139135448677e+01, 4.70555891582122008e-06,-8.13756136012241882e+01
