"environment.time","0.I_Kr.I_kr","0.membrane_potential.V_m","1.I_Kr.I_kr","1.membrane_potential.V_m"
 0.00000000000000000e+00, 1.14838419947850061e-06,-8.13469954695583795e+01, 1.14835057745517439e-06,-8.13469959451148270e+01
 1.00000000000000006e-01, 1.14837100981457280e-06,-8.13470061534538473e+01, 1.14833747325200497e-06,-8.13470066375469258e+01
 2.00000000000000011e-01, 1.14835782022171148e-06,-8.13470168373493294e+01, 1.14832437616221781e-06,-8.13470173240896628e+01
 3.00000000000000044e-01, 1.14834466533062386e-06,-8.13470274920126570e+01, 1.14831128617822330e-06,-8.13470280047464200e+01
 4.00000000000000022e-01, 1.14833151795772931e-06,-8.13470381403894436e+01, 1.14829820329241697e-06,-8.13470386795205940e+01
 5.00000000000000000e-01, 1.14831837065545465e-06,-8.13470487887662443e+01, 1.14828512749720180e-06,-8.13470493484155668e+01
 6.00000000000000089e-01, 1.14830522342382191e-06,-8.13470594371430309e+01, 1.14827205878497629e-06,-8.13470600114347206e+01
 7.00000000000000067e-01, 1.14829207626280905e-06,-8.13470700855198317e+01, 1.14825899714814765e-06,-8.13470706685814235e+01
 8.00000000000000044e-01, 1.14827892917243790e-06,-8.13470807338966182e+01, 1.14824594257910719e-06,-8.13470813198590577e+01
 9.00000000000000022e-01, 1.14826580468699806e-06,-8.13470913633369719e+01, 1.14823289507024283e-06,-8.13470919652710052e+01
 1.00000000000000000e+00, 1.14825269163927069e-06,-8.13471019832248743e+01, 1.14821985461394927e-06,-8.13471026048206340e+01
 1.10000000000000009e+00, 1.14823958328846553e-06,-8.13471125992247863e+01, 1.14820682120261721e-06,-8.13471132385113123e+01
 1.20000000000000018e+00, 1.14822647963451968e-06,-8.13471232113366938e+01, 1.14819379482862249e-06,-8.13471238663464220e+01
 1.30000000000000004e+00, 1.14821338067734886e-06,-8.13471338195606108e+01, 1.14818077548435896e-06,-8.13471344883293170e+01
 1.40000000000000013e+00, 1.14820028641689040e-06,-8.13471444238965233e+01, 1.14816776316219403e-06,-8.13471451044633795e+01
