"environment.time","0.I_Kr.I_kr","0.membrane_potential.V_m","1.I_Kr.I_kr","1.membrane_potential.V_m"
 0.00000000000000000e+00, 1.38497280120270339e-11,-8.13454006123769062e+01, 1.38497458856565845e-11,-8.13453986212236799e+01
 1.00000000000000006e-01, 1.38495796093639065e-11,-8.13454113778525709e+01, 1.38495970904457725e-11,-8.13454094271207708e+01
 2.00000000000000011e-01, 1.38494313524057925e-11,-8.13454221278176846e+01, 1.38494483524959052e-11,-8.13454202268923154e+01
 3.00000000000000044e-01, 1.38492831240243695e-11,-8.13454328748051267e+01, 1.38492996717878733e-11,-8.13454310205397633e+01
 4.00000000000000022e-01, 1.38491348963412258e-11,-8.13454436217925689e+01, 1.38491510483022688e-11,-8.13454418080645922e+01
 5.00000000000000000e-01, 1.38489869388302888e-11,-8.13454543398949568e+01, 1.38490024820203201e-11,-8.13454525894682092e+01
 6.00000000000000089e-01, 1.38488390164265480e-11,-8.13454650543088178e+01, 1.38488539729230943e-11,-8.13454633647520353e+01
 7.00000000000000067e-01, 1.38486910947189492e-11,-8.13454757687226788e+01, 1.38487055209916307e-11,-8.13454741339174916e+01
 8.00000000000000044e-01, 1.38485431737074924e-11,-8.13454864831365398e+01, 1.38485571262074713e-11,-8.13454848969659423e+01
 9.00000000000000022e-01, 1.38483952533921759e-11,-8.13454971975504009e+01, 1.38484087885518495e-11,-8.13454956538987801e+01
 1.00000000000000000e+00, 1.38482473337729982e-11,-8.13455079119642619e+01, 1.38482605080062570e-11,-8.13455064047173693e+01
 1.10000000000000009e+00, 1.38480996552620522e-11,-8.13455186005726745e+01, 1.38481122845522730e-11,-8.13455171494230598e+01
 1.20000000000000018e+00, 1.38479520741652105e-11,-8.13455292787993187e+01, 1.38479641181714506e-11,-8.13455278880172017e+01
 1.30000000000000004e+00, 1.38478045270656342e-11,-8.13455399534511940e+01, 1.38478160088458472e-11,-8.13455386205010882e+01
 1.40000000000000013e+00, 1.38476570139629726e-11,-8.13455506245283004e+01, 1.38476679565570871e-11,-8.13455493468760551e+01
 1.50000000000000000e+00, 1.38475095348568784e-11,-8.13455612920306379e+01, 1.38475199612873035e-11,-8.13455600671433814e+01
 1.60000000000000009e+00, 1.38473620897469995e-11,-8.13455719559582064e+01, 1.38473720230184551e-11,-8.13455707813043603e+01
 1.70000000000000018e+00, 1.38472146786329803e-11,-8.13455826163110061e+01, 1.38472241417327511e-11,-8.13455814893602565e+01
 1.80000000000000004e+00, 1.38470673015146060e-11,-8.13455932730890225e+01, 1.38470763174124878e-11,-8.13455921913123206e+01
 1.90000000000000013e+00, 1.38469199583912627e-11,-8.13456039262922843e+01, 1.38469285500399488e-11,-8.13456028871618031e+01
 2.00000000000000000e+00, 1.38467726492627307e-11,-8.13456145759207772e+01, 1.38467808395976341e-11,-8.13456135769099262e+01
 2.10000000000000009e+00, 1.38466253741287887e-11,-8.13456252219744869e+01, 1.38466331860681614e-11,-8.13456242605578979e+01
 2.20000000000000018e+00, 1.38464781329888226e-11,-8.13456358644534419e+01, 1.38464855894341084e-11,-8.13456349381069259e+01
 2.30000000000000027e+00, 1.38463309258426129e-11,-8.13456465033576279e+01, 1.38463380496782948e-11,-8.13456456095581899e+01
 2.40000000000000036e+00, 1.38461837526899445e-11,-8.13456571386870309e+01, 1.38461905667835050e-11,-8.13456562749128693e+01
 2.50000000000000000e+00, 1.38460366135301956e-11,-8.13456677704416791e+01, 1.38460431407327608e-11,-8.13456669341721152e+01
 2.60000000000000009e+00, 1.38458895083632853e-11,-8.13456783986215441e+01, 1.38458957715091857e-11,-8.13456775873370646e+01
 2.70000000000000018e+00, 1.38457424371887290e-11,-8.13456890232266403e+01, 1.38457484590958694e-11,-8.13456882344088541e+01
 2.80000000000000027e+00, 1.38455954100913673e-11,-8.13456996431732904e+01, 1.38456012034761407e-11,-8.13456988753885923e+01
 2.90000000000000036e+00, 1.38454485141072556e-11,-8.13457102491091888e+01, 1.38454540046332959e-11,-8.13457095102773877e+01
 3.00000000000000000e+00, 1.38453016634692240e-11,-8.13457208502501317e+01, 1.38453068625507382e-11,-8.13457201390763345e+01
 3.10000000000000009e+00, 1.38451548581768037e-11,-8.13457314465961190e+01, 1.38451597772120952e-11,-8.13457307617864984e+01
 3.20000000000000018e+00, 1.38450080982295200e-11,-8.13457420381471508e+01, 1.38450127486010980e-11,-8.13457413784089312e+01
 3.30000000000000027e+00, 1.38448613836267749e-11,-8.13457526249032412e+01, 1.38448657767014582e-11,-8.13457519889446843e+01
 3.40000000000000036e+00, 1.38447147143683617e-11,-8.13457632068643619e+01, 1.38447188614969762e-11,-8.13457625933947952e+01
 3.50000000000000000e+00, 1.38445680904536761e-11,-8.13457737840305271e+01, 1.38445720029718226e-11,-8.13457731917602587e+01
 3.60000000000000009e+00, 1.38444215118821172e-11,-8.13457843564017509e+01, 1.38444252011098739e-11,-8.13457837840420979e+01
 3.70000000000000018e+00, 1.38442749786534750e-11,-8.13457949239780049e+01, 1.38442784558953748e-11,-8.13457943702412933e+01
 3.80000000000000027e+00, 1.38441284907670175e-11,-8.13458054867593177e+01, 1.38441317673125313e-11,-8.13458049503588256e+01
 3.90000000000000036e+00, 1.38439820482225396e-11,-8.13458160447456606e+01, 1.38439851353459226e-11,-8.13458155243956327e+01
 4.00000000000000000e+00, 1.38438356510193046e-11,-8.13458265979370623e+01, 1.38438385599798308e-11,-8.13458260923526808e+01
 4.10000000000000053e+00, 1.38436892991571041e-11,-8.13458371463334942e+01, 1.38436920411988980e-11,-8.13458366542308937e+01
 4.20000000000000018e+00, 1.38435429926352078e-11,-8.13458476899349847e+01, 1.38435455789877438e-11,-8.13458472100311951e+01
 4.29999999999999982e+00, 1.38433967314532781e-11,-8.13458582287415197e+01, 1.38433991733313433e-11,-8.13458577597544661e+01
 4.40000000000000036e+00, 1.38432505156109725e-11,-8.13458687627530850e+01, 1.38432528242143840e-11,-8.13458683034016161e+01
 4.50000000000000000e+00, 1.38431043451075558e-11,-8.13458792919697089e+01, 1.38431065316220509e-11,-8.13458788409734979e+01
 4.60000000000000053e+00, 1.38429582350531832e-11,-8.13458898147674603e+01, 1.38429602955393579e-11,-8.13458893724709782e+01
 4.70000000000000018e+00, 1.38428121942211520e-11,-8.13459003302034063e+01, 1.38428141159514236e-11,-8.13458998978949097e+01
 4.80000000000000071e+00, 1.38426662027222000e-11,-8.13459108404149731e+01, 1.38426679213032867e-11,-8.13459104283257375e+01
 4.90000000000000036e+00, 1.38425202605559491e-11,-8.13459213454021466e+01, 1.38425217769753510e-11,-8.13459209536364369e+01
 5.00000000000000000e+00, 1.38423743677217564e-11,-8.13459318451649409e+01, 1.38423756872798368e-11,-8.13459314731577336e+01
 5.10000000000000053e+00, 1.38422285242191048e-11,-8.13459423397033561e+01, 1.38422296521807020e-11,-8.13459419868937630e+01
 5.20000000000000018e+00, 1.38420827300476179e-11,-8.13459528290173779e+01, 1.38420836716420676e-11,-8.13459524948486461e+01
 5.30000000000000071e+00, 1.38419369852067837e-11,-8.13459633131070063e+01, 1.38419377456278236e-11,-8.13459629970265325e+01
 5.40000000000000036e+00, 1.38417912896958233e-11,-8.13459737919722699e+01, 1.38417918741021459e-11,-8.13459734934315435e+01
 5.50000000000000000e+00, 1.38416456435146189e-11,-8.13459842656131258e+01, 1.38416460570288552e-11,-8.13459839840678427e+01
 5.60000000000000053e+00, 1.38415000466622640e-11,-8.13459947340296168e+01, 1.38415002943719222e-11,-8.13459944689395797e+01
 5.70000000000000018e+00, 1.38413544991386456e-11,-8.13460051972217002e+01, 1.38413545860952191e-11,-8.13460049480509184e+01
 5.80000000000000071e+00, 1.38412090009428477e-11,-8.13460156551894187e+01, 1.38412089321626554e-11,-8.13460154214060225e+01
 5.90000000000000036e+00, 1.38410635520746231e-11,-8.13460261079327438e+01, 1.38410633325378981e-11,-8.13460258890090842e+01
 6.00000000000000000e+00, 1.38409181525334677e-11,-8.13460365554516756e+01, 1.38409177871847758e-11,-8.13460363508642814e+01
 6.10000000000000053e+00, 1.38407728023187288e-11,-8.13460469977462282e+01, 1.38407722960671560e-11,-8.13460468069757923e+01
 6.20000000000000018e+00, 1.38406275014298927e-11,-8.13460574348164016e+01, 1.38406268591485343e-11,-8.13460572573478373e+01
 6.30000000000000071e+00, 1.38404822498665861e-11,-8.13460678666621817e+01, 1.38404814763926976e-11,-8.13460677019846088e+01
 6.40000000000000036e+00, 1.38403370632048139e-11,-8.13460782916098282e+01, 1.38403361477632109e-11,-8.13460781408903273e+01
 6.50000000000000000e+00, 1.38401919327346001e-11,-8.13460887105951826e+01, 1.38401908732237834e-11,-8.13460885740691992e+01
 6.60000000000000053e+00, 1.38400468530571307e-11,-8.13460991241983038e+01, 1.38400456527379142e-11,-8.13460990015254595e+01
 6.70000000000000018e+00, 1.38399018241717481e-11,-8.13461095324192058e+01, 1.38399004862689827e-11,-8.13461094232633570e+01
 6.80000000000000071e+00, 1.38397568460780485e-11,-8.13461199352578745e+01, 1.38397553737806705e-11,-8.13461198392871125e+01
 6.90000000000000036e+00, 1.38396119187753840e-11,-8.13461303327143241e+01, 1.38396103152362941e-11,-8.13461302496009893e+01
 7.00000000000000000e+00, 1.38394670422632183e-11,-8.13461407247885546e+01, 1.38394653105993315e-11,-8.13461406542092362e+01
 7.10000000000000053e+00, 1.38393222165411554e-11,-8.13461511114805518e+01, 1.38393203598330314e-11,-8.13461510531161309e+01
 7.20000000000000018e+00, 1.38391774416085380e-11,-8.13461614927903298e+01, 1.38391754629008023e-11,-8.13461614463259366e+01
 7.30000000000000071e+00, 1.38390327174648408e-11,-8.13461718687178887e+01, 1.38390306197659543e-11,-8.13461718338429307e+01
 7.40000000000000036e+00, 1.38388880441096633e-11,-8.13461822392632143e+01, 1.38388858303916955e-11,-8.13461822156714049e+01
 7.50000000000000000e+00, 1.38387434215424788e-11,-8.13461926044263066e+01, 1.38387410947414007e-11,-8.13461925918156368e+01
 7.60000000000000053e+00, 1.38385988497624955e-11,-8.13462029642071940e+01, 1.38385964127779403e-11,-8.13462029622799605e+01
 7.70000000000000018e+00, 1.38384543287694487e-11,-8.13462133186058480e+01, 1.38384517844646245e-11,-8.13462133270686678e+01
 7.80000000000000071e+00, 1.38383098585628099e-11,-8.13462236676222687e+01, 1.38383072097645289e-11,-8.13462236861860788e+01
 7.90000000000000036e+00, 1.38381654391417923e-11,-8.13462340112564846e+01, 1.38381626886406146e-11,-8.13462340396365278e+01
 8.00000000000000000e+00, 1.38380210705061263e-11,-8.13462443495084671e+01, 1.38380182210561594e-11,-8.13462443874243206e+01
 8.09999999999999964e+00, 1.38378767526552867e-11,-8.13462546823782162e+01, 1.38378738069738059e-11,-8.13462547295538343e+01
 8.20000000000000107e+00, 1.38377324855886159e-11,-8.13462650098657463e+01, 1.38377294463566171e-11,-8.13462650660294031e+01
 8.30000000000000071e+00, 1.38375882693055792e-11,-8.13462753319710572e+01, 1.38375851391675620e-11,-8.13462753968553756e+01
 8.40000000000000036e+00, 1.38374441038057857e-11,-8.13462856486941348e+01, 1.38374408853695161e-11,-8.13462857220361144e+01
 8.50000000000000000e+00, 1.38372999890885745e-11,-8.13462959600349933e+01, 1.38372966849249865e-11,-8.13462960415760250e+01
 8.59999999999999964e+00, 1.38371559251534174e-11,-8.13463062659936327e+01, 1.38371525377970408e-11,-8.13463063554794559e+01
 8.70000000000000107e+00, 1.38370119119999185e-11,-8.13463165665700387e+01, 1.38370084439483799e-11,-8.13463166637507982e+01
 8.80000000000000071e+00, 1.38368679496274204e-11,-8.13463268617642257e+01, 1.38368644033414819e-11,-8.13463269663944715e+01
 8.90000000000000036e+00, 1.38367240380355239e-11,-8.13463371515761793e+01, 1.38367204159392529e-11,-8.13463372634148527e+01
 9.00000000000000000e+00, 1.38365801772235698e-11,-8.13463474360059138e+01, 1.38365764817040900e-11,-8.13463475548163757e+01
 9.09999999999999964e+00, 1.38364363671910332e-11,-8.13463577150534292e+01, 1.38364326005985796e-11,-8.13463578406034600e+01
 9.20000000000000107e+00, 1.38362926142764149e-11,-8.13463679880382387e+01, 1.38362887725853240e-11,-8.13463681207805251e+01
