"environment.time","0.I_Kr.I_kr","0.membrane_potential.V_m","1.I_Kr.I_kr","1.membrane_potential.V_m"
 0.00000000000000000e+00, 5.14250373477907855e-06,-8.13776497962330581e+01, 5.14234893886962347e-06,-8.13776502193328923e+01
 1.00000000000000006e-01, 5.14245211501111851e-06,-8.13776586075746167e+01, 5.14229731369237805e-06,-8.13776590324622049e+01
 2.00000000000000011e-01, 5.14240054625915244e-06,-8.13776674088211109e+01, 5.14224573184512337e-06,-8.13776678407708971e+01
 3.00000000000000044e-01, 5.14234897775510614e-06,-8.13776762100676194e+01, 5.14219419327816232e-06,-8.13776766442616690e+01
 4.00000000000000022e-01, 5.14229751180603301e-06,-8.13776849962813174e+01, 5.14214269794198074e-06,-8.13776854429372065e+01
 5.00000000000000000e-01, 5.14224615715071523e-06,-8.13776937661779129e+01, 5.14209124578734230e-06,-8.13776942368001528e+01
 6.00000000000000089e-01, 5.14219480274124707e-06,-8.13777025360745085e+01, 5.14203983676488954e-06,-8.13777030258532221e+01
 7.00000000000000067e-01, 5.14214344857763023e-06,-8.13777113059711041e+01, 5.14198847082564786e-06,-8.13777118100990577e+01
 8.00000000000000044e-01, 5.14209209465981218e-06,-8.13777200758677139e+01, 5.14193714792057068e-06,-8.13777205895403597e+01
 9.00000000000000022e-01, 5.14204074098789457e-06,-8.13777288457643095e+01, 5.14188586800094258e-06,-8.13777293641797712e+01
 1.00000000000000000e+00, 5.14198938756182743e-06,-8.13777376156609051e+01, 5.14183463101802613e-06,-8.13777381340199781e+01
 1.10000000000000009e+00, 5.14193827121411413e-06,-8.13777463547447724e+01, 5.14178343692331514e-06,-8.13777468990636379e+01
 1.20000000000000018e+00, 5.14188715838718560e-06,-8.13777550934022429e+01, 5.14173228566838137e-06,-8.13777556593134221e+01
 1.30000000000000004e+00, 5.14183604580367316e-06,-8.13777638320597134e+01, 5.14168117720498203e-06,-8.13777644147719883e+01
 1.40000000000000013e+00, 5.14178493346357767e-06,-8.13777725707171840e+01, 5.14163011148494637e-06,-8.13777731654420080e+01
 1.50000000000000000e+00, 5.14173382136689996e-06,-8.13777813093746545e+01, 5.14157908846028997e-06,-8.13777819113261387e+01
 1.60000000000000009e+00, 5.14168270951363919e-06,-8.13777900480321250e+01, 5.14152810808315463e-06,-8.13777906524270378e+01
 1.70000000000000018e+00, 5.14163172255515949e-06,-8.13777987715430697e+01, 5.14147717030586340e-06,-8.13777993887473485e+01
 1.80000000000000004e+00, 5.14158088350142682e-06,-8.13778074771112472e+01, 5.14142627508076982e-06,-8.13778081202897425e+01
 1.90000000000000013e+00, 5.14153007089597943e-06,-8.13778161794948716e+01, 5.14137542236040364e-06,-8.13778168470568772e+01
 2.00000000000000000e+00, 5.14147928473841500e-06,-8.13778248786939429e+01, 5.14132461209748093e-06,-8.13778255690513959e+01
 2.10000000000000009e+00, 5.14142852502838540e-06,-8.13778335747084469e+01, 5.14127384424479146e-06,-8.13778342862759558e+01
 2.20000000000000018e+00, 5.14137779176544168e-06,-8.13778422675383979e+01, 5.14122311875535795e-06,-8.13778429987331862e+01
 2.30000000000000027e+00, 5.14132708494918237e-06,-8.13778509571837958e+01, 5.14117243558218275e-06,-8.13778517064257585e+01
 2.40000000000000036e+00, 5.14127640457920851e-06,-8.13778596436446406e+01, 5.14112179467854694e-06,-8.13778604093563018e+01
