"environment.time","0.I_Kr.I_kr","0.membrane_potential.V_m","1.I_Kr.I_kr","1.membrane_potential.V_m"
 0.00000000000000000e+00, 1.07328919321546150e-06,-8.13531096519043757e+01, 1.07334127395738362e-06,-8.13531095372862865e+01
 1.00000000000000006e-01, 1.07327473586292191e-06,-8.13531199108023912e+01, 1.07332638809222936e-06,-8.13531197988141912e+01
 2.00000000000000011e-01, 1.07326020886232256e-06,-8.13531301597696341e+01, 1.07331151793492904e-06,-8.13531300547300305e+01
 3.00000000000000044e-01, 1.07324565391560965e-06,-8.13531404032756740e+01, 1.07329666347321235e-06,-8.13531403050373001e+01
 4.00000000000000022e-01, 1.07323110460801604e-06,-8.13531506369297546e+01, 1.07328182469488347e-06,-8.13531505497394960e+01
 5.00000000000000000e-01, 1.07321656757326365e-06,-8.13531608489356159e+01, 1.07326700158780169e-06,-8.13531607888401425e+01
 6.00000000000000089e-01, 1.07320203063693967e-06,-8.13531710609414773e+01, 1.07325219413994082e-06,-8.13531710223427069e+01
 7.00000000000000067e-01, 1.07318749379904472e-06,-8.13531812729473387e+01, 1.07323740233929863e-06,-8.13531812502507279e+01
 8.00000000000000044e-01, 1.07317295705957818e-06,-8.13531914849532001e+01, 1.07322262617398784e-06,-8.13531914725676870e+01
 9.00000000000000022e-01, 1.07315842041853009e-06,-8.13532016969590757e+01, 1.07320786563216483e-06,-8.13532016892971086e+01
 1.00000000000000000e+00, 1.07314393095668735e-06,-8.13532118872421250e+01, 1.07319312070210093e-06,-8.13532119004424601e+01
 1.10000000000000009e+00, 1.07312946257801812e-06,-8.13532220678425659e+01, 1.07317839137208995e-06,-8.13532221060072800e+01
 1.20000000000000018e+00, 1.07311499429684261e-06,-8.13532322484430210e+01, 1.07316367763054065e-06,-8.13532323059950500e+01
 1.30000000000000004e+00, 1.07310052611318091e-06,-8.13532424290434619e+01, 1.07314897946592429e-06,-8.13532425004092659e+01
 1.40000000000000013e+00, 1.07308605802702308e-06,-8.13532526096439028e+01, 1.07313429686676590e-06,-8.13532526892534520e+01
 1.50000000000000000e+00, 1.07307159571271928e-06,-8.13532627880332484e+01, 1.07311962982167373e-06,-8.13532628725311184e+01
 1.60000000000000009e+00, 1.07305720817044943e-06,-8.13532729373242631e+01, 1.07310497831935980e-06,-8.13532730502457326e+01
 1.70000000000000018e+00, 1.07304282072459417e-06,-8.13532830866152779e+01, 1.07309034234856852e-06,-8.13532832224008189e+01
 1.80000000000000004e+00, 1.07302843337515328e-06,-8.13532932359062926e+01, 1.07307572189812646e-06,-8.13532933889998873e+01
 1.90000000000000013e+00, 1.07301404612211702e-06,-8.13533033851973215e+01, 1.07306111695695360e-06,-8.13533035500464194e+01
 2.00000000000000000e+00, 1.07299965896550571e-06,-8.13533135344883362e+01, 1.07304652751401246e-06,-8.13533137055439397e+01
 2.10000000000000009e+00, 1.07298532283216694e-06,-8.13533236641893467e+01, 1.07303195355835704e-06,-8.13533238554959439e+01
 2.20000000000000018e+00, 1.07297105608499189e-06,-8.13533337672362791e+01, 1.07301739507912498e-06,-8.13533339999059137e+01
