"environment.time","0.I_Kr.I_kr","0.membrane_potential.V_m","1.I_Kr.I_kr","1.membrane_potential.V_m"
 0.00000000000000000e+00, 5.11743616903538621e-06,-8.13775143568389581e+01, 5.11733181461483549e-06,-8.13775154271409207e+01
 1.00000000000000006e-01, 5.11738437888904260e-06,-8.13775231737421478e+01, 5.11728046835171518e-06,-8.13775242463557760e+01
 2.00000000000000011e-01, 5.11733268772474405e-06,-8.13775319792921437e+01, 5.11722916114758036e-06,-8.13775330607291636e+01
 3.00000000000000044e-01, 5.11728099681166699e-06,-8.13775407848421395e+01, 5.11717789293478276e-06,-8.13775418702638262e+01
 4.00000000000000022e-01, 5.11722937023067452e-06,-8.13775495830325468e+01, 5.11712666364603493e-06,-8.13775506749625208e+01
 5.00000000000000000e-01, 5.11717795163111838e-06,-8.13775583573652597e+01, 5.11707547321440518e-06,-8.13775594748280184e+01
 6.00000000000000089e-01, 5.11712653327989113e-06,-8.13775671316979867e+01, 5.11702432157337260e-06,-8.13775682698630902e+01
 7.00000000000000067e-01, 5.11707511517709187e-06,-8.13775759060306996e+01, 5.11697320865688135e-06,-8.13775770600704931e+01
 8.00000000000000044e-01, 5.11702369732266976e-06,-8.13775846803634124e+01, 5.11692213439924232e-06,-8.13775858454529981e+01
 9.00000000000000022e-01, 5.11697227971662568e-06,-8.13775934546961253e+01, 5.11687109873523567e-06,-8.13775946260133622e+01
 1.00000000000000000e+00, 5.11692086235896214e-06,-8.13776022290288381e+01, 5.11682010159996174e-06,-8.13776034017543708e+01
 1.10000000000000009e+00, 5.11686964543137523e-06,-8.13776109803277450e+01, 5.11676914292899773e-06,-8.13776121726787949e+01
 1.20000000000000018e+00, 5.11681849895075197e-06,-8.13776197235490031e+01, 5.11671822265839775e-06,-8.13776209387893914e+01
 1.30000000000000004e+00, 5.11676735271569204e-06,-8.13776284667702612e+01, 5.11666734072454624e-06,-8.13776297000889457e+01
 1.40000000000000013e+00, 5.11671620672619797e-06,-8.13776372099915193e+01, 5.11661649706425876e-06,-8.13776384565802431e+01
 1.50000000000000000e+00, 5.11666506098221894e-06,-8.13776459532127916e+01, 5.11656569161483879e-06,-8.13776472082660547e+01
 1.60000000000000009e+00, 5.11661391548385490e-06,-8.13776546964340497e+01, 5.11651492431402601e-06,-8.13776559551491516e+01
 1.70000000000000018e+00, 5.11656283408649300e-06,-8.13776634322568952e+01, 5.11646419509990318e-06,-8.13776646972323334e+01
 1.80000000000000004e+00, 5.11651196678023302e-06,-8.13776721433029735e+01, 5.11641350391114255e-06,-8.13776734345183570e+01
 1.90000000000000013e+00, 5.11646112709288073e-06,-8.13776808511771605e+01, 5.11636285068671965e-06,-8.13776821670100219e+01
 2.00000000000000000e+00, 5.11641031502406176e-06,-8.13776895558794422e+01, 5.11631223536610041e-06,-8.13776908947101134e+01
 2.10000000000000009e+00, 5.11635953057330260e-06,-8.13776982574098326e+01, 5.11626165788916074e-06,-8.13776996176214311e+01
 2.20000000000000018e+00, 5.11630877374017974e-06,-8.13777069557683319e+01, 5.11621111819632373e-06,-8.13777083357467461e+01
 2.30000000000000027e+00, 5.11625804452432218e-06,-8.13777156509549258e+01, 5.11616061622842668e-06,-8.13777170490888437e+01
 2.40000000000000036e+00, 5.11620734292525558e-06,-8.13777243429696284e+01, 5.11611015192666178e-06,-8.13777257576505377e+01
 2.50000000000000000e+00, 5.11615666894255812e-06,-8.13777330318124399e+01, 5.11605972523278450e-06,-8.13777344614346134e+01
 2.60000000000000009e+00, 5.11610602257585795e-06,-8.13777417174833460e+01, 5.11600933608901787e-06,-8.13777431604438561e+01
 2.70000000000000018e+00, 5.11605540382468328e-06,-8.13777503999823608e+01, 5.11595898443794917e-06,-8.13777518546810796e+01
 2.80000000000000027e+00, 5.11600481268866140e-06,-8.13777590793094703e+01, 5.11590867022268995e-06,-8.13777605441490834e+01
 2.90000000000000036e+00, 5.11595424916732138e-06,-8.13777677554646885e+01, 5.11585839338687188e-06,-8.13777692288506529e+01
 3.00000000000000000e+00, 5.11590371326024307e-06,-8.13777764284480156e+01, 5.11580815387445695e-06,-8.13777779087886159e+01
 3.10000000000000009e+00, 5.11585320496700382e-06,-8.13777850982594515e+01, 5.11575795163003310e-06,-8.13777865839657579e+01
 3.20000000000000018e+00, 5.11580272428723346e-06,-8.13777937648989820e+01, 5.11570778659861859e-06,-8.13777952543848784e+01
 3.30000000000000027e+00, 5.11575227122051018e-06,-8.13778024283666070e+01, 5.11565765872556792e-06,-8.13778039200488195e+01
 3.40000000000000036e+00, 5.11570184576636557e-06,-8.13778110886623409e+01, 5.11560756795692172e-06,-8.13778125809603665e+01
 3.50000000000000000e+00, 5.11565144792437780e-06,-8.13778197457861836e+01, 5.11555751423911108e-06,-8.13778212371223333e+01
 3.60000000000000009e+00, 5.11560111472209157e-06,-8.13778283952957224e+01, 5.11550749751905752e-06,-8.13778298885375335e+01
 3.70000000000000018e+00, 5.11555086111670180e-06,-8.13778370353963254e+01, 5.11545751774412981e-06,-8.13778385352087952e+01
 3.80000000000000027e+00, 5.11550064372485468e-06,-8.13778456712928175e+01, 5.11540757486224219e-06,-8.13778471771389320e+01
 3.90000000000000036e+00, 5.11545046254600047e-06,-8.13778543029851988e+01, 5.11535766882181036e-06,-8.13778558143307578e+01
 4.00000000000000000e+00, 5.11540031757963858e-06,-8.13778629304734551e+01, 5.11530779957175485e-06,-8.13778644467870862e+01
