"environment.time","0.I_Kr.I_kr","0.membrane_potential.V_m","1.I_Kr.I_kr","1.membrane_potential.V_m"
 0.00000000000000000e+00, 2.18538388413234832e-06,-8.13454648991913842e+01, 2.18535565435474856e-06,-8.13454707621980617e+01
 1.00000000000000006e-01, 2.18536514862161637e-06,-8.13454757034821512e+01, 2.18533745665820134e-06,-8.13454815375977631e+01
 2.00000000000000011e-01, 2.18534644806923732e-06,-8.13454864850530015e+01, 2.18531930049246303e-06,-8.13454923024757193e+01
 3.00000000000000044e-01, 2.18532775110782903e-06,-8.13454972643145595e+01, 2.18530118650328869e-06,-8.13455030567342732e+01
 4.00000000000000022e-01, 2.18530905418846238e-06,-8.13455080435761033e+01, 2.18528311534298557e-06,-8.13455138002747020e+01
 5.00000000000000000e-01, 2.18529035731109501e-06,-8.13455188228376613e+01, 2.18526508767045596e-06,-8.13455245329972030e+01
 6.00000000000000089e-01, 2.18527168579866838e-06,-8.13455295849370543e+01, 2.18524710415115349e-06,-8.13455352548009358e+01
 7.00000000000000067e-01, 2.18525302588502939e-06,-8.13455403392039926e+01, 2.18522916545716960e-06,-8.13455459655839803e+01
 8.00000000000000044e-01, 2.18523436601330964e-06,-8.13455510934709309e+01, 2.18521127226727286e-06,-8.13455566652433220e+01
 9.00000000000000022e-01, 2.18521570618353030e-06,-8.13455618477378550e+01, 2.18519342526687089e-06,-8.13455673536748947e+01
 1.00000000000000000e+00, 2.18519706334532887e-06,-8.13455725903951645e+01, 2.18517562514809084e-06,-8.13455780307735381e+01
 1.10000000000000009e+00, 2.18517844000861304e-06,-8.13455833197236586e+01, 2.18515787260984501e-06,-8.13455886964329693e+01
 1.20000000000000018e+00, 2.18515981671369957e-06,-8.13455940490521670e+01, 2.18514016835772580e-06,-8.13455993505458679e+01
 1.30000000000000004e+00, 2.18514119346063079e-06,-8.13456047783806611e+01, 2.18512195262016455e-06,-8.13456100692038149e+01
 1.40000000000000013e+00, 2.18512258228889924e-06,-8.13456154994773755e+01, 2.18510352482432582e-06,-8.13456208116878372e+01
 1.50000000000000000e+00, 2.18510401193581078e-06,-8.13456261926936861e+01, 2.18508511106371206e-06,-8.13456315472479474e+01
 1.60000000000000009e+00, 2.18508544734726433e-06,-8.13456368819970947e+01, 2.18506671125252307e-06,-8.13456422758837761e+01
 1.70000000000000018e+00, 2.18506688852323746e-06,-8.13456475673876014e+01, 2.18504832530169970e-06,-8.13456529975952236e+01
 1.80000000000000004e+00, 2.18504833546370855e-06,-8.13456582488652060e+01, 2.18502995311890179e-06,-8.13456637123824606e+01
 1.90000000000000013e+00, 2.18502978816865389e-06,-8.13456689264299087e+01, 2.18501159460850695e-06,-8.13456744202459134e+01
 2.00000000000000000e+00, 2.18501124663803029e-06,-8.13456796000817235e+01, 2.18499324967154362e-06,-8.13456851211862926e+01
 2.10000000000000009e+00, 2.18499271087185595e-06,-8.13456902698206221e+01, 2.18497491820569106e-06,-8.13456958152045786e+01
 2.20000000000000018e+00, 2.18497418087008895e-06,-8.13457009356466187e+01, 2.18495660010519085e-06,-8.13457065023020647e+01
 2.30000000000000027e+00, 2.18495565663268439e-06,-8.13457115975597276e+01, 2.18493829526092907e-06,-8.13457171824802856e+01
 2.40000000000000036e+00, 2.18493713815964059e-06,-8.13457222555599344e+01, 2.18492000356030961e-06,-8.13457278557410888e+01
 2.50000000000000000e+00, 2.18491862545095668e-06,-8.13457329096472250e+01, 2.18490172488727119e-06,-8.13457385220866058e+01
 2.60000000000000009e+00, 2.18490011850656746e-06,-8.13457435598216279e+01, 2.18488345912226567e-06,-8.13457491815192526e+01
 2.70000000000000018e+00, 2.18488161732647038e-06,-8.13457542060831287e+01, 2.18486520614221199e-06,-8.13457598340417434e+01
 2.80000000000000027e+00, 2.18486312191064426e-06,-8.13457648484317275e+01, 2.18484696582045288e-06,-8.13457704796571051e+01
 2.90000000000000036e+00, 2.18484463225906539e-06,-8.13457754868674243e+01, 2.18482873802677565e-06,-8.13457811183686488e+01
 3.00000000000000000e+00, 2.18482614837171132e-06,-8.13457861213902191e+01, 2.18481052262734148e-06,-8.13457917501799983e+01
 3.10000000000000009e+00, 2.18480767473475483e-06,-8.13457967489704572e+01, 2.18479231948466972e-06,-8.13458023750950900e+01
 3.20000000000000018e+00, 2.18478921987816923e-06,-8.13458073638475696e+01, 2.18477412845762775e-06,-8.13458129931181588e+01
 3.30000000000000027e+00, 2.18477077267584175e-06,-8.13458179735353042e+01, 2.18475594940137250e-06,-8.13458236042537663e+01
 3.40000000000000036e+00, 2.18475233312770040e-06,-8.13458285780336894e+01, 2.18473778216736488e-06,-8.13458342085067727e+01
 3.50000000000000000e+00, 2.18473390123375660e-06,-8.13458391773426968e+01, 2.18471962660328636e-06,-8.13458448058823791e+01
 3.60000000000000009e+00, 2.18471547699395827e-06,-8.13458497714623405e+01, 2.18470148255307450e-06,-8.13458553963860851e+01
 3.70000000000000018e+00, 2.18469706040827491e-06,-8.13458603603926207e+01, 2.18468334985682218e-06,-8.13458659800237456e+01
 3.80000000000000027e+00, 2.18467865147669762e-06,-8.13458709441335230e+01, 2.18466522835081277e-06,-8.13458765568015281e+01
 3.90000000000000036e+00, 2.18466025019915273e-06,-8.13458815226850760e+01, 2.18464711786747475e-06,-8.13458871267259269e+01
 4.00000000000000000e+00, 2.18464185657565250e-06,-8.13458920960472511e+01, 2.18462901823536317e-06,-8.13458976898037633e+01
 4.10000000000000053e+00, 2.18462347060614485e-06,-8.13459026642200627e+01, 2.18461092927907063e-06,-8.13459082460422280e+01
 4.20000000000000018e+00, 2.18460509229059928e-06,-8.13459132272035106e+01, 2.18459285081928702e-06,-8.13459187954488243e+01
 4.29999999999999982e+00, 2.18458672162900605e-06,-8.13459237849975807e+01, 2.18457478267271655e-06,-8.13459293380314108e+01
 4.40000000000000036e+00, 2.18456835862131392e-06,-8.13459343376022872e+01, 2.18455672465207216e-06,-8.13459398737981871e+01
 4.50000000000000000e+00, 2.18455000326747121e-06,-8.13459448850176443e+01, 2.18453867656605360e-06,-8.13459504027576941e+01
 4.60000000000000053e+00, 2.18453165556751012e-06,-8.13459554272436094e+01, 2.18452063821924147e-06,-8.13459609249188702e+01
 4.70000000000000018e+00, 2.18451331552133748e-06,-8.13459659642802251e+01, 2.18450260941224082e-06,-8.13459714402909384e+01
 4.80000000000000071e+00, 2.18449498468977622e-06,-8.13459764950945043e+01, 2.18448458994146855e-06,-8.13459819488835336e+01
 4.90000000000000036e+00, 2.18447666543534906e-06,-8.13459870181228837e+01, 2.18446657959923600e-06,-8.13459924507066319e+01
 5.00000000000000000e+00, 2.18445835442492797e-06,-8.13459975355712288e+01, 2.18444857817368287e-06,-8.13460029457705787e+01
 5.10000000000000053e+00, 2.18444005165848036e-06,-8.13460080474395397e+01, 2.18443058544877593e-06,-8.13460134340860748e+01
 5.20000000000000018e+00, 2.18442175713595201e-06,-8.13460185537278306e+01, 2.18441260120420151e-06,-8.13460239156642331e+01
 5.30000000000000071e+00, 2.18440347085732978e-06,-8.13460290544360873e+01, 2.18439462521548908e-06,-8.13460343905164791e+01
 5.40000000000000036e+00, 2.18438519282256033e-06,-8.13460395495643240e+01, 2.18437665725382033e-06,-8.13460448586546647e+01
 5.50000000000000000e+00, 2.18436692303161018e-06,-8.13460500391125407e+01, 2.18435869708613160e-06,-8.13460553200909828e+01
 5.60000000000000053e+00, 2.18434866148446664e-06,-8.13460605230807232e+01, 2.18434074447496439e-06,-8.13460657748380527e+01
 5.70000000000000018e+00, 2.18433040818109667e-06,-8.13460710014688715e+01, 2.18432279917856958e-06,-8.13460762229088346e+01
 5.80000000000000071e+00, 2.18431216312144649e-06,-8.13460814742769998e+01, 2.18430486095079855e-06,-8.13460866643166867e+01
 5.90000000000000036e+00, 2.18429392630548178e-06,-8.13460919415051080e+01, 2.18428692954101806e-06,-8.13460970990754078e+01
 6.00000000000000000e+00, 2.18427569773319154e-06,-8.13461024031531821e+01, 2.18426900469427542e-06,-8.13461075271991092e+01
 6.10000000000000053e+00, 2.18425747740454231e-06,-8.13461128592212219e+01, 2.18425108615104441e-06,-8.13461179487023713e+01
 6.20000000000000018e+00, 2.18423926531947860e-06,-8.13461233097092418e+01, 2.18423317364734973e-06,-8.13461283636001440e+01
 6.30000000000000071e+00, 2.18422106147796824e-06,-8.13461337546172416e+01, 2.18421526691472135e-06,-8.13461387719077607e+01
 6.40000000000000036e+00, 2.18420286587999936e-06,-8.13461441939452072e+01, 2.18419736568006820e-06,-8.13461491736410096e+01
 6.50000000000000000e+00, 2.18418467912822659e-06,-8.13461546273053102e+01, 2.18417946966577991e-06,-8.13461595688160486e+01
 6.60000000000000053e+00, 2.18416650189119737e-06,-8.13461650542673169e+01, 2.18416157858959756e-06,-8.13461699574494759e+01
 6.70000000000000018e+00, 2.18414833302520460e-06,-8.13461754755671791e+01, 2.18414369216469674e-06,-8.13461803395582592e+01
 6.80000000000000071e+00, 2.18413017253025634e-06,-8.13461858912048683e+01, 2.18412581009949821e-06,-8.13461907151598496e+01
 6.90000000000000036e+00, 2.18411202040629752e-06,-8.13461963011803988e+01, 2.18410793209780812e-06,-8.13462010842720673e+01
 7.00000000000000000e+00, 2.18409387665329427e-06,-8.13462067054937705e+01, 2.18409005785867268e-06,-8.13462114469131876e+01
 7.10000000000000053e+00, 2.18407574127121314e-06,-8.13462171041449835e+01, 2.18407218707643793e-06,-8.13462218031018836e+01
 7.20000000000000018e+00, 2.18405761426001938e-06,-8.13462274971340378e+01, 2.18405431944062058e-06,-8.13462321528572971e+01
 7.30000000000000071e+00, 2.18403949561967997e-06,-8.13462378844609333e+01, 2.18403645463596977e-06,-8.13462424961989825e+01
 7.40000000000000036e+00, 2.18402138535018178e-06,-8.13462482661256558e+01, 2.18401859234244300e-06,-8.13462528331469059e+01
 7.50000000000000000e+00, 2.18400328345146975e-06,-8.13462586421282197e+01, 2.18400073223505871e-06,-8.13462631637215310e+01
 7.60000000000000053e+00, 2.18398518992351042e-06,-8.13462690124686247e+01, 2.18398287398403904e-06,-8.13462734879437050e+01
 7.70000000000000018e+00, 2.18396710476626949e-06,-8.13462793771468711e+01, 2.18396501725464078e-06,-8.13462838058347586e+01
 7.80000000000000071e+00, 2.18394902797973382e-06,-8.13462897361629445e+01, 2.18394716170719484e-06,-8.13462941174164627e+01
 7.90000000000000036e+00, 2.18393095956382847e-06,-8.13463000895168733e+01, 2.18392930699710449e-06,-8.13463044227110146e+01
 8.00000000000000000e+00, 2.18391289951856062e-06,-8.13463104372086292e+01, 2.18391145277471624e-06,-8.13463147217411091e+01
 8.09999999999999964e+00, 2.18389484784387607e-06,-8.13463207792382264e+01, 2.18389359868540236e-06,-8.13463250145298673e+01
 8.20000000000000107e+00, 2.18387680453974093e-06,-8.13463311156056648e+01, 2.18387574436947541e-06,-8.13463353011008792e+01
 8.30000000000000071e+00, 2.18385876960612090e-06,-8.13463414463109444e+01, 2.18385788946218309e-06,-8.13463455814781895e+01
 8.40000000000000036e+00, 2.18384074304298210e-06,-8.13463517713540654e+01, 2.18384003359362696e-06,-8.13463558556863404e+01
 8.50000000000000000e+00, 2.18382272485031225e-06,-8.13463620907350133e+01, 2.18382217638883909e-06,-8.13463661237503004e+01
 8.59999999999999964e+00, 2.18380471502805586e-06,-8.13463724044538026e+01, 2.18380431746765710e-06,-8.13463763856955353e+01
 8.70000000000000107e+00, 2.18378671357617948e-06,-8.13463827125104331e+01, 2.18378645644474328e-06,-8.13463866415479799e+01
 8.80000000000000071e+00, 2.18376872049464881e-06,-8.13463930149049048e+01, 2.18376859292953623e-06,-8.13463968913340523e+01
 8.90000000000000036e+00, 2.18375073578343038e-06,-8.13464033116372178e+01, 2.18375072652623440e-06,-8.13464071350806535e+01
 9.00000000000000000e+00, 2.18373275944249031e-06,-8.13464136027073721e+01, 2.18373285683376599e-06,-8.13464173728151678e+01
 9.09999999999999964e+00, 2.18371479147181591e-06,-8.13464238881153534e+01, 2.18371498344579152e-06,-8.13464276045654486e+01
 9.20000000000000107e+00, 2.18369683187135168e-06,-8.13464341678611760e+01, 2.18369710595061696e-06,-8.13464378303598608e+01
 9.30000000000000071e+00, 2.18367887928360324e-06,-8.13464444428939260e+01, 2.18367922393120903e-06,-8.13464480502272522e+01
 9.40000000000000036e+00, 2.18366093425852960e-06,-8.13464547128290718e+01, 2.18366133696515580e-06,-8.13464582641969685e+01
 9.50000000000000000e+00, 2.18364299752283760e-06,-8.13464649771585044e+01, 2.18364344462459933e-06,-8.13464684722988807e+01
 9.60000000000000142e+00, 2.18362506907649378e-06,-8.13464752358822238e+01, 2.18362554647633730e-06,-8.13464786745633006e+01
 9.70000000000000107e+00, 2.18360714891944350e-06,-8.13464854890002442e+01, 2.18360764208161345e-06,-8.13464888710211085e+01
 9.80000000000000071e+00, 2.18358923705167406e-06,-8.13464957365125514e+01, 2.18358973099623860e-06,-8.13464990617036534e+01
 9.90000000000000036e+00, 2.18357133347315200e-06,-8.13465059784191453e+01, 2.18357181277046579e-06,-8.13465092466428246e+01
