"environment.time","0.I_Kr.I_kr","0.membrane_potential.V_m","1.I_Kr.I_kr","1.membrane_potential.V_m"
 0.00000000000000000e+00, 1.08997850154964178e-06,-8.13532242700802897e+01, 1.08985356184562024e-06,-8.13532249587612171e+01
 1.00000000000000006e-01, 1.08996364656915340e-06,-8.13532345203282148e+01, 1.08983861600706873e-06,-8.13532352129690679e+01
 2.00000000000000011e-01, 1.08994884402891885e-06,-8.13532447512411636e+01, 1.08982368807263698e-06,-8.13532454615296672e+01
 3.00000000000000044e-01, 1.08993407244890678e-06,-8.13532549707538948e+01, 1.08980877803363801e-06,-8.13532557044460560e+01
 4.00000000000000022e-01, 1.08991930096897611e-06,-8.13532651902666117e+01, 1.08979388588137026e-06,-8.13532659417212329e+01
 5.00000000000000000e-01, 1.08990452958910607e-06,-8.13532754097793429e+01, 1.08977901160706716e-06,-8.13532761733582248e+01
 6.00000000000000089e-01, 1.08988975830930684e-06,-8.13532856292920741e+01, 1.08976415520193734e-06,-8.13532863993600301e+01
 7.00000000000000067e-01, 1.08987500101101459e-06,-8.13532958436097715e+01, 1.08974931665712084e-06,-8.13532966197296759e+01
 8.00000000000000044e-01, 1.08986031180613953e-06,-8.13533060324811856e+01, 1.08973449596373334e-06,-8.13533068344701604e+01
 9.00000000000000022e-01, 1.08984562270022015e-06,-8.13533162213525998e+01, 1.08971969311283166e-06,-8.13533170435844966e+01
 1.00000000000000000e+00, 1.08983093369325624e-06,-8.13533264102240139e+01, 1.08970490809544594e-06,-8.13533272470756685e+01
 1.10000000000000009e+00, 1.08981624478524780e-06,-8.13533365990954280e+01, 1.08969014090253620e-06,-8.13533374449466891e+01
 1.20000000000000018e+00, 1.08980155597619547e-06,-8.13533467879668422e+01, 1.08967539152501464e-06,-8.13533476372005708e+01
 1.30000000000000004e+00, 1.08978692467121488e-06,-8.13533569551525488e+01, 1.08966065995377333e-06,-8.13533578238402839e+01
 1.40000000000000013e+00, 1.08977231691094421e-06,-8.13533671134809140e+01, 1.08964594617963444e-06,-8.13533680048688268e+01
 1.50000000000000000e+00, 1.08975770924854333e-06,-8.13533772718092649e+01, 1.08963125019336934e-06,-8.13533781802891980e+01
 1.60000000000000009e+00, 1.08974310168400165e-06,-8.13533874301376159e+01, 1.08961657198570748e-06,-8.13533883501043817e+01
 1.70000000000000018e+00, 1.08972849421730857e-06,-8.13533975884659810e+01, 1.08960191154732745e-06,-8.13533985143173624e+01
 1.80000000000000004e+00, 1.08971390886655978e-06,-8.13534077383567933e+01, 1.08958726886886532e-06,-8.13534086729311099e+01
 1.90000000000000013e+00, 1.08969939554564227e-06,-8.13534178606822707e+01, 1.08957264394087264e-06,-8.13534188259486370e+01
 2.00000000000000000e+00, 1.08968489198455728e-06,-8.13534279793046409e+01, 1.08955803675388870e-06,-8.13534289733728997e+01
 2.10000000000000009e+00, 1.08967039818310047e-06,-8.13534380942239181e+01, 1.08954344729838965e-06,-8.13534391152068679e+01
 2.20000000000000018e+00, 1.08965591414107596e-06,-8.13534482054401025e+01, 1.08952887556477418e-06,-8.13534492514535401e+01
 2.30000000000000027e+00, 1.08964143985828979e-06,-8.13534583129531939e+01, 1.08951432154342868e-06,-8.13534593821158580e+01
 2.40000000000000036e+00, 1.08962697533454650e-06,-8.13534684167631923e+01, 1.08949978522465185e-06,-8.13534695071968059e+01
 2.50000000000000000e+00, 1.08961252056966270e-06,-8.13534785168700836e+01, 1.08948526659869626e-06,-8.13534796266993538e+01
 2.60000000000000009e+00, 1.08959807556342241e-06,-8.13534886132738961e+01, 1.08947076565576851e-06,-8.13534897406264577e+01
 2.70000000000000018e+00, 1.08958364031565261e-06,-8.13534987059746015e+01, 1.08945628238601677e-06,-8.13534998489810732e+01
