"environment.time","0.I_Kr.I_kr","0.membrane_potential.V_m","1.I_Kr.I_kr","1.membrane_potential.V_m"
 0.00000000000000000e+00, 8.02804030354380132e-07,-8.13512273905102603e+01, 8.02754724919119311e-07,-8.13512280293899011e+01
 1.00000000000000006e-01, 8.02792692466758699e-07,-8.13512377724164679e+01, 8.02743466020080795e-07,-8.13512384199638490e+01
 2.00000000000000011e-01, 8.02781354659182726e-07,-8.13512481543226897e+01, 8.02732219194440904e-07,-8.13512488047974074e+01
 3.00000000000000044e-01, 8.02770084530887503e-07,-8.13512585042458056e+01, 8.02720984429776418e-07,-8.13512591838935890e+01
 4.00000000000000022e-01, 8.02758820612792845e-07,-8.13512688512681166e+01, 8.02709761713741513e-07,-8.13512695572553923e+01
 5.00000000000000000e-01, 8.02747556773725621e-07,-8.13512791982904133e+01, 8.02698551034061834e-07,-8.13512799248858158e+01
 6.00000000000000089e-01, 8.02736293013670476e-07,-8.13512895453127243e+01, 8.02687352378533333e-07,-8.13512902867878580e+01
 7.00000000000000067e-01, 8.02725029332635035e-07,-8.13512998923350352e+01, 8.02676165735030519e-07,-8.13513006429645031e+01
 8.00000000000000044e-01, 8.02713765730626922e-07,-8.13513102393573320e+01, 8.02664991091483385e-07,-8.13513109934187639e+01
 9.00000000000000022e-01, 8.02702535654878486e-07,-8.13513205702477649e+01, 8.02653828435907897e-07,-8.13513213381536247e+01
 1.00000000000000000e+00, 8.02691321425298972e-07,-8.13513308935333015e+01, 8.02642677756398690e-07,-8.13513316771720554e+01
 1.10000000000000009e+00, 8.02680114181137177e-07,-8.13513412134874443e+01, 8.02631539041097515e-07,-8.13513420104770688e+01
 1.20000000000000018e+00, 8.02668913922241269e-07,-8.13513515301102075e+01, 8.02620412278248082e-07,-8.13513523380716208e+01
 1.30000000000000004e+00, 8.02657720648474663e-07,-8.13513618434015768e+01, 8.02609297456149056e-07,-8.13513626599586956e+01
 1.40000000000000013e+00, 8.02646534359685425e-07,-8.13513721533615666e+01, 8.02598194563170462e-07,-8.13513729761412776e+01
 1.50000000000000000e+00, 8.02635355055729664e-07,-8.13513824599901767e+01, 8.02587103587759724e-07,-8.13513832866223368e+01
 1.60000000000000009e+00, 8.02624182736470795e-07,-8.13513927632873930e+01, 8.02576024518436052e-07,-8.13513935914048432e+01
 1.70000000000000018e+00, 8.02613017401764930e-07,-8.13514030632532155e+01, 8.02564957343796158e-07,-8.13514038904917527e+01
 1.80000000000000004e+00, 8.02601859051460554e-07,-8.13514133598876583e+01, 8.02553902052492660e-07,-8.13514141838860496e+01
 1.90000000000000013e+00, 8.02590707685413991e-07,-8.13514236531907216e+01, 8.02542858633263937e-07,-8.13514244715906898e+01
 2.00000000000000000e+00, 8.02579564911584942e-07,-8.13514339423507096e+01, 8.02531827074926718e-07,-8.13514347536086149e+01
 2.10000000000000009e+00, 8.02568449788199473e-07,-8.13514442177478827e+01, 8.02520807366345804e-07,-8.13514450299428091e+01
 2.20000000000000018e+00, 8.02557345113769136e-07,-8.13514544880644763e+01, 8.02509799496479273e-07,-8.13514553005962142e+01
 2.30000000000000027e+00, 8.02546250888078892e-07,-8.13514647533004904e+01, 8.02498803454348306e-07,-8.13514655655717860e+01
 2.40000000000000036e+00, 8.02535167110913488e-07,-8.13514750134559250e+01, 8.02487819229060060e-07,-8.13514758248724519e+01
 2.50000000000000000e+00, 8.02524093782058095e-07,-8.13514852685307801e+01, 8.02476846809762244e-07,-8.13514860785011962e+01
 2.60000000000000009e+00, 8.02513030901305932e-07,-8.13514955185250415e+01, 8.02465886185718397e-07,-8.13514963264609179e+01
 2.70000000000000018e+00, 8.02501978468426817e-07,-8.13515057634387375e+01, 8.02454937346217151e-07,-8.13515065687546013e+01
 2.80000000000000027e+00, 8.02490936483214392e-07,-8.13515160032718541e+01, 8.02443992993666162e-07,-8.13515168057582230e+01
 2.90000000000000036e+00, 8.02479904945454039e-07,-8.13515262380243911e+01, 8.02433046350304509e-07,-8.13515270378211852e+01
 3.00000000000000000e+00, 8.02468883854924260e-07,-8.13515364676963628e+01, 8.02422110932566744e-07,-8.13515372642538921e+01
 3.10000000000000009e+00, 8.02457873211426320e-07,-8.13515466922877408e+01, 8.02411186724231445e-07,-8.13515474850595979e+01
 3.20000000000000018e+00, 8.02446875070013237e-07,-8.13515569106195215e+01, 8.02400273709146223e-07,-8.13515577002415142e+01
 3.30000000000000027e+00, 8.02435891327748071e-07,-8.13515671216032672e+01, 8.02389371871203795e-07,-8.13515679098028528e+01
 3.40000000000000036e+00, 8.02424918924462460e-07,-8.13515773269943452e+01, 8.02378481194327051e-07,-8.13515781137468537e+01
 3.50000000000000000e+00, 8.02413957859940304e-07,-8.13515875267927271e+01, 8.02367601662499339e-07,-8.13515883120767285e+01
 3.60000000000000009e+00, 8.02403008133934906e-07,-8.13515977209984413e+01, 8.02356733259742442e-07,-8.13515985047957031e+01
 3.70000000000000018e+00, 8.02392069746230271e-07,-8.13516079096114595e+01, 8.02345875970130340e-07,-8.13516086919069892e+01
 3.80000000000000027e+00, 8.02381142696588172e-07,-8.13516180926317958e+01, 8.02335029777775659e-07,-8.13516188734138126e+01
 3.90000000000000036e+00, 8.02370226984777581e-07,-8.13516282700594502e+01, 8.02324194666836026e-07,-8.13516290493193992e+01
 4.00000000000000000e+00, 8.02359322610567893e-07,-8.13516384418944227e+01, 8.02313370621537356e-07,-8.13516392196269322e+01
 4.10000000000000053e+00, 8.02348429573728714e-07,-8.13516486081367134e+01, 8.02302557626120602e-07,-8.13516493843396518e+01
 4.20000000000000018e+00, 8.02337547874029759e-07,-8.13516587687863222e+01, 8.02291755664895115e-07,-8.13516595434607552e+01
 4.29999999999999982e+00, 8.02326677511241163e-07,-8.13516689238432491e+01, 8.02280964722199889e-07,-8.13516696969934685e+01
 4.40000000000000036e+00, 8.02315817101301137e-07,-8.13516790732710575e+01, 8.02270184782442638e-07,-8.13516798449409748e+01
