"environment.time","0.I_Kr.I_kr","0.membrane_potential.V_m","1.I_Kr.I_kr","1.membrane_potential.V_m"
 0.00000000000000000e+00, 1.25926059491520952e-07,-8.13463381935595891e+01, 1.25936703158312952e-07,-8.13463385076732948e+01
 1.00000000000000006e-01, 1.25924178316964461e-07,-8.13463489051544002e+01, 1.25934782401369579e-07,-8.13463492688052554e+01
 2.00000000000000011e-01, 1.25922297156439865e-07,-8.13463596167491971e+01, 1.25932863666989926e-07,-8.13463600239436033e+01
 3.00000000000000044e-01, 1.25920416009945999e-07,-8.13463703283439941e+01, 1.25930946954183681e-07,-8.13463707730882106e+01
 4.00000000000000022e-01, 1.25918534877481645e-07,-8.13463810399388052e+01, 1.25929032262006983e-07,-8.13463815162389352e+01
 5.00000000000000000e-01, 1.25916653759049213e-07,-8.13463917515336021e+01, 1.25927119589564996e-07,-8.13463922533955923e+01
 6.00000000000000089e-01, 1.25914777500623085e-07,-8.13464024490177309e+01, 1.25925208936012115e-07,-8.13464029845579546e+01
 7.00000000000000067e-01, 1.25912907639036732e-07,-8.13464131279158238e+01, 1.25923300300547233e-07,-8.13464137097258089e+01
 8.00000000000000044e-01, 1.25911037791316970e-07,-8.13464238068139167e+01, 1.25921393682423584e-07,-8.13464244288988425e+01
 9.00000000000000022e-01, 1.25909167957465016e-07,-8.13464344857119954e+01, 1.25919489080936914e-07,-8.13464351420767855e+01
 1.00000000000000000e+00, 1.25907298137478436e-07,-8.13464451646100883e+01, 1.25917586495435245e-07,-8.13464458492592968e+01
 1.10000000000000009e+00, 1.25905428331358474e-07,-8.13464558435081813e+01, 1.25915685925316628e-07,-8.13464565504459927e+01
 1.20000000000000018e+00, 1.25903569895616387e-07,-8.13464664885009654e+01, 1.25913787370024589e-07,-8.13464672456365037e+01
 1.30000000000000004e+00, 1.25901714487052051e-07,-8.13464771244968574e+01, 1.25911890829056599e-07,-8.13464779348303750e+01
 1.40000000000000013e+00, 1.25899860393797321e-07,-8.13464877566065496e+01, 1.25909996301955870e-07,-8.13464886180271662e+01
 1.50000000000000000e+00, 1.25898007615821493e-07,-8.13464983848300704e+01, 1.25908103788317597e-07,-8.13464992952263799e+01
 1.60000000000000009e+00, 1.25896156153098679e-07,-8.13465090091673915e+01, 1.25906213287785473e-07,-8.13465099664275044e+01
 1.70000000000000018e+00, 1.25894306005598227e-07,-8.13465196296185411e+01, 1.25904324800054221e-07,-8.13465206316299856e+01
 1.80000000000000004e+00, 1.25892457173293084e-07,-8.13465302461835051e+01, 1.25902438324869864e-07,-8.13465312908332265e+01
 1.90000000000000013e+00, 1.25890609656154956e-07,-8.13465408588622836e+01, 1.25900553862026254e-07,-8.13465419440366304e+01
 2.00000000000000000e+00, 1.25888763454155677e-07,-8.13465514676548764e+01, 1.25898671411369974e-07,-8.13465525912395435e+01
 2.10000000000000009e+00, 1.25886918567265788e-07,-8.13465620725612979e+01, 1.25896790972798293e-07,-8.13465632324412837e+01
 2.20000000000000018e+00, 1.25885074995459532e-07,-8.13465726735815196e+01, 1.25894912546257823e-07,-8.13465738676411547e+01
 2.30000000000000027e+00, 1.25883232738706258e-07,-8.13465832707155698e+01, 1.25893036131748669e-07,-8.13465844968384033e+01
 2.40000000000000036e+00, 1.25881391796979073e-07,-8.13465938639634345e+01, 1.25891161729320779e-07,-8.13465951200322621e+01
 2.50000000000000000e+00, 1.25879552170249813e-07,-8.13466044533251136e+01, 1.25889289339075216e-07,-8.13466057372219353e+01
 2.60000000000000009e+00, 1.25877713858490314e-07,-8.13466150388006071e+01, 1.25887418961167092e-07,-8.13466163484065703e+01
 2.70000000000000018e+00, 1.25875876861672464e-07,-8.13466256203899150e+01, 1.25885550595801733e-07,-8.13466269535853002e+01
 2.80000000000000027e+00, 1.25874041179768154e-07,-8.13466361980930373e+01, 1.25883684243235102e-07,-8.13466375527572438e+01
 2.90000000000000036e+00, 1.25872206812748134e-07,-8.13466467719099882e+01, 1.25881819903778696e-07,-8.13466481459214492e+01
 3.00000000000000000e+00, 1.25870373760586649e-07,-8.13466573418407393e+01, 1.25879957577794911e-07,-8.13466587330769499e+01
 3.10000000000000009e+00, 1.25868544061660730e-07,-8.13466679014827037e+01, 1.25878097265697287e-07,-8.13466693142227655e+01
 3.20000000000000018e+00, 1.25866717939599967e-07,-8.13466784501332256e+01, 1.25876238967955316e-07,-8.13466798893578442e+01
 3.30000000000000027e+00, 1.25864893534666947e-07,-8.13466889936335633e+01, 1.25874382685087622e-07,-8.13466904584811488e+01
 3.40000000000000036e+00, 1.25863070846826175e-07,-8.13466995319837025e+01, 1.25872528417669127e-07,-8.13467010215915707e+01
 3.50000000000000000e+00, 1.25861249876039956e-07,-8.13467100651836574e+01, 1.25870676166326611e-07,-8.13467115786879873e+01
 3.60000000000000009e+00, 1.25859430622271683e-07,-8.13467205932334281e+01, 1.25868825931741193e-07,-8.13467221297692333e+01
 3.70000000000000018e+00, 1.25857613085484855e-07,-8.13467311161330144e+01, 1.25866977714647171e-07,-8.13467326748341151e+01
 3.80000000000000027e+00, 1.25855797265644134e-07,-8.13467416338824023e+01, 1.25865131515832524e-07,-8.13467432138814104e+01
 3.90000000000000036e+00, 1.25853983162711907e-07,-8.13467521464816059e+01, 1.25863287336138754e-07,-8.13467537469098687e+01
 4.00000000000000000e+00, 1.25852170776651645e-07,-8.13467626539306252e+01, 1.25861445176463635e-07,-8.13467642739181827e+01
 4.10000000000000053e+00, 1.25850360107426979e-07,-8.13467731562294603e+01, 1.25859605037756586e-07,-8.13467747949050448e+01
 4.20000000000000018e+00, 1.25848551155002705e-07,-8.13467836533780968e+01, 1.25857766921024676e-07,-8.13467853098690767e+01
 4.29999999999999982e+00, 1.25846743919340017e-07,-8.13467941453765633e+01, 1.25855930827327040e-07,-8.13467958188089000e+01
 4.40000000000000036e+00, 1.25844938400404981e-07,-8.13468046322248313e+01, 1.25854096757778479e-07,-8.13468063217230934e+01
 4.50000000000000000e+00, 1.25843134598160116e-07,-8.13468151139229150e+01, 1.25852264713550890e-07,-8.13468168186101792e+01
 4.60000000000000053e+00, 1.25841332512570270e-07,-8.13468255904708002e+01, 1.25850434695867442e-07,-8.13468273094686936e+01
 4.70000000000000018e+00, 1.25839532143597989e-07,-8.13468360618685011e+01, 1.25848606706009880e-07,-8.13468377942971017e+01
 4.80000000000000071e+00, 1.25837733491205870e-07,-8.13468465281160320e+01, 1.25846780745316438e-07,-8.13468482730938263e+01
 4.90000000000000036e+00, 1.25835936555361277e-07,-8.13468569892133502e+01, 1.25844956815177043e-07,-8.13468587458573040e+01
 5.00000000000000000e+00, 1.25834141489716885e-07,-8.13468674445752242e+01, 1.25843134917042027e-07,-8.13468692125858865e+01
 5.10000000000000053e+00, 1.25832349024325258e-07,-8.13468778914214141e+01, 1.25841315052415034e-07,-8.13468796732779253e+01
 5.20000000000000018e+00, 1.25830558375755404e-07,-8.13468883327350767e+01, 1.25839497222856720e-07,-8.13468901279317294e+01
