"environment.time","0.I_Kr.I_kr","0.membrane_potential.V_m","1.I_Kr.I_kr","1.membrane_potential.V_m"
 0.00000000000000000e+00, 2.19439925562078797e-06,-8.13494004313224366e+01, 2.19439626424140112e-06,-8.13494006498084303e+01
 1.00000000000000006e-01, 2.19437325848812930e-06,-8.13494109459462749e+01, 2.19437102738958999e-06,-8.13494111701828189e+01
 2.00000000000000011e-01, 2.19434752116689367e-06,-8.13494214554917932e+01, 2.19434580577899750e-06,-8.13494216847766012e+01
 3.00000000000000044e-01, 2.19432225491720660e-06,-8.13494319419665857e+01, 2.19432059939534180e-06,-8.13494321935931737e+01
 4.00000000000000022e-01, 2.19429699707623499e-06,-8.13494424280361983e+01, 2.19429540822435041e-06,-8.13494426966359043e+01
 5.00000000000000000e-01, 2.19427173937332721e-06,-8.13494529141057967e+01, 2.19427023225167754e-06,-8.13494531939081895e+01
 6.00000000000000089e-01, 2.19424648180844302e-06,-8.13494634001754093e+01, 2.19424507146294439e-06,-8.13494636854134257e+01
 7.00000000000000067e-01, 2.19422143960682165e-06,-8.13494738546344394e+01, 2.19421992584378358e-06,-8.13494741711549807e+01
 8.00000000000000044e-01, 2.19419642279061297e-06,-8.13494843053849053e+01, 2.19419479537977184e-06,-8.13494846511362368e+01
 9.00000000000000022e-01, 2.19417140610933663e-06,-8.13494947561353712e+01, 2.19416968005645497e-06,-8.13494951253605763e+01
 1.00000000000000000e+00, 2.19414638956299222e-06,-8.13495052068858371e+01, 2.19414457985932331e-06,-8.13495055938313953e+01
 1.10000000000000009e+00, 2.19412137315158016e-06,-8.13495156576363030e+01, 2.19411949477387564e-06,-8.13495160565520621e+01
 1.20000000000000018e+00, 2.19409635687510045e-06,-8.13495261083867689e+01, 2.19409442478555655e-06,-8.13495265135259586e+01
 1.30000000000000004e+00, 2.19407140140828069e-06,-8.13495365386571194e+01, 2.19406936987977590e-06,-8.13495369647564672e+01
 1.40000000000000013e+00, 2.19404647928100087e-06,-8.13495469577193120e+01, 2.19404433004195159e-06,-8.13495474102469416e+01
 1.50000000000000000e+00, 2.19402156853525153e-06,-8.13495573729849326e+01, 2.19401930525738252e-06,-8.13495578500007923e+01
 1.60000000000000009e+00, 2.19399666917086282e-06,-8.13495677844539671e+01, 2.19399429551143789e-06,-8.13495682840213590e+01
 1.70000000000000018e+00, 2.19397178118762172e-06,-8.13495781921264296e+01, 2.19396930078938823e-06,-8.13495787123120238e+01
 1.80000000000000004e+00, 2.19394690458533637e-06,-8.13495885960023202e+01, 2.19394432107644813e-06,-8.13495891348761830e+01
 1.90000000000000013e+00, 2.19392203936383652e-06,-8.13495989960816246e+01, 2.19391935635787924e-06,-8.13495995517171764e+01
