"environment.time","0.I_Kr.I_kr","0.membrane_potential.V_m","1.I_Kr.I_kr","1.membrane_potential.V_m"
 0.00000000000000000e+00, 6.66210325873217143e-05,-8.13804714575826296e+01, 6.66210263957380374e-05,-8.13804707652617907e+01
 1.00000000000000006e-01, 6.66173801869346713e-05,-8.13804801214935480e+01, 6.66173789580718211e-05,-8.13804794427404516e+01
 2.00000000000000011e-01, 6.66137293710085437e-05,-8.13804887696343400e+01, 6.66137293558502724e-05,-8.13804881130532749e+01
 3.00000000000000044e-01, 6.66100785937283145e-05,-8.13804974177751461e+01, 6.66100750597357850e-05,-8.13804967739268079e+01
 4.00000000000000022e-01, 6.66064278550946345e-05,-8.13805060659159523e+01, 6.66064213298917169e-05,-8.13805054300992765e+01
 5.00000000000000000e-01, 6.66027784629938521e-05,-8.13805147007102505e+01, 6.66027681638959332e-05,-8.13805140815719028e+01
 6.00000000000000089e-01, 6.65991308037316738e-05,-8.13805233182147845e+01, 6.65991155592324344e-05,-8.13805227283457810e+01
 7.00000000000000067e-01, 6.65954831829602175e-05,-8.13805319357193184e+01, 6.65954635132864908e-05,-8.13805313704219628e+01
 8.00000000000000044e-01, 6.65918356006788058e-05,-8.13805405532238666e+01, 6.65918120233460791e-05,-8.13805400078014003e+01
 9.00000000000000022e-01, 6.65881880568887667e-05,-8.13805491707284006e+01, 6.65881610865976811e-05,-8.13805486404850171e+01
 1.00000000000000000e+00, 6.65845405515894226e-05,-8.13805577882329345e+01, 6.65845107001303358e-05,-8.13805572684735949e+01
 1.10000000000000009e+00, 6.65808930847801094e-05,-8.13805664057374827e+01, 6.65808608609294328e-05,-8.13805658917678869e+01
 1.20000000000000018e+00, 6.65772483694806994e-05,-8.13805749955485567e+01, 6.65772115658795443e-05,-8.13805745103685325e+01
 1.30000000000000004e+00, 6.65736039717896964e-05,-8.13805835825090043e+01, 6.65735628117601153e-05,-8.13805831242761286e+01
 1.40000000000000013e+00, 6.65699596124341578e-05,-8.13805921694694518e+01, 6.65699145952476325e-05,-8.13805917334911584e+01
 1.50000000000000000e+00, 6.65663152914147205e-05,-8.13806007564298852e+01, 6.65662669129133338e-05,-8.13806003380140197e+01
 1.60000000000000009e+00, 6.65626710087300835e-05,-8.13806093433903328e+01, 6.65626197612200908e-05,-8.13806089378450679e+01
 1.70000000000000018e+00, 6.65590267643809109e-05,-8.13806179303507804e+01, 6.65589731365253773e-05,-8.13806175329845303e+01
 1.80000000000000004e+00, 6.65553836659775033e-05,-8.13806265060165828e+01, 6.65553270350768914e-05,-8.13806261234325774e+01
 1.90000000000000013e+00, 6.65517426401763444e-05,-8.13806350609372089e+01, 6.65516814530127729e-05,-8.13806347091892945e+01
 2.00000000000000000e+00, 6.65481019566021241e-05,-8.13806436127571402e+01, 6.65480363863619280e-05,-8.13806432902546533e+01
 2.10000000000000009e+00, 6.65444616152318573e-05,-8.13806521614763625e+01, 6.65443918310402755e-05,-8.13806518666285683e+01
 2.20000000000000018e+00, 6.65408216160406614e-05,-8.13806607070949042e+01, 6.65407477828517497e-05,-8.13806604383108549e+01
 2.30000000000000027e+00, 6.65371819590062155e-05,-8.13806692496127368e+01, 6.65371042374864437e-05,-8.13806690053012431e+01
 2.40000000000000036e+00, 6.65335426441036101e-05,-8.13806777890298889e+01, 6.65334611905197420e-05,-8.13806775675993777e+01
 2.50000000000000000e+00, 6.65299036713105511e-05,-8.13806863253463320e+01, 6.65298186374124154e-05,-8.13806861252047895e+01
 2.60000000000000009e+00, 6.65262650406027933e-05,-8.13806948585620802e+01, 6.65261765735076257e-05,-8.13806946781169387e+01
 2.70000000000000018e+00, 6.65226267519567144e-05,-8.13807033886771336e+01, 6.65225349940306009e-05,-8.13807032263351999e+01
