"environment.time","0.I_Kr.I_kr","0.membrane_potential.V_m","1.I_Kr.I_kr","1.membrane_potential.V_m"
 0.00000000000000000e+00, 1.76582603485288202e-06,-8.13462624791426094e+01, 1.76582364277954040e-06,-8.13462622619029787e+01
 1.00000000000000006e-01, 1.76580663896708466e-06,-8.13462732240297726e+01, 1.76580423987011176e-06,-8.13462730104891847e+01
 2.00000000000000011e-01, 1.76578726458997482e-06,-8.13462839619947999e+01, 1.76578484551470621e-06,-8.13462837531623677e+01
 3.00000000000000044e-01, 1.76576792068174780e-06,-8.13462946829348255e+01, 1.76576545971061242e-06,-8.13462944899257820e+01
 4.00000000000000022e-01, 1.76574861044249068e-06,-8.13463053850558424e+01, 1.76574608245511903e-06,-8.13463052207826962e+01
 5.00000000000000000e-01, 1.76572930029848835e-06,-8.13463160871768736e+01, 1.76572671374554666e-06,-8.13463159457363645e+01
 6.00000000000000089e-01, 1.76570999024977468e-06,-8.13463267892978905e+01, 1.76570735357923266e-06,-8.13463266647900411e+01
 7.00000000000000067e-01, 1.76569068029633253e-06,-8.13463374914189075e+01, 1.76568800195351354e-06,-8.13463373779469947e+01
 8.00000000000000044e-01, 1.76567137043814452e-06,-8.13463481935399386e+01, 1.76566865886580924e-06,-8.13463480852104368e+01
 9.00000000000000022e-01, 1.76565208180217727e-06,-8.13463588809468376e+01, 1.76564932431347151e-06,-8.13463587865836502e+01
 1.00000000000000000e+00, 1.76563282342612622e-06,-8.13463695473449775e+01, 1.76562999829393595e-06,-8.13463694820698606e+01
 1.10000000000000009e+00, 1.76561356514491660e-06,-8.13463802137431031e+01, 1.76561068080463797e-06,-8.13463801716723083e+01
 1.20000000000000018e+00, 1.76559430695853210e-06,-8.13463908801412288e+01, 1.76559137184302798e-06,-8.13463908553942332e+01
 1.30000000000000004e+00, 1.76557504886697252e-06,-8.13464015465393544e+01, 1.76557207140660726e-06,-8.13464015332388470e+01
 1.40000000000000013e+00, 1.76555579087023764e-06,-8.13464122129374800e+01, 1.76555277949282621e-06,-8.13464122052094183e+01
 1.50000000000000000e+00, 1.76553654880836726e-06,-8.13464228676767789e+01, 1.76553349609923524e-06,-8.13464228713091444e+01
 1.60000000000000009e+00, 1.76551733998783140e-06,-8.13464334980188823e+01, 1.76551422122336756e-06,-8.13464335315412512e+01
 1.70000000000000018e+00, 1.76549813656418672e-06,-8.13464441244581451e+01, 1.76549495486277229e-06,-8.13464441859089646e+01
 1.80000000000000004e+00, 1.76547893853738302e-06,-8.13464547469945529e+01, 1.76547569701501632e-06,-8.13464548344155105e+01
 1.90000000000000013e+00, 1.76545974590735425e-06,-8.13464653656281058e+01, 1.76545644767771504e-06,-8.13464654770640863e+01
 2.00000000000000000e+00, 1.76544055867401696e-06,-8.13464759803588180e+01, 1.76543720684848470e-06,-8.13464761138579036e+01
 2.10000000000000009e+00, 1.76542137683732140e-06,-8.13464865911866752e+01, 1.76541797452494046e-06,-8.13464867448001883e+01
 2.20000000000000018e+00, 1.76540220039718371e-06,-8.13464971981116918e+01, 1.76539875070476401e-06,-8.13464973698941236e+01
 2.30000000000000027e+00, 1.76538302935355497e-06,-8.13465078011338534e+01, 1.76537953538560439e-06,-8.13465079891429355e+01
 2.40000000000000036e+00, 1.76536386370635153e-06,-8.13465184002531743e+01, 1.76536032856519327e-06,-8.13465186025497928e+01
 2.50000000000000000e+00, 1.76534470345552385e-06,-8.13465289954696402e+01, 1.76534113024122987e-06,-8.13465292101179074e+01
 2.60000000000000009e+00, 1.76532554860100544e-06,-8.13465395867832513e+01, 1.76532194041144459e-06,-8.13465398118504766e+01
 2.70000000000000018e+00, 1.76530639914271286e-06,-8.13465501741940216e+01, 1.76530275907360315e-06,-8.13465504077506836e+01
 2.80000000000000027e+00, 1.76528725508058004e-06,-8.13465607577019512e+01, 1.76528358622548740e-06,-8.13465609978217117e+01
