"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-3.47735544957461954e-06,-8.78363821457679563e+01,-3.47737110275406594e-06,-8.78363820888879445e+01
 1.00000000000000006e-01,-3.47493329936231215e-06,-8.78363903246678746e+01,-3.47494432319834920e-06,-8.78363902802750687e+01
 2.00000000000000011e-01,-3.47251075120465325e-06,-8.78363985035677928e+01,-3.47251907168158416e-06,-8.78363984664415653e+01
 3.00000000000000044e-01,-3.47008835090779392e-06,-8.78364066809934911e+01,-3.47009534753354202e-06,-8.78364066473906604e+01
 4.00000000000000022e-01,-3.46767058230298249e-06,-8.78364148448366961e+01,-3.46767315008521667e-06,-8.78364148231256223e+01
 5.00000000000000000e-01,-3.46525241740951519e-06,-8.78364230086799012e+01,-3.46525247866743345e-06,-8.78364229936496912e+01
 6.00000000000000089e-01,-3.46283480094284734e-06,-8.78364311699674687e+01,-3.46283333261130273e-06,-8.78364311589661213e+01
 7.00000000000000067e-01,-3.46042143178054919e-06,-8.78364393186959092e+01,-3.46041571124638946e-06,-8.78364393190781385e+01
 8.00000000000000044e-01,-3.45800894441688634e-06,-8.78364474639724051e+01,-3.45799961390209003e-06,-8.78364474739889829e+01
 9.00000000000000022e-01,-3.45559733941944032e-06,-8.78364556057969565e+01,-3.45558503990856062e-06,-8.78364556237018945e+01
 1.00000000000000000e+00,-3.45318661735322023e-06,-8.78364637441695493e+01,-3.45317198859486982e-06,-8.78364637682200993e+01
 1.10000000000000009e+00,-3.45077677878618708e-06,-8.78364718790901975e+01,-3.45076045929037845e-06,-8.78364719075468514e+01
 1.20000000000000018e+00,-3.44836782428511177e-06,-8.78364800105589012e+01,-3.44835045132382983e-06,-8.78364800416853484e+01
 1.30000000000000004e+00,-3.44595975441557388e-06,-8.78364881385756604e+01,-3.44594196402472583e-06,-8.78364881706388587e+01
 1.40000000000000013e+00,-3.44355399510691296e-06,-8.78364962592440151e+01,-3.44353499672056504e-06,-8.78364962944105656e+01
 1.50000000000000000e+00,-3.44114979694127868e-06,-8.78365043746155862e+01,-3.44112954874007090e-06,-8.78365044130037234e+01
 1.60000000000000009e+00,-3.43874690480231776e-06,-8.78365124853899317e+01,-3.43872561941088094e-06,-8.78365125264215294e+01
 1.70000000000000018e+00,-3.43634531944246566e-06,-8.78365205915670515e+01,-3.43632320806139924e-06,-8.78365206346672238e+01
 1.80000000000000004e+00,-3.43394504161001711e-06,-8.78365286931469598e+01,-3.43392231401849635e-06,-8.78365287377440040e+01
 1.90000000000000013e+00,-3.43154607205599474e-06,-8.78365367901296423e+01,-3.43152293660980217e-06,-8.78365368356550960e+01
 2.00000000000000000e+00,-3.42914841152865431e-06,-8.78365448825150992e+01,-3.42912507516233887e-06,-8.78365449284036970e+01
