"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-4.81897518664796615e-05,-8.78445114621453342e+01,-4.82004324522561874e-05,-8.78445110992307718e+01
 1.00000000000000006e-01,-4.81583158004685819e-05,-8.78445159402411235e+01,-4.81688915568879040e-05,-8.78445155879244481e+01
 2.00000000000000011e-01,-4.81268775701517736e-05,-8.78445204183369128e+01,-4.81373733980271148e-05,-8.78445200741184351e+01
 3.00000000000000044e-01,-4.80954371755185165e-05,-8.78445248964327021e+01,-4.81058779603004427e-05,-8.78445245578140259e+01
 4.00000000000000022e-01,-4.80639946165741774e-05,-8.78445293745284914e+01,-4.80744052283525630e-05,-8.78445290390125280e+01
 5.00000000000000000e-01,-4.80325933233864582e-05,-8.78445338482717233e+01,-4.80429551868194363e-05,-8.78445335177152202e+01
 6.00000000000000089e-01,-4.80012610109881491e-05,-8.78445383148857530e+01,-4.80115278203389206e-05,-8.78445379939233817e+01
 7.00000000000000067e-01,-4.79699265479923705e-05,-8.78445427814997828e+01,-4.79801231135776394e-05,-8.78445424676383197e+01
 8.00000000000000044e-01,-4.79385899343937828e-05,-8.78445472481138125e+01,-4.79487410511988211e-05,-8.78445469388613276e+01
 9.00000000000000022e-01,-4.79072511701977187e-05,-8.78445517147278423e+01,-4.79173816178569799e-05,-8.78445514075936700e+01
 1.00000000000000000e+00,-4.78759808657195976e-05,-8.78445561742445307e+01,-4.78860447982405992e-05,-8.78445558738366543e+01
 1.10000000000000009e+00,-4.78447453967638690e-05,-8.78445606300446400e+01,-4.78547305770293401e-05,-8.78445603375915596e+01
 1.20000000000000018e+00,-4.78135242330787248e-05,-8.78445650841921974e+01,-4.78234389389155687e-05,-8.78445647988596789e+01
 1.30000000000000004e+00,-4.77823173775878990e-05,-8.78445695366871888e+01,-4.77921698685935287e-05,-8.78445692576422914e+01
 1.40000000000000013e+00,-4.77511248332351023e-05,-8.78445739875296141e+01,-4.77609233507700400e-05,-8.78445737139406901e+01
 1.50000000000000000e+00,-4.77199466029467657e-05,-8.78445784367194875e+01,-4.77296993701485753e-05,-8.78445781677561399e+01
 1.60000000000000009e+00,-4.76887826896745551e-05,-8.78445828842567948e+01,-4.76984979114609457e-05,-8.78445826190899481e+01
 1.70000000000000018e+00,-4.76576330963475510e-05,-8.78445873301415503e+01,-4.76673189594144659e-05,-8.78445870679433654e+01
 1.80000000000000004e+00,-4.76264978258882611e-05,-8.78445917743737255e+01,-4.76361624987554143e-05,-8.78445915143177132e+01
 1.90000000000000013e+00,-4.75953768812443262e-05,-8.78445962169533487e+01,-4.76050285142160898e-05,-8.78445959582142422e+01
 2.00000000000000000e+00,-4.75642756588863768e-05,-8.78446006573308438e+01,-4.75739169905360214e-05,-8.78446003996342313e+01
 2.10000000000000009e+00,-4.75332153943734600e-05,-8.78446050933430485e+01,-4.75428279124829548e-05,-8.78446048385789879e+01
 2.20000000000000018e+00,-4.75021748296364384e-05,-8.78446095271564644e+01,-4.75117612648107577e-05,-8.78446092750497627e+01
 2.30000000000000027e+00,-4.74711539685681197e-05,-8.78446139587711201e+01,-4.74807170322698893e-05,-8.78446137090478345e+01
 2.40000000000000036e+00,-4.74401528150220227e-05,-8.78446183881869871e+01,-4.74496951996496031e-05,-8.78446181405744966e+01
 2.50000000000000000e+00,-4.74091713729126390e-05,-8.78446228154040938e+01,-4.74186957517305262e-05,-8.78446225696310279e+01
 2.60000000000000009e+00,-4.73782096460888117e-05,-8.78446272404224260e+01,-4.73877186732897282e-05,-8.78446269962186790e+01
 2.70000000000000018e+00,-4.73472676384339972e-05,-8.78446316632419837e+01,-4.73567639491273589e-05,-8.78446314203387431e+01
 2.80000000000000027e+00,-4.73163453538134779e-05,-8.78446360838627669e+01,-4.73258315640400781e-05,-8.78446358419924849e+01
 2.90000000000000036e+00,-4.72854427960954838e-05,-8.78446405022847756e+01,-4.72949215028421841e-05,-8.78446402611811834e+01
