"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-5.66347466345335372e-05,-8.78483696006827159e+01,-5.66392349518396384e-05,-8.78483694855151356e+01
 1.00000000000000006e-01,-5.65988532017948958e-05,-8.78483739364889260e+01,-5.66032237285557554e-05,-8.78483738306985487e+01
 2.00000000000000011e-01,-5.65629575022849569e-05,-8.78483782722951361e+01,-5.65672387265568695e-05,-8.78483781735077116e+01
 3.00000000000000044e-01,-5.65270595359917196e-05,-8.78483826081013461e+01,-5.65312799279035479e-05,-8.78483825139438892e+01
 4.00000000000000022e-01,-5.64911593029211810e-05,-8.78483869439075420e+01,-5.64953473146177399e-05,-8.78483868520082893e+01
 5.00000000000000000e-01,-5.64552902681541248e-05,-8.78483912769168853e+01,-5.64594408687966724e-05,-8.78483911877021910e+01
 6.00000000000000089e-01,-5.64195199961138591e-05,-8.78483956014833467e+01,-5.64235605725047954e-05,-8.78483955210268022e+01
 7.00000000000000067e-01,-5.63837474719802723e-05,-8.78483999260498081e+01,-5.63877064078100758e-05,-8.78483998519833733e+01
 8.00000000000000044e-01,-5.63479726957414110e-05,-8.78484042506162695e+01,-5.63518783568135894e-05,-8.78484041805731550e+01
 9.00000000000000022e-01,-5.63121956674151984e-05,-8.78484085751827308e+01,-5.63160764016137826e-05,-8.78484085067973695e+01
 1.00000000000000000e+00,-5.62764737176376007e-05,-8.78484128949467475e+01,-5.62803005243184059e-05,-8.78484128306572529e+01
 1.10000000000000009e+00,-5.62408214395565225e-05,-8.78484172086867687e+01,-5.62445507070443237e-05,-8.78484171521540560e+01
 1.20000000000000018e+00,-5.62051856845460012e-05,-8.78484215208553962e+01,-5.62088269319178330e-05,-8.78484214712890150e+01
 1.30000000000000004e+00,-5.61695664556403459e-05,-8.78484258314526301e+01,-5.61731291810803080e-05,-8.78484257880633521e+01
 1.40000000000000013e+00,-5.61339637559201207e-05,-8.78484301404784560e+01,-5.61374574366586148e-05,-8.78484301024783036e+01
 1.50000000000000000e+00,-5.60983775884287962e-05,-8.78484344479329025e+01,-5.61018116808305163e-05,-8.78484344145351201e+01
 1.60000000000000009e+00,-5.60628079562263502e-05,-8.78484387538159552e+01,-5.60661918957530735e-05,-8.78484387242350238e+01
 1.70000000000000018e+00,-5.60272548623535495e-05,-8.78484430581276001e+01,-5.60305980635867766e-05,-8.78484430315792508e+01
 1.80000000000000004e+00,-5.59917183098735432e-05,-8.78484473608678655e+01,-5.59950301665131559e-05,-8.78484473365690377e+01
 1.90000000000000013e+00,-5.59561983018362733e-05,-8.78484516620367231e+01,-5.59594881867406908e-05,-8.78484516392056065e+01
 2.00000000000000000e+00,-5.59206948412902723e-05,-8.78484559616342011e+01,-5.59239721064455517e-05,-8.78484559394902078e+01
 2.10000000000000009e+00,-5.58852079312649569e-05,-8.78484602596602713e+01,-5.58884819078367059e-05,-8.78484602374240495e+01
 2.20000000000000018e+00,-5.58497647838776117e-05,-8.78484645538056697e+01,-5.58530175731441816e-05,-8.78484645330083822e+01
 2.30000000000000027e+00,-5.58143543441811041e-05,-8.78484688450092222e+01,-5.58175790845834649e-05,-8.78484688262444280e+01
 2.40000000000000036e+00,-5.57789665711881869e-05,-8.78484731341235232e+01,-5.57821664243968759e-05,-8.78484731171334232e+01
 2.50000000000000000e+00,-5.57436014689424529e-05,-8.78484774211485728e+01,-5.57467795748181901e-05,-8.78484774056765900e+01
 2.60000000000000009e+00,-5.57082590414555452e-05,-8.78484817060843568e+01,-5.57114185181019789e-05,-8.78484816918751505e+01
 2.70000000000000018e+00,-5.56729392927662184e-05,-8.78484859889309035e+01,-5.56760832365120096e-05,-8.78484859757303553e+01
 2.80000000000000027e+00,-5.56376422268990039e-05,-8.78484902696881846e+01,-5.56407737123211225e-05,-8.78484902572434123e+01
 2.90000000000000036e+00,-5.56023678478701524e-05,-8.78484945483562143e+01,-5.56054899277935185e-05,-8.78484945364155436e+01
 3.00000000000000000e+00,-5.55671161596993910e-05,-8.78484988249349925e+01,-5.55702318652261207e-05,-8.78484988132479998e+01
 3.10000000000000009e+00,-5.55318871664099297e-05,-8.78485030994245193e+01,-5.55349995069188342e-05,-8.78485030877419888e+01
 3.20000000000000018e+00,-5.54966808720108092e-05,-8.78485073718247804e+01,-5.54997928351690022e-05,-8.78485073598987327e+01
 3.30000000000000027e+00,-5.54614972805204012e-05,-8.78485116421357901e+01,-5.54646118322888151e-05,-8.78485116297194679e+01
 3.40000000000000036e+00,-5.54263474420349213e-05,-8.78485159093949477e+01,-5.54294564806112933e-05,-8.78485158972054165e+01
 3.50000000000000000e+00,-5.53912229564039143e-05,-8.78485201743347375e+01,-5.53943267624608108e-05,-8.78485201623578007e+01
 3.60000000000000009e+00,-5.53561230567471008e-05,-8.78485244370223768e+01,-5.53592226601765341e-05,-8.78485244251778568e+01
 3.70000000000000018e+00,-5.53210477473890853e-05,-8.78485286974578514e+01,-5.53241441561126121e-05,-8.78485286856667784e+01
 3.80000000000000027e+00,-5.52859970326164917e-05,-8.78485329556411756e+01,-5.52890912326145403e-05,-8.78485329438258020e+01
 3.90000000000000036e+00,-5.52509709167424998e-05,-8.78485372115723351e+01,-5.52540638720719210e-05,-8.78485371996561639e+01
 4.00000000000000000e+00,-5.52159694040540246e-05,-8.78485414652513299e+01,-5.52190620568365314e-05,-8.78485414531590578e+01
 4.10000000000000053e+00,-5.51809924988586284e-05,-8.78485457166781742e+01,-5.51840857692982177e-05,-8.78485457043357343e+01
 4.20000000000000018e+00,-5.51460402054552000e-05,-8.78485499658528681e+01,-5.51491349918559198e-05,-8.78485499531873870e+01
 4.29999999999999982e+00,-5.51111125281164717e-05,-8.78485542127753973e+01,-5.51142097068999109e-05,-8.78485541997152382e+01
 4.40000000000000036e+00,-5.50762094711416305e-05,-8.78485584574457761e+01,-5.50793098968585399e-05,-8.78485584439205240e+01
 4.50000000000000000e+00,-5.50413315792513236e-05,-8.78485626998095199e+01,-5.50444355441283276e-05,-8.78485626858044526e+01
 4.60000000000000053e+00,-5.50064817254896729e-05,-8.78485669395776512e+01,-5.50095866311553294e-05,-8.78485669253682460e+01
 4.70000000000000018e+00,-5.49716569156838636e-05,-8.78485711770522926e+01,-5.49747631403654818e-05,-8.78485711626131121e+01
 4.80000000000000071e+00,-5.49368571541868590e-05,-8.78485754122334441e+01,-5.49399650541994056e-05,-8.78485753975402730e+01
 4.90000000000000036e+00,-5.49020824453312802e-05,-8.78485796451210916e+01,-5.49051923551123719e-05,-8.78485796301509367e+01
 5.00000000000000000e+00,-5.48673327934585164e-05,-8.78485838757152493e+01,-5.48704450255801905e-05,-8.78485838604463396e+01
 5.10000000000000053e+00,-5.48326082029186782e-05,-8.78485881040159171e+01,-5.48357230480583290e-05,-8.78485880884276753e+01
 5.20000000000000018e+00,-5.47979086780473479e-05,-8.78485923300230951e+01,-5.48010264050344083e-05,-8.78485923140961802e+01
 5.30000000000000071e+00,-5.47632342231656538e-05,-8.78485965537367832e+01,-5.47663550789874502e-05,-8.78485965374530480e+01
 5.40000000000000036e+00,-5.47285848426092120e-05,-8.78486007751569673e+01,-5.47317090524169003e-05,-8.78486007584994866e+01
 5.50000000000000000e+00,-5.46939605406991848e-05,-8.78486049942836615e+01,-5.46970883078368137e-05,-8.78486049772367465e+01
 5.60000000000000053e+00,-5.46593613217770158e-05,-8.78486092111168659e+01,-5.46624928277466968e-05,-8.78486091936659932e+01
 5.70000000000000018e+00,-5.46247871901465066e-05,-8.78486134256565805e+01,-5.46279225946781960e-05,-8.78486134077884770e+01
 5.80000000000000071e+00,-5.45902381501374930e-05,-8.78486176379028052e+01,-5.45933775911600371e-05,-8.78486176196053918e+01
 5.90000000000000036e+00,-5.45557142060538647e-05,-8.78486218478555259e+01,-5.45588577997239610e-05,-8.78486218291179455e+01
 6.00000000000000000e+00,-5.45212153622081239e-05,-8.78486260555147567e+01,-5.45243632029220447e-05,-8.78486260363273459e+01
 6.10000000000000053e+00,-5.44867416229272199e-05,-8.78486302608804976e+01,-5.44898937833264972e-05,-8.78486302412348294e+01
 6.20000000000000018e+00,-5.44522929925063686e-05,-8.78486344639527488e+01,-5.44554495234722105e-05,-8.78486344438415756e+01
 6.30000000000000071e+00,-5.44178688461269391e-05,-8.78486386647514905e+01,-5.44210304059489238e-05,-8.78486386441487923e+01
 6.40000000000000036e+00,-5.43834668756391733e-05,-8.78486428633502499e+01,-5.43866364133434966e-05,-8.78486428421577159e+01
 6.50000000000000000e+00,-5.43490898110095789e-05,-8.78486470596623548e+01,-5.43522675282342500e-05,-8.78486470378695259e+01
 6.60000000000000053e+00,-5.43147376565206326e-05,-8.78486512536878195e+01,-5.43179237332253498e-05,-8.78486512312854444e+01
 6.70000000000000018e+00,-5.42804104164461374e-05,-8.78486554454266440e+01,-5.42836050109182176e-05,-8.78486554224066793e+01
 6.80000000000000071e+00,-5.42461080950455915e-05,-8.78486596348788424e+01,-5.42493113439401737e-05,-8.78486596112344245e+01
 6.90000000000000036e+00,-5.42118306965698942e-05,-8.78486638220443865e+01,-5.42150427149098784e-05,-8.78486637977699019e+01
 7.00000000000000000e+00,-5.41775782252957826e-05,-8.78486680069232904e+01,-5.41807991064547335e-05,-8.78486679820143053e+01
 7.10000000000000053e+00,-5.41433506854741830e-05,-8.78486721895155682e+01,-5.41465805012163301e-05,-8.78486721639688426e+01
 7.20000000000000018e+00,-5.41091480813531825e-05,-8.78486763698211917e+01,-5.41123868818450414e-05,-8.78486763436347076e+01
 7.30000000000000071e+00,-5.40749704171894673e-05,-8.78486805478401891e+01,-5.40782182310054776e-05,-8.78486805210131223e+01
 7.40000000000000036e+00,-5.40408176972254390e-05,-8.78486847235725321e+01,-5.40440745313479644e-05,-8.78486846961052805e+01
 7.50000000000000000e+00,-5.40066899257120444e-05,-8.78486888970182349e+01,-5.40099557655600497e-05,-8.78486888689123759e+01
