"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-9.07810466484689659e-05,-8.78636282302728802e+01,-9.07823613085276921e-05,-8.78636279861527214e+01
 1.00000000000000006e-01,-9.07310167300582119e-05,-8.78636319725459884e+01,-9.07321417807606596e-05,-8.78636317413458698e+01
 2.00000000000000011e-01,-9.06809843874182105e-05,-8.78636357148190825e+01,-9.06819595867355328e-05,-8.78636354946154512e+01
 3.00000000000000044e-01,-9.06309496205577169e-05,-8.78636394570921908e+01,-9.06318146998179503e-05,-8.78636392459624176e+01
 4.00000000000000022e-01,-9.05809124294941188e-05,-8.78636431993652991e+01,-9.05817070933897866e-05,-8.78636429953876927e+01
 5.00000000000000000e-01,-9.05308728142013142e-05,-8.78636469416384074e+01,-9.05316367408406139e-05,-8.78636467428922003e+01
 6.00000000000000089e-01,-9.04809703753189719e-05,-8.78636506774648325e+01,-9.04816036155761997e-05,-8.78636504884768783e+01
 7.00000000000000067e-01,-9.04311367052331138e-05,-8.78636544100042585e+01,-9.04316076910187644e-05,-8.78636542321426361e+01
 8.00000000000000044e-01,-9.03813006278415099e-05,-8.78636581425436844e+01,-9.03816489406241113e-05,-8.78636579738904260e+01
 9.00000000000000022e-01,-9.03314621431528745e-05,-8.78636618750831104e+01,-9.03317273378469328e-05,-8.78636617137211715e+01
 1.00000000000000000e+00,-9.02816212511497925e-05,-8.78636656076225364e+01,-9.02818428561495511e-05,-8.78636654516357822e+01
 1.10000000000000009e+00,-9.02318263732624867e-05,-8.78636693378940521e+01,-9.02319954690190894e-05,-8.78636691876351819e+01
 1.20000000000000018e+00,-9.01821471799788823e-05,-8.78636730626349305e+01,-9.01821851499676349e-05,-8.78636729217203083e+01
 1.30000000000000004e+00,-9.01324917728234557e-05,-8.78636767861497248e+01,-9.01324118725148370e-05,-8.78636766538920853e+01
 1.40000000000000013e+00,-9.00828601549419382e-05,-8.78636805084384349e+01,-9.00826756101791255e-05,-8.78636803841514080e+01
 1.50000000000000000e+00,-9.00332523294787872e-05,-8.78636842295010467e+01,-9.00329763365299011e-05,-8.78636841124992287e+01
 1.60000000000000009e+00,-8.99836682996117178e-05,-8.78636879493375744e+01,-8.99833140251264679e-05,-8.78636878389364426e+01
 1.70000000000000018e+00,-8.99341080684651567e-05,-8.78636916679480038e+01,-8.99336886495445150e-05,-8.78636915634639735e+01
 1.80000000000000004e+00,-8.98845716392140818e-05,-8.78636953853323632e+01,-8.98841001833844514e-05,-8.78636952860827449e+01
 1.90000000000000013e+00,-8.98350590149803310e-05,-8.78636991014906101e+01,-8.98345486002627457e-05,-8.78636990067936665e+01
 2.00000000000000000e+00,-8.97855701989275521e-05,-8.78637028164227871e+01,-8.97850338737947283e-05,-8.78637027255976619e+01
 2.10000000000000009e+00,-8.97361051942007854e-05,-8.78637065301288658e+01,-8.97355559776376202e-05,-8.78637064424956264e+01
 2.20000000000000018e+00,-8.96866762100607869e-05,-8.78637102420095033e+01,-8.96861148854475313e-05,-8.78637101574884980e+01
 2.30000000000000027e+00,-8.96373124574720282e-05,-8.78637139506306823e+01,-8.96367105708879575e-05,-8.78637138705771576e+01
 2.40000000000000036e+00,-8.95879810566414098e-05,-8.78637176576071255e+01,-8.95873430076642857e-05,-8.78637175817625575e+01
 2.50000000000000000e+00,-8.95386820117561206e-05,-8.78637213629388327e+01,-8.95380121694635118e-05,-8.78637212910455645e+01
 2.60000000000000009e+00,-8.94894153270009912e-05,-8.78637250666258183e+01,-8.94887180300228983e-05,-8.78637249984271165e+01
 2.70000000000000018e+00,-8.94401810065241113e-05,-8.78637287686680537e+01,-8.94394605630614251e-05,-8.78637287039081087e+01
 2.80000000000000027e+00,-8.93909790545398562e-05,-8.78637324690655817e+01,-8.93902397423483792e-05,-8.78637324074894508e+01
 2.90000000000000036e+00,-8.93418094751829528e-05,-8.78637361678183595e+01,-8.93410555416260645e-05,-8.78637361091720379e+01
 3.00000000000000000e+00,-8.92926722726287313e-05,-8.78637398649264156e+01,-8.92919079347042222e-05,-8.78637398089567938e+01
 3.10000000000000009e+00,-8.92435674510414634e-05,-8.78637435603897359e+01,-8.92427968953569099e-05,-8.78637435068446138e+01
 3.20000000000000018e+00,-8.91944950145830758e-05,-8.78637472542083202e+01,-8.91937223973999268e-05,-8.78637472028363931e+01
 3.30000000000000027e+00,-8.91454576416581587e-05,-8.78637509462358963e+01,-8.91446844146735344e-05,-8.78637508969330412e+01
 3.40000000000000036e+00,-8.90964663085845891e-05,-8.78637546358723540e+01,-8.90956829210081145e-05,-8.78637545891354534e+01
 3.50000000000000000e+00,-8.90475099997721937e-05,-8.78637583237204893e+01,-8.90467178902585384e-05,-8.78637582794445393e+01
 3.60000000000000009e+00,-8.89985887197235285e-05,-8.78637620097803165e+01,-8.89977892963124200e-05,-8.78637619678611799e+01
 3.70000000000000018e+00,-8.89497024728956131e-05,-8.78637656940518070e+01,-8.89488971130477377e-05,-8.78637656543862988e+01
 3.80000000000000027e+00,-8.89008512637769226e-05,-8.78637693765349894e+01,-8.89000413143667287e-05,-8.78637693390207630e+01
 3.90000000000000036e+00,-8.88520350968615563e-05,-8.78637730572298494e+01,-8.88512218741874596e-05,-8.78637730217654820e+01
 4.00000000000000000e+00,-8.88032539766067913e-05,-8.78637767361364013e+01,-8.88024387664523238e-05,-8.78637767026213510e+01
