"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-3.67748800817910848e-05,-8.78321488163570336e+01,-3.67740379850101947e-05,-8.78321487948477397e+01
 1.00000000000000006e-01,-3.67642436722097113e-05,-8.78321536598649573e+01,-3.67633650652730487e-05,-8.78321536484932892e+01
 2.00000000000000011e-01,-3.67536062093964071e-05,-8.78321585033728809e+01,-3.67527006473411671e-05,-8.78321584992432207e+01
 3.00000000000000044e-01,-3.67429676933363864e-05,-8.78321633468808045e+01,-3.67420447250224949e-05,-8.78321633470990832e+01
 4.00000000000000022e-01,-3.67323281240394952e-05,-8.78321681903887281e+01,-3.67313972920906692e-05,-8.78321681920624115e+01
 5.00000000000000000e-01,-3.67217146612184583e-05,-8.78321730255803033e+01,-3.67207583423539131e-05,-8.78321730341347262e+01
 6.00000000000000089e-01,-3.67111141748864588e-05,-8.78321778564777134e+01,-3.67101278696254504e-05,-8.78321778733176046e+01
 7.00000000000000067e-01,-3.67005126421293668e-05,-8.78321826873751235e+01,-3.66995058677137821e-05,-8.78321827096125531e+01
 8.00000000000000044e-01,-3.66899100629570078e-05,-8.78321875182725336e+01,-3.66888923304177120e-05,-8.78321875430211207e+01
 9.00000000000000022e-01,-3.66793174214647831e-05,-8.78321923458025395e+01,-3.66782872515755297e-05,-8.78321923735448280e+01
 1.00000000000000000e+00,-3.66687513384083611e-05,-8.78321971648709336e+01,-3.66676906250011162e-05,-8.78321972011852239e+01
 1.10000000000000009e+00,-3.66581905043931108e-05,-8.78322019820115827e+01,-3.66571024445232606e-05,-8.78322020259438432e+01
 1.20000000000000018e+00,-3.66476349209741100e-05,-8.78322067972245009e+01,-3.66465227039758544e-05,-8.78322068478222064e+01
 1.30000000000000004e+00,-3.66370845897105431e-05,-8.78322116105096740e+01,-3.66359513972028180e-05,-8.78322116668218627e+01
 1.40000000000000013e+00,-3.66265395121461514e-05,-8.78322164218671162e+01,-3.66253885180384088e-05,-8.78322164829443182e+01
 1.50000000000000000e+00,-3.66159996898435209e-05,-8.78322212312968276e+01,-3.66148340603318802e-05,-8.78322212961911077e+01
 1.60000000000000009e+00,-3.66054651243497608e-05,-8.78322260387987939e+01,-3.66042880179473187e-05,-8.78322261065637804e+01
 1.70000000000000018e+00,-3.65949358172112550e-05,-8.78322308443730151e+01,-3.65937503847197068e-05,-8.78322309140638282e+01
 1.80000000000000004e+00,-3.65844117699931848e-05,-8.78322356480195197e+01,-3.65832211545332226e-05,-8.78322357186928144e+01
 1.90000000000000013e+00,-3.65738929842257120e-05,-8.78322404497382649e+01,-3.65727003212380073e-05,-8.78322405204522312e+01
 2.00000000000000000e+00,-3.65633873815357461e-05,-8.78322452470788875e+01,-3.65621878787187200e-05,-8.78322453193436274e+01
 2.10000000000000009e+00,-3.65528924191740797e-05,-8.78322500408291091e+01,-3.65516838208455798e-05,-8.78322501153685096e+01
 2.20000000000000018e+00,-3.65424047701497811e-05,-8.78322548320189895e+01,-3.65411881414939830e-05,-8.78322549085283981e+01
 2.30000000000000027e+00,-3.65319244365169325e-05,-8.78322596206485002e+01,-3.65307008345542808e-05,-8.78322596988248279e+01
 2.40000000000000036e+00,-3.65214514203282537e-05,-8.78322644067176697e+01,-3.65202218939219745e-05,-8.78322644862593194e+01
 2.50000000000000000e+00,-3.65109857236302509e-05,-8.78322691902264978e+01,-3.65097513134928704e-05,-8.78322692708333790e+01
 2.60000000000000009e+00,-3.65005273484485661e-05,-8.78322739711749563e+01,-3.64992890871581533e-05,-8.78322740525485273e+01
 2.70000000000000018e+00,-3.64900762968563497e-05,-8.78322787495630735e+01,-3.64888352088337550e-05,-8.78322788314062848e+01
 2.80000000000000027e+00,-3.64796325708814393e-05,-8.78322835253908494e+01,-3.64783896724164169e-05,-8.78322836074081579e+01
 2.90000000000000036e+00,-3.64691961725552570e-05,-8.78322882986582556e+01,-3.64679524718373240e-05,-8.78322883805556813e+01
 3.00000000000000000e+00,-3.64587672706535764e-05,-8.78322930693126267e+01,-3.64575236009987539e-05,-8.78322931508503473e+01
 3.10000000000000009e+00,-3.64483492049484396e-05,-8.78322978362989062e+01,-3.64471030538423001e-05,-8.78322979182936763e+01
 3.20000000000000018e+00,-3.64379390993896184e-05,-8.78323026005270293e+01,-3.64366908242855410e-05,-8.78323026828871889e+01
 3.30000000000000027e+00,-3.64275369561670252e-05,-8.78323073619970387e+01,-3.64262869062707747e-05,-8.78323074446323915e+01
 3.40000000000000036e+00,-3.64171427774690541e-05,-8.78323121207088917e+01,-3.64158912937358068e-05,-8.78323122035307762e+01
 3.50000000000000000e+00,-3.64067565654825547e-05,-8.78323168766626168e+01,-3.64055039806187951e-05,-8.78323169595838777e+01
 3.60000000000000009e+00,-3.63963783223976829e-05,-8.78323216298582139e+01,-3.63951249608728596e-05,-8.78323217127931883e+01
 3.70000000000000018e+00,-3.63860080503884404e-05,-8.78323263802956546e+01,-3.63847542284564056e-05,-8.78323264631602285e+01
 3.80000000000000027e+00,-3.63756457516516376e-05,-8.78323311279749817e+01,-3.63743917773233459e-05,-8.78323312106864904e+01
 3.90000000000000036e+00,-3.63652914283484622e-05,-8.78323358728961523e+01,-3.63640376014377303e-05,-8.78323359553734804e+01
 4.00000000000000000e+00,-3.63549450826726277e-05,-8.78323406150591950e+01,-3.63536916947591638e-05,-8.78323406972226906e+01
 4.10000000000000053e+00,-3.63446071882640874e-05,-8.78323453542916752e+01,-3.63433540512865126e-05,-8.78323454362356557e+01
 4.20000000000000018e+00,-3.63342780355113094e-05,-8.78323500904882621e+01,-3.63330246649753701e-05,-8.78323501724138538e+01
 4.29999999999999982e+00,-3.63239570026444527e-05,-8.78323548238771679e+01,-3.63227035298157528e-05,-8.78323549057587911e+01
 4.40000000000000036e+00,-3.63136440918525148e-05,-8.78323595544583924e+01,-3.63123906397981179e-05,-8.78323596362719599e+01
 4.50000000000000000e+00,-3.63033393053569108e-05,-8.78323642822319357e+01,-3.63020859889182418e-05,-8.78323643639548663e+01
 4.60000000000000053e+00,-3.62930426453483322e-05,-8.78323690071977836e+01,-3.62917895711722873e-05,-8.78323690888090169e+01
 4.70000000000000018e+00,-3.62827541140401234e-05,-8.78323737293559503e+01,-3.62815013805569523e-05,-8.78323738108358896e+01
 4.80000000000000071e+00,-3.62724737136343331e-05,-8.78323784487064358e+01,-3.62712214110887690e-05,-8.78323785300369906e+01
 4.90000000000000036e+00,-3.62622014463265585e-05,-8.78323831652492402e+01,-3.62609496567799192e-05,-8.78323832464138121e+01
 5.00000000000000000e+00,-3.62519373143253536e-05,-8.78323878789843633e+01,-3.62506861116527492e-05,-8.78323879599678605e+01
 5.10000000000000053e+00,-3.62416813198231105e-05,-8.78323925899118052e+01,-3.62404307697203689e-05,-8.78323926707005995e+01
 5.20000000000000018e+00,-3.62314334650058045e-05,-8.78323972980315517e+01,-3.62301836250158380e-05,-8.78323973786135497e+01
 5.30000000000000071e+00,-3.62211937520820165e-05,-8.78324020033436312e+01,-3.62199446715726699e-05,-8.78324020837081747e+01
 5.40000000000000036e+00,-3.62109621832296916e-05,-8.78324067058480153e+01,-3.62097139034345898e-05,-8.78324067859859952e+01
 5.50000000000000000e+00,-3.62007387606541920e-05,-8.78324114055447183e+01,-3.61994913146313437e-05,-8.78324114854484606e+01
 5.60000000000000053e+00,-3.61905234865351233e-05,-8.78324161024337400e+01,-3.61892768992318645e-05,-8.78324161820971057e+01
 5.70000000000000018e+00,-3.61803162803394523e-05,-8.78324207965243460e+01,-3.61790706512621373e-05,-8.78324208759333658e+01
 5.80000000000000071e+00,-3.61701161500725796e-05,-8.78324254879280488e+01,-3.61688725648115459e-05,-8.78324255669587757e+01
 5.90000000000000036e+00,-3.61599240976433339e-05,-8.78324301765327107e+01,-3.61586826339168157e-05,-8.78324302551747849e+01
 6.00000000000000000e+00,-3.61497401252122184e-05,-8.78324348623383315e+01,-3.61485008526587855e-05,-8.78324349405828855e+01
 6.10000000000000053e+00,-3.61395642349526927e-05,-8.78324395453448972e+01,-3.61383272151188025e-05,-8.78324396231845697e+01
 6.20000000000000018e+00,-3.61293964290414416e-05,-8.78324442255524360e+01,-3.61281617153594843e-05,-8.78324443029813011e+01
 6.30000000000000071e+00,-3.61192367096294274e-05,-8.78324489029609339e+01,-3.61180043474778513e-05,-8.78324489799745862e+01
 6.40000000000000036e+00,-3.61090850788853390e-05,-8.78324535775703765e+01,-3.61078551055473565e-05,-8.78324536541658745e+01
 6.50000000000000000e+00,-3.60989415389714754e-05,-8.78324582493807782e+01,-3.60977139836806736e-05,-8.78324583255566722e+01
 6.60000000000000053e+00,-3.60888060920581721e-05,-8.78324629183921530e+01,-3.60875809759621041e-05,-8.78324629941484289e+01
 6.70000000000000018e+00,-3.60786787402900963e-05,-8.78324675846044727e+01,-3.60774560765006965e-05,-8.78324676599426368e+01
 6.80000000000000071e+00,-3.60685594858296078e-05,-8.78324722480177513e+01,-3.60673392794061228e-05,-8.78324723229407738e+01
 6.90000000000000036e+00,-3.60584483308375080e-05,-8.78324769086319890e+01,-3.60572305787983005e-05,-8.78324769831443177e+01
 7.00000000000000000e+00,-3.60483452774633362e-05,-8.78324815664471856e+01,-3.60471299687833440e-05,-8.78324816405547182e+01
 7.10000000000000053e+00,-3.60382503278647157e-05,-8.78324862214633413e+01,-3.60370374434968918e-05,-8.78324862951734815e+01
 7.20000000000000018e+00,-3.60281634841784395e-05,-8.78324908736804417e+01,-3.60269525446796522e-05,-8.78324909470371438e+01
 7.30000000000000071e+00,-3.60180847485685752e-05,-8.78324955230985154e+01,-3.60168754720005606e-05,-8.78324955961312241e+01
 7.40000000000000036e+00,-3.60080141231880095e-05,-8.78325001697175480e+01,-3.60068064477402051e-05,-8.78325002424395080e+01
 7.50000000000000000e+00,-3.59979516101639537e-05,-8.78325048135375255e+01,-3.59967454658692901e-05,-8.78325048859634734e+01
 7.60000000000000053e+00,-3.59878972116605637e-05,-8.78325094545584619e+01,-3.59866925203930314e-05,-8.78325095267045981e+01
 7.70000000000000018e+00,-3.59778509298115356e-05,-8.78325140927803716e+01,-3.59766476053031398e-05,-8.78325141646643601e+01
 7.80000000000000071e+00,-3.59678127667586024e-05,-8.78325187282032260e+01,-3.59666107146018086e-05,-8.78325187998442516e+01
 7.90000000000000036e+00,-3.59577827246419183e-05,-8.78325233608270395e+01,-3.59565818422969373e-05,-8.78325234322457220e+01
 8.00000000000000000e+00,-3.59477608056048696e-05,-8.78325279906518119e+01,-3.59465609824021441e-05,-8.78325280618702635e+01
 8.09999999999999964e+00,-3.59377470117748507e-05,-8.78325326176775434e+01,-3.59365481289463076e-05,-8.78325326887193540e+01
 8.20000000000000107e+00,-3.59277413452968608e-05,-8.78325372419042338e+01,-3.59265432759304829e-05,-8.78325373127944573e+01
 8.30000000000000071e+00,-3.59177438082951568e-05,-8.78325418633318691e+01,-3.59165464173950342e-05,-8.78325419340970370e+01
 8.40000000000000036e+00,-3.59077544029163642e-05,-8.78325464819604775e+01,-3.59065575473860315e-05,-8.78325465526285853e+01
 8.50000000000000000e+00,-3.58977731312815754e-05,-8.78325510977900450e+01,-3.58965766599265326e-05,-8.78325511683905660e+01
 8.59999999999999964e+00,-3.58877986323583896e-05,-8.78325557110674993e+01,-3.58866037490644774e-05,-8.78325557813844284e+01
 8.70000000000000107e+00,-3.58778222666988444e-05,-8.78325603233581376e+01,-3.58766388088631747e-05,-8.78325603916116648e+01
 8.80000000000000071e+00,-3.58678537426250919e-05,-8.78325649329035372e+01,-3.58666818333629211e-05,-8.78325649990737389e+01
 8.90000000000000036e+00,-3.58578930622167674e-05,-8.78325695397037123e+01,-3.58567328166337404e-05,-8.78325696037721002e+01
 9.00000000000000000e+00,-3.58479402275424202e-05,-8.78325741437586487e+01,-3.58467917527418418e-05,-8.78325742057082266e+01
 9.09999999999999964e+00,-3.58379952406738794e-05,-8.78325787450683748e+01,-3.58368586357543894e-05,-8.78325788048835818e+01
 9.20000000000000107e+00,-3.58280581036671310e-05,-8.78325833436328622e+01,-3.58269334597634845e-05,-8.78325834012996296e+01
 9.30000000000000071e+00,-3.58181288185862115e-05,-8.78325879394521110e+01,-3.58170162188383378e-05,-8.78325879949578336e+01
 9.40000000000000036e+00,-3.58082073875032344e-05,-8.78325925325261494e+01,-3.58071069070730290e-05,-8.78325925858596435e+01
 9.50000000000000000e+00,-3.57982938124744638e-05,-8.78325971228549633e+01,-3.57972055185579245e-05,-8.78325971740065228e+01
