"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-3.21891275306736770e-05,-8.78346989542733212e+01,-3.21891576514926020e-05,-8.78346989735902923e+01
 1.00000000000000006e-01,-3.21913547525576966e-05,-8.78347069158330385e+01,-3.21913888769387519e-05,-8.78347069487003154e+01
 2.00000000000000011e-01,-3.21935819682747133e-05,-8.78347148773927699e+01,-3.21936186003175240e-05,-8.78347149187474372e+01
 3.00000000000000044e-01,-3.21958091778247203e-05,-8.78347228389525014e+01,-3.21958468225416538e-05,-8.78347228837347700e+01
 4.00000000000000022e-01,-3.21980326273214776e-05,-8.78347307878070467e+01,-3.21980735445658424e-05,-8.78347308436654686e+01
 5.00000000000000000e-01,-3.22002550480942877e-05,-8.78347387332006662e+01,-3.22002987672944500e-05,-8.78347387985426167e+01
 6.00000000000000089e-01,-3.22024774627090532e-05,-8.78347466785942856e+01,-3.22025224916737545e-05,-8.78347467483693833e+01
 7.00000000000000067e-01,-3.22046973950236053e-05,-8.78347546156072383e+01,-3.22047447186248943e-05,-8.78347546931488523e+01
 8.00000000000000044e-01,-3.22069146902095031e-05,-8.78347625437154846e+01,-3.22069654490689667e-05,-8.78347626328841500e+01
 9.00000000000000022e-01,-3.22091309907468845e-05,-8.78347704684780552e+01,-3.22091846839480690e-05,-8.78347705675784027e+01
 1.00000000000000000e+00,-3.22113462966356546e-05,-8.78347783898949359e+01,-3.22114024241749029e-05,-8.78347784972347085e+01
 1.10000000000000009e+00,-3.22135606078756916e-05,-8.78347863079661124e+01,-3.22136186706873574e-05,-8.78347864218561938e+01
 1.20000000000000018e+00,-3.22157739244752827e-05,-8.78347942226915990e+01,-3.22158334243981343e-05,-8.78347943414459564e+01
 1.30000000000000004e+00,-3.22179862464385208e-05,-8.78348021340714098e+01,-3.22180466862366998e-05,-8.78348022560071087e+01
 1.40000000000000013e+00,-3.22201975737652839e-05,-8.78348100421055165e+01,-3.22202584571283391e-05,-8.78348101655427485e+01
 1.50000000000000000e+00,-3.22224073691051278e-05,-8.78348179449751854e+01,-3.22224687379941293e-05,-8.78348180700559737e+01
 1.60000000000000009e+00,-3.22246150760638407e-05,-8.78348258407972082e+01,-3.22246775297551342e-05,-8.78348259695499110e+01
 1.70000000000000018e+00,-3.22268214606894821e-05,-8.78348337321643413e+01,-3.22268848333366186e-05,-8.78348338640276296e+01
 1.80000000000000004e+00,-3.22290265229749099e-05,-8.78348416190765704e+01,-3.22290906496554516e-05,-8.78348417534922419e+01
 1.90000000000000013e+00,-3.22312302629423569e-05,-8.78348495015339097e+01,-3.22312949796368779e-05,-8.78348496379468315e+01
 2.00000000000000000e+00,-3.22334326805972577e-05,-8.78348573795363734e+01,-3.22334978242019474e-05,-8.78348575173945108e+01
 2.10000000000000009e+00,-3.22356337759324634e-05,-8.78348652530839331e+01,-3.22356991842591065e-05,-8.78348653918383349e+01
 2.20000000000000018e+00,-3.22378335489618110e-05,-8.78348731221766030e+01,-3.22378990607420090e-05,-8.78348732612814302e+01
 2.30000000000000027e+00,-3.22400319146090540e-05,-8.78348809865264144e+01,-3.22400974545548728e-05,-8.78348811257268522e+01
 2.40000000000000036e+00,-3.22422285402830327e-05,-8.78348888450076259e+01,-3.22422943666229425e-05,-8.78348889851776988e+01
 2.50000000000000000e+00,-3.22444237386724039e-05,-8.78348966986785626e+01,-3.22444897978588452e-05,-8.78348968396370537e+01
 2.60000000000000009e+00,-3.22466175097662646e-05,-8.78349045475391819e+01,-3.22466837491793958e-05,-8.78349046891079865e+01
 2.70000000000000018e+00,-3.22488098535788720e-05,-8.78349123915895120e+01,-3.22488762215098119e-05,-8.78349125335935810e+01
 2.80000000000000027e+00,-3.22510007701244970e-05,-8.78349202308295531e+01,-3.22510672157501167e-05,-8.78349203730969066e+01
 2.90000000000000036e+00,-3.22531902593880420e-05,-8.78349280652592910e+01,-3.22532567328255143e-05,-8.78349282076210471e+01
 3.00000000000000000e+00,-3.22553783213963479e-05,-8.78349358948787398e+01,-3.22554447736402020e-05,-8.78349360371690580e+01
 3.10000000000000009e+00,-3.22575649556433903e-05,-8.78349437196861942e+01,-3.22576313391151825e-05,-8.78349438617440228e+01
 3.20000000000000018e+00,-3.22597500246279596e-05,-8.78349515392161919e+01,-3.22598164301546669e-05,-8.78349516813489970e+01
 3.30000000000000027e+00,-3.22619336362396780e-05,-8.78349593538339519e+01,-3.22620000476796104e-05,-8.78349594959870501e+01
 3.40000000000000036e+00,-3.22641157905013341e-05,-8.78349671635394600e+01,-3.22641821926026266e-05,-8.78349673056612517e+01
 3.50000000000000000e+00,-3.22662964874021401e-05,-8.78349749683327161e+01,-3.22663628658152957e-05,-8.78349751103746428e+01
 3.60000000000000009e+00,-3.22684757269606833e-05,-8.78349827682137345e+01,-3.22685420682511766e-05,-8.78349829101303072e+01
 3.70000000000000018e+00,-3.22706535091787662e-05,-8.78349905631825010e+01,-3.22707198008018563e-05,-8.78349907049312719e+01
 3.80000000000000027e+00,-3.22728298340581979e-05,-8.78349983532390155e+01,-3.22728960643882900e-05,-8.78349984947806206e+01
 3.90000000000000036e+00,-3.22750047016049621e-05,-8.78350061383832923e+01,-3.22750708599104535e-05,-8.78350062796813944e+01
 4.00000000000000000e+00,-3.22771780964569981e-05,-8.78350139185631917e+01,-3.22772441882808927e-05,-8.78350140596366344e+01
 4.10000000000000053e+00,-3.22793500286938420e-05,-8.78350216938129194e+01,-3.22794160504121604e-05,-8.78350218346494103e+01
 4.20000000000000018e+00,-3.22815205016542200e-05,-8.78350294641437159e+01,-3.22815864471874203e-05,-8.78350296047227346e+01
 4.29999999999999982e+00,-3.22836895153315388e-05,-8.78350372295555815e+01,-3.22837553795318020e-05,-8.78350373698596769e+01
 4.40000000000000036e+00,-3.22858570697402114e-05,-8.78350449900485017e+01,-3.22859228483494420e-05,-8.78350451300632784e+01
 4.50000000000000000e+00,-3.22880231648778391e-05,-8.78350527456225052e+01,-3.22880888545402890e-05,-8.78350528853365660e+01
 4.60000000000000053e+00,-3.22901878007588283e-05,-8.78350604962775634e+01,-3.22902533990084727e-05,-8.78350606356825949e+01
