"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-1.81638789693053758e-05,-8.78301648779091408e+01,-1.81638454339025784e-05,-8.78301648503701813e+01
 1.00000000000000006e-01,-1.81510690080897863e-05,-8.78301701518175406e+01,-1.81510007595158662e-05,-8.78301701354699986e+01
 2.00000000000000011e-01,-1.81382576966011845e-05,-8.78301754257259404e+01,-1.81381648842267773e-05,-8.78301754173437388e+01
 3.00000000000000044e-01,-1.81254450348421047e-05,-8.78301806996343402e+01,-1.81253378028748822e-05,-8.78301806959931781e+01
 4.00000000000000022e-01,-1.81126334521437481e-05,-8.78301859727731795e+01,-1.81125195102887837e-05,-8.78301859714200788e+01
 5.00000000000000000e-01,-1.80998578972808204e-05,-8.78301912340728848e+01,-1.80997100013039254e-05,-8.78301912436262029e+01
 6.00000000000000089e-01,-1.80870809996803938e-05,-8.78301964953725758e+01,-1.80869092707498456e-05,-8.78301965126133126e+01
 7.00000000000000067e-01,-1.80743027593449959e-05,-8.78302017566722668e+01,-1.80741173134654775e-05,-8.78302017783831559e+01
 8.00000000000000044e-01,-1.80615272230660186e-05,-8.78302070166867566e+01,-1.80613341242889448e-05,-8.78302070409375091e+01
 9.00000000000000022e-01,-1.80487832147601479e-05,-8.78302122662632456e+01,-1.80485596980575885e-05,-8.78302123002781201e+01
 1.00000000000000000e+00,-1.80360445760709311e-05,-8.78302175137106076e+01,-1.80357940296130456e-05,-8.78302175564067511e+01
 1.10000000000000009e+00,-1.80233113089058016e-05,-8.78302227590288425e+01,-1.80230371138011614e-05,-8.78302228093251500e+01
 1.20000000000000018e+00,-1.80105834151561671e-05,-8.78302280022179502e+01,-1.80102889454594969e-05,-8.78302280590350648e+01
 1.30000000000000004e+00,-1.79978608967201031e-05,-8.78302332432779309e+01,-1.79975495194424525e-05,-8.78302333055382718e+01
 1.40000000000000013e+00,-1.79851437554897726e-05,-8.78302384822087845e+01,-1.79848188305860342e-05,-8.78302385488364905e+01
 1.50000000000000000e+00,-1.79724319933614556e-05,-8.78302437190105252e+01,-1.79720968737456417e-05,-8.78302437889314973e+01
 1.60000000000000009e+00,-1.79597256122255398e-05,-8.78302489536831246e+01,-1.79593836437708131e-05,-8.78302490258250401e+01
 1.70000000000000018e+00,-1.79470246139765296e-05,-8.78302541862266111e+01,-1.79466791355103719e-05,-8.78302542595188527e+01
 1.80000000000000004e+00,-1.79343329237228593e-05,-8.78302594153790466e+01,-1.79339833438199008e-05,-8.78302594900146971e+01
 1.90000000000000013e+00,-1.79216552644902273e-05,-8.78302646396223423e+01,-1.79212962635542166e-05,-8.78302647173143072e+01
 2.00000000000000000e+00,-1.79089851865577494e-05,-8.78302698610321073e+01,-1.79086178895724053e-05,-8.78302699414194450e+01
 2.10000000000000009e+00,-1.78963226924316063e-05,-8.78302750796083416e+01,-1.78959482167252385e-05,-8.78302751623318443e+01
 2.20000000000000018e+00,-1.78836677846139062e-05,-8.78302802953510309e+01,-1.78832872398803031e-05,-8.78302803800532530e+01
 2.30000000000000027e+00,-1.78710204656076857e-05,-8.78302855082601752e+01,-1.78706349538919110e-05,-8.78302855945854049e+01
 2.40000000000000036e+00,-1.78583807379169130e-05,-8.78302907183357888e+01,-1.78579913536286147e-05,-8.78302908059300478e+01
 2.50000000000000000e+00,-1.78457486040389769e-05,-8.78302959255778717e+01,-1.78453564339482535e-05,-8.78302960140889297e+01
 2.60000000000000009e+00,-1.78331240664771813e-05,-8.78303011299864096e+01,-1.78327301897228423e-05,-8.78303012190637844e+01
 2.70000000000000018e+00,-1.78205071277208005e-05,-8.78303063315614025e+01,-1.78201126158137272e-05,-8.78303064208563455e+01
 2.80000000000000027e+00,-1.78078998554189630e-05,-8.78303115296195358e+01,-1.78075037070964467e-05,-8.78303116194683469e+01
 2.90000000000000036e+00,-1.77953021871320729e-05,-8.78303167241824667e+01,-1.77949034584358401e-05,-8.78303168149015363e+01
 3.00000000000000000e+00,-1.77827128069087233e-05,-8.78303219156865538e+01,-1.77823118647084590e-05,-8.78303220071576476e+01
 3.10000000000000009e+00,-1.77701317174399346e-05,-8.78303271041318112e+01,-1.77697289207826256e-05,-8.78303271962384002e+01
 3.20000000000000018e+00,-1.77575589214049499e-05,-8.78303322895182390e+01,-1.77571546215383881e-05,-8.78303323821455564e+01
 3.30000000000000027e+00,-1.77449944214861634e-05,-8.78303374718458372e+01,-1.77445889618500895e-05,-8.78303375648808213e+01
 3.40000000000000036e+00,-1.77324382203542122e-05,-8.78303426511145915e+01,-1.77320319365962972e-05,-8.78303427444459288e+01
 3.50000000000000000e+00,-1.77198903206903047e-05,-8.78303478273245162e+01,-1.77194835406573479e-05,-8.78303479208426268e+01
 3.60000000000000009e+00,-1.77073507251688695e-05,-8.78303530004756112e+01,-1.77069437689152921e-05,-8.78303530940726205e+01
 3.70000000000000018e+00,-1.76948194364625022e-05,-8.78303581705678624e+01,-1.76944126162514828e-05,-8.78303582641376579e+01
 3.80000000000000027e+00,-1.76822975052049581e-05,-8.78303633372066628e+01,-1.76818900775539811e-05,-8.78303634310394585e+01
 3.90000000000000036e+00,-1.76697842682171173e-05,-8.78303685006428481e+01,-1.76693761477051530e-05,-8.78303685947797561e+01
 4.00000000000000000e+00,-1.76572795095896751e-05,-8.78303736609587276e+01,-1.76568708215916366e-05,-8.78303737553602559e+01
 4.10000000000000053e+00,-1.76447832320442602e-05,-8.78303788181543155e+01,-1.76443740941091642e-05,-8.78303789127827059e+01
 4.20000000000000018e+00,-1.76322954382882677e-05,-8.78303839722296118e+01,-1.76318859601429237e-05,-8.78303840670488114e+01
 4.29999999999999982e+00,-1.76198161310321386e-05,-8.78303891231846023e+01,-1.76194064145872446e-05,-8.78303892181602919e+01
 4.40000000000000036e+00,-1.76073453129893294e-05,-8.78303942710193013e+01,-1.76069354523382111e-05,-8.78303943661188811e+01
 4.50000000000000000e+00,-1.75948829868591004e-05,-8.78303994157337087e+01,-1.75944730682862836e-05,-8.78303995109262985e+01
 4.60000000000000053e+00,-1.75824291553535765e-05,-8.78304045573278245e+01,-1.75820192573359284e-05,-8.78304046525842494e+01
 4.70000000000000018e+00,-1.75699838211682334e-05,-8.78304096958016345e+01,-1.75695740143786664e-05,-8.78304097910944677e+01
 4.80000000000000071e+00,-1.75575469870089450e-05,-8.78304148311551529e+01,-1.75571373343200312e-05,-8.78304149264586584e+01
 4.90000000000000036e+00,-1.75451186555747546e-05,-8.78304199633883798e+01,-1.75447092120599495e-05,-8.78304200586785555e+01
 5.00000000000000000e+00,-1.75326988295603756e-05,-8.78304250925013008e+01,-1.75322896425001096e-05,-8.78304251877558499e+01
 5.10000000000000053e+00,-1.75202875116635265e-05,-8.78304302184939303e+01,-1.75198786205488135e-05,-8.78304303136922613e+01
