"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-3.50245358789937964e-05,-8.78369881487229947e+01,-3.50295214926420851e-05,-8.78369878797283263e+01
 1.00000000000000006e-01,-3.50017239909625714e-05,-8.78369928546604513e+01,-3.50066356521034665e-05,-8.78369925967247838e+01
 2.00000000000000011e-01,-3.49789102392762490e-05,-8.78369975605979221e+01,-3.49837660976644530e-05,-8.78369973109858222e+01
 3.00000000000000044e-01,-3.49560946239218457e-05,-8.78370022665353787e+01,-3.49609128186649114e-05,-8.78370020225128769e+01
 4.00000000000000022e-01,-3.49332771448993684e-05,-8.78370069724728353e+01,-3.49380758044403580e-05,-8.78370067313074259e+01
 5.00000000000000000e-01,-3.49105028990869464e-05,-8.78370116716456835e+01,-3.49152550443393266e-05,-8.78370114373709043e+01
 6.00000000000000089e-01,-3.48877618586689115e-05,-8.78370163655594780e+01,-3.48924505277145315e-05,-8.78370161407047760e+01
 7.00000000000000067e-01,-3.48650189660987711e-05,-8.78370210594732583e+01,-3.48696622439187754e-05,-8.78370208413104905e+01
 8.00000000000000044e-01,-3.48422742213851515e-05,-8.78370257533870529e+01,-3.48468901823134126e-05,-8.78370255391895114e+01
 9.00000000000000022e-01,-3.48195359594383495e-05,-8.78370304460461853e+01,-3.48241343322468750e-05,-8.78370302343432598e+01
 1.00000000000000000e+00,-3.47968608188513779e-05,-8.78370351289258338e+01,-3.48013946830977490e-05,-8.78370349267732280e+01
 1.10000000000000009e+00,-3.47741958135570426e-05,-8.78370398100028638e+01,-3.47786712242359065e-05,-8.78370396164808227e+01
 1.20000000000000018e+00,-3.47515409461222058e-05,-8.78370444892772753e+01,-3.47559639450355294e-05,-8.78370443034675219e+01
 1.30000000000000004e+00,-3.47288962191168469e-05,-8.78370491667490683e+01,-3.47332728348707925e-05,-8.78370489877347609e+01
 1.40000000000000013e+00,-3.47062616351140690e-05,-8.78370538424182570e+01,-3.47105978831244023e-05,-8.78370536692839892e+01
