"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-4.05347666780173522e-05,-8.78406315948790990e+01,-4.05316709242247282e-05,-8.78406316981569972e+01
 1.00000000000000006e-01,-4.05076641408924856e-05,-8.78406361992572471e+01,-4.05044771076145012e-05,-8.78406363130227987e+01
 2.00000000000000011e-01,-4.04805595668556321e-05,-8.78406408036353810e+01,-4.04773027554918588e-05,-8.78406409252623916e+01
 3.00000000000000044e-01,-4.04534529559400630e-05,-8.78406454080135290e+01,-4.04501478556403295e-05,-8.78406455348771260e+01
 4.00000000000000022e-01,-4.04263443081172706e-05,-8.78406500123916771e+01,-4.04230123958698690e-05,-8.78406501418683376e+01
 5.00000000000000000e-01,-4.03992808337821772e-05,-8.78406546109989250e+01,-4.03958963639741838e-05,-8.78406547462373766e+01
 6.00000000000000089e-01,-4.03722645100600063e-05,-8.78406592035947398e+01,-4.03687997477969958e-05,-8.78406593479855928e+01
 7.00000000000000067e-01,-4.03452461621412698e-05,-8.78406637961905687e+01,-4.03417225351564466e-05,-8.78406639471143080e+01
 8.00000000000000044e-01,-4.03182257900259474e-05,-8.78406683887863835e+01,-4.03146647139065580e-05,-8.78406685436248864e+01
 9.00000000000000022e-01,-4.02912033937093093e-05,-8.78406729813822125e+01,-4.02876262719041098e-05,-8.78406731375186496e+01
 1.00000000000000000e+00,-4.02642633283420751e-05,-8.78406775636415773e+01,-4.02606071970134849e-05,-8.78406777287969334e+01
 1.10000000000000009e+00,-4.02373370324334096e-05,-8.78406821439671717e+01,-4.02336074771254257e-05,-8.78406823174610878e+01
 1.20000000000000018e+00,-4.02104228955515067e-05,-8.78406867225566543e+01,-4.02066271001194124e-05,-8.78406869035124345e+01
 1.30000000000000004e+00,-4.01835209204980194e-05,-8.78406912994100395e+01,-4.01796660539250087e-05,-8.78406914869523234e+01
 1.40000000000000013e+00,-4.01566311100590964e-05,-8.78406958745273272e+01,-4.01527243264369145e-05,-8.78406960677820763e+01
 1.50000000000000000e+00,-4.01297534670149643e-05,-8.78407004479085174e+01,-4.01258019055999060e-05,-8.78407006460030289e+01
 1.60000000000000009e+00,-4.01028879941492646e-05,-8.78407050195536101e+01,-4.00988987793522003e-05,-8.78407052216165170e+01
 1.70000000000000018e+00,-4.00760346942444058e-05,-8.78407095894625911e+01,-4.00720149356444691e-05,-8.78407097946238622e+01
 1.80000000000000004e+00,-4.00491935700814748e-05,-8.78407141576354746e+01,-4.00451503624397643e-05,-8.78407143650264004e+01
 1.90000000000000013e+00,-4.00223646244450348e-05,-8.78407187240722607e+01,-4.00183050477229506e-05,-8.78407189328254532e+01
 2.00000000000000000e+00,-3.99955478601042534e-05,-8.78407232887729492e+01,-3.99914789794819083e-05,-8.78407234980223564e+01
 2.10000000000000009e+00,-3.99687654838580506e-05,-8.78407278489809471e+01,-3.99646721457168978e-05,-8.78407280606184315e+01
 2.20000000000000018e+00,-3.99420048934599842e-05,-8.78407324062616084e+01,-3.99378845344454183e-05,-8.78407326206150003e+01
 2.30000000000000027e+00,-3.99152611117799028e-05,-8.78407369612333042e+01,-3.99111161336927007e-05,-8.78407371780133985e+01
 2.40000000000000036e+00,-3.98885341425093791e-05,-8.78407415138960488e+01,-3.98843669314918027e-05,-8.78407417328149336e+01
 2.50000000000000000e+00,-3.98618239893096420e-05,-8.78407460642498279e+01,-3.98576369159070066e-05,-8.78407462850209413e+01
 2.60000000000000009e+00,-3.98351306558631163e-05,-8.78407506122946558e+01,-3.98309260749823071e-05,-8.78407508346327290e+01
 2.70000000000000018e+00,-3.98084541458359098e-05,-8.78407551580305181e+01,-3.98042343968070384e-05,-8.78407553816516327e+01
 2.80000000000000027e+00,-3.97817944628966238e-05,-8.78407597014574293e+01,-3.97775618694643483e-05,-8.78407599260789453e+01
 2.90000000000000036e+00,-3.97551516107115896e-05,-8.78407642425753892e+01,-3.97509084810546232e-05,-8.78407644679160171e+01
 3.00000000000000000e+00,-3.97285255929448954e-05,-8.78407687813843836e+01,-3.97242742196862118e-05,-8.78407690071641412e+01
 3.10000000000000009e+00,-3.97019164132677381e-05,-8.78407733178844268e+01,-3.96976590734799716e-05,-8.78407735438246391e+01
 3.20000000000000018e+00,-3.96753293309305027e-05,-8.78407778514045958e+01,-3.96710630305880529e-05,-8.78407780778988325e+01
 3.30000000000000027e+00,-3.96487633748814522e-05,-8.78407823820694489e+01,-3.96444860791380084e-05,-8.78407826093880146e+01
 3.40000000000000036e+00,-3.96222156893131722e-05,-8.78407869102440912e+01,-3.96179282073025815e-05,-8.78407871382935213e+01
 3.50000000000000000e+00,-3.95956862781487125e-05,-8.78407914359284945e+01,-3.95913894032578969e-05,-8.78407916646166598e+01
 3.60000000000000009e+00,-3.95691751453270679e-05,-8.78407959591226870e+01,-3.95648696551740959e-05,-8.78407961883587234e+01
 3.70000000000000018e+00,-3.95426822947707733e-05,-8.78408004798266404e+01,-3.95383689512665990e-05,-8.78408007095210337e+01
 3.80000000000000027e+00,-3.95162077304043560e-05,-8.78408049980403689e+01,-3.95118872797309924e-05,-8.78408052281048981e+01
 3.90000000000000036e+00,-3.94897514561451401e-05,-8.78408095137638725e+01,-3.94854246288034452e-05,-8.78408097441116240e+01
