"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-1.83592278526621065e-04,-8.78328887082967356e+01,-1.83590675112680951e-04,-8.78328888639681793e+01
 1.00000000000000006e-01,-1.83590030603740810e-04,-8.78328934760439637e+01,-1.83588439582024336e-04,-8.78328936423213662e+01
 2.00000000000000011e-01,-1.83587781860926699e-04,-8.78328982437912060e+01,-1.83586200512738480e-04,-8.78328984178645698e+01
 3.00000000000000044e-01,-1.83585532298251184e-04,-8.78329030115384342e+01,-1.83583957906212922e-04,-8.78329031905992679e+01
 4.00000000000000022e-01,-1.83583281915665963e-04,-8.78329077792856623e+01,-1.83581711763909899e-04,-8.78329079605269811e+01
 5.00000000000000000e-01,-1.83581023238564003e-04,-8.78329125393338188e+01,-1.83579462087123216e-04,-8.78329127276491874e+01
 6.00000000000000089e-01,-1.83578759375012032e-04,-8.78329172948818666e+01,-1.83577208877315788e-04,-8.78329174919673932e+01
 7.00000000000000067e-01,-1.83576494694560047e-04,-8.78329220504299286e+01,-1.83574952135878537e-04,-8.78329222534830762e+01
 8.00000000000000044e-01,-1.83574229197208048e-04,-8.78329268059779906e+01,-1.83572691864226890e-04,-8.78329270121977572e+01
 9.00000000000000022e-01,-1.83571960255140805e-04,-8.78329315588267860e+01,-1.83570428063752419e-04,-8.78329317681129140e+01
 1.00000000000000000e+00,-1.83569681964322026e-04,-8.78329363029099426e+01,-1.83568160735774735e-04,-8.78329365212300388e+01
 1.10000000000000009e+00,-1.83567401052911109e-04,-8.78329410451370052e+01,-1.83565889881782474e-04,-8.78329412715506237e+01
 1.20000000000000018e+00,-1.83565117521485336e-04,-8.78329457855079454e+01,-1.83563615503119939e-04,-8.78329460190761750e+01
 1.30000000000000004e+00,-1.83562831370790612e-04,-8.78329505240227917e+01,-1.83561337601204154e-04,-8.78329507638081566e+01
 1.40000000000000013e+00,-1.83560542601403896e-04,-8.78329552606815156e+01,-1.83559056177404114e-04,-8.78329555057480746e+01
 1.50000000000000000e+00,-1.83558251214119067e-04,-8.78329599954841314e+01,-1.83556771233137387e-04,-8.78329602448974214e+01
 1.60000000000000009e+00,-1.83555957209536908e-04,-8.78329647284306532e+01,-1.83554482769725371e-04,-8.78329649812576747e+01
 1.70000000000000018e+00,-1.83553660588330411e-04,-8.78329694595210526e+01,-1.83552190788634423e-04,-8.78329697148303268e+01
 1.80000000000000004e+00,-1.83551361351196637e-04,-8.78329741887553439e+01,-1.83549895291258691e-04,-8.78329744456168697e+01
 1.90000000000000013e+00,-1.83549059498784210e-04,-8.78329789161335270e+01,-1.83547596278896480e-04,-8.78329791736187673e+01
 2.00000000000000000e+00,-1.83546753557920173e-04,-8.78329836401613449e+01,-1.83545293752990701e-04,-8.78329838988375400e+01
 2.10000000000000009e+00,-1.83544442640764404e-04,-8.78329883599373602e+01,-1.83542987714912327e-04,-8.78329886212746374e+01
 2.20000000000000018e+00,-1.83542128507012728e-04,-8.78329930772444527e+01,-1.83540678166056672e-04,-8.78329933409315657e+01
 2.30000000000000027e+00,-1.83539811157533672e-04,-8.78329977920826224e+01,-1.83538365107819321e-04,-8.78329980578098031e+01
 2.40000000000000036e+00,-1.83537490593243630e-04,-8.78330025044518692e+01,-1.83536048541499690e-04,-8.78330027719108131e+01
 2.50000000000000000e+00,-1.83535166814986626e-04,-8.78330072143521789e+01,-1.83533728468590130e-04,-8.78330074832361021e+01
 2.60000000000000009e+00,-1.83532839823654471e-04,-8.78330119217835659e+01,-1.83531404890390599e-04,-8.78330121917871480e+01
 2.70000000000000018e+00,-1.83530509620162909e-04,-8.78330166267460157e+01,-1.83529077808297468e-04,-8.78330168975654146e+01
 2.80000000000000027e+00,-1.83528176205403345e-04,-8.78330213292395428e+01,-1.83526747223707569e-04,-8.78330216005723940e+01
 2.90000000000000036e+00,-1.83525839580315022e-04,-8.78330260292641469e+01,-1.83524413137993529e-04,-8.78330263008095642e+01
 3.00000000000000000e+00,-1.83523499745692553e-04,-8.78330307268198283e+01,-1.83522075552504420e-04,-8.78330309982783888e+01
 3.10000000000000009e+00,-1.83521156017376149e-04,-8.78330354212352944e+01,-1.83519734468613386e-04,-8.78330356929803600e+01
 3.20000000000000018e+00,-1.83518808472865207e-04,-8.78330401125853939e+01,-1.83517389887669714e-04,-8.78330403849169414e+01
 3.30000000000000027e+00,-1.83516457523359635e-04,-8.78330448012720808e+01,-1.83515041811143368e-04,-8.78330450740896254e+01
 3.40000000000000036e+00,-1.83514103169914416e-04,-8.78330494872953551e+01,-1.83512690240335795e-04,-8.78330497604998754e+01
 3.50000000000000000e+00,-1.83511745413415833e-04,-8.78330541706552310e+01,-1.83510335176596936e-04,-8.78330544441491554e+01
 3.60000000000000009e+00,-1.83509384254798032e-04,-8.78330588513516801e+01,-1.83507976621324952e-04,-8.78330591250389574e+01
 3.70000000000000018e+00,-1.83507019695067154e-04,-8.78330635293847308e+01,-1.83505614575845847e-04,-8.78330638031707451e+01
 3.80000000000000027e+00,-1.83504651735156698e-04,-8.78330682047543547e+01,-1.83503249041582314e-04,-8.78330684785459823e+01
 3.90000000000000036e+00,-1.83502280376048109e-04,-8.78330728774605802e+01,-1.83500880019884751e-04,-8.78330731511661469e+01
 4.00000000000000000e+00,-1.83499905618698521e-04,-8.78330775475033931e+01,-1.83498507512079736e-04,-8.78330778210327168e+01
 4.10000000000000053e+00,-1.83497527464040539e-04,-8.78330822148827934e+01,-1.83496131519566213e-04,-8.78330824881471557e+01
 4.20000000000000018e+00,-1.83495145505110176e-04,-8.78330868792552195e+01,-1.83493752043719142e-04,-8.78330871525109274e+01
 4.29999999999999982e+00,-1.83492759978107651e-04,-8.78330915408187138e+01,-1.83491369085841380e-04,-8.78330918141254955e+01
 4.40000000000000036e+00,-1.83490370995876645e-04,-8.78330961996674944e+01,-1.83488982647332226e-04,-8.78330964729923380e+01
 4.50000000000000000e+00,-1.83487978559437935e-04,-8.78331008558015611e+01,-1.83486592729518880e-04,-8.78331011291129187e+01
 4.60000000000000053e+00,-1.83485582669667800e-04,-8.78331055092208999e+01,-1.83484199333824871e-04,-8.78331057824887012e+01
 4.70000000000000018e+00,-1.83483183327634477e-04,-8.78331101599255248e+01,-1.83481802461505435e-04,-8.78331104331211492e+01
 4.80000000000000071e+00,-1.83480780534189662e-04,-8.78331148079154218e+01,-1.83479402114008360e-04,-8.78331150810117265e+01
 4.90000000000000036e+00,-1.83478374290425118e-04,-8.78331194531906050e+01,-1.83476998292661254e-04,-8.78331197261619110e+01
 5.00000000000000000e+00,-1.83475964597239947e-04,-8.78331240957510602e+01,-1.83474590998767705e-04,-8.78331243685731380e+01
 5.10000000000000053e+00,-1.83473551455629231e-04,-8.78331287355968016e+01,-1.83472180233703593e-04,-8.78331290082468854e+01
 5.20000000000000018e+00,-1.83471134866611632e-04,-8.78331333727278292e+01,-1.83469765998844854e-04,-8.78331336451846170e+01
 5.30000000000000071e+00,-1.83468714831061476e-04,-8.78331380071441288e+01,-1.83467348295519362e-04,-8.78331382793877822e+01
 5.40000000000000036e+00,-1.83466291349996884e-04,-8.78331426388457146e+01,-1.83464927125079119e-04,-8.78331429108578590e+01
 5.50000000000000000e+00,-1.83463864424387649e-04,-8.78331472678325724e+01,-1.83462502488876178e-04,-8.78331475395962968e+01
 5.60000000000000053e+00,-1.83461434055227386e-04,-8.78331518941047165e+01,-1.83460074388214564e-04,-8.78331521656045453e+01
 5.70000000000000018e+00,-1.83459000243437154e-04,-8.78331565176621325e+01,-1.83457642824518457e-04,-8.78331567888840681e+01
 5.80000000000000071e+00,-1.83456562945439450e-04,-8.78331611385245452e+01,-1.83455207799019919e-04,-8.78331614094363147e+01
 5.90000000000000036e+00,-1.83454122072393097e-04,-8.78331657567317023e+01,-1.83452769313167252e-04,-8.78331660272627630e+01
 6.00000000000000000e+00,-1.83451677747950402e-04,-8.78331703722292900e+01,-1.83450327368240548e-04,-8.78331706423648484e+01
 6.10000000000000053e+00,-1.83449229973075602e-04,-8.78331749850173225e+01,-1.83447881965592051e-04,-8.78331752547440345e+01
 6.20000000000000018e+00,-1.83446778748732659e-04,-8.78331795950957712e+01,-1.83445433106573977e-04,-8.78331798644017709e+01
 6.30000000000000071e+00,-1.83444324075885215e-04,-8.78331842024646647e+01,-1.83442980792466499e-04,-8.78331844713395071e+01
 6.40000000000000036e+00,-1.83441865955520731e-04,-8.78331888071240030e+01,-1.83440525024693905e-04,-8.78331890755587068e+01
 6.50000000000000000e+00,-1.83439404388578209e-04,-8.78331934090737576e+01,-1.83438065804536395e-04,-8.78331936770608195e+01
 6.60000000000000053e+00,-1.83436939376020503e-04,-8.78331980083139570e+01,-1.83435603133322035e-04,-8.78331982758472947e+01
 6.70000000000000018e+00,-1.83434470918810084e-04,-8.78332026048445869e+01,-1.83433137012379080e-04,-8.78332028719195677e+01
 6.80000000000000071e+00,-1.83431999017933252e-04,-8.78332071986656615e+01,-1.83430667443083655e-04,-8.78332074652791164e+01
 6.90000000000000036e+00,-1.83429523674303853e-04,-8.78332117897771525e+01,-1.83428194426715877e-04,-8.78332120559273619e+01
 7.00000000000000000e+00,-1.83427044888931633e-04,-8.78332163781790882e+01,-1.83425717964603730e-04,-8.78332166438657680e+01
 7.10000000000000053e+00,-1.83424562662753884e-04,-8.78332209638714545e+01,-1.83423238058123285e-04,-8.78332212290957841e+01
 7.20000000000000018e+00,-1.83422076996755793e-04,-8.78332255468542655e+01,-1.83420754708530455e-04,-8.78332258116188456e+01
 7.30000000000000071e+00,-1.83419587891826000e-04,-8.78332301271274929e+01,-1.83418267917225187e-04,-8.78332303914364019e+01
 7.40000000000000036e+00,-1.83417095349021087e-04,-8.78332347046911650e+01,-1.83415777685439244e-04,-8.78332349685499025e+01
 7.50000000000000000e+00,-1.83414599369253328e-04,-8.78332392795452819e+01,-1.83413284014596455e-04,-8.78332395429607971e+01
 7.60000000000000053e+00,-1.83412099953482541e-04,-8.78332438516898151e+01,-1.83410786905928474e-04,-8.78332441146705207e+01
 7.70000000000000018e+00,-1.83409597102692423e-04,-8.78332484211247930e+01,-1.83408286360834923e-04,-8.78332486836805231e+01
 7.80000000000000071e+00,-1.83407090817794326e-04,-8.78332529878502015e+01,-1.83405782380547240e-04,-8.78332532499922394e+01
 7.90000000000000036e+00,-1.83404581099771296e-04,-8.78332575518660406e+01,-1.83403274966464913e-04,-8.78332578136071191e+01
 8.00000000000000000e+00,-1.83402067949630098e-04,-8.78332621131723243e+01,-1.83400764119843259e-04,-8.78332623745265977e+01
 8.09999999999999964e+00,-1.83399551368257282e-04,-8.78332666717690387e+01,-1.83398249841985406e-04,-8.78332669327521103e+01
 8.20000000000000107e+00,-1.83397031356634973e-04,-8.78332712276561836e+01,-1.83395732134266531e-04,-8.78332714882851064e+01
 8.30000000000000071e+00,-1.83394507915721119e-04,-8.78332757808337590e+01,-1.83393210997989545e-04,-8.78332760411270357e+01
 8.40000000000000036e+00,-1.83391981046473340e-04,-8.78332803313017791e+01,-1.83390686434385344e-04,-8.78332805912793049e+01
 8.50000000000000000e+00,-1.83389450749873003e-04,-8.78332848790602299e+01,-1.83388158444828614e-04,-8.78332851387433777e+01
 8.59999999999999964e+00,-1.83386917026853117e-04,-8.78332894241091111e+01,-1.83385627030645905e-04,-8.78332896835206896e+01
 8.70000000000000107e+00,-1.83384379909297223e-04,-8.78332939665547627e+01,-1.83383092193091637e-04,-8.78332942256126614e+01
 8.80000000000000071e+00,-1.83381839883550550e-04,-8.78332985080668465e+01,-1.83380553933492225e-04,-8.78332987650207286e+01
 8.90000000000000036e+00,-1.83379296448073507e-04,-8.78333030469187150e+01,-1.83378012253149604e-04,-8.78333033017463549e+01
 9.00000000000000000e+00,-1.83376749603752918e-04,-8.78333075831103542e+01,-1.83375467153365902e-04,-8.78333078357909471e+01
 9.09999999999999964e+00,-1.83374199351547243e-04,-8.78333121166417641e+01,-1.83372918635442813e-04,-8.78333123671559406e+01
 9.20000000000000107e+00,-1.83371645692390739e-04,-8.78333166475129588e+01,-1.83370366700681946e-04,-8.78333168958427848e+01
 9.30000000000000071e+00,-1.83369088627241328e-04,-8.78333211757239241e+01,-1.83367811350336804e-04,-8.78333214218528866e+01
 9.40000000000000036e+00,-1.83366528157008734e-04,-8.78333257012746742e+01,-1.83365252585804625e-04,-8.78333259451877097e+01
 9.50000000000000000e+00,-1.83363964282626349e-04,-8.78333302241651950e+01,-1.83362690408290390e-04,-8.78333304658486611e+01
 9.60000000000000142e+00,-1.83361397005003330e-04,-8.78333347443954864e+01,-1.83360124819119050e-04,-8.78333349838371618e+01
 9.70000000000000107e+00,-1.83358826325120500e-04,-8.78333392619655626e+01,-1.83357555819591212e-04,-8.78333394991546754e+01
 9.80000000000000071e+00,-1.83356252243886529e-04,-8.78333437768754095e+01,-1.83354983410959294e-04,-8.78333440118025948e+01
 9.90000000000000036e+00,-1.83353674762257629e-04,-8.78333482891250412e+01,-1.83352407594595542e-04,-8.78333485217823835e+01
 1.00000000000000000e+01,-1.83351093881117968e-04,-8.78333527987144436e+01,-1.83349828371680003e-04,-8.78333530290954343e+01
 1.01000000000000014e+01,-1.83348509601447229e-04,-8.78333573056436308e+01,-1.83347245743584381e-04,-8.78333575337431967e+01
 1.02000000000000011e+01,-1.83345921924129012e-04,-8.78333618099125744e+01,-1.83344659711560200e-04,-8.78333620357270775e+01
 1.03000000000000007e+01,-1.83343330850166419e-04,-8.78333663115213170e+01,-1.83342070276882804e-04,-8.78333665350485262e+01
 1.04000000000000004e+01,-1.83340736380370597e-04,-8.78333708104698161e+01,-1.83339477440851205e-04,-8.78333710317089498e+01
 1.05000000000000000e+01,-1.83338138515792056e-04,-8.78333753067581000e+01,-1.83336881204788156e-04,-8.78333755257097835e+01
 1.06000000000000014e+01,-1.83335537257313283e-04,-8.78333798003861688e+01,-1.83334281569896227e-04,-8.78333800170524484e+01
 1.07000000000000011e+01,-1.83332932605840453e-04,-8.78333842913539939e+01,-1.83331678537473696e-04,-8.78333845057383513e+01
 1.08000000000000007e+01,-1.83330324562375370e-04,-8.78333887796616182e+01,-1.83329072108794527e-04,-8.78333889917689277e+01
 1.09000000000000004e+01,-1.83327713127775691e-04,-8.78333932653089988e+01,-1.83326462285204352e-04,-8.78333934751455985e+01
 1.10000000000000000e+01,-1.83325098302970768e-04,-8.78333977482961643e+01,-1.83323849067904709e-04,-8.78333979558697848e+01
 1.11000000000000014e+01,-1.83322480088961537e-04,-8.78334022286231146e+01,-1.83321232458192603e-04,-8.78334024339429078e+01
 1.12000000000000011e+01,-1.83319858486580907e-04,-8.78334067062898214e+01,-1.83318612457293020e-04,-8.78334069093663743e+01
 1.13000000000000007e+01,-1.83317233496877276e-04,-8.78334111812963272e+01,-1.83315989066574331e-04,-8.78334113821416196e+01
 1.14000000000000004e+01,-1.83314605120658971e-04,-8.78334156536425894e+01,-1.83313362287212841e-04,-8.78334158522700506e+01
 1.15000000000000000e+01,-1.83311973358925924e-04,-8.78334201233286365e+01,-1.83310732120552393e-04,-8.78334203197530883e+01
 1.16000000000000014e+01,-1.83309338212581818e-04,-8.78334245903544684e+01,-1.83308098567792601e-04,-8.78334247845921539e+01
 1.17000000000000011e+01,-1.83306699682530118e-04,-8.78334290547200709e+01,-1.83305461630204773e-04,-8.78334292467886542e+01
 1.18000000000000007e+01,-1.83304057769769862e-04,-8.78334335164254441e+01,-1.83302821309083691e-04,-8.78334337063439961e+01
 1.19000000000000004e+01,-1.83301412475108159e-04,-8.78334379754705878e+01,-1.83300177605675999e-04,-8.78334381632596291e+01
