"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-1.51613376584323231e-05,-8.78457183972310816e+01,-1.51615666978204493e-05,-8.78457183672824726e+01
 1.00000000000000006e-01,-1.51509281908881590e-05,-8.78457236388551195e+01,-1.51511270118862543e-05,-8.78457236206318868e+01
 2.00000000000000011e-01,-1.51405172147896017e-05,-8.78457288804791716e+01,-1.51406941108017376e-05,-8.78457288707501647e+01
 3.00000000000000044e-01,-1.51301047301281283e-05,-8.78457341221032095e+01,-1.51302679911101272e-05,-8.78457341176390827e+01
 4.00000000000000022e-01,-1.51196907369151011e-05,-8.78457393637272475e+01,-1.51198486493540973e-05,-8.78457393613003887e+01
 5.00000000000000000e-01,-1.51093040465293329e-05,-8.78457445941484707e+01,-1.51094360820701521e-05,-8.78457446017358734e+01
 6.00000000000000089e-01,-1.50989214043913077e-05,-8.78457498224122020e+01,-1.50990302858055565e-05,-8.78457498389472988e+01
 7.00000000000000067e-01,-1.50885372626039162e-05,-8.78457550506759333e+01,-1.50886312570872470e-05,-8.78457550729363987e+01
 8.00000000000000044e-01,-1.50781516211756489e-05,-8.78457602789396788e+01,-1.50782389924642925e-05,-8.78457603037049779e+01
 9.00000000000000022e-01,-1.50677837876393698e-05,-8.78457654996791746e+01,-1.50678534884654099e-05,-8.78457655312547558e+01
 1.00000000000000000e+00,-1.50574282654138378e-05,-8.78457707150391229e+01,-1.50574747416385942e-05,-8.78457707555875373e+01
 1.10000000000000009e+00,-1.50470767319444984e-05,-8.78457759282641035e+01,-1.50471027485058435e-05,-8.78457759767050419e+01
 1.20000000000000018e+00,-1.50367291893625456e-05,-8.78457811393541306e+01,-1.50367375056140840e-05,-8.78457811946090601e+01
 1.30000000000000004e+00,-1.50263856397840526e-05,-8.78457863483091757e+01,-1.50263790094899419e-05,-8.78457864093013256e+01
 1.40000000000000013e+00,-1.50160460853269336e-05,-8.78457915551292530e+01,-1.50160272566679851e-05,-8.78457916207836007e+01
 1.50000000000000000e+00,-1.50057105281221763e-05,-8.78457967598143767e+01,-1.50056822436850720e-05,-8.78457968290576474e+01
 1.60000000000000009e+00,-1.49953789702772493e-05,-8.78458019623645185e+01,-1.49953439670746831e-05,-8.78458020341252279e+01
 1.70000000000000018e+00,-1.49850514139155119e-05,-8.78458071627797068e+01,-1.49850124233585469e-05,-8.78458072359880617e+01
 1.80000000000000004e+00,-1.49747278611564912e-05,-8.78458123610599273e+01,-1.49746876090803540e-05,-8.78458124346479394e+01
 1.90000000000000013e+00,-1.49644173257275974e-05,-8.78458175536538732e+01,-1.49643695207579723e-05,-8.78458176301065805e+01
 2.00000000000000000e+00,-1.49541130840187789e-05,-8.78458227432130769e+01,-1.49540581549312214e-05,-8.78458228223657613e+01
 2.10000000000000009e+00,-1.49438146456156367e-05,-8.78458279299319003e+01,-1.49437535081169019e-05,-8.78458280114272014e+01
 2.20000000000000018e+00,-1.49335220133297749e-05,-8.78458331138103716e+01,-1.49334555768509624e-05,-8.78458331972926771e+01
 2.30000000000000027e+00,-1.49232351899514198e-05,-8.78458382948484768e+01,-1.49231643576575880e-05,-8.78458383799639080e+01
 2.40000000000000036e+00,-1.49129541782914418e-05,-8.78458434730462301e+01,-1.49128798470632406e-05,-8.78458435594426561e+01
 2.50000000000000000e+00,-1.49026789811365658e-05,-8.78458486484036030e+01,-1.49026020415966622e-05,-8.78458487357306694e+01
 2.60000000000000009e+00,-1.48924096012913144e-05,-8.78458538209206239e+01,-1.48923309377776385e-05,-8.78458539088296675e+01
 2.70000000000000018e+00,-1.48821460415444895e-05,-8.78458589905972644e+01,-1.48820665321282640e-05,-8.78458590787414124e+01
 2.80000000000000027e+00,-1.48718888831603098e-05,-8.78458641571998555e+01,-1.48718088211784666e-05,-8.78458642454676522e+01
 2.90000000000000036e+00,-1.48616400759158950e-05,-8.78458693199419400e+01,-1.48615578014464768e-05,-8.78458694090100920e+01
 3.00000000000000000e+00,-1.48513976546626084e-05,-8.78458744796188000e+01,-1.48513134694528035e-05,-8.78458745693705083e+01
 3.10000000000000009e+00,-1.48411616224035564e-05,-8.78458796362304497e+01,-1.48410758217257331e-05,-8.78458797265506206e+01
