"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-5.44930183918254787e-05,-8.78474122474026160e+01,-5.45014681844753656e-05,-8.78474121153784893e+01
 1.00000000000000006e-01,-5.44582220935167403e-05,-8.78474166192159913e+01,-5.44665718112994379e-05,-8.78474164970942724e+01
 2.00000000000000011e-01,-5.44234235515964756e-05,-8.78474209910293666e+01,-5.44317006948885057e-05,-8.78474208764077105e+01
 3.00000000000000044e-01,-5.43886227660705327e-05,-8.78474253628427277e+01,-5.43968548169231368e-05,-8.78474252533200826e+01
 4.00000000000000022e-01,-5.43538197369447323e-05,-8.78474297346561031e+01,-5.43620341591061998e-05,-8.78474296278326676e+01
 5.00000000000000000e-01,-5.43190541894387701e-05,-8.78474341030210155e+01,-5.43272387031395470e-05,-8.78474339999467304e+01
 6.00000000000000089e-01,-5.42843754473875526e-05,-8.78474384636565730e+01,-5.42924684307063686e-05,-8.78474383696635215e+01
 7.00000000000000067e-01,-5.42496944760638094e-05,-8.78474428242921306e+01,-5.42577233235471348e-05,-8.78474427369843482e+01
 8.00000000000000044e-01,-5.42150112754617605e-05,-8.78474471849276881e+01,-5.42230033633487899e-05,-8.78474471019104470e+01
 9.00000000000000022e-01,-5.41803258455988073e-05,-8.78474515455632456e+01,-5.41883085318263050e-05,-8.78474514644430968e+01
 1.00000000000000000e+00,-5.41457059647235803e-05,-8.78474559002937951e+01,-5.41536388107167891e-05,-8.78474558245835766e+01
 1.10000000000000009e+00,-5.41111406431773114e-05,-8.78474602500777166e+01,-5.41189941817328619e-05,-8.78474601823331227e+01
 1.20000000000000018e+00,-5.40765913000934922e-05,-8.78474645982767157e+01,-5.40843746266093624e-05,-8.78474645376930283e+01
 1.30000000000000004e+00,-5.40420579384986866e-05,-8.78474689448908066e+01,-5.40497801270799168e-05,-8.78474688906645440e+01
 1.40000000000000013e+00,-5.40075405614180964e-05,-8.78474732899199608e+01,-5.40152106648943462e-05,-8.78474732412489487e+01
 1.50000000000000000e+00,-5.39730391718755683e-05,-8.78474776333642069e+01,-5.39806662217723991e-05,-8.78474775894474931e+01
 1.60000000000000009e+00,-5.39385537728878406e-05,-8.78474819752235305e+01,-5.39461467794788248e-05,-8.78474819352614418e+01
 1.70000000000000018e+00,-5.39040843674818432e-05,-8.78474863154979317e+01,-5.39116523197598940e-05,-8.78474862786920596e+01
