"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-7.80754147387552649e-06,-8.78346312647331757e+01,-7.80754755104115438e-06,-8.78346312896485983e+01
 1.00000000000000006e-01,-7.80205916756371230e-06,-8.78346384056911376e+01,-7.80205377158756424e-06,-8.78346384423852840e+01
 2.00000000000000011e-01,-7.79657607329454718e-06,-8.78346455466491136e+01,-7.79656355963982971e-06,-8.78346455906329737e+01
 3.00000000000000044e-01,-7.79109219106697064e-06,-8.78346526876070754e+01,-7.79107691343160250e-06,-8.78346527343943677e+01
 4.00000000000000022e-01,-7.78561908466780822e-06,-8.78346598166806842e+01,-7.78559383119753720e-06,-8.78346598736721376e+01
 5.00000000000000000e-01,-7.78014733268262938e-06,-8.78346669435558880e+01,-7.78011431117117539e-06,-8.78346670084689691e+01
 6.00000000000000089e-01,-7.77467479629025354e-06,-8.78346740704311060e+01,-7.77463835158386993e-06,-8.78346741387875340e+01
 7.00000000000000067e-01,-7.76921005729472727e-06,-8.78346811884713219e+01,-7.76916595066799858e-06,-8.78346812646305040e+01
 8.00000000000000044e-01,-7.76375086563116327e-06,-8.78346882999960883e+01,-7.76369710665798724e-06,-8.78346883860005505e+01
 9.00000000000000022e-01,-7.75829377736318368e-06,-8.78346954085525908e+01,-7.75823181778503967e-06,-8.78346955029003453e+01
 1.00000000000000000e+00,-7.75283879360642575e-06,-8.78347025141408295e+01,-7.75277008228032409e-06,-8.78347026153325743e+01
 1.10000000000000009e+00,-7.74738591547389755e-06,-8.78347096167607901e+01,-7.74731189837809189e-06,-8.78347097232998806e+01
 1.20000000000000018e+00,-7.74193514408650319e-06,-8.78347167164124727e+01,-7.74185726430940285e-06,-8.78347168268049501e+01
 1.30000000000000004e+00,-7.73648648055724227e-06,-8.78347238130959056e+01,-7.73640617830631625e-06,-8.78347239258504544e+01
 1.40000000000000013e+00,-7.73103992599964293e-06,-8.78347309068110462e+01,-7.73095863859768790e-06,-8.78347310204390226e+01
 1.50000000000000000e+00,-7.72559843971245565e-06,-8.78347379944798945e+01,-7.72551464341758962e-06,-8.78347381105733405e+01
 1.60000000000000009e+00,-7.72016102727727748e-06,-8.78347450771393596e+01,-7.72007419099687283e-06,-8.78347451962560655e+01
 1.70000000000000018e+00,-7.71472667404926513e-06,-8.78347521558468713e+01,-7.71463727956530982e-06,-8.78347522774898550e+01
 1.80000000000000004e+00,-7.70929538150490205e-06,-8.78347592306024154e+01,-7.70920390735472777e-06,-8.78347593542773524e+01
 1.90000000000000013e+00,-7.70386715112287569e-06,-8.78347663014060203e+01,-7.70377407259480582e-06,-8.78347664266212291e+01
 2.00000000000000000e+00,-7.69844198437884448e-06,-8.78347733682576717e+01,-7.69834777351832828e-06,-8.78347734945241285e+01
 2.10000000000000009e+00,-7.69301988274648822e-06,-8.78347804311573697e+01,-7.69292500835279065e-06,-8.78347805579887080e+01
 2.20000000000000018e+00,-7.68760084769855156e-06,-8.78347874901051142e+01,-7.68750577532984391e-06,-8.78347876170176107e+01
