"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-5.38991946537544325e-05,-8.78471391553673726e+01,-5.38796729386799422e-05,-8.78471395421156274e+01
 1.00000000000000006e-01,-5.38647028489858037e-05,-8.78471435369418003e+01,-5.38450833160987341e-05,-8.78471439343946798e+01
 2.00000000000000011e-01,-5.38302088070108915e-05,-8.78471479185162423e+01,-5.38105187941076912e-05,-8.78471483242604023e+01
 3.00000000000000044e-01,-5.37957125278007206e-05,-8.78471523000906700e+01,-5.37759793557566744e-05,-8.78471527117140454e+01
 4.00000000000000022e-01,-5.37612140113726721e-05,-8.78471566816650977e+01,-5.37414649841004238e-05,-8.78471570967568312e+01
 5.00000000000000000e-01,-5.37267537260388445e-05,-8.78471610597161003e+01,-5.37069756622100711e-05,-8.78471614793900244e+01
 6.00000000000000089e-01,-5.36923781964249831e-05,-8.78471654301937548e+01,-5.36725113731672919e-05,-8.78471658596148615e+01
 7.00000000000000067e-01,-5.36580004438059962e-05,-8.78471698006714092e+01,-5.36380721000644683e-05,-8.78471702374325929e+01
 8.00000000000000044e-01,-5.36236204681876435e-05,-8.78471741711490495e+01,-5.36036578259930271e-05,-8.78471746128444408e+01
 9.00000000000000022e-01,-5.35892382695641451e-05,-8.78471785416267039e+01,-5.35692685340722927e-05,-8.78471789858516559e+01
 1.00000000000000000e+00,-5.35549209049669914e-05,-8.78471829062329448e+01,-5.35349042074091824e-05,-8.78471833564554885e+01
 1.10000000000000009e+00,-5.35206546165574557e-05,-8.78471872661732789e+01,-5.35005648291441558e-05,-8.78471877246571609e+01
 1.20000000000000018e+00,-5.34864041633106705e-05,-8.78471916245338207e+01,-5.34662503824110658e-05,-8.78471920904579093e+01
 1.30000000000000004e+00,-5.34521695482437808e-05,-8.78471959813145560e+01,-5.34319608503773551e-05,-8.78471964538589987e+01
 1.40000000000000013e+00,-5.34179507743611108e-05,-8.78472003365154990e+01,-5.33976962161807731e-05,-8.78472008148616368e+01
 1.50000000000000000e+00,-5.33837478446713961e-05,-8.78472046901366497e+01,-5.33634564630156846e-05,-8.78472051734670742e+01
 1.60000000000000009e+00,-5.33495607621820237e-05,-8.78472090421779939e+01,-5.33292415740409468e-05,-8.78472095296765332e+01
 1.70000000000000018e+00,-5.33153895298933131e-05,-8.78472133926395458e+01,-5.32950515324662864e-05,-8.78472138834912641e+01
 1.80000000000000004e+00,-5.32812341508271729e-05,-8.78472177415213054e+01,-5.32608863214947012e-05,-8.78472182349125035e+01
 1.90000000000000013e+00,-5.32470946279697737e-05,-8.78472220888232584e+01,-5.32267459243283353e-05,-8.78472225839414733e+01
