"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-1.31299463796794408e-05,-8.78487530852263632e+01,-1.31302723735565700e-05,-8.78487529629429957e+01
 1.00000000000000006e-01,-1.31230298440182390e-05,-8.78487589253049777e+01,-1.31233351647633743e-05,-8.78487588158261303e+01
 2.00000000000000011e-01,-1.31161121638302150e-05,-8.78487647653835921e+01,-1.31164026604623015e-05,-8.78487646650783631e+01
 3.00000000000000044e-01,-1.31091933391177811e-05,-8.78487706054622208e+01,-1.31094748581910098e-05,-8.78487705107017121e+01
 4.00000000000000022e-01,-1.31022733698761008e-05,-8.78487764455408353e+01,-1.31025517555136985e-05,-8.78487763526982803e+01
 5.00000000000000000e-01,-1.30953752300221221e-05,-8.78487822714087940e+01,-1.30956333499727574e-05,-8.78487821910701285e+01
 6.00000000000000089e-01,-1.30884763885693438e-05,-8.78487880970069028e+01,-1.30887196391201681e-05,-8.78487880258192888e+01
 7.00000000000000067e-01,-1.30815764093008751e-05,-8.78487939226049974e+01,-1.30818106205078816e-05,-8.78487938569478501e+01
 8.00000000000000044e-01,-1.30746752922191233e-05,-8.78487997482030920e+01,-1.30749062916829584e-05,-8.78487996844578731e+01
 9.00000000000000022e-01,-1.30677935043732982e-05,-8.78488055611066301e+01,-1.30680066501924216e-05,-8.78488055083513899e+01
 1.00000000000000000e+00,-1.30609151689792918e-05,-8.78488113711671303e+01,-1.30611116935904685e-05,-8.78488113286304753e+01
 1.10000000000000009e+00,-1.30540395673988915e-05,-8.78488171788314105e+01,-1.30542214194216032e-05,-8.78488171452971898e+01
 1.20000000000000018e+00,-1.30471667012843638e-05,-8.78488229840994705e+01,-1.30473358252399249e-05,-8.78488229583535798e+01
 1.30000000000000004e+00,-1.30402965722871892e-05,-8.78488287869713105e+01,-1.30404549085874557e-05,-8.78488287678016917e+01
 1.40000000000000013e+00,-1.30334291820652586e-05,-8.78488345874469303e+01,-1.30335786670157945e-05,-8.78488345736436003e+01
 1.50000000000000000e+00,-1.30265645322708519e-05,-8.78488403855263300e+01,-1.30267070980741021e-05,-8.78488403758813376e+01
 1.60000000000000009e+00,-1.30197026245506572e-05,-8.78488461812094954e+01,-1.30198401993018750e-05,-8.78488461745169502e+01
 1.70000000000000018e+00,-1.30128434605553739e-05,-8.78488519744964549e+01,-1.30129779682553875e-05,-8.78488519695524985e+01
 1.80000000000000004e+00,-1.30059870419444853e-05,-8.78488577653871943e+01,-1.30061204024740869e-05,-8.78488577609900148e+01
 1.90000000000000013e+00,-1.29991397201862709e-05,-8.78488635498860333e+01,-1.29992674995141576e-05,-8.78488635488315595e+01
 2.00000000000000000e+00,-1.29922969120589585e-05,-8.78488693308793529e+01,-1.29924192569149860e-05,-8.78488693330791790e+01
 2.10000000000000009e+00,-1.29854581164287356e-05,-8.78488751086839130e+01,-1.29855756722230903e-05,-8.78488751137349055e+01
 2.20000000000000018e+00,-1.29786233354752534e-05,-8.78488808832997137e+01,-1.29787367429849820e-05,-8.78488808908007854e+01
 2.30000000000000027e+00,-1.29717925713887003e-05,-8.78488866547267406e+01,-1.29719024667495239e-05,-8.78488866642788651e+01
