"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-5.45709111744227724e-05,-8.78474350470647778e+01,-5.45676867868636953e-05,-8.78474350732553972e+01
 1.00000000000000006e-01,-5.45360929171323904e-05,-8.78474394179837503e+01,-5.45327500536934158e-05,-8.78474394541651833e+01
 2.00000000000000011e-01,-5.45012724159883594e-05,-8.78474437889027087e+01,-5.44978387649186824e-05,-8.78474438326688158e+01
 3.00000000000000044e-01,-5.44664496710023754e-05,-8.78474481598216670e+01,-5.44629529031785724e-05,-8.78474482087675312e+01
 4.00000000000000022e-01,-5.44316246821685700e-05,-8.78474525307406395e+01,-5.44280924511316515e-05,-8.78474525824625658e+01
 5.00000000000000000e-01,-5.43968370317278707e-05,-8.78474568982193205e+01,-5.43932573914559535e-05,-8.78474569537551844e+01
 6.00000000000000089e-01,-5.43621364522585624e-05,-8.78474612579360183e+01,-5.43584477068138390e-05,-8.78474613226466232e+01
 7.00000000000000067e-01,-5.43274336432883413e-05,-8.78474656176527162e+01,-5.43236633798813631e-05,-8.78474656891381329e+01
 8.00000000000000044e-01,-5.42927286048288559e-05,-8.78474699773694141e+01,-5.42889043933655622e-05,-8.78474700532309640e+01
 9.00000000000000022e-01,-5.42580213368742649e-05,-8.78474743370861120e+01,-5.42541707299346515e-05,-8.78474744149263529e+01
 1.00000000000000000e+00,-5.42233804177059007e-05,-8.78474786908236780e+01,-5.42194623723111374e-05,-8.78474787742255359e+01
 1.10000000000000009e+00,-5.41887950447445476e-05,-8.78474830395248887e+01,-5.41847793031960187e-05,-8.78474831311297635e+01
 1.20000000000000018e+00,-5.41542256602572144e-05,-8.78474873866391448e+01,-5.41501215053097215e-05,-8.78474874856402863e+01
 1.30000000000000004e+00,-5.41196722672609309e-05,-8.78474917321664179e+01,-5.41154889613687217e-05,-8.78474918377583265e+01
 1.40000000000000013e+00,-5.40851348687830131e-05,-8.78474960761067223e+01,-5.40808816541261204e-05,-8.78474961874851488e+01
 1.50000000000000000e+00,-5.40506134678726035e-05,-8.78475004184600721e+01,-5.40462995663021543e-05,-8.78475005348219753e+01
 1.60000000000000009e+00,-5.40161080675137449e-05,-8.78475047592264389e+01,-5.40117426806477292e-05,-8.78475048797700566e+01
 1.70000000000000018e+00,-5.39816186707586562e-05,-8.78475090984058369e+01,-5.39772109799272832e-05,-8.78475092223306291e+01
 1.80000000000000004e+00,-5.39471452806234184e-05,-8.78475134359982803e+01,-5.39427044468896892e-05,-8.78475135625049290e+01
 1.90000000000000013e+00,-5.39126879001227912e-05,-8.78475177720037408e+01,-5.39082230643087501e-05,-8.78475179002941928e+01
 2.00000000000000000e+00,-5.38782465322817529e-05,-8.78475221064222325e+01,-5.38737668149601187e-05,-8.78475222356996568e+01
 2.10000000000000009e+00,-5.38438211801181327e-05,-8.78475264392537554e+01,-5.38393356816269084e-05,-8.78475265687225573e+01
 2.20000000000000018e+00,-5.38094477071417312e-05,-8.78475307673222972e+01,-5.38049296471056700e-05,-8.78475308993641448e+01
 2.30000000000000027e+00,-5.37750975492596713e-05,-8.78475350931583421e+01,-5.37705486941888818e-05,-8.78475352276256416e+01
 2.40000000000000036e+00,-5.37407693427966401e-05,-8.78475394168829951e+01,-5.37361928056881311e-05,-8.78475395535082839e+01
 2.50000000000000000e+00,-5.37064630917524964e-05,-8.78475437384962561e+01,-5.37018619644110274e-05,-8.78475438770133081e+01
 2.60000000000000009e+00,-5.36721788001189474e-05,-8.78475480579981252e+01,-5.36675561531840389e-05,-8.78475481981419506e+01
 2.70000000000000018e+00,-5.36379164718910477e-05,-8.78475523753886165e+01,-5.36332753548183054e-05,-8.78475525168954334e+01
 2.80000000000000027e+00,-5.36036761110442346e-05,-8.78475566906677159e+01,-5.35990195521668446e-05,-8.78475568332750072e+01
 2.90000000000000036e+00,-5.35694577215630529e-05,-8.78475610038354233e+01,-5.35647887280671424e-05,-8.78475611472818940e+01
 3.00000000000000000e+00,-5.35352613074468667e-05,-8.78475653148917530e+01,-5.35305828653584944e-05,-8.78475654589173161e+01
 3.10000000000000009e+00,-5.35010868726582453e-05,-8.78475696238366908e+01,-5.34964019469046786e-05,-8.78475697681825096e+01
 3.20000000000000018e+00,-5.34669344211802900e-05,-8.78475739306702508e+01,-5.34622459555655633e-05,-8.78475740750787111e+01
 3.30000000000000027e+00,-5.34328072809846881e-05,-8.78475782350880792e+01,-5.34281148742198547e-05,-8.78475783796071426e+01
 3.40000000000000036e+00,-5.33987108488375762e-05,-8.78475825365965477e+01,-5.33940086857478716e-05,-8.78475826817690546e+01
 3.50000000000000000e+00,-5.33646382285478507e-05,-8.78475868358274425e+01,-5.33599273730145577e-05,-8.78475869815656409e+01
 3.60000000000000009e+00,-5.33305894244035379e-05,-8.78475911327807637e+01,-5.33258709189206556e-05,-8.78475912789981379e+01
 3.70000000000000018e+00,-5.32965644406727148e-05,-8.78475954274565254e+01,-5.32918393063800945e-05,-8.78475955740677961e+01
 3.80000000000000027e+00,-5.32625632816092825e-05,-8.78475997198547134e+01,-5.32578325182798409e-05,-8.78475998667758233e+01
 3.90000000000000036e+00,-5.32285859514871864e-05,-8.78476040099753419e+01,-5.32238505375370427e-05,-8.78476041571234418e+01
 4.00000000000000000e+00,-5.31946324545605172e-05,-8.78476082978183967e+01,-5.31898933470875774e-05,-8.78476084451118879e+01
 4.10000000000000053e+00,-5.31607027950805944e-05,-8.78476125833838779e+01,-5.31559609298346475e-05,-8.78476127307423695e+01
 4.20000000000000018e+00,-5.31267969773130554e-05,-8.78476168666717996e+01,-5.31220532687343982e-05,-8.78476170140161372e+01
 4.29999999999999982e+00,-5.30929150054979711e-05,-8.78476211476821476e+01,-5.30881703467103947e-05,-8.78476212949343847e+01
 4.40000000000000036e+00,-5.30590568839011146e-05,-8.78476254264149361e+01,-5.30543121467218857e-05,-8.78476255734983624e+01
 4.50000000000000000e+00,-5.30252250191090533e-05,-8.78476297026104476e+01,-5.30204786517240681e-05,-8.78476298497092785e+01
 4.60000000000000053e+00,-5.29914186250022182e-05,-8.78476339763541745e+01,-5.29866698446791992e-05,-8.78476341235683549e+01
 4.70000000000000018e+00,-5.29576364947130092e-05,-8.78476382477770557e+01,-5.29528857085512713e-05,-8.78476383950767996e+01
 4.80000000000000071e+00,-5.29238786325562935e-05,-8.78476425168791053e+01,-5.29191262263284138e-05,-8.78476426642358632e+01
 4.90000000000000036e+00,-5.28901450428158080e-05,-8.78476467836602950e+01,-5.28853913809776343e-05,-8.78476469310467394e+01
 5.00000000000000000e+00,-5.28564357298233334e-05,-8.78476510481206390e+01,-5.28516811555014752e-05,-8.78476511955106645e+01
 5.10000000000000053e+00,-5.28227506978738487e-05,-8.78476553102601372e+01,-5.28179955328869207e-05,-8.78476554576288322e+01
 5.20000000000000018e+00,-5.27890899512481362e-05,-8.78476595700787897e+01,-5.27843344961564489e-05,-8.78476597174024931e+01
