"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-4.90138833767563063e-05,-8.78445425330899212e+01,-4.90243605016284442e-05,-8.78445422964105660e+01
 1.00000000000000006e-01,-4.89825914028747784e-05,-8.78445470080811077e+01,-4.89929617142560977e-05,-8.78445467823159731e+01
 2.00000000000000011e-01,-4.89512972758352749e-05,-8.78445514830722800e+01,-4.89615856275799391e-05,-8.78445512657222878e+01
 3.00000000000000044e-01,-4.89200009956268928e-05,-8.78445559580634665e+01,-4.89302322262702308e-05,-8.78445557466308600e+01
 4.00000000000000022e-01,-4.88887025622605285e-05,-8.78445604330546530e+01,-4.88989014949446917e-05,-8.78445602250429545e+01
 5.00000000000000000e-01,-4.88574469191374502e-05,-8.78445649035766110e+01,-4.88675934182718086e-05,-8.78445647009599213e+01
 6.00000000000000089e-01,-4.88262580377924168e-05,-8.78445693672465211e+01,-4.88363079809109340e-05,-8.78445691743830537e+01
 7.00000000000000067e-01,-4.87950670168311608e-05,-8.78445738309164454e+01,-4.88050451675179237e-05,-8.78445736453136448e+01
 8.00000000000000044e-01,-4.87638738562428469e-05,-8.78445782945863556e+01,-4.87738049627829825e-05,-8.78445781137530162e+01
 9.00000000000000022e-01,-4.87326785560383103e-05,-8.78445827582562799e+01,-4.87425873513709786e-05,-8.78445825797024753e+01
 1.00000000000000000e+00,-4.87015595288501867e-05,-8.78445872140886763e+01,-4.87113923179865842e-05,-8.78445870431633296e+01
 1.10000000000000009e+00,-4.86704739378488794e-05,-8.78445916663663411e+01,-4.86802198473144744e-05,-8.78445915041368721e+01
 1.20000000000000018e+00,-4.86394026081285574e-05,-8.78445961170062333e+01,-4.86490699240628926e-05,-8.78445959626244246e+01
 1.30000000000000004e+00,-4.86083455426148116e-05,-8.78446005660083813e+01,-4.86179425329364022e-05,-8.78446004186272802e+01
 1.40000000000000013e+00,-4.85773027442049283e-05,-8.78446050133727709e+01,-4.85868376586521980e-05,-8.78446048721467463e+01
 1.50000000000000000e+00,-4.85462742158219098e-05,-8.78446094590993880e+01,-4.85557552859346438e-05,-8.78446093231841303e+01
 1.60000000000000009e+00,-4.85152599603712350e-05,-8.78446139031882609e+01,-4.85246953995098178e-05,-8.78446137717407112e+01
 1.70000000000000018e+00,-4.84842599807624891e-05,-8.78446183456393612e+01,-4.84936579841218029e-05,-8.78446182178178248e+01
 1.80000000000000004e+00,-4.84532742799146900e-05,-8.78446227864527174e+01,-4.84626430245002824e-05,-8.78446226614167358e+01
 1.90000000000000013e+00,-4.84223028607132927e-05,-8.78446272256283009e+01,-4.84316505054143705e-05,-8.78446271025387802e+01
 2.00000000000000000e+00,-4.83913457260854533e-05,-8.78446316631661404e+01,-4.84006804116134288e-05,-8.78446315411852368e+01
 2.10000000000000009e+00,-4.83604172296393651e-05,-8.78446360976003149e+01,-4.83697327278538662e-05,-8.78446359773573988e+01
 2.20000000000000018e+00,-4.83295239903794787e-05,-8.78446405282552973e+01,-4.83388074389207888e-05,-8.78446404110565879e+01
 2.30000000000000027e+00,-4.82986503813075569e-05,-8.78446449567278620e+01,-4.83079045295741632e-05,-8.78446448422840689e+01
 2.40000000000000036e+00,-4.82677964062671640e-05,-8.78446493830180088e+01,-4.82770239846239916e-05,-8.78446492710411775e+01
 2.50000000000000000e+00,-4.82369620691048935e-05,-8.78446538071257237e+01,-4.82461657888390969e-05,-8.78446536973291785e+01
