"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-4.10157327212769219e-05,-8.78546214596236723e+01,-4.10059645474557456e-05,-8.78546217193336645e+01
 1.00000000000000006e-01,-4.09897437023430596e-05,-8.78546256416551614e+01,-4.09798735905642829e-05,-8.78546259122757220e+01
 2.00000000000000011e-01,-4.09637524885244543e-05,-8.78546298236866363e+01,-4.09538011127834502e-05,-8.78546301028790708e+01
 3.00000000000000044e-01,-4.09377590798270217e-05,-8.78546340057181254e+01,-4.09277471027153959e-05,-8.78546342911448903e+01
 4.00000000000000022e-01,-4.09117634762625254e-05,-8.78546381877496145e+01,-4.09017115489920501e-05,-8.78546384770743600e+01
 5.00000000000000000e-01,-4.08857656778132862e-05,-8.78546423697810894e+01,-4.08756944402280907e-05,-8.78546426606686310e+01
 6.00000000000000089e-01,-4.08598537565363703e-05,-8.78546465418444598e+01,-4.08496957650620343e-05,-8.78546468419288971e+01
 7.00000000000000067e-01,-4.08339579404107044e-05,-8.78546507118382181e+01,-4.08237155121740785e-05,-8.78546510208563376e+01
 8.00000000000000044e-01,-4.08080599449746903e-05,-8.78546548818319906e+01,-4.07977536702095500e-05,-8.78546551974521037e+01
 9.00000000000000022e-01,-4.07821597702048212e-05,-8.78546590518257489e+01,-4.07718102278495205e-05,-8.78546593717173749e+01
 1.00000000000000000e+00,-4.07562574161246039e-05,-8.78546632218195214e+01,-4.07458851737814787e-05,-8.78546635436533165e+01
 1.10000000000000009e+00,-4.07304122018158166e-05,-8.78546673850812425e+01,-4.07199784967167861e-05,-8.78546677132611080e+01
 1.20000000000000018e+00,-4.07046071872318175e-05,-8.78546715435347778e+01,-4.06940901853557522e-05,-8.78546718805419147e+01
 1.30000000000000004e+00,-4.06788136333407273e-05,-8.78546757004422290e+01,-4.06682202284344040e-05,-8.78546760454968876e+01
 1.40000000000000013e+00,-4.06530315431180578e-05,-8.78546798558035960e+01,-4.06423686146776828e-05,-8.78546802081272062e+01
 1.50000000000000000e+00,-4.06272609195379583e-05,-8.78546840096188930e+01,-4.06165353328521360e-05,-8.78546843684340359e+01
 1.60000000000000009e+00,-4.06015017655849664e-05,-8.78546881618881201e+01,-4.05907203717073770e-05,-8.78546885264185420e+01
 1.70000000000000018e+00,-4.05757540842188659e-05,-8.78546923126112631e+01,-4.05649237200171836e-05,-8.78546926820818754e+01
 1.80000000000000004e+00,-4.05500178784098220e-05,-8.78546964617883361e+01,-4.05391453665735480e-05,-8.78546968354252158e+01
 1.90000000000000013e+00,-4.05242931511382997e-05,-8.78547006094193250e+01,-4.05133853001634142e-05,-8.78547009864497142e+01
 2.00000000000000000e+00,-4.04985799053542774e-05,-8.78547047555042440e+01,-4.04876435096036705e-05,-8.78547051351565358e+01
 2.10000000000000009e+00,-4.04728781440355368e-05,-8.78547089000430930e+01,-4.04619199837061432e-05,-8.78547092815468176e+01
 2.20000000000000018e+00,-4.04471878701468694e-05,-8.78547130430358578e+01,-4.04362147113185053e-05,-8.78547134256217532e+01
 2.30000000000000027e+00,-4.04215102067571983e-05,-8.78547171843536319e+01,-4.04105276812834760e-05,-8.78547175673824796e+01
 2.40000000000000036e+00,-4.03958732100687009e-05,-8.78547213207678794e+01,-4.03848588824504766e-05,-8.78547217068301620e+01
 2.50000000000000000e+00,-4.03702521380562440e-05,-8.78547254551269390e+01,-4.03592083036873528e-05,-8.78547258439659373e+01
 2.60000000000000009e+00,-4.03446469946471399e-05,-8.78547295874308247e+01,-4.03335759338976476e-05,-8.78547299787909850e+01
 2.70000000000000018e+00,-4.03190577837431611e-05,-8.78547337176795224e+01,-4.03079617619569658e-05,-8.78547341113064562e+01
