"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-3.15732063817285243e-05,-8.78354845337328527e+01,-3.15730632327058052e-05,-8.78354845113435800e+01
 1.00000000000000006e-01,-3.15515352920174818e-05,-8.78354892821454882e+01,-3.15513279112548543e-05,-8.78354892703670913e+01
 2.00000000000000011e-01,-3.15298623752871025e-05,-8.78354940305581238e+01,-3.15296078694362263e-05,-8.78354940266103625e+01
 3.00000000000000044e-01,-3.15081876315334019e-05,-8.78354987789707451e+01,-3.15079030969268664e-05,-8.78354987800749143e+01
 4.00000000000000022e-01,-3.14865110607683469e-05,-8.78355035273833806e+01,-3.14862135834056915e-05,-8.78355035307622529e+01
 5.00000000000000000e-01,-3.14648808137443317e-05,-8.78355082679978665e+01,-3.14645393185376734e-05,-8.78355082786738564e+01
 6.00000000000000089e-01,-3.14432749663896133e-05,-8.78355130043663479e+01,-3.14428802919976497e-05,-8.78355130238112309e+01
 7.00000000000000067e-01,-3.14216673031295993e-05,-8.78355177407348435e+01,-3.14212364934784153e-05,-8.78355177661758688e+01
 8.00000000000000044e-01,-3.14000578239404101e-05,-8.78355224771033249e+01,-3.13996079126468460e-05,-8.78355225057692763e+01
 9.00000000000000022e-01,-3.13784650310604767e-05,-8.78355272104676885e+01,-3.13779945391995583e-05,-8.78355272425929599e+01
 1.00000000000000000e+00,-3.13569219967955166e-05,-8.78355319354592439e+01,-3.13563963627994097e-05,-8.78355319766483831e+01
 1.10000000000000009e+00,-3.13353884879092180e-05,-8.78355366586113178e+01,-3.13348133731508163e-05,-8.78355367079370808e+01
 1.20000000000000018e+00,-3.13138645069408232e-05,-8.78355413799239528e+01,-3.13132455599363544e-05,-8.78355414364605167e+01
 1.30000000000000004e+00,-3.12923500563927248e-05,-8.78355460993971064e+01,-3.12916929128405043e-05,-8.78355461622201972e+01
 1.40000000000000013e+00,-3.12708451388097420e-05,-8.78355508170308070e+01,-3.12701554215575722e-05,-8.78355508852176143e+01
 1.50000000000000000e+00,-3.12493497567157009e-05,-8.78355555328250546e+01,-3.12486330757798445e-05,-8.78355556054542461e+01
 1.60000000000000009e+00,-3.12278639126214308e-05,-8.78355602467798349e+01,-3.12271258652013835e-05,-8.78355603229316131e+01
 1.70000000000000018e+00,-3.12063876090563414e-05,-8.78355649588951479e+01,-3.12056337795222141e-05,-8.78355650376511790e+01
 1.80000000000000004e+00,-3.11849208485407759e-05,-8.78355696691710079e+01,-3.11841568084283483e-05,-8.78355697496144501e+01
 1.90000000000000013e+00,-3.11634636335939323e-05,-8.78355743776074149e+01,-3.11626949416353628e-05,-8.78355744588229044e+01
 2.00000000000000000e+00,-3.11420267054679636e-05,-8.78355790824381444e+01,-3.11412481688251561e-05,-8.78355791652780340e+01
 2.10000000000000009e+00,-3.11206122442204909e-05,-8.78355837833054807e+01,-3.11198164797169371e-05,-8.78355838689813311e+01
 2.20000000000000018e+00,-3.10992110330215036e-05,-8.78355884817259920e+01,-3.10983998640120861e-05,-8.78355885699342878e+01
 2.30000000000000027e+00,-3.10778230751863294e-05,-8.78355931776996641e+01,-3.10769992270033506e-05,-8.78355932680880187e+01
 2.40000000000000036e+00,-3.10564483740715226e-05,-8.78355978712265255e+01,-3.10556176990447051e-05,-8.78355979632713115e+01
 2.50000000000000000e+00,-3.10350869329883180e-05,-8.78356025623065477e+01,-3.10342512900527935e-05,-8.78356026557045340e+01
 2.60000000000000009e+00,-3.10137387552773323e-05,-8.78356072509397450e+01,-3.10128999903324564e-05,-8.78356073453891639e+01
 2.70000000000000018e+00,-3.09924038442575182e-05,-8.78356119371261030e+01,-3.09915637901851462e-05,-8.78356120323266083e+01
 2.80000000000000027e+00,-3.09710822032653523e-05,-8.78356166208656504e+01,-3.09702426799323595e-05,-8.78356167165183592e+01
 2.90000000000000036e+00,-3.09497738356078340e-05,-8.78356213021583585e+01,-3.09489366498921575e-05,-8.78356213979658378e+01
 3.00000000000000000e+00,-3.09284787446134166e-05,-8.78356259810042417e+01,-3.09276456903869853e-05,-8.78356260766705077e+01
 3.10000000000000009e+00,-3.09072017557863405e-05,-8.78356306565872842e+01,-3.09063697917474876e-05,-8.78356307526338185e+01
 3.20000000000000018e+00,-3.08859407792307496e-05,-8.78356353292618479e+01,-3.08851089442931483e-05,-8.78356354258572054e+01
