"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-1.51676590533811295e-09,-8.78374142353340943e+01,-1.51677025457876274e-09,-8.78374141779732867e+01
 1.00000000000000006e-01,-1.51571742141005457e-09,-8.78374232634362215e+01,-1.51571993319704987e-09,-8.78374232188863715e+01
 2.00000000000000011e-01,-1.51466874725177174e-09,-8.78374322915383630e+01,-1.51467025569848858e-09,-8.78374322539569903e+01
 3.00000000000000044e-01,-1.51362054816293087e-09,-8.78374413149986424e+01,-1.51362122183471808e-09,-8.78374412831889089e+01
 4.00000000000000022e-01,-1.51257374460679278e-09,-8.78374503273983152e+01,-1.51257283135702916e-09,-8.78374503065858789e+01
 5.00000000000000000e-01,-1.51152675156194866e-09,-8.78374593397979879e+01,-1.51152508401656867e-09,-8.78374593241516521e+01
 6.00000000000000089e-01,-1.51048079217621701e-09,-8.78374683436519774e+01,-1.51047797956433104e-09,-8.78374683358899659e+01
 7.00000000000000067e-01,-1.50943592957557567e-09,-8.78374773385235272e+01,-1.50943151775097034e-09,-8.78374773418045862e+01
 8.00000000000000044e-01,-1.50839143149005602e-09,-8.78374863295315151e+01,-1.50838569832759018e-09,-8.78374863418992504e+01
 9.00000000000000022e-01,-1.50734729819177112e-09,-8.78374953166759127e+01,-1.50734052104435226e-09,-8.78374953361776960e+01
 1.00000000000000000e+00,-1.50630352995329869e-09,-8.78375042999567341e+01,-1.50629598565167260e-09,-8.78375043246436746e+01
 1.10000000000000009e+00,-1.50526012704688745e-09,-8.78375132793739795e+01,-1.50525209189942274e-09,-8.78375133073009096e+01
 1.20000000000000018e+00,-1.50421708974426002e-09,-8.78375222549276344e+01,-1.50420883953753213e-09,-8.78375222841531240e+01
 1.30000000000000004e+00,-1.50317490125126908e-09,-8.78375312232086287e+01,-1.50316622831558735e-09,-8.78375312552040697e+01
 1.40000000000000013e+00,-1.50213344040518520e-09,-8.78375401850756958e+01,-1.50212425798362642e-09,-8.78375402204574698e+01
 1.50000000000000000e+00,-1.50109252803610317e-09,-8.78375491417964014e+01,-1.50108292829055617e-09,-8.78375491799170334e+01
 1.60000000000000009e+00,-1.50005216450397642e-09,-8.78375580933707312e+01,-1.50004223898592783e-09,-8.78375581335865121e+01
 1.70000000000000018e+00,-1.49901235017070040e-09,-8.78375670397987136e+01,-1.49900218981816867e-09,-8.78375670814695866e+01
 1.80000000000000004e+00,-1.49797308539596530e-09,-8.78375759810803203e+01,-1.49796278053674782e-09,-8.78375760235700085e+01
 1.90000000000000013e+00,-1.49693437054002005e-09,-8.78375849172155654e+01,-1.49692401088961177e-09,-8.78375849598914726e+01
 2.00000000000000000e+00,-1.49589638575097960e-09,-8.78375938469159365e+01,-1.49588588062575256e-09,-8.78375938904376881e+01
 2.10000000000000009e+00,-1.49485904629604781e-09,-8.78376027707918183e+01,-1.49484838949303354e-09,-8.78376028152123638e+01
 2.20000000000000018e+00,-1.49382231566323258e-09,-8.78376116891077174e+01,-1.49381153724016531e-09,-8.78376117342192231e+01
 2.30000000000000027e+00,-1.49278619423948795e-09,-8.78376206018636339e+01,-1.49277532361473681e-09,-8.78376206474619607e+01
 2.40000000000000036e+00,-1.49175068241248308e-09,-8.78376295090595534e+01,-1.49173974836419759e-09,-8.78376295549442574e+01
 2.50000000000000000e+00,-1.49071578056961685e-09,-8.78376384106955044e+01,-1.49070481123664696e-09,-8.78376384566698363e+01
 2.60000000000000009e+00,-1.48968148909762659e-09,-8.78376473067714443e+01,-1.48967051197906175e-09,-8.78376473526423780e+01
 2.70000000000000018e+00,-1.48864786680696460e-09,-8.78376561968521656e+01,-1.48863685033887436e-09,-8.78376562428655774e+01
 2.80000000000000027e+00,-1.48761487652876098e-09,-8.78376650812176081e+01,-1.48760382606298736e-09,-8.78376651273431150e+01
 2.90000000000000036e+00,-1.48658251411144547e-09,-8.78376739599016503e+01,-1.48657143889875395e-09,-8.78376740060787000e+01
 3.00000000000000000e+00,-1.48555077994842722e-09,-8.78376828329042780e+01,-1.48553968859241558e-09,-8.78376828790759987e+01
 3.10000000000000009e+00,-1.48451967443342270e-09,-8.78376917002254913e+01,-1.48450857489027101e-09,-8.78376917463386917e+01
 3.20000000000000018e+00,-1.48348919796025839e-09,-8.78377005618653044e+01,-1.48347809753946415e-09,-8.78377006078704738e+01
 3.30000000000000027e+00,-1.48245935105747748e-09,-8.78377094178210314e+01,-1.48244825628563654e-09,-8.78377094636749973e+01
 3.40000000000000036e+00,-1.48143013919128943e-09,-8.78377182679916473e+01,-1.48141905087488261e-09,-8.78377183137559570e+01
 3.50000000000000000e+00,-1.48040155819834076e-09,-8.78377271124679311e+01,-1.48039048105316363e-09,-8.78377271581170049e+01
 3.60000000000000009e+00,-1.47937360847154743e-09,-8.78377359512498685e+01,-1.47936254656610996e-09,-8.78377359967618219e+01
 3.70000000000000018e+00,-1.47834629040354480e-09,-8.78377447843374881e+01,-1.47833524715922316e-09,-8.78377448296940599e+01
 3.80000000000000027e+00,-1.47731960438668613e-09,-8.78377536117307613e+01,-1.47730858257767824e-09,-8.78377536569173856e+01
 3.90000000000000036e+00,-1.47629355081323659e-09,-8.78377624334297025e+01,-1.47628255256709980e-09,-8.78377624784354794e+01
 4.00000000000000000e+00,-1.47526813007479321e-09,-8.78377712494343115e+01,-1.47525715687201330e-09,-8.78377712942519651e+01
 4.10000000000000053e+00,-1.47424334256286368e-09,-8.78377800597445884e+01,-1.47423239523739153e-09,-8.78377801043705233e+01
 4.20000000000000018e+00,-1.47321918866867609e-09,-8.78377888643605189e+01,-1.47320826740808049e-09,-8.78377889087947921e+01
 4.29999999999999982e+00,-1.47219566878317564e-09,-8.78377976632821174e+01,-1.47218477312840838e-09,-8.78377977075284093e+01
