"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-4.19327148136880765e-05,-8.78551748295542154e+01,-4.19363138117196109e-05,-8.78551746769259267e+01
 1.00000000000000006e-01,-4.19063151104059436e-05,-8.78551789947818804e+01,-4.19098138106168786e-05,-8.78551788530030251e+01
 2.00000000000000011e-01,-4.18799132037354804e-05,-8.78551831600095454e+01,-4.18833326259236973e-05,-8.78551830267562366e+01
 3.00000000000000044e-01,-4.18535090936826906e-05,-8.78551873252372104e+01,-4.18568702454777988e-05,-8.78551871981867407e+01
 4.00000000000000022e-01,-4.18271027802535441e-05,-8.78551914904648754e+01,-4.18304266571287463e-05,-8.78551913672957596e+01
 5.00000000000000000e-01,-4.18006942634420507e-05,-8.78551956556925404e+01,-4.18040018487200244e-05,-8.78551955340844586e+01
 6.00000000000000089e-01,-4.17743716221568857e-05,-8.78551998111969397e+01,-4.17775958081008847e-05,-8.78551996985540455e+01
 7.00000000000000067e-01,-4.17480670481166593e-05,-8.78552039644651899e+01,-4.17512085231444240e-05,-8.78552038607057000e+01
 8.00000000000000044e-01,-4.17217602863200211e-05,-8.78552081177334401e+01,-4.17248399817235296e-05,-8.78552080205406440e+01
 9.00000000000000022e-01,-4.16954513367610418e-05,-8.78552122710016761e+01,-4.16984901716811846e-05,-8.78552121780600288e+01
 1.00000000000000000e+00,-4.16691401994575701e-05,-8.78552164242699263e+01,-4.16721590809198748e-05,-8.78552163332650764e+01
 1.10000000000000009e+00,-4.16428795197637804e-05,-8.78552205717066670e+01,-4.16458466973239594e-05,-8.78552204861569663e+01
 1.20000000000000018e+00,-4.16166593651117616e-05,-8.78552247144132963e+01,-4.16195530087718209e-05,-8.78552246367368923e+01
 1.30000000000000004e+00,-4.15904508819598740e-05,-8.78552288555864891e+01,-4.15932780031654504e-05,-8.78552287850060338e+01
 1.40000000000000013e+00,-4.15642540732855806e-05,-8.78552329952262312e+01,-4.15670216684008013e-05,-8.78552329309655988e+01
 1.50000000000000000e+00,-4.15380689420827770e-05,-8.78552371333325226e+01,-4.15407839923737050e-05,-8.78552370746167384e+01
 1.60000000000000009e+00,-4.15118954913144115e-05,-8.78552412699053775e+01,-4.15145649630153989e-05,-8.78552412159606746e+01
 1.70000000000000018e+00,-4.14857337239835411e-05,-8.78552454049447960e+01,-4.14883645682273929e-05,-8.78552453549985870e+01
 1.80000000000000004e+00,-4.14595836430385793e-05,-8.78552495384507495e+01,-4.14621827959406940e-05,-8.78552494917316409e+01
