"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-8.33421038154192765e-05,-8.78539388166062452e+01,-8.33406070073753924e-05,-8.78539387439296604e+01
 1.00000000000000006e-01,-8.33186240186082884e-05,-8.78539430096125216e+01,-8.33170549252027615e-05,-8.78539429482755025e+01
 2.00000000000000011e-01,-8.32951420668781399e-05,-8.78539472026188122e+01,-8.32935172647787295e-05,-8.78539471502771363e+01
 3.00000000000000044e-01,-8.32716579602288176e-05,-8.78539513956251028e+01,-8.32699940164236208e-05,-8.78539513499357412e+01
 4.00000000000000022e-01,-8.32481716986603214e-05,-8.78539555886313792e+01,-8.32464851705225949e-05,-8.78539555472525251e+01
 5.00000000000000000e-01,-8.32246832821726648e-05,-8.78539597816376698e+01,-8.32229907174531814e-05,-8.78539597422286818e+01
 6.00000000000000089e-01,-8.32012639510503935e-05,-8.78539639646345734e+01,-8.31995106475730148e-05,-8.78539639348653907e+01
 7.00000000000000067e-01,-8.31778563662537141e-05,-8.78539681456801418e+01,-8.31760449512323298e-05,-8.78539681251638456e+01
 8.00000000000000044e-01,-8.31544466407326422e-05,-8.78539723267257244e+01,-8.31525936188579599e-05,-8.78539723131252543e+01
 9.00000000000000022e-01,-8.31310347744751026e-05,-8.78539765077713071e+01,-8.31291566407847579e-05,-8.78539764987507823e+01
 1.00000000000000000e+00,-8.31076207674690605e-05,-8.78539806888168755e+01,-8.31057340074242972e-05,-8.78539806820416516e+01
 1.10000000000000009e+00,-8.30842533071344023e-05,-8.78539848629884830e+01,-8.30823257091682968e-05,-8.78539848629990274e+01
 1.20000000000000018e+00,-8.30609164328403751e-05,-8.78539890325410369e+01,-8.30589317364009949e-05,-8.78539890416241036e+01
 1.30000000000000004e+00,-8.30375883501748789e-05,-8.78539932005522672e+01,-8.30355520794868020e-05,-8.78539932179180596e+01
 1.40000000000000013e+00,-8.30142690618461963e-05,-8.78539973670221741e+01,-8.30121867288908648e-05,-8.78539973918821033e+01
 1.50000000000000000e+00,-8.29909585705855410e-05,-8.78540015319507575e+01,-8.29888356749743414e-05,-8.78540015635174143e+01
 1.60000000000000009e+00,-8.29676568790988379e-05,-8.78540056953380173e+01,-8.29654989081508247e-05,-8.78540057328251720e+01
 1.70000000000000018e+00,-8.29443639901150101e-05,-8.78540098571839394e+01,-8.29421764188383119e-05,-8.78540098998065702e+01
 1.80000000000000004e+00,-8.29210799063256573e-05,-8.78540140174885380e+01,-8.29188681974350679e-05,-8.78540140644627741e+01
 1.90000000000000013e+00,-8.28978046304693929e-05,-8.78540181762518131e+01,-8.28955742344038136e-05,-8.78540182267949916e+01
 2.00000000000000000e+00,-8.28745381652596090e-05,-8.78540223334737505e+01,-8.28722945201274452e-05,-8.78540223868044023e+01
 2.10000000000000009e+00,-8.28512805133964841e-05,-8.78540264891543785e+01,-8.28490290450291915e-05,-8.78540265444921715e+01
 2.20000000000000018e+00,-8.28280316775911063e-05,-8.78540306432936688e+01,-8.28257777995606735e-05,-8.78540306998594929e+01
 2.30000000000000027e+00,-8.28047940811121739e-05,-8.78540347955425460e+01,-8.28025407741417860e-05,-8.78540348529075459e+01
 2.40000000000000036e+00,-8.27815872624878039e-05,-8.78540389430840349e+01,-8.27793179592446553e-05,-8.78540390036375243e+01
 2.50000000000000000e+00,-8.27583928099382728e-05,-8.78540430885740591e+01,-8.27561093452498195e-05,-8.78540431520505791e+01
 2.60000000000000009e+00,-8.27352107271002657e-05,-8.78540472320126611e+01,-8.27329149226379700e-05,-8.78540472981479041e+01
 2.70000000000000018e+00,-8.27120410175365795e-05,-8.78540513733997983e+01,-8.27097346818821003e-05,-8.78540514419306930e+01
 2.80000000000000027e+00,-8.26888836848199178e-05,-8.78540555127354992e+01,-8.26865686133875768e-05,-8.78540555834000969e+01
 2.90000000000000036e+00,-8.26657387325569469e-05,-8.78540596500197495e+01,-8.26634167076239508e-05,-8.78540597225572952e+01
 3.00000000000000000e+00,-8.26426061643282579e-05,-8.78540637852525492e+01,-8.26402789550650154e-05,-8.78540638594034959e+01
 3.10000000000000009e+00,-8.26194859836885162e-05,-8.78540679184339126e+01,-8.26171553461648177e-05,-8.78540679939398359e+01
