"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-1.60131823043802561e-04,-8.78441349798843305e+01,-1.60139352524421471e-04,-8.78441348448385213e+01
 1.00000000000000006e-01,-1.60106679616838041e-04,-8.78441394302684415e+01,-1.60114143587519498e-04,-8.78441393067014502e+01
 2.00000000000000011e-01,-1.60081534227736878e-04,-8.78441438806525525e+01,-1.60088947583548373e-04,-8.78441437660990090e+01
 3.00000000000000044e-01,-1.60056386876569816e-04,-8.78441483310366777e+01,-1.60063764502914048e-04,-8.78441482230325192e+01
 4.00000000000000022e-01,-1.60031237563248410e-04,-8.78441527814207888e+01,-1.60038594335888055e-04,-8.78441526775032457e+01
 5.00000000000000000e-01,-1.60006112942221167e-04,-8.78441572274890916e+01,-1.60013437072819968e-04,-8.78441571295124675e+01
 6.00000000000000089e-01,-1.59981028229760826e-04,-8.78441616667790441e+01,-1.59988292704030976e-04,-8.78441615790614634e+01
 7.00000000000000067e-01,-1.59955941565695673e-04,-8.78441661060689825e+01,-1.59963161219884854e-04,-8.78441660261514983e+01
 8.00000000000000044e-01,-1.59930852950061108e-04,-8.78441705453589350e+01,-1.59938042610770285e-04,-8.78441704707838795e+01
 9.00000000000000022e-01,-1.59905762382892366e-04,-8.78441749846488875e+01,-1.59912936866959184e-04,-8.78441749129598577e+01
 1.00000000000000000e+00,-1.59880716490372831e-04,-8.78441794163256873e+01,-1.59887843978889836e-04,-8.78441793526807260e+01
 1.10000000000000009e+00,-1.59855690699937871e-04,-8.78441838444029912e+01,-1.59862763936901377e-04,-8.78441837899477491e+01
 1.20000000000000018e+00,-1.59830672803954360e-04,-8.78441882708746249e+01,-1.59837696731410977e-04,-8.78441882247622203e+01
 1.30000000000000004e+00,-1.59805662804676329e-04,-8.78441926957405883e+01,-1.59812642352719173e-04,-8.78441926571253759e+01
 1.40000000000000013e+00,-1.59780660704321621e-04,-8.78441971190008530e+01,-1.59787600791310195e-04,-8.78441970870385234e+01
 1.50000000000000000e+00,-1.59755666505195576e-04,-8.78442015406554475e+01,-1.59762572037534101e-04,-8.78442015145029274e+01
 1.60000000000000009e+00,-1.59730680209584829e-04,-8.78442059607043717e+01,-1.59737556081765777e-04,-8.78442059395198385e+01
 1.70000000000000018e+00,-1.59705701819704623e-04,-8.78442103791475972e+01,-1.59712552914475359e-04,-8.78442103620905641e+01
 1.80000000000000004e+00,-1.59680731337892876e-04,-8.78442147959851525e+01,-1.59687562526034181e-04,-8.78442147822163406e+01
 1.90000000000000013e+00,-1.59655768766362962e-04,-8.78442192112170375e+01,-1.59662584906856026e-04,-8.78442191998984470e+01
 2.00000000000000000e+00,-1.59630814107415746e-04,-8.78442236248432380e+01,-1.59637620047414606e-04,-8.78442236151381763e+01
 2.10000000000000009e+00,-1.59605874252877178e-04,-8.78442280357005103e+01,-1.59612667938102454e-04,-8.78442280279367651e+01
 2.20000000000000018e+00,-1.59580956331593465e-04,-8.78442324425859766e+01,-1.59587728569372139e-04,-8.78442324382954922e+01
 2.30000000000000027e+00,-1.59556049513665698e-04,-8.78442368473288155e+01,-1.59562801931683224e-04,-8.78442368462156224e+01
 2.40000000000000036e+00,-1.59531153802098581e-04,-8.78442412499290128e+01,-1.59537888015449491e-04,-8.78442412516984206e+01
 2.50000000000000000e+00,-1.59506269199895408e-04,-8.78442456503865685e+01,-1.59512986811144626e-04,-8.78442456547451513e+01
 2.60000000000000009e+00,-1.59481395710075303e-04,-8.78442500487015110e+01,-1.59488098309266843e-04,-8.78442500553570937e+01
 2.70000000000000018e+00,-1.59456533335620878e-04,-8.78442544448737976e+01,-1.59463222500251040e-04,-8.78442544535354983e+01
 2.80000000000000027e+00,-1.59431682079548114e-04,-8.78442588389034569e+01,-1.59438359374574343e-04,-8.78442588492816157e+01
 2.90000000000000036e+00,-1.59406841944836344e-04,-8.78442632307904887e+01,-1.59413508922720846e-04,-8.78442632425967389e+01
 3.00000000000000000e+00,-1.59382012934481028e-04,-8.78442676205348931e+01,-1.59388671135181689e-04,-8.78442676334821044e+01
 3.10000000000000009e+00,-1.59357195051475865e-04,-8.78442720081366417e+01,-1.59363846002454925e-04,-8.78442720219389770e+01
 3.20000000000000018e+00,-1.59332388298813146e-04,-8.78442763935957771e+01,-1.59339033515045706e-04,-8.78442764079686214e+01
 3.30000000000000027e+00,-1.59307598365003079e-04,-8.78442807758736279e+01,-1.59314233663448480e-04,-8.78442807915723023e+01
 3.40000000000000036e+00,-1.59282820759298319e-04,-8.78442851557913116e+01,-1.59289446438182333e-04,-8.78442851727512704e+01
 3.50000000000000000e+00,-1.59258055254213218e-04,-8.78442895333909917e+01,-1.59264671829755726e-04,-8.78442895515067761e+01
 3.60000000000000009e+00,-1.59233301852931619e-04,-8.78442939086726540e+01,-1.59239909828719185e-04,-8.78442939278400985e+01
 3.70000000000000018e+00,-1.59208560558670809e-04,-8.78442982816363127e+01,-1.59215160425577485e-04,-8.78442983017524739e+01
 3.80000000000000027e+00,-1.59183831374663825e-04,-8.78443026522819679e+01,-1.59190423610877603e-04,-8.78443026732451671e+01
 3.90000000000000036e+00,-1.59159114304089142e-04,-8.78443070206096053e+01,-1.59165699375138136e-04,-8.78443070423194285e+01
 4.00000000000000000e+00,-1.59134409350193619e-04,-8.78443113866192391e+01,-1.59140987708955150e-04,-8.78443114089765089e+01
 4.10000000000000053e+00,-1.59109716516169717e-04,-8.78443157503108694e+01,-1.59116288602861091e-04,-8.78443157732176871e+01
 4.20000000000000018e+00,-1.59085035805243074e-04,-8.78443201116844818e+01,-1.59091602047413047e-04,-8.78443201350441853e+01
 4.29999999999999982e+00,-1.59060367220602490e-04,-8.78443244707400908e+01,-1.59066928033157426e-04,-8.78443244944572541e+01
 4.40000000000000036e+00,-1.59035711723534408e-04,-8.78443288272303846e+01,-1.59042266550700321e-04,-8.78443288514581724e+01
 4.50000000000000000e+00,-1.59011069301907853e-04,-8.78443331811593850e+01,-1.59017617590619554e-04,-8.78443332060481765e+01
 4.60000000000000053e+00,-1.58986439211439122e-04,-8.78443375327200897e+01,-1.58992981143499723e-04,-8.78443375582285171e+01
 4.70000000000000018e+00,-1.58961821455368352e-04,-8.78443418819124986e+01,-1.58968357199879836e-04,-8.78443419080004304e+01
 4.80000000000000071e+00,-1.58937216036969021e-04,-8.78443462287366117e+01,-1.58943745750446110e-04,-8.78443462553651813e+01
 4.90000000000000036e+00,-1.58912622959477419e-04,-8.78443505731924148e+01,-1.58919146785733756e-04,-8.78443506003240202e+01
 5.00000000000000000e+00,-1.58888042226163227e-04,-8.78443549152799221e+01,-1.58894560296390149e-04,-8.78443549428781836e+01
 5.10000000000000053e+00,-1.58863473840276559e-04,-8.78443592549991337e+01,-1.58869986273016720e-04,-8.78443592830289219e+01
 5.20000000000000018e+00,-1.58838917805065685e-04,-8.78443635923500494e+01,-1.58845424706222029e-04,-8.78443636207774858e+01
 5.30000000000000071e+00,-1.58814374123759521e-04,-8.78443679273326552e+01,-1.58820875586673858e-04,-8.78443679561251116e+01
 5.40000000000000036e+00,-1.58789842799602487e-04,-8.78443722599469652e+01,-1.58796338904941791e-04,-8.78443722890730498e+01
 5.50000000000000000e+00,-1.58765323835854700e-04,-8.78443765901929652e+01,-1.58771814651707490e-04,-8.78443766196225369e+01
 5.60000000000000053e+00,-1.58740817235774456e-04,-8.78443809180706836e+01,-1.58747302817606619e-04,-8.78443809477748232e+01
 5.70000000000000018e+00,-1.58716323002565439e-04,-8.78443852435800920e+01,-1.58722803393299426e-04,-8.78443852735311452e+01
 5.80000000000000071e+00,-1.58691841139464642e-04,-8.78443895667212047e+01,-1.58698316369400354e-04,-8.78443895968927393e+01
 5.90000000000000036e+00,-1.58667371649724590e-04,-8.78443938874940073e+01,-1.58673841736653188e-04,-8.78443939178608701e+01
 6.00000000000000000e+00,-1.58642914536578374e-04,-8.78443982058985284e+01,-1.58649379485633582e-04,-8.78443982364367457e+01
 6.10000000000000053e+00,-1.58618469520490566e-04,-8.78444025219345264e+01,-1.58624929607081340e-04,-8.78444025526216308e+01
 6.20000000000000018e+00,-1.58594034964144339e-04,-8.78444068356008216e+01,-1.58600492091690698e-04,-8.78444068664167617e+01
 6.30000000000000071e+00,-1.58569612656187317e-04,-8.78444111468987074e+01,-1.58576066930075151e-04,-8.78444111778233605e+01
 6.40000000000000036e+00,-1.58545202599867419e-04,-8.78444154558281980e+01,-1.58551654112994937e-04,-8.78444154868426779e+01
 6.50000000000000000e+00,-1.58520804798395617e-04,-8.78444197623892933e+01,-1.58527253631094583e-04,-8.78444197934759359e+01
 6.60000000000000053e+00,-1.58496419254928566e-04,-8.78444240665819791e+01,-1.58502865475130373e-04,-8.78444240977243851e+01
 6.70000000000000018e+00,-1.58472045972726002e-04,-8.78444283684062697e+01,-1.58478489635777869e-04,-8.78444283995892619e+01
 6.80000000000000071e+00,-1.58447684954975777e-04,-8.78444326678621650e+01,-1.58454126103754430e-04,-8.78444326990717883e+01
 6.90000000000000036e+00,-1.58423336204881383e-04,-8.78444369649496508e+01,-1.58429774869784111e-04,-8.78444369961732008e+01
 7.00000000000000000e+00,-1.58398999725661979e-04,-8.78444412596687414e+01,-1.58405435924650136e-04,-8.78444412908947498e+01
 7.10000000000000053e+00,-1.58374675520482296e-04,-8.78444455520194225e+01,-1.58381109258985160e-04,-8.78444455832376434e+01
 7.20000000000000018e+00,-1.58350363592557673e-04,-8.78444498420017084e+01,-1.58356794863585880e-04,-8.78444498732031178e+01
 7.30000000000000071e+00,-1.58326063945101548e-04,-8.78444541296155990e+01,-1.58332492729220721e-04,-8.78444541607924236e+01
 7.40000000000000036e+00,-1.58301776581255723e-04,-8.78444584148610801e+01,-1.58308202846595006e-04,-8.78444584460067688e+01
 7.50000000000000000e+00,-1.58277501504282183e-04,-8.78444626977381660e+01,-1.58283925206473177e-04,-8.78444627288473896e+01
 7.60000000000000053e+00,-1.58253238717336416e-04,-8.78444669782468566e+01,-1.58259659799661118e-04,-8.78444670093155224e+01
 7.70000000000000018e+00,-1.58228988223589498e-04,-8.78444712563871377e+01,-1.58235406630539711e-04,-8.78444712874116220e+01
 7.80000000000000071e+00,-1.58204750026245380e-04,-8.78444755321590236e+01,-1.58211165734226697e-04,-8.78444755631344236e+01
 7.90000000000000036e+00,-1.58180524128506282e-04,-8.78444798055625000e+01,-1.58186937045822358e-04,-8.78444798364882757e+01
 8.00000000000000000e+00,-1.58156310533537586e-04,-8.78444840765975812e+01,-1.58162720556182911e-04,-8.78444841074744147e+01
 8.09999999999999964e+00,-1.58132109244502858e-04,-8.78444883452642671e+01,-1.58138516256136442e-04,-8.78444883760940627e+01
 8.20000000000000107e+00,-1.58107920264598706e-04,-8.78444926115625435e+01,-1.58114324136500868e-04,-8.78444926423484418e+01
 8.30000000000000071e+00,-1.58083743597019623e-04,-8.78444968754924247e+01,-1.58090144188135823e-04,-8.78444969062387599e+01
 8.40000000000000036e+00,-1.58059579244923645e-04,-8.78445011370538964e+01,-1.58065976401908096e-04,-8.78445011677662677e+01
 8.50000000000000000e+00,-1.58035427211466751e-04,-8.78445053962469729e+01,-1.58041820768621755e-04,-8.78445054269321446e+01
 8.59999999999999964e+00,-1.58011287499855413e-04,-8.78445096530716540e+01,-1.58017677279174762e-04,-8.78445096837376411e+01
 8.70000000000000107e+00,-1.57987160113224522e-04,-8.78445139075279258e+01,-1.57993545924455019e-04,-8.78445139381839795e+01
 8.80000000000000071e+00,-1.57963045054776674e-04,-8.78445181596158022e+01,-1.57969426695287520e-04,-8.78445181902723533e+01
 8.90000000000000036e+00,-1.57938942327677902e-04,-8.78445224093352834e+01,-1.57945319582573885e-04,-8.78445224400039848e+01
 9.00000000000000000e+00,-1.57914851935057405e-04,-8.78445266566863552e+01,-1.57921224577205487e-04,-8.78445266873801103e+01
 9.09999999999999964e+00,-1.57890773880077419e-04,-8.78445309016690175e+01,-1.57897141670063047e-04,-8.78445309324019377e+01
 9.20000000000000107e+00,-1.57866700603920333e-04,-8.78445351449227445e+01,-1.57873070852051789e-04,-8.78445351750706749e+01
 9.30000000000000071e+00,-1.57842626092393503e-04,-8.78445393869561997e+01,-1.57849012114083932e-04,-8.78445394153875441e+01
