"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-5.62840092015025480e-05,-8.78474892093713891e+01,-5.63149187429416996e-05,-8.78474885068694817e+01
 1.00000000000000006e-01,-5.62492262477826848e-05,-8.78474935774313792e+01,-5.62800004946377609e-05,-8.78474928859127289e+01
 2.00000000000000011e-01,-5.62144410521421290e-05,-8.78474979454913694e+01,-5.62451074989122658e-05,-8.78474972625571837e+01
 3.00000000000000044e-01,-5.61796536145748565e-05,-8.78475023135513595e+01,-5.62102397382474955e-05,-8.78475016368040826e+01
 4.00000000000000022e-01,-5.61448639350808605e-05,-8.78475066816113497e+01,-5.61753971951037490e-05,-8.78475060086546904e+01
 5.00000000000000000e-01,-5.61101112686597826e-05,-8.78475110462710376e+01,-5.61405798520036873e-05,-8.78475103781102575e+01
 6.00000000000000089e-01,-5.60754455728820111e-05,-8.78475154032038290e+01,-5.61057876914297949e-05,-8.78475147451720204e+01
 7.00000000000000067e-01,-5.60407776494582476e-05,-8.78475197601366347e+01,-5.60710206958908280e-05,-8.78475191098412296e+01
 8.00000000000000044e-01,-5.60061074983945095e-05,-8.78475241170694403e+01,-5.60362788479156274e-05,-8.78475234721191498e+01
 9.00000000000000022e-01,-5.59714351196787961e-05,-8.78475284740022460e+01,-5.60015621300110790e-05,-8.78475278320070174e+01
 1.00000000000000000e+00,-5.59368269809816540e-05,-8.78475328251515464e+01,-5.59668705247221511e-05,-8.78475321895060688e+01
 1.10000000000000009e+00,-5.59022735228928807e-05,-8.78475371713500692e+01,-5.59322040145838039e-05,-8.78475365446175687e+01
 1.20000000000000018e+00,-5.58677359897597500e-05,-8.78475415159704482e+01,-5.58975625821391285e-05,-8.78475408973427534e+01
 1.30000000000000004e+00,-5.58332143846031407e-05,-8.78475458590127118e+01,-5.58629462099511793e-05,-8.78475452476828593e+01
 1.40000000000000013e+00,-5.57987087104365586e-05,-8.78475502004768316e+01,-5.58283548805731241e-05,-8.78475495956391512e+01
 1.50000000000000000e+00,-5.57642189702602624e-05,-8.78475545403628217e+01,-5.57937885765900332e-05,-8.78475539412128512e+01
