"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-2.07688489543668387e-04,-8.78325446379096775e+01,-2.07688392646241429e-04,-8.78325446087541053e+01
 1.00000000000000006e-01,-2.07687020675846254e-04,-8.78325493507738315e+01,-2.07686939917550506e-04,-8.78325493318869093e+01
 2.00000000000000011e-01,-2.07685551058252728e-04,-8.78325540636379998e+01,-2.07685482305058374e-04,-8.78325540522667580e+01
 3.00000000000000044e-01,-2.07684080690835794e-04,-8.78325587765021538e+01,-2.07684019811515139e-04,-8.78325587698950727e+01
 4.00000000000000022e-01,-2.07682609573621419e-04,-8.78325634893663079e+01,-2.07682552439775208e-04,-8.78325634847733312e+01
 5.00000000000000000e-01,-2.07681126054522647e-04,-8.78325681944627945e+01,-2.07681080192614843e-04,-8.78325681969029830e+01
 6.00000000000000089e-01,-2.07679635561279171e-04,-8.78325728954086458e+01,-2.07679603072836571e-04,-8.78325729062854634e+01
 7.00000000000000067e-01,-2.07678144320564410e-04,-8.78325775963544970e+01,-2.07678121083294879e-04,-8.78325776129222504e+01
 8.00000000000000044e-01,-2.07676652332378309e-04,-8.78325822973003483e+01,-2.07676634226766329e-04,-8.78325823168147792e+01
 9.00000000000000022e-01,-2.07675153551237039e-04,-8.78325869942162143e+01,-2.07675142506105569e-04,-8.78325870179645278e+01
 1.00000000000000000e+00,-2.07673638372250910e-04,-8.78325916806982860e+01,-2.07673645924037281e-04,-8.78325917163729031e+01
 1.10000000000000009e+00,-2.07672119721759877e-04,-8.78325963653623631e+01,-2.07672144483468267e-04,-8.78325964120413971e+01
 1.20000000000000018e+00,-2.07670597600191333e-04,-8.78326010482084172e+01,-2.07670638187149281e-04,-8.78326011049714310e+01
 1.30000000000000004e+00,-2.07669072008154654e-04,-8.78326057292364766e+01,-2.07669127037857210e-04,-8.78326057951644685e+01
 1.40000000000000013e+00,-2.07667542946181181e-04,-8.78326104084465271e+01,-2.07667611038420954e-04,-8.78326104826219449e+01
 1.50000000000000000e+00,-2.07666010414776152e-04,-8.78326150858385830e+01,-2.07666090191591487e-04,-8.78326151673453097e+01
 1.60000000000000009e+00,-2.07664474414444750e-04,-8.78326197614126158e+01,-2.07664564500275879e-04,-8.78326198493360124e+01
 1.70000000000000018e+00,-2.07662934945796108e-04,-8.78326244351686540e+01,-2.07663033967173089e-04,-8.78326245285955025e+01
 1.80000000000000004e+00,-2.07661392009283313e-04,-8.78326291071066834e+01,-2.07661498595138391e-04,-8.78326292051252153e+01
 1.90000000000000013e+00,-2.07659845605489424e-04,-8.78326337772267038e+01,-2.07659958386948834e-04,-8.78326338789266003e+01
 2.00000000000000000e+00,-2.07658295734919324e-04,-8.78326384455287297e+01,-2.07658413345329640e-04,-8.78326385500010929e+01
 2.10000000000000009e+00,-2.07656742398077955e-04,-8.78326431120127324e+01,-2.07656863473188071e-04,-8.78326432183501424e+01
 2.20000000000000018e+00,-2.07655185595548156e-04,-8.78326477766787406e+01,-2.07655308773223437e-04,-8.78326478839751843e+01
 2.30000000000000027e+00,-2.07653625327834733e-04,-8.78326524395267398e+01,-2.07653749248265073e-04,-8.78326525468776538e+01
 2.40000000000000036e+00,-2.07652054726313470e-04,-8.78326570959862494e+01,-2.07652184901064305e-04,-8.78326572070590004e+01
 2.50000000000000000e+00,-2.07650479754832763e-04,-8.78326617500244140e+01,-2.07650615734476568e-04,-8.78326618645206594e+01
 2.60000000000000009e+00,-2.07648900422093983e-04,-8.78326664016465344e+01,-2.07649041751175315e-04,-8.78326665192640519e+01
 2.70000000000000018e+00,-2.07647316728723665e-04,-8.78326710508525963e+01,-2.07647462954042004e-04,-8.78326711712906416e+01
 2.80000000000000027e+00,-2.07645728675478255e-04,-8.78326756976425997e+01,-2.07645879345828149e-04,-8.78326758206018496e+01
