"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-1.32110935285002665e-04,-8.78283736718577615e+01,-1.32110926275520567e-04,-8.78283736908296078e+01
 1.00000000000000006e-01,-1.32113066837312757e-04,-8.78283786588276598e+01,-1.32113070403913141e-04,-8.78283786884584288e+01
 2.00000000000000011e-01,-1.32115198074691175e-04,-8.78283836457975582e+01,-1.32115210695106820e-04,-8.78283836830837288e+01
 3.00000000000000044e-01,-1.32117328997207226e-04,-8.78283886327674566e+01,-1.32117347151336956e-04,-8.78283886747071563e+01
 4.00000000000000022e-01,-1.32119459604843645e-04,-8.78283936197373691e+01,-1.32119479774960225e-04,-8.78283936633303313e+01
 5.00000000000000000e-01,-1.32121577707581362e-04,-8.78283985963077924e+01,-1.32121608568194256e-04,-8.78283986489548880e+01
 6.00000000000000089e-01,-1.32123693079600027e-04,-8.78284035708165618e+01,-1.32123733533325629e-04,-8.78284036315824324e+01
 7.00000000000000067e-01,-1.32125808137625286e-04,-8.78284085453253311e+01,-1.32125854672623580e-04,-8.78284086112145843e+01
 8.00000000000000044e-01,-1.32127922881622526e-04,-8.78284135198341005e+01,-1.32127971988356939e-04,-8.78284135878529781e+01
 9.00000000000000022e-01,-1.32130028720474753e-04,-8.78284184870121010e+01,-1.32130085482846384e-04,-8.78284185614992481e+01
 1.00000000000000000e+00,-1.32132128052997894e-04,-8.78284234489056246e+01,-1.32132195158290896e-04,-8.78284235321549858e+01
 1.10000000000000009e+00,-1.32134224742651415e-04,-8.78284284088110496e+01,-1.32134301016976000e-04,-8.78284284998218112e+01
 1.20000000000000018e+00,-1.32136318789612665e-04,-8.78284333667283619e+01,-1.32136403061186840e-04,-8.78284334645013587e+01
 1.30000000000000004e+00,-1.32138410194076366e-04,-8.78284383226575613e+01,-1.32138501293208428e-04,-8.78284384261952482e+01
 1.40000000000000013e+00,-1.32140498956323759e-04,-8.78284432765986764e+01,-1.32140595715273408e-04,-8.78284433849050856e+01
 1.50000000000000000e+00,-1.32142585076532249e-04,-8.78284482285516646e+01,-1.32142686329631633e-04,-8.78284483406324767e+01
 1.60000000000000009e+00,-1.32144668554896449e-04,-8.78284531785165683e+01,-1.32144773138567301e-04,-8.78284532933790558e+01
 1.70000000000000018e+00,-1.32146749391645667e-04,-8.78284581264933450e+01,-1.32146856144364338e-04,-8.78284582431464287e+01
 1.80000000000000004e+00,-1.32148827586991838e-04,-8.78284630724820232e+01,-1.32148935349237146e-04,-8.78284631899362012e+01
 1.90000000000000013e+00,-1.32150901843549668e-04,-8.78284680153747530e+01,-1.32151010755451816e-04,-8.78284681337499933e+01
 2.00000000000000000e+00,-1.32152970152588355e-04,-8.78284729534562132e+01,-1.32153082365291596e-04,-8.78284730745894251e+01
 2.10000000000000009e+00,-1.32155035052887768e-04,-8.78284778888936160e+01,-1.32155150180987340e-04,-8.78284780124560882e+01
 2.20000000000000018e+00,-1.32157096544729692e-04,-8.78284828216869613e+01,-1.32157214204804544e-04,-8.78284829473515885e+01
 2.30000000000000027e+00,-1.32159154628395991e-04,-8.78284877518362634e+01,-1.32159274439008268e-04,-8.78284878792775601e+01
 2.40000000000000036e+00,-1.32161209304133728e-04,-8.78284926793414940e+01,-1.32161330885794049e-04,-8.78284928082355805e+01
 2.50000000000000000e+00,-1.32163260572276702e-04,-8.78284976042026813e+01,-1.32163383547461154e-04,-8.78284977342272839e+01
 2.60000000000000009e+00,-1.32165308433106616e-04,-8.78285025264198111e+01,-1.32165432426256592e-04,-8.78285026572542620e+01
 2.70000000000000018e+00,-1.32167352886853294e-04,-8.78285074459928836e+01,-1.32167477524392543e-04,-8.78285075773181063e+01
 2.80000000000000027e+00,-1.32169393933832997e-04,-8.78285123629218987e+01,-1.32169518844167487e-04,-8.78285124944204512e+01
 2.90000000000000036e+00,-1.32171431574327483e-04,-8.78285172772068563e+01,-1.32171556387775688e-04,-8.78285174085628739e+01
 3.00000000000000000e+00,-1.32173464482115066e-04,-8.78285221877131050e+01,-1.32173590157463259e-04,-8.78285223197469804e+01
 3.10000000000000009e+00,-1.32175493695841316e-04,-8.78285270953287522e+01,-1.32175620155527843e-04,-8.78285272279743907e+01
 3.20000000000000018e+00,-1.32177519260910723e-04,-8.78285320000923520e+01,-1.32177646384145758e-04,-8.78285321332466822e+01
 3.30000000000000027e+00,-1.32179541177557746e-04,-8.78285369020038900e+01,-1.32179668845596837e-04,-8.78285370355654749e+01
 3.40000000000000036e+00,-1.32181559446086259e-04,-8.78285418010633663e+01,-1.32181687542091470e-04,-8.78285419349323462e+01
 3.50000000000000000e+00,-1.32183574066869201e-04,-8.78285466972707951e+01,-1.32183702475874472e-04,-8.78285468313489019e+01
 3.60000000000000009e+00,-1.32185585040158458e-04,-8.78285515906261764e+01,-1.32185713649207595e-04,-8.78285517248167480e+01
 3.70000000000000018e+00,-1.32187592366275010e-04,-8.78285564811294819e+01,-1.32187721064283179e-04,-8.78285566153374759e+01
 3.80000000000000027e+00,-1.32189596045505247e-04,-8.78285613687807398e+01,-1.32189724723362571e-04,-8.78285615029126774e+01
 3.90000000000000036e+00,-1.32191596078170149e-04,-8.78285662535799503e+01,-1.32191724628654778e-04,-8.78285663875439440e+01
 4.00000000000000000e+00,-1.32193592146280102e-04,-8.78285711352524032e+01,-1.32193720782420768e-04,-8.78285712692328815e+01
 4.10000000000000053e+00,-1.32195584315073368e-04,-8.78285760138541178e+01,-1.32195713186851715e-04,-8.78285761479810674e+01
 4.20000000000000018e+00,-1.32197572774629587e-04,-8.78285808895488600e+01,-1.32197701844173350e-04,-8.78285810237900932e+01
 4.29999999999999982e+00,-1.32199557525223605e-04,-8.78285857623366297e+01,-1.32199686756662984e-04,-8.78285858966615649e+01
 4.40000000000000036e+00,-1.32201538567216787e-04,-8.78285906322174412e+01,-1.32201667926511222e-04,-8.78285907665970740e+01
 4.50000000000000000e+00,-1.32203515900866794e-04,-8.78285954991912803e+01,-1.32203645355942928e-04,-8.78285956335981837e+01
