"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-4.17540911449188425e-05,-8.78551182800518689e+01,-4.17426063110519101e-05,-8.78551185187462096e+01
 1.00000000000000006e-01,-4.17277216121312574e-05,-8.78551224470037084e+01,-4.17161423323668179e-05,-8.78551226964216312e+01
 2.00000000000000011e-01,-4.17013498763168692e-05,-8.78551266139555338e+01,-4.16896971591784160e-05,-8.78551268717715033e+01
 3.00000000000000044e-01,-4.16749759374995303e-05,-8.78551307809073734e+01,-4.16632707796757854e-05,-8.78551310447969769e+01
 4.00000000000000022e-01,-4.16485997956673009e-05,-8.78551349478591987e+01,-4.16368631820815158e-05,-8.78551352154992458e+01
 5.00000000000000000e-01,-4.16222214508142383e-05,-8.78551391148110383e+01,-4.16104743546219643e-05,-8.78551393838794894e+01
 6.00000000000000089e-01,-4.15959290163137448e-05,-8.78551432720069840e+01,-4.15841042855330292e-05,-8.78551435499388731e+01
 7.00000000000000067e-01,-4.15696544986785490e-05,-8.78551474269768562e+01,-4.15577529630604478e-05,-8.78551477136785905e+01
 8.00000000000000044e-01,-4.15433777936628207e-05,-8.78551515819467141e+01,-4.15314203754536574e-05,-8.78551518750997928e+01
 9.00000000000000022e-01,-4.15170989012725026e-05,-8.78551557369165863e+01,-4.15051065109837045e-05,-8.78551560342036737e+01
 1.00000000000000000e+00,-4.14908178214897937e-05,-8.78551598918864443e+01,-4.14788113579195013e-05,-8.78551601909914126e+01
 1.10000000000000009e+00,-4.14645923559779975e-05,-8.78551640404368186e+01,-4.14525349045396163e-05,-8.78551643454641606e+01
 1.20000000000000018e+00,-4.14384101468700042e-05,-8.78551681839414584e+01,-4.14262771391384063e-05,-8.78551684976230973e+01
 1.30000000000000004e+00,-4.14122395908833973e-05,-8.78551723259108286e+01,-4.14000380500140097e-05,-8.78551726474694021e+01
 1.40000000000000013e+00,-4.13860806910067801e-05,-8.78551764663449291e+01,-4.13738176254861741e-05,-8.78551767950042404e+01
 1.50000000000000000e+00,-4.13599334502273938e-05,-8.78551806052437740e+01,-4.13476158538667190e-05,-8.78551809402287773e+01
 1.60000000000000009e+00,-4.13337978715311516e-05,-8.78551847426073493e+01,-4.13214327234771538e-05,-8.78551850831441783e+01
 1.70000000000000018e+00,-4.13076739578848576e-05,-8.78551888784356549e+01,-4.12952682226784396e-05,-8.78551892237516370e+01
 1.80000000000000004e+00,-4.12815617122658528e-05,-8.78551930127287051e+01,-4.12691223397999464e-05,-8.78551933620522902e+01
 1.90000000000000013e+00,-4.12554611376618799e-05,-8.78551971454864855e+01,-4.12429950632045120e-05,-8.78551974980473176e+01
 2.00000000000000000e+00,-4.12293722370357858e-05,-8.78552012767090105e+01,-4.12168863812589385e-05,-8.78552016317378843e+01
 2.10000000000000009e+00,-4.12032950133608524e-05,-8.78552054063962657e+01,-4.11907962823456405e-05,-8.78552057631251557e+01
 2.20000000000000018e+00,-4.11772294696090475e-05,-8.78552095345482513e+01,-4.11647247548511052e-05,-8.78552098922102971e+01
 2.30000000000000027e+00,-4.11511756087568515e-05,-8.78552136611649672e+01,-4.11386717871657702e-05,-8.78552140189944737e+01
 2.40000000000000036e+00,-4.11251624677452815e-05,-8.78552177829725309e+01,-4.11126373676899462e-05,-8.78552181434788366e+01
 2.50000000000000000e+00,-4.10991669404370946e-05,-8.78552219025772700e+01,-4.10866214848456279e-05,-8.78552222656645512e+01
 2.60000000000000009e+00,-4.10731875982736646e-05,-8.78552260201406909e+01,-4.10606241270587200e-05,-8.78552263855527826e+01
 2.70000000000000018e+00,-4.10472244452016093e-05,-8.78552301356628220e+01,-4.10346452827592810e-05,-8.78552305031446963e+01
