"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-1.00900144246348958e-06,-8.79164352164542180e+01,-1.00899669241100332e-06,-8.79164353929953251e+01
 1.00000000000000006e-01,-1.00904900998143590e-06,-8.79164422938080889e+01,-1.00904435397502053e-06,-8.79164424853762085e+01
 2.00000000000000011e-01,-1.00909657732406483e-06,-8.79164493711619741e+01,-1.00909199339059979e-06,-8.79164495745893788e+01
 3.00000000000000044e-01,-1.00914414449127344e-06,-8.79164564485158451e+01,-1.00913961066889865e-06,-8.79164566606362143e+01
 4.00000000000000022e-01,-1.00919171148306131e-06,-8.79164635258697160e+01,-1.00918720582087898e-06,-8.79164637435181220e+01
 5.00000000000000000e-01,-1.00923927829932554e-06,-8.79164706032235870e+01,-1.00923477885730636e-06,-8.79164708232364660e+01
 6.00000000000000089e-01,-1.00928674765670391e-06,-8.79164776665704579e+01,-1.00928232978926760e-06,-8.79164778997926533e+01
 7.00000000000000067e-01,-1.00933420237859365e-06,-8.79164847278352539e+01,-1.00932985862775678e-06,-8.79164849731880764e+01
 8.00000000000000044e-01,-1.00938165692599100e-06,-8.79164917891000499e+01,-1.00937736538346958e-06,-8.79164920434240855e+01
 9.00000000000000022e-01,-1.00942911129879263e-06,-8.79164988503648317e+01,-1.00942485006773104e-06,-8.79164991105021016e+01
 1.00000000000000000e+00,-1.00947656549741210e-06,-8.79165059116296277e+01,-1.00947231269125826e-06,-8.79165061744234890e+01
 1.10000000000000009e+00,-1.00952394749914103e-06,-8.79165129625280315e+01,-1.00951975326498558e-06,-8.79165132351896261e+01
 1.20000000000000018e+00,-1.00957129155165898e-06,-8.79165200079892770e+01,-1.00956717180016774e-06,-8.79165202928019056e+01
 1.30000000000000004e+00,-1.00961862092825942e-06,-8.79165270513631327e+01,-1.00961456830745067e-06,-8.79165273472617059e+01
 1.40000000000000013e+00,-1.00966593562891523e-06,-8.79165340926495844e+01,-1.00966194279790488e-06,-8.79165343985703913e+01
 1.50000000000000000e+00,-1.00971323565421870e-06,-8.79165411318486605e+01,-1.00970929528271397e-06,-8.79165414467293544e+01
 1.60000000000000009e+00,-1.00976052100403854e-06,-8.79165481689603325e+01,-1.00975662577266043e-06,-8.79165484917399738e+01
 1.70000000000000018e+00,-1.00980779167855412e-06,-8.79165552039846290e+01,-1.00980393427863967e-06,-8.79165555336036135e+01
 1.80000000000000004e+00,-1.00985504767815040e-06,-8.79165622369215356e+01,-1.00985122081197228e-06,-8.79165625723216664e+01
 1.90000000000000013e+00,-1.00990228900280008e-06,-8.79165692677710382e+01,-1.00989848538336920e-06,-8.79165696078954824e+01
 2.00000000000000000e+00,-1.00994951565288834e-06,-8.79165762965331652e+01,-1.00994572800396552e-06,-8.79165766403264541e+01
 2.10000000000000009e+00,-1.00999672762838722e-06,-8.79165833232079024e+01,-1.00999294868470089e-06,-8.79165836696159460e+01
 2.20000000000000018e+00,-1.01004392492947567e-06,-8.79165903477952355e+01,-1.01004014743673221e-06,-8.79165906957653362e+01
 2.30000000000000027e+00,-1.01009110505005848e-06,-8.79165973699349337e+01,-1.01008732427081406e-06,-8.79165977187759893e+01
 2.40000000000000036e+00,-1.01013823968482019e-06,-8.79166043855585997e+01,-1.01013447919822848e-06,-8.79166047386492835e+01
 2.50000000000000000e+00,-1.01018535482543096e-06,-8.79166113984019830e+01,-1.01018161222985476e-06,-8.79166117553865689e+01
 2.60000000000000009e+00,-1.01023245047192002e-06,-8.79166184084650695e+01,-1.01022872337668719e-06,-8.79166187689892240e+01
