"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-7.42870463155392131e-07,-8.79140812207054410e+01,-7.42870719319971138e-07,-8.79140814559776516e+01
 1.00000000000000006e-01,-7.42909900544012027e-07,-8.79140886906657641e+01,-7.42910236642661350e-07,-8.79140889409214736e+01
 2.00000000000000011e-01,-7.42949337765941556e-07,-8.79140961606260873e+01,-7.42949735620496643e-07,-8.79140964224738326e+01
 3.00000000000000044e-01,-7.42988774821099403e-07,-8.79141036305864105e+01,-7.42989216260959601e-07,-8.79141039006362206e+01
 4.00000000000000022e-01,-7.43028211709566672e-07,-8.79141111005467337e+01,-7.43028678572107942e-07,-8.79141113754101724e+01
 5.00000000000000000e-01,-7.43067643897856905e-07,-8.79141185696622784e+01,-7.43068122561765181e-07,-8.79141188467972228e+01
 6.00000000000000089e-01,-7.43106991127429415e-07,-8.79141260229771575e+01,-7.43107548237763618e-07,-8.79141263147988781e+01
 7.00000000000000067e-01,-7.43146338191304282e-07,-8.79141334762920508e+01,-7.43146955607863136e-07,-8.79141337794166589e+01
 8.00000000000000044e-01,-7.43185685089400401e-07,-8.79141409296069298e+01,-7.43186344680075182e-07,-8.79141412406520999e+01
 9.00000000000000022e-01,-7.43225031821798770e-07,-8.79141483829218231e+01,-7.43225715462096111e-07,-8.79141486985067075e+01
 1.00000000000000000e+00,-7.43264370557814576e-07,-8.79141558347784269e+01,-7.43265067961954311e-07,-8.79141561529820166e+01
 1.10000000000000009e+00,-7.43303633196327297e-07,-8.79141632724942070e+01,-7.43304402187444499e-07,-8.79141636040795191e+01
 1.20000000000000018e+00,-7.43342883658433293e-07,-8.79141707079730281e+01,-7.43343718146289074e-07,-8.79141710518007358e+01
 1.30000000000000004e+00,-7.43382121944006356e-07,-8.79141781412148617e+01,-7.43383015846542259e-07,-8.79141784961472013e+01
 1.40000000000000013e+00,-7.43421348053244797e-07,-8.79141855722197079e+01,-7.43422295296025134e-07,-8.79141859371204077e+01
