"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-6.07330069492828096e-09,-8.79832579315582421e+01, 1.22833722034730846e-02,-2.27241442031646024e+01
 1.00000000000000006e-01,-6.07368292848130351e-09,-8.79832627525658921e+01, 1.22833327753788229e-02,-2.27248409329208449e+01
 2.00000000000000011e-01,-6.07406515255461870e-09,-8.79832675735735279e+01, 1.22832932888754277e-02,-2.27255312374268641e+01
 3.00000000000000044e-01,-6.07444736715096696e-09,-8.79832723945811779e+01, 1.22832537440672861e-02,-2.27262151118962947e+01
 4.00000000000000022e-01,-6.07482957226623556e-09,-8.79832772155888136e+01, 1.22832141410579229e-02,-2.27268925515229370e+01
 5.00000000000000000e-01,-6.07521145833845145e-09,-8.79832820300639611e+01, 1.22831744799499730e-02,-2.27275635514807632e+01
 6.00000000000000089e-01,-6.07559311632218206e-09,-8.79832868399243324e+01, 1.22831347608452178e-02,-2.27282281069239254e+01
 7.00000000000000067e-01,-6.07597476493351462e-09,-8.79832916497847179e+01, 1.22830949838445280e-02,-2.27288862129867333e+01
 8.00000000000000044e-01,-6.07635640416833390e-09,-8.79832964596450893e+01, 1.22830551490479330e-02,-2.27295378647836834e+01
 9.00000000000000022e-01,-6.07673796589468535e-09,-8.79833012678383284e+01, 1.22830152565545480e-02,-2.27301830574094375e+01
 1.00000000000000000e+00,-6.07711915020704283e-09,-8.79833060670243299e+01, 1.22829753064626294e-02,-2.27308217859388293e+01
 1.10000000000000009e+00,-6.07750025666170178e-09,-8.79833108645315178e+01, 1.22829352988695385e-02,-2.27314540454268617e+01
 1.20000000000000018e+00,-6.07788128528148247e-09,-8.79833156603598638e+01, 1.22828952338717573e-02,-2.27320798309087166e+01
 1.30000000000000004e+00,-6.07826223609192989e-09,-8.79833204545093821e+01, 1.22828551115648759e-02,-2.27326991373997416e+01
 1.40000000000000013e+00,-6.07864310912131541e-09,-8.79833252469800868e+01, 1.22828149321574480e-02,-2.27333119576032487e+01
 1.50000000000000000e+00,-6.07902390439378527e-09,-8.79833300377719638e+01, 1.22827746956804523e-02,-2.27339182877603143e+01
 1.60000000000000009e+00,-6.07940462193483813e-09,-8.79833348268850131e+01, 1.22827344021948451e-02,-2.27345181234706111e+01
 1.70000000000000018e+00,-6.07978526176996026e-09,-8.79833396143192346e+01, 1.22826940517936460e-02,-2.27351114596502448e+01
 1.80000000000000004e+00,-6.08016582392599367e-09,-8.79833444000746425e+01, 1.22826536445690034e-02,-2.27356982911950745e+01
 1.90000000000000013e+00,-6.08054630842565109e-09,-8.79833491841512227e+01, 1.22826131806122001e-02,-2.27362786129807084e+01
 2.00000000000000000e+00,-6.08092671529574474e-09,-8.79833539665489610e+01, 1.22825726600136308e-02,-2.27368524198625082e+01
 2.10000000000000009e+00,-6.08130695878197579e-09,-8.79833587445650807e+01, 1.22825320828628057e-02,-2.27374197066755919e+01
 2.20000000000000018e+00,-6.08168708737204386e-09,-8.79833635197253585e+01, 1.22824914492483794e-02,-2.27379804682348166e+01
 2.30000000000000027e+00,-6.08206712083274988e-09,-8.79833682926514200e+01, 1.22824507592580942e-02,-2.27385346993348030e+01
 2.40000000000000036e+00,-6.08244705919754005e-09,-8.79833730633432793e+01, 1.22824100129788338e-02,-2.27390823947499108e+01
 2.50000000000000000e+00,-6.08282690250531999e-09,-8.79833778318009365e+01, 1.22823692104965850e-02,-2.27396235492342633e+01
 2.60000000000000009e+00,-6.08320665078536776e-09,-8.79833825980243773e+01, 1.22823283518964481e-02,-2.27401581575217264e+01
 2.70000000000000018e+00,-6.08358630407790254e-09,-8.79833873620136018e+01, 1.22822874372626317e-02,-2.27406862143259225e+01
 2.80000000000000027e+00,-6.08396586241352174e-09,-8.79833921237686241e+01, 1.22822464666784668e-02,-2.27412077143402236e+01
 2.90000000000000036e+00,-6.08434532582964700e-09,-8.79833968832894442e+01, 1.22822054402263754e-02,-2.27417226522377547e+01
 3.00000000000000000e+00,-6.08472469435818848e-09,-8.79834016405760480e+01, 1.22821643579878962e-02,-2.27422310226713833e+01
 3.10000000000000009e+00,-6.08510396803514424e-09,-8.79834063956284353e+01, 1.22821232200436645e-02,-2.27427328202737407e+01
 3.20000000000000018e+00,-6.08548313335720355e-09,-8.79834111480015224e+01, 1.22820820264734325e-02,-2.27432280396572004e+01
 3.30000000000000027e+00,-6.08586218192005505e-09,-8.79834158974176148e+01, 1.22820407773560347e-02,-2.27437166754138929e+01
 3.40000000000000036e+00,-6.08624113037826570e-09,-8.79834206444229068e+01, 1.22819994727694174e-02,-2.27441987221156978e+01
 3.50000000000000000e+00,-6.08661997877073861e-09,-8.79834253890173983e+01, 1.22819581127906162e-02,-2.27446741743142447e+01
 3.60000000000000009e+00,-6.08699872713360587e-09,-8.79834301312010894e+01, 1.22819166974957664e-02,-2.27451430265409158e+01
 3.70000000000000018e+00,-6.08737737550707672e-09,-8.79834348709739800e+01, 1.22818752269600925e-02,-2.27456052733068468e+01
 3.80000000000000027e+00,-6.08775592392447332e-09,-8.79834396083360701e+01, 1.22818337012579118e-02,-2.27460609091029191e+01
 3.90000000000000036e+00,-6.08813437242594452e-09,-8.79834443432873456e+01, 1.22817921204626344e-02,-2.27465099283997674e+01
 4.00000000000000000e+00,-6.08851272104748840e-09,-8.79834490758278349e+01, 1.22817504846467491e-02,-2.27469523256477864e+01
 4.10000000000000053e+00,-6.08889096982781453e-09,-8.79834538059575095e+01, 1.22817087938818445e-02,-2.27473880952771061e+01
 4.20000000000000018e+00,-6.08926911880285812e-09,-8.79834585336763837e+01, 1.22816670482385707e-02,-2.27478172316976242e+01
 4.29999999999999982e+00,-6.08964716696012610e-09,-8.79834632589690102e+01, 1.22816252477866879e-02,-2.27482397292989766e+01
 4.40000000000000036e+00,-6.09002509548781082e-09,-8.79834679815582916e+01, 1.22815833926942595e-02,-2.27486555770258754e+01
 4.50000000000000000e+00,-6.09040292096653755e-09,-8.79834727016874041e+01, 1.22815414829903543e-02,-2.27490647713512892e+01
 4.60000000000000053e+00,-6.09078064343528966e-09,-8.79834774193563618e+01, 1.22814995187000772e-02,-2.27494673088931414e+01
 4.70000000000000018e+00,-6.09115826293164926e-09,-8.79834821345651790e+01, 1.22814574998904493e-02,-2.27498631839073049e+01
 4.80000000000000071e+00,-6.09153577949179228e-09,-8.79834868473138272e+01, 1.22814154266275878e-02,-2.27502523906282796e+01
 4.90000000000000036e+00,-6.09191319315460118e-09,-8.79834915576023349e+01, 1.22813732989766871e-02,-2.27506349232692067e+01
 5.00000000000000000e+00,-6.09229050395892861e-09,-8.79834962654306878e+01, 1.22813311170020412e-02,-2.27510107760218681e+01
 5.10000000000000053e+00,-6.09266771193947813e-09,-8.79835009707988860e+01, 1.22812888807670283e-02,-2.27513799430566763e+01
 5.20000000000000018e+00,-6.09304481713366475e-09,-8.79835056737069294e+01, 1.22812465903341054e-02,-2.27517424185226744e+01
 5.30000000000000071e+00,-6.09342181958160923e-09,-8.79835103741548181e+01, 1.22812042457648117e-02,-2.27520981965475499e+01
 5.40000000000000036e+00,-6.09379871931791666e-09,-8.79835150721425521e+01, 1.22811618471197689e-02,-2.27524472712376209e+01
 5.50000000000000000e+00,-6.09417547857900449e-09,-8.79835197676581089e+01, 1.22811193944586776e-02,-2.27527896366778428e+01
 5.60000000000000053e+00,-6.09455211396482423e-09,-8.79835244607067324e+01, 1.22810768878403101e-02,-2.27531252869318052e+01
 5.70000000000000018e+00,-6.09492864242296825e-09,-8.79835291512938511e+01, 1.22810343273225125e-02,-2.27534542160417388e+01
 5.80000000000000071e+00,-6.09530506398565360e-09,-8.79835338394194224e+01, 1.22809917129622012e-02,-2.27537764180284974e+01
 5.90000000000000036e+00,-6.09568137869054510e-09,-8.79835385250834747e+01, 1.22809490448153591e-02,-2.27540918868915867e+01
 6.00000000000000000e+00,-6.09605758657390885e-09,-8.79835432082859796e+01, 1.22809063229370428e-02,-2.27544006166091322e+01
 6.10000000000000053e+00,-6.09643368767334598e-09,-8.79835478890269798e+01, 1.22808635473813672e-02,-2.27547026011379110e+01
 6.20000000000000018e+00,-6.09680968202094449e-09,-8.79835525673064325e+01, 1.22808207182015065e-02,-2.27549978344133237e+01
 6.30000000000000071e+00,-6.09718556965835127e-09,-8.79835572431243662e+01, 1.22807778354497039e-02,-2.27552863103494083e+01
 6.40000000000000036e+00,-6.09756135061621998e-09,-8.79835619164807525e+01, 1.22807348991772480e-02,-2.27555680228388404e+01
 6.50000000000000000e+00,-6.09793702493613299e-09,-8.79835665873756341e+01, 1.22806919094344928e-02,-2.27558429657529366e+01
 6.60000000000000053e+00,-6.09831259264868026e-09,-8.79835712558089682e+01, 1.22806488662708362e-02,-2.27561111329416370e+01
 6.70000000000000018e+00,-6.09868805379537716e-09,-8.79835759217807833e+01, 1.22806057697347377e-02,-2.27563725182335297e+01
 6.80000000000000071e+00,-6.09906340840674749e-09,-8.79835805852910511e+01, 1.22805626198736924e-02,-2.27566271154358297e+01
 6.90000000000000036e+00,-6.09943865652287475e-09,-8.79835852463398140e+01, 1.22805194167342462e-02,-2.27568749183343932e+01
