"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-1.10137457352724370e-09,-8.79923938338291691e+01, 2.58022512627135037e-03,-2.05005392053863424e+01
 1.00000000000000006e-01,-1.10145621923585071e-09,-8.79923986381754020e+01, 2.58021285819189442e-03,-2.04993537541589106e+01
 2.00000000000000011e-01,-1.10153786289162995e-09,-8.79924034425216348e+01, 2.58020054910009216e-03,-2.04981591693617951e+01
 3.00000000000000044e-01,-1.10161950449458141e-09,-8.79924082468678534e+01, 2.58018819893671971e-03,-2.04969554425910232e+01
 4.00000000000000022e-01,-1.10170114404556950e-09,-8.79924130512140863e+01, 2.58017580767231237e-03,-2.04957425669590414e+01
 5.00000000000000000e-01,-1.10178274573117929e-09,-8.79924178497401925e+01, 2.58016337556924574e-03,-2.04945205504112664e+01
 6.00000000000000089e-01,-1.10186431603541656e-09,-8.79924226434960559e+01, 2.58015090224691761e-03,-2.04932893682234152e+01
 7.00000000000000067e-01,-1.10194588431693005e-09,-8.79924274372519051e+01, 2.58013838764572503e-03,-2.04920490119896819e+01
 8.00000000000000044e-01,-1.10202745057600782e-09,-8.79924322310077542e+01, 2.58012583170565309e-03,-2.04907994732877690e+01
 9.00000000000000022e-01,-1.10210900813059660e-09,-8.79924370238537961e+01, 2.58011323436626834e-03,-2.04895407436789121e+01
 1.00000000000000000e+00,-1.10219049656546529e-09,-8.79924418075622867e+01, 2.58010059556672278e-03,-2.04882728147078659e+01
 1.10000000000000009e+00,-1.10227197138569839e-09,-8.79924465896881998e+01, 2.58008791524575029e-03,-2.04869956779029003e+01
 1.20000000000000018e+00,-1.10235343259608257e-09,-8.79924513702314925e+01, 2.58007519334166194e-03,-2.04857093247758151e+01
 1.30000000000000004e+00,-1.10243488020399257e-09,-8.79924561491922077e+01, 2.58006242979235334e-03,-2.04844137468219323e+01
 1.40000000000000013e+00,-1.10251631421478418e-09,-8.79924609265703168e+01, 2.58004962453529550e-03,-2.04831089355200966e+01
 1.50000000000000000e+00,-1.10259773463553661e-09,-8.79924657023658341e+01, 2.58003677750754138e-03,-2.04817948823326788e+01
 1.60000000000000009e+00,-1.10267914147217455e-09,-8.79924704765787595e+01, 2.58002388864571460e-03,-2.04804715787055684e+01
 1.70000000000000018e+00,-1.10276053473061812e-09,-8.79924752492090931e+01, 2.58001095788601940e-03,-2.04791390160681850e+01
 1.80000000000000004e+00,-1.10284191441707283e-09,-8.79924800202568207e+01, 2.57999798516423328e-03,-2.04777971858334773e+01
 1.90000000000000013e+00,-1.10292328053802772e-09,-8.79924847897219706e+01, 2.57998497041570570e-03,-2.04764460793979133e+01
 2.00000000000000000e+00,-1.10300463309968105e-09,-8.79924895576045145e+01, 2.57997191357536241e-03,-2.04750856881414975e+01
 2.10000000000000009e+00,-1.10308595311287722e-09,-8.79924943220001978e+01, 2.57995881457769635e-03,-2.04737160034277466e+01
 2.20000000000000018e+00,-1.10316724273936983e-09,-8.79924990831245282e+01, 2.57994567335677241e-03,-2.04723370166037206e+01
 2.30000000000000027e+00,-1.10324851360180585e-09,-8.79925038421417014e+01, 2.57993248984622657e-03,-2.04709487189999990e+01
 2.40000000000000036e+00,-1.10332976570719294e-09,-8.79925085990517175e+01, 2.57991926397926029e-03,-2.04695511019306942e+01
 2.50000000000000000e+00,-1.10341099906397268e-09,-8.79925133538545765e+01, 2.57990599568864391e-03,-2.04681441566934481e+01
 2.60000000000000009e+00,-1.10349221368000516e-09,-8.79925181065502784e+01, 2.57989268490671411e-03,-2.04667278745694290e+01
 2.70000000000000018e+00,-1.10357340956314383e-09,-8.79925228571388374e+01, 2.57987933156537041e-03,-2.04653022468233381e+01
 2.80000000000000027e+00,-1.10365458672066064e-09,-8.79925276056202392e+01, 2.57986593559607954e-03,-2.04638672647034063e+01
 2.90000000000000036e+00,-1.10373574516126106e-09,-8.79925323519944840e+01, 2.57985249692986888e-03,-2.04624229194414013e+01
 3.00000000000000000e+00,-1.10381688489220503e-09,-8.79925370962615716e+01, 2.57983901549732522e-03,-2.04609692022526168e+01
 3.10000000000000009e+00,-1.10389800592160968e-09,-8.79925418384215163e+01, 2.57982549122860293e-03,-2.04595061043358797e+01
 3.20000000000000018e+00,-1.10397910682623901e-09,-8.79925465783761922e+01, 2.57981192405340801e-03,-2.04580336168735499e+01
 3.30000000000000027e+00,-1.10406017496753385e-09,-8.79925513152585523e+01, 2.57979831390100882e-03,-2.04565517310315315e+01
 3.40000000000000036e+00,-1.10414122199081687e-09,-8.79925560498663515e+01, 2.57978466070023314e-03,-2.04550604379592436e+01
 3.50000000000000000e+00,-1.10422224790336932e-09,-8.79925607821995612e+01, 2.57977096437946160e-03,-2.04535597287896564e+01
 3.60000000000000009e+00,-1.10430325271304178e-09,-8.79925655122581816e+01, 2.57975722486662859e-03,-2.04520495946392664e+01
 3.70000000000000018e+00,-1.10438423642911872e-09,-8.79925702400422267e+01, 2.57974344208922700e-03,-2.04505300266081100e+01
 3.80000000000000027e+00,-1.10446519905914878e-09,-8.79925749655516967e+01, 2.57972961597429827e-03,-2.04490010157797570e+01
 3.90000000000000036e+00,-1.10454614061125033e-09,-8.79925796887865772e+01, 2.57971574644843887e-03,-2.04474625532213139e+01
 4.00000000000000000e+00,-1.10462706109295961e-09,-8.79925844097468683e+01, 2.57970183343779252e-03,-2.04459146299834309e+01
 4.10000000000000053e+00,-1.10470796051324511e-09,-8.79925891284325843e+01, 2.57968787686805494e-03,-2.04443572371002880e+01
 4.20000000000000018e+00,-1.10478883888020556e-09,-8.79925938448437250e+01, 2.57967387666447039e-03,-2.04427903655896053e+01
 4.29999999999999982e+00,-1.10486969620135588e-09,-8.79925985589802764e+01, 2.57965983275182734e-03,-2.04412140064526398e+01
 4.40000000000000036e+00,-1.10495052800649935e-09,-8.79926032706700738e+01, 2.57964574505446364e-03,-2.04396281506741992e+01
 4.50000000000000000e+00,-1.10503133483676367e-09,-8.79926079799335810e+01, 2.57963161349625877e-03,-2.04380327892226177e+01
 4.60000000000000053e+00,-1.10511211941554753e-09,-8.79926126868752334e+01, 2.57961743800063856e-03,-2.04364279130497764e+01
 4.70000000000000018e+00,-1.10519288175173940e-09,-8.79926173914950454e+01, 2.57960321849056914e-03,-2.04348135130910933e+01
 4.80000000000000071e+00,-1.10527362185249440e-09,-8.79926220937929884e+01, 2.57958895488855956e-03,-2.04331895802655339e+01
 4.90000000000000036e+00,-1.10535433972668754e-09,-8.79926267937690909e+01, 2.57957464711665915e-03,-2.04315561054755968e+01
 5.00000000000000000e+00,-1.10543503538174796e-09,-8.79926314914233387e+01, 2.57956029509645492e-03,-2.04299130796073385e+01
 5.10000000000000053e+00,-1.10551570882567323e-09,-8.79926361867557176e+01, 2.57954589874907205e-03,-2.04282604935303347e+01
 5.20000000000000018e+00,-1.10559636006674262e-09,-8.79926408797662560e+01, 2.57953145799517296e-03,-2.04265983380977296e+01
 5.30000000000000071e+00,-1.10567698911265222e-09,-8.79926455704549397e+01, 2.57951697284699308e-03,-2.04249266057664940e+01
 5.40000000000000036e+00,-1.10575759597166803e-09,-8.79926502588217829e+01, 2.57950244348124479e-03,-2.04232452918804697e+01
 5.50000000000000000e+00,-1.10583817944485132e-09,-8.79926549448641566e+01, 2.57948786950551586e-03,-2.04215543817558327e+01
 5.60000000000000053e+00,-1.10591872971351320e-09,-8.79926596285608866e+01, 2.57947325084019333e-03,-2.04198538662077631e+01
 5.70000000000000018e+00,-1.10599925688852737e-09,-8.79926643099337582e+01, 2.57945858740523228e-03,-2.04181437360356242e+01
 5.80000000000000071e+00,-1.10607976097791602e-09,-8.79926689889827713e+01, 2.57944387912015325e-03,-2.04164239820229838e+01
 5.90000000000000036e+00,-1.10616024198940584e-09,-8.79926736657079402e+01, 2.57942912590404441e-03,-2.04146945949375969e+01
 6.00000000000000000e+00,-1.10624069993071671e-09,-8.79926783401092507e+01, 2.57941432767555979e-03,-2.04129555655314370e+01
 6.10000000000000053e+00,-1.10632113480898658e-09,-8.79926830121867027e+01, 2.57939948435291500e-03,-2.04112068845406824e+01
 6.20000000000000018e+00,-1.10640154663278647e-09,-8.79926876819402963e+01, 2.57938459585389064e-03,-2.04094485426857410e+01
 6.30000000000000071e+00,-1.10648193540924091e-09,-8.79926923493700315e+01, 2.57936966209582974e-03,-2.04076805306712430e+01
