"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-2.64768411753191981e-07,-8.79905879759396754e+01, 3.77862043680204495e-03,-2.09096463168421067e+01
 1.00000000000000006e-01,-2.64789052724682935e-07,-8.79905927826127936e+01, 3.77836714616910149e-03,-2.09086261711132337e+01
 2.00000000000000011e-01,-2.64809693500595782e-07,-8.79905975892858976e+01, 3.77811389987409325e-03,-2.09075969006895264e+01
 3.00000000000000044e-01,-2.64830334080930415e-07,-8.79906023959590158e+01, 3.77786069796150897e-03,-2.09065584965598887e+01
 4.00000000000000022e-01,-2.64850974465686782e-07,-8.79906072026321198e+01, 3.77760754047530740e-03,-2.09055109496907257e+01
 5.00000000000000000e-01,-2.64871586699234643e-07,-8.79906120033644896e+01, 3.77735442745890651e-03,-2.09044542510259497e+01
 6.00000000000000089e-01,-2.64892176337576925e-07,-8.79906167993367205e+01, 3.77710135895519819e-03,-2.09033883914869278e+01
 7.00000000000000067e-01,-2.64912765780760169e-07,-8.79906215953089372e+01, 3.77684833500652791e-03,-2.09023133619724675e+01
 8.00000000000000044e-01,-2.64933355028918418e-07,-8.79906263912811681e+01, 3.77659535617294335e-03,-2.09012291594835737e+01
 9.00000000000000022e-01,-2.64953939262901128e-07,-8.79906311862294501e+01, 3.77634242208286456e-03,-2.09001357699934225e+01
 1.00000000000000000e+00,-2.64974480259218785e-07,-8.79906359720320381e+01, 3.77608953272910632e-03,-2.08990331837664485e+01
 1.10000000000000009e+00,-2.64995013527425571e-07,-8.79906407562338870e+01, 3.77583668815456141e-03,-2.08979213916427433e+01
 1.20000000000000018e+00,-2.65015539067496129e-07,-8.79906455388349968e+01, 3.77558388840164554e-03,-2.08968003844405068e+01
 1.30000000000000004e+00,-2.65036056879606165e-07,-8.79906503198353676e+01, 3.77533113351230434e-03,-2.08956701529560327e+01
 1.40000000000000013e+00,-2.65056566963864681e-07,-8.79906550992349992e+01, 3.77507842352799898e-03,-2.08945306879636945e+01
 1.50000000000000000e+00,-2.65077069320380204e-07,-8.79906598770339059e+01, 3.77482575848971840e-03,-2.08933819802159135e+01
 1.60000000000000009e+00,-2.65097563949261630e-07,-8.79906646532320593e+01, 3.77457313843797011e-03,-2.08922240204431517e+01
 1.70000000000000018e+00,-2.65118050850550465e-07,-8.79906694278294736e+01, 3.77432056341278285e-03,-2.08910567993538834e+01
 1.80000000000000004e+00,-2.65138530024422625e-07,-8.79906742008261489e+01, 3.77406803345370356e-03,-2.08898803076345949e+01
 1.90000000000000013e+00,-2.65159001471053924e-07,-8.79906789722220992e+01, 3.77381554859980038e-03,-2.08886945359497460e+01
 2.00000000000000000e+00,-2.65179465190351823e-07,-8.79906837420172963e+01, 3.77356310888965788e-03,-2.08874994749417588e+01
 2.10000000000000009e+00,-2.65199911741309697e-07,-8.79906885082061905e+01, 3.77331071436137538e-03,-2.08862951152310004e+01
 2.20000000000000018e+00,-2.65220342868304815e-07,-8.79906932711593157e+01, 3.77305836505257121e-03,-2.08850814474157715e+01
 2.30000000000000027e+00,-2.65240763773046922e-07,-8.79906980319816086e+01, 3.77280606100037800e-03,-2.08838584620722756e+01
 2.40000000000000036e+00,-2.65261174455747511e-07,-8.79907027906730406e+01, 3.77255380224144222e-03,-2.08826261497546035e+01
 2.50000000000000000e+00,-2.65281574916416853e-07,-8.79907075472336118e+01, 3.77230158881192460e-03,-2.08813845009947201e+01
 2.60000000000000009e+00,-2.65301965155400854e-07,-8.79907123016633506e+01, 3.77204942074749671e-03,-2.08801335063024389e+01
 2.70000000000000018e+00,-2.65322345172642499e-07,-8.79907170539622285e+01, 3.77179729808334134e-03,-2.08788731561654153e+01
 2.80000000000000027e+00,-2.65342714968286419e-07,-8.79907218041302457e+01, 3.77154522085415382e-03,-2.08776034410491107e+01
 2.90000000000000036e+00,-2.65363074542611128e-07,-8.79907265521674162e+01, 3.77129318909413857e-03,-2.08763243513967929e+01
 3.00000000000000000e+00,-2.65383423895761099e-07,-8.79907312980737402e+01, 3.77104120283700732e-03,-2.08750358776295073e+01
 3.10000000000000009e+00,-2.65403763027813729e-07,-8.79907360418492175e+01, 3.77078926211598005e-03,-2.08737380101460488e+01
 3.20000000000000018e+00,-2.65424091294984697e-07,-8.79907407833571256e+01, 3.77053736696378317e-03,-2.08724307393229687e+01
 3.30000000000000027e+00,-2.65444404910128869e-07,-8.79907455217932721e+01, 3.77028551741264957e-03,-2.08711140555145320e+01
 3.40000000000000036e+00,-2.65464707509369110e-07,-8.79907502579297045e+01, 3.77003371349431994e-03,-2.08697879490527107e+01
