"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-6.92390172975948989e-07,-8.79130851401427549e+01,-6.92402533714595014e-07,-8.79130851615870910e+01
 1.00000000000000006e-01,-6.92434520820802453e-07,-8.79130932924148141e+01,-6.92446907149891519e-07,-8.79130933293731829e+01
 2.00000000000000011e-01,-6.92478868298354267e-07,-8.79131014446868733e+01,-6.92491260691039012e-07,-8.79131014933830102e+01
 3.00000000000000044e-01,-6.92523215408688923e-07,-8.79131095969589325e+01,-6.92535594357628306e-07,-8.79131096536183065e+01
 4.00000000000000022e-01,-6.92567562151806208e-07,-8.79131177492310059e+01,-6.92579908169660602e-07,-8.79131178100808341e+01
 5.00000000000000000e-01,-6.92611875366133093e-07,-8.79131258953440238e+01,-6.92624202146869227e-07,-8.79131259627723693e+01
 6.00000000000000089e-01,-6.92656127614244089e-07,-8.79131340302017463e+01,-6.92668476309228169e-07,-8.79131341116946459e+01
 7.00000000000000067e-01,-6.92700379497331955e-07,-8.79131421650594689e+01,-6.92712730676783312e-07,-8.79131422568494116e+01
 8.00000000000000044e-01,-6.92744631015226752e-07,-8.79131502999171914e+01,-6.92756965269567196e-07,-8.79131503982384430e+01
 9.00000000000000022e-01,-6.92788882168013610e-07,-8.79131584347749140e+01,-6.92801180107683301e-07,-8.79131585358634737e+01
 1.00000000000000000e+00,-6.92833076507834559e-07,-8.79131665591991265e+01,-6.92845375211392654e-07,-8.79131666697262659e+01
 1.10000000000000009e+00,-6.92877235610803369e-07,-8.79131746771775795e+01,-6.92889550601026589e-07,-8.79131747998285675e+01
 1.20000000000000018e+00,-6.92921380856941767e-07,-8.79131827926618712e+01,-6.92933706296819663e-07,-8.79131829261721265e+01
 1.30000000000000004e+00,-6.92965512246959989e-07,-8.79131909056520300e+01,-6.92977842319077479e-07,-8.79131910487586765e+01
 1.40000000000000013e+00,-6.93009629781228930e-07,-8.79131990161480559e+01,-6.93021958688432596e-07,-8.79131991675899940e+01
 1.50000000000000000e+00,-6.93053733460119273e-07,-8.79132071241499204e+01,-6.93066055425334082e-07,-8.79132072826677984e+01
 1.60000000000000009e+00,-6.93097823284171213e-07,-8.79132152296576521e+01,-6.93110132550473259e-07,-8.79132153939938519e+01
 1.70000000000000018e+00,-6.93141899253755114e-07,-8.79132233326712367e+01,-6.93154190084443827e-07,-8.79132235015699024e+01
 1.80000000000000004e+00,-6.93185961369325835e-07,-8.79132314331906741e+01,-6.93198228048080466e-07,-8.79132316053976837e+01
 1.90000000000000013e+00,-6.93230009631423252e-07,-8.79132395312159787e+01,-6.93242246462036594e-07,-8.79132397054789436e+01
 2.00000000000000000e+00,-6.93274044040416778e-07,-8.79132476267471219e+01,-6.93286245347206290e-07,-8.79132478018154160e+01
 2.10000000000000009e+00,-6.93318049030854373e-07,-8.79132557169413076e+01,-6.93330224724641286e-07,-8.79132558944088629e+01
 2.20000000000000018e+00,-6.93362025619597609e-07,-8.79132638019840726e+01,-6.93374184615296014e-07,-8.79132639832610039e+01
 2.30000000000000027e+00,-6.93405983826574984e-07,-8.79132718837052494e+01,-6.93418125040111986e-07,-8.79132720683735727e+01
