"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-7.59848230438980917e-10,-8.79944110032873255e+01, 1.00227636216468156e-06,-2.00093357321649918e+01
 1.00000000000000006e-01,-7.59912633767030188e-10,-8.79944158096747913e+01, 1.00229486682057559e-06,-2.00078964208224441e+01
 2.00000000000000011e-01,-7.59977036625275509e-10,-8.79944206160622713e+01, 1.00231350670905932e-06,-2.00064479478520099e+01
 3.00000000000000044e-01,-7.60041439013304635e-10,-8.79944254224497513e+01, 1.00233228193947708e-06,-2.00049903058334024e+01
 4.00000000000000022e-01,-7.60105840931323843e-10,-8.79944302288372171e+01, 1.00235119262134346e-06,-2.00035234873347605e+01
 5.00000000000000000e-01,-7.60170159096635910e-10,-8.79944350294816502e+01, 1.00237023886434351e-06,-2.00020474849126444e+01
 6.00000000000000089e-01,-7.60234408034358581e-10,-8.79944398253846316e+01, 1.00238942077833252e-06,-2.00005622911120291e+01
 7.00000000000000067e-01,-7.60298656503556435e-10,-8.79944446212876272e+01, 1.00240873847333669e-06,-1.99990678984663326e+01
 8.00000000000000044e-01,-7.60362904503405494e-10,-8.79944494171906086e+01, 1.00242819205955226e-06,-1.99975642994973910e+01
 9.00000000000000022e-01,-7.60427139450480042e-10,-8.79944542122258042e+01, 1.00244778164734443e-06,-1.99960514867154799e+01
 1.00000000000000000e+00,-7.60491242345457774e-10,-8.79944589981870848e+01, 1.00246750734725165e-06,-1.99945294526193074e+01
 1.10000000000000009e+00,-7.60555322062784904e-10,-8.79944637825822866e+01, 1.00248736926997879e-06,-1.99929981896960065e+01
 1.20000000000000018e+00,-7.60619378602495865e-10,-8.79944685654114380e+01, 1.00250736752640353e-06,-1.99914576904211607e+01
 1.30000000000000004e+00,-7.60683411965037023e-10,-8.79944733466745248e+01, 1.00252750222757251e-06,-1.99899079472587928e+01
 1.40000000000000013e+00,-7.60747422150443120e-10,-8.79944781263715328e+01, 1.00254777348470328e-06,-1.99883489526613651e+01
 1.50000000000000000e+00,-7.60811409159366284e-10,-8.79944829045024903e+01, 1.00256818140918195e-06,-1.99867806990697829e+01
 1.60000000000000009e+00,-7.60875372991429115e-10,-8.79944876810673691e+01, 1.00258872611256678e-06,-1.99852031789134017e+01
 1.70000000000000018e+00,-7.60939313647284050e-10,-8.79944924560661832e+01, 1.00260940770658331e-06,-1.99836163846100270e+01
 1.80000000000000004e+00,-7.61003231127377768e-10,-8.79944972294989469e+01, 1.00263022630313011e-06,-1.99820203085659145e+01
 1.90000000000000013e+00,-7.61067125431332351e-10,-8.79945020013656318e+01, 1.00265118201427218e-06,-1.99804149431757665e+01
 2.00000000000000000e+00,-7.61130996559800547e-10,-8.79945067716662521e+01, 1.00267227495224731e-06,-1.99788002808227603e+01
 2.10000000000000009e+00,-7.61194817648897205e-10,-8.79945115385481813e+01, 1.00269350522946207e-06,-1.99771763138785055e+01
