"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-5.94785057906805849e-07,-8.79132641371868147e+01,-5.94788753602156752e-07,-8.79132642257431485e+01
 1.00000000000000006e-01,-5.94819345917083295e-07,-8.79132718746985944e+01,-5.94823098804561276e-07,-8.79132719785705774e+01
 2.00000000000000011e-01,-5.94853633759852246e-07,-8.79132796122103741e+01,-5.94857428224726902e-07,-8.79132797278547571e+01
 3.00000000000000044e-01,-5.94887921435384495e-07,-8.79132873497221539e+01,-5.94891741868452099e-07,-8.79132874735973360e+01
 4.00000000000000022e-01,-5.94922208943476329e-07,-8.79132950872339194e+01,-5.94926039741538831e-07,-8.79132952157999199e+01
 5.00000000000000000e-01,-5.94956483122374690e-07,-8.79133028217718078e+01,-5.94960321849793403e-07,-8.79133029544641289e+01
 6.00000000000000089e-01,-5.94990695309037790e-07,-8.79133105423403549e+01,-5.94994588199025508e-07,-8.79133106895915830e+01
 7.00000000000000067e-01,-5.95024907329433933e-07,-8.79133182629089021e+01,-5.95028838795116837e-07,-8.79133184211839307e+01
 8.00000000000000044e-01,-5.95059119183562909e-07,-8.79133259834774492e+01,-5.95063073643817051e-07,-8.79133261492427636e+01
 9.00000000000000022e-01,-5.95093330871492903e-07,-8.79133337040460106e+01,-5.95097292751015038e-07,-8.79133338737697017e+01
 1.00000000000000000e+00,-5.95127520244021946e-07,-8.79133414196070078e+01,-5.95131496122535846e-07,-8.79133415947663792e+01
 1.10000000000000009e+00,-5.95161661521933953e-07,-8.79133491243320577e+01,-5.95165683764275881e-07,-8.79133493122344163e+01
 1.20000000000000018e+00,-5.95195792297743004e-07,-8.79133568267200758e+01,-5.95199855681931548e-07,-8.79133570261754187e+01
 1.30000000000000004e+00,-5.95229912571474192e-07,-8.79133645267710335e+01,-5.95234011881338478e-07,-8.79133647365910065e+01
 1.40000000000000013e+00,-5.95264022343627691e-07,-8.79133722244849594e+01,-5.95268152368336118e-07,-8.79133724434827855e+01
 1.50000000000000000e+00,-5.95298121614228486e-07,-8.79133799198618249e+01,-5.95302277148767300e-07,-8.79133801468523899e+01
 1.60000000000000009e+00,-5.95332210383572723e-07,-8.79133876129016443e+01,-5.95336386228410483e-07,-8.79133878467014114e+01
 1.70000000000000018e+00,-5.95366288651820809e-07,-8.79133953036044034e+01,-5.95370479613251332e-07,-8.79133955430314842e+01
 1.80000000000000004e+00,-5.95400356419336755e-07,-8.79134029919701305e+01,-5.95404557308871158e-07,-8.79134032358442141e+01
 1.90000000000000013e+00,-5.95434413686213101e-07,-8.79134106779988116e+01,-5.95438619321262825e-07,-8.79134109251412070e+01
 2.00000000000000000e+00,-5.95468460452745671e-07,-8.79134183616904323e+01,-5.95472665656150053e-07,-8.79134186109240687e+01
 2.10000000000000009e+00,-5.95502496719230294e-07,-8.79134260430450070e+01,-5.95506696319396638e-07,-8.79134262931944193e+01
 2.20000000000000018e+00,-5.95536511992891115e-07,-8.79134337196935576e+01,-5.95540711316800628e-07,-8.79134339719538644e+01
 2.30000000000000027e+00,-5.95570503477281470e-07,-8.79134413910045964e+01,-5.95574710654368121e-07,-8.79134416472040243e+01
 2.40000000000000036e+00,-5.95604481027380673e-07,-8.79134490592029749e+01,-5.95608694337564280e-07,-8.79134493189464763e+01
 2.50000000000000000e+00,-5.95638444643150607e-07,-8.79134567242886789e+01,-5.95642662372401556e-07,-8.79134569871828546e+01
 2.60000000000000009e+00,-5.95672394325097163e-07,-8.79134643862617224e+01,-5.95676614764691230e-07,-8.79134646519147509e+01
 2.70000000000000018e+00,-5.95706330073589435e-07,-8.79134720451221057e+01,-5.95710551520247867e-07,-8.79134723131437852e+01
 2.80000000000000027e+00,-5.95740251888793018e-07,-8.79134797008698285e+01,-5.95744472644888993e-07,-8.79134799708715349e+01
 2.90000000000000036e+00,-5.95774159771009033e-07,-8.79134873535048769e+01,-5.95778378144435421e-07,-8.79134876250996342e+01
 3.00000000000000000e+00,-5.95808053720606680e-07,-8.79134950030272648e+01,-5.95812268024710923e-07,-8.79134952758296606e+01
 3.10000000000000009e+00,-5.95841933737886549e-07,-8.79135026494369924e+01,-5.95846142291338107e-07,-8.79135029230632199e+01
 3.20000000000000018e+00,-5.95875799823081364e-07,-8.79135102927340597e+01,-5.95880000950418466e-07,-8.79135105668019179e+01
 3.30000000000000027e+00,-5.95909651976559689e-07,-8.79135179329184524e+01,-5.95913844007580854e-07,-8.79135182070473604e+01
 3.40000000000000036e+00,-5.95943485776847232e-07,-8.79135255690009103e+01,-5.95947671468728242e-07,-8.79135258438011391e+01
 3.50000000000000000e+00,-5.95977302229843370e-07,-8.79135332012064055e+01,-5.95981483339631254e-07,-8.79135334770648598e+01
 3.60000000000000009e+00,-5.96011103642951614e-07,-8.79135408300510761e+01,-5.96015279626062843e-07,-8.79135411068401140e+01
 3.70000000000000018e+00,-5.96044890016561598e-07,-8.79135484555349365e+01,-5.96049060333866796e-07,-8.79135487331284935e+01
 3.80000000000000027e+00,-5.96078661350858611e-07,-8.79135560776579723e+01,-5.96082825468685622e-07,-8.79135563559315898e+01
 3.90000000000000036e+00,-5.96112417646164313e-07,-8.79135636964201836e+01,-5.96116575036640723e-07,-8.79135639752510230e+01
 4.00000000000000000e+00,-5.96146158902867176e-07,-8.79135713118215705e+01,-5.96150309043243954e-07,-8.79135715910883562e+01
 4.10000000000000053e+00,-5.96179885121220568e-07,-8.79135789238621328e+01,-5.96184027494553718e-07,-8.79135792034452095e+01
 4.20000000000000018e+00,-5.96213596301680722e-07,-8.79135865325418848e+01,-5.96217730396223324e-07,-8.79135868123231603e+01
 4.29999999999999982e+00,-5.96247292444432396e-07,-8.79135941378608123e+01,-5.96251417753908729e-07,-8.79135944177238002e+01
 4.40000000000000036e+00,-5.96280973549863745e-07,-8.79136017398189153e+01,-5.96285089573675855e-07,-8.79136020196487351e+01
 4.50000000000000000e+00,-5.96314639618226972e-07,-8.79136093384161939e+01,-5.96318745861185527e-07,-8.79136096180995281e+01
 4.60000000000000053e+00,-5.96348288327209939e-07,-8.79136169331597159e+01,-5.96352386622304825e-07,-8.79136172130777993e+01
 4.70000000000000018e+00,-5.96381921069431692e-07,-8.79136245243449537e+01,-5.96386011862631791e-07,-8.79136248045851119e+01
 4.80000000000000071e+00,-5.96415538459517442e-07,-8.79136321121022775e+01,-5.96419621588106031e-07,-8.79136323926230574e+01
 4.90000000000000036e+00,-5.96449140497721828e-07,-8.79136396964317015e+01,-5.96453215804534062e-07,-8.79136399771932417e+01
 5.00000000000000000e+00,-5.96482727184435016e-07,-8.79136472773331974e+01,-5.96486794517724411e-07,-8.79136475582972423e+01
 5.10000000000000053e+00,-5.96516298519978665e-07,-8.79136548548067935e+01,-5.96520357733420175e-07,-8.79136551359366223e+01
 5.20000000000000018e+00,-5.96549854504606675e-07,-8.79136624288524757e+01,-5.96553905457298803e-07,-8.79136627101130017e+01
 5.30000000000000071e+00,-5.96583395138708255e-07,-8.79136699994702440e+01,-5.96587437695311338e-07,-8.79136702808279438e+01
 5.40000000000000036e+00,-5.96616920422536988e-07,-8.79136775666600983e+01,-5.96620954453207544e-07,-8.79136778480830259e+01
