"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-3.96249579009783055e-06,-8.78578203272909946e+01,-3.96248526033301955e-06,-8.78578202679554607e+01
 1.00000000000000006e-01,-3.95984668208476461e-06,-8.78578295049507574e+01,-3.95983140056955444e-06,-8.78578294589864868e+01
 2.00000000000000011e-01,-3.95719693204828033e-06,-8.78578386826105344e+01,-3.95717901919898435e-06,-8.78578386440206174e+01
 3.00000000000000044e-01,-3.95454800630342316e-06,-8.78578478561429534e+01,-3.95452811593403384e-06,-8.78578478230618174e+01
 4.00000000000000022e-01,-3.95190278943619070e-06,-8.78578570174330338e+01,-3.95187869047925527e-06,-8.78578569961139806e+01
 5.00000000000000000e-01,-3.94925693309902491e-06,-8.78578661787231283e+01,-3.94923074254421713e-06,-8.78578661631810576e+01
 6.00000000000000089e-01,-3.94661309607292160e-06,-8.78578753325193560e+01,-3.94658427183361494e-06,-8.78578753242669563e+01
 7.00000000000000067e-01,-3.94397229314018060e-06,-8.78578844759670687e+01,-3.94393927805321232e-06,-8.78578844793755991e+01
 8.00000000000000044e-01,-3.94133226054414285e-06,-8.78578936154507488e+01,-3.94129576090654775e-06,-8.78578936285108938e+01
 9.00000000000000022e-01,-3.93869299920868498e-06,-8.78579027509703963e+01,-3.93865372009624912e-06,-8.78579027716767484e+01
 1.00000000000000000e+00,-3.93605451005396430e-06,-8.78579118825259968e+01,-3.93601315532535685e-06,-8.78579119088770852e+01
 1.10000000000000009e+00,-3.93341679400362365e-06,-8.78579210101175647e+01,-3.93337406629271770e-06,-8.78579210401157980e+01
 1.20000000000000018e+00,-3.93077985197758824e-06,-8.78579301337451000e+01,-3.93073645269956451e-06,-8.78579301653967946e+01
 1.30000000000000004e+00,-3.92814457025065084e-06,-8.78579392508859343e+01,-3.92810031424426461e-06,-8.78579392847239689e+01
 1.40000000000000013e+00,-3.92551126233200423e-06,-8.78579483606512639e+01,-3.92546565062493800e-06,-8.78579483981012288e+01
 1.50000000000000000e+00,-3.92287919435726820e-06,-8.78579574651360531e+01,-3.92283246153816393e-06,-8.78579575055324682e+01
 1.60000000000000009e+00,-3.92024836754709432e-06,-8.78579665643403018e+01,-3.92020074667831174e-06,-8.78579666070215524e+01
 1.70000000000000018e+00,-3.91761878312135318e-06,-8.78579756582639959e+01,-3.91757050574148209e-06,-8.78579757025723893e+01
 1.80000000000000004e+00,-3.91499044230239039e-06,-8.78579847469071638e+01,-3.91494173842027571e-06,-8.78579847921888728e+01
 1.90000000000000013e+00,-3.91236334630915669e-06,-8.78579938302697769e+01,-3.91231444440835976e-06,-8.78579938758748682e+01
 2.00000000000000000e+00,-3.90973778106913119e-06,-8.78580029075282027e+01,-3.90968862339592093e-06,-8.78580029536342551e+01
 2.10000000000000009e+00,-3.90711384038414093e-06,-8.78580119784152203e+01,-3.90706427507485351e-06,-8.78580120254709129e+01
 2.20000000000000018e+00,-3.90449129514478665e-06,-8.78580210435975459e+01,-3.90444139913358322e-06,-8.78580210913887072e+01
 2.30000000000000027e+00,-3.90187014666627335e-06,-8.78580301030751940e+01,-3.90181999526160387e-06,-8.78580301513915316e+01
 2.40000000000000036e+00,-3.89925039625769552e-06,-8.78580391568481645e+01,-3.89920006314558611e-06,-8.78580392054832231e+01
 2.50000000000000000e+00,-3.89663204523112838e-06,-8.78580482049164431e+01,-3.89658160247263089e-06,-8.78580482536676755e+01
 2.60000000000000009e+00,-3.89401509489579009e-06,-8.78580572472800441e+01,-3.89396461292765975e-06,-8.78580572959487114e+01
 2.70000000000000018e+00,-3.89139962773750496e-06,-8.78580662836950808e+01,-3.89134909419603129e-06,-8.78580663323302247e+01
 2.80000000000000027e+00,-3.88878566925122186e-06,-8.78580753140890636e+01,-3.88873504596029364e-06,-8.78580753628160664e+01
 2.90000000000000036e+00,-3.88617315673554285e-06,-8.78580843386544217e+01,-3.88612246790277896e-06,-8.78580843874100594e+01
 3.00000000000000000e+00,-3.88356209152411708e-06,-8.78580933573911551e+01,-3.88351135970689429e-06,-8.78580934061160974e+01
 3.10000000000000009e+00,-3.88095247494963231e-06,-8.78581023702992638e+01,-3.88090172105066207e-06,-8.78581024189379889e+01
 3.20000000000000018e+00,-3.87834430834512018e-06,-8.78581113773787621e+01,-3.87829355161448153e-06,-8.78581114258795850e+01
 3.30000000000000027e+00,-3.87573759303878596e-06,-8.78581203786296214e+01,-3.87568685107789046e-06,-8.78581204269447511e+01
 3.40000000000000036e+00,-3.87313233607309959e-06,-8.78581293740001286e+01,-3.87308161911764160e-06,-8.78581294221372957e+01
 3.50000000000000000e+00,-3.87052853915770898e-06,-8.78581383634868729e+01,-3.87047785540963897e-06,-8.78581384114610699e+01
 3.60000000000000009e+00,-3.86792619887329797e-06,-8.78581473471329417e+01,-3.86787555963150099e-06,-8.78581473949199108e+01
 3.70000000000000018e+00,-3.86532531654802524e-06,-8.78581563249383208e+01,-3.86527473145486601e-06,-8.78581563725176267e+01
 3.80000000000000027e+00,-3.86272589350909825e-06,-8.78581652969029960e+01,-3.86267537055566431e-06,-8.78581653442580546e+01
 3.90000000000000036e+00,-3.86012793108404885e-06,-8.78581742630269957e+01,-3.86007747660577058e-06,-8.78581743101450172e+01
 4.00000000000000000e+00,-3.85753143059881312e-06,-8.78581832233102915e+01,-3.85748104927750334e-06,-8.78581832701823515e+01
 4.10000000000000053e+00,-3.85493639337773129e-06,-8.78581921777529118e+01,-3.85488608823977350e-06,-8.78581922243738376e+01
 4.20000000000000018e+00,-3.85234282074482683e-06,-8.78582011263548281e+01,-3.85229259316450319e-06,-8.78582011727233265e+01
 4.29999999999999982e+00,-3.84975071402444846e-06,-8.78582100691160690e+01,-3.84970056372021623e-06,-8.78582101152346269e+01
 4.40000000000000036e+00,-3.84716007453806497e-06,-8.78582190060366202e+01,-3.84710999957268780e-06,-8.78582190519115187e+01
 4.50000000000000000e+00,-3.84457090360619820e-06,-8.78582279371164674e+01,-3.84452090039133706e-06,-8.78582279827578390e+01
 4.60000000000000053e+00,-3.84198320255032204e-06,-8.78582368623556391e+01,-3.84193326584027561e-06,-8.78582369077773677e+01
 4.70000000000000018e+00,-3.83939697268713309e-06,-8.78582457817541069e+01,-3.83934709558471116e-06,-8.78582458269739277e+01
 4.80000000000000071e+00,-3.83681221533810527e-06,-8.78582546953118850e+01,-3.83676238928902553e-06,-8.78582547403512990e+01
 4.90000000000000036e+00,-3.83422893181866124e-06,-8.78582636030289876e+01,-3.83417914661677383e-06,-8.78582636479132759e+01
 5.00000000000000000e+00,-3.83164664012093224e-06,-8.78582725059518879e+01,-3.83159736722878800e-06,-8.78582725496636670e+01
 5.10000000000000053e+00,-3.82906573008868805e-06,-8.78582814032389194e+01,-3.82901705078761180e-06,-8.78582814456062522e+01
 5.20000000000000018e+00,-3.82648626909043832e-06,-8.78582902947469933e+01,-3.82643819695244236e-06,-8.78582903357448117e+01
 5.30000000000000071e+00,-3.82390825842405606e-06,-8.78582991804761377e+01,-3.82386080538356188e-06,-8.78582992200831399e+01
 5.40000000000000036e+00,-3.82133169938585067e-06,-8.78583080604263387e+01,-3.82128487573727148e-06,-8.78583080986250025e+01
 5.50000000000000000e+00,-3.81875659327119640e-06,-8.78583169345975818e+01,-3.81871040767286489e-06,-8.78583169713741938e+01
 5.60000000000000053e+00,-3.81618294137706841e-06,-8.78583258029898957e+01,-3.81613740084628577e-06,-8.78583258383344798e+01
 5.70000000000000018e+00,-3.81361074499634390e-06,-8.78583346656032518e+01,-3.81356585491267738e-06,-8.78583346995096264e+01
 5.80000000000000071e+00,-3.81104000542286402e-06,-8.78583435224376785e+01,-3.81099576952764162e-06,-8.78583435549034135e+01
 5.90000000000000036e+00,-3.80847072394827312e-06,-8.78583523734931475e+01,-3.80842714434344945e-06,-8.78583524045196071e+01
 6.00000000000000000e+00,-3.80590290186391399e-06,-8.78583612187696872e+01,-3.80585997901346999e-06,-8.78583612483619589e+01
 6.10000000000000053e+00,-3.80333654046082876e-06,-8.78583700582672691e+01,-3.80329427318900180e-06,-8.78583700864342347e+01
 6.20000000000000018e+00,-3.80077164102849380e-06,-8.78583788919859217e+01,-3.80073002652307393e-06,-8.78583789187402147e+01
 6.30000000000000071e+00,-3.79820820485482059e-06,-8.78583877199256165e+01,-3.79816723866287937e-06,-8.78583877452836219e+01
 6.40000000000000036e+00,-3.79564623322805221e-06,-8.78583965420863819e+01,-3.79560590925922667e-06,-8.78583965660682225e+01
 6.50000000000000000e+00,-3.79308572743423626e-06,-8.78584053584681897e+01,-3.79304603795836184e-06,-8.78584053810977537e+01
 6.60000000000000053e+00,-3.79052668875911707e-06,-8.78584141690710538e+01,-3.79048762440950143e-06,-8.78584141903759814e+01
 6.70000000000000018e+00,-3.78796911848813490e-06,-8.78584229738949887e+01,-3.78793066825857168e-06,-8.78584229939066432e+01
 6.80000000000000071e+00,-3.78541301790454045e-06,-8.78584317729399658e+01,-3.78537516915071027e-06,-8.78584317916934907e+01
 6.90000000000000036e+00,-3.78285838829128072e-06,-8.78584405662059993e+01,-3.78282112672964540e-06,-8.78584405837402329e+01
 7.00000000000000000e+00,-3.78030523093099187e-06,-8.78584493536930893e+01,-3.78026854063958214e-06,-8.78584493700506215e+01
 7.10000000000000053e+00,-3.77775354710475491e-06,-8.78584581354012499e+01,-3.77771741052393064e-06,-8.78584581506283939e+01
 7.20000000000000018e+00,-3.77520333809208848e-06,-8.78584669113304528e+01,-3.77516773602283658e-06,-8.78584669254772734e+01
 7.30000000000000071e+00,-3.77265460517283059e-06,-8.78584756814807122e+01,-3.77261951677878682e-06,-8.78584756946009975e+01
 7.40000000000000036e+00,-3.77010734962463724e-06,-8.78584844458520280e+01,-3.77007275243162254e-06,-8.78584844580032751e+01
 7.50000000000000000e+00,-3.76756157272485573e-06,-8.78584932044444002e+01,-3.76752744261916769e-06,-8.78584932156878295e+01
 7.60000000000000053e+00,-3.76501727575052290e-06,-8.78585019572578290e+01,-3.76498358698096105e-06,-8.78585019676583983e+01
 7.70000000000000018e+00,-3.76247445997649576e-06,-8.78585107042923141e+01,-3.76244118515328879e-06,-8.78585107139186761e+01
 7.80000000000000071e+00,-3.75993312667794599e-06,-8.78585194455478558e+01,-3.75990023677353696e-06,-8.78585194544723862e+01
 7.90000000000000036e+00,-3.75739327712786331e-06,-8.78585281810244538e+01,-3.75736074147583898e-06,-8.78585281893232377e+01
 8.00000000000000000e+00,-3.75485491259955254e-06,-8.78585369107221084e+01,-3.75482269889605328e-06,-8.78585369184749254e+01
 8.09999999999999964e+00,-3.75231803436414035e-06,-8.78585456346408193e+01,-3.75228610866802530e-06,-8.78585456419311868e+01
 8.20000000000000107e+00,-3.74978264369306132e-06,-8.78585543527805868e+01,-3.74975097042361081e-06,-8.78585543596956882e+01
 8.30000000000000071e+00,-3.74724874185557864e-06,-8.78585630651414107e+01,-3.74721728379638504e-06,-8.78585630717721529e+01
 8.40000000000000036e+00,-3.74471633012125961e-06,-8.78585717717232910e+01,-3.74468504841606839e-06,-8.78585717781642614e+01
 8.50000000000000000e+00,-3.74218540975750225e-06,-8.78585804725262278e+01,-3.74215426391349087e-06,-8.78585804788757230e+01
 8.59999999999999964e+00,-3.73965598203200615e-06,-8.78585891675502211e+01,-3.73962492991748307e-06,-8.78585891739102038e+01
 8.70000000000000107e+00,-3.73712795390254224e-06,-8.78585978570138195e+01,-3.73709704605737023e-06,-8.78585978632714273e+01
 8.80000000000000071e+00,-3.73460054260025483e-06,-8.78586065427335541e+01,-3.73457061196110839e-06,-8.78586065469630597e+01
 8.90000000000000036e+00,-3.73207457745073399e-06,-8.78586152227899646e+01,-3.73204562725467193e-06,-8.78586152249887817e+01
 9.00000000000000000e+00,-3.72955005969239273e-06,-8.78586238971830795e+01,-3.72952209156391454e-06,-8.78586238973522740e+01
 9.09999999999999964e+00,-3.72702699056028088e-06,-8.78586325659128988e+01,-3.72700000451455057e-06,-8.78586325640572312e+01
 9.20000000000000107e+00,-3.72450537128671237e-06,-8.78586412289793941e+01,-3.72447936573033095e-06,-8.78586412251073057e+01
 9.30000000000000071e+00,-3.72198520310741469e-06,-8.78586498863826080e+01,-3.72196017483426758e-06,-8.78586498805061780e+01
 9.40000000000000036e+00,-3.71946648725107603e-06,-8.78586585381224978e+01,-3.71944243144924869e-06,-8.78586585302575145e+01
 9.50000000000000000e+00,-3.71694922495347681e-06,-8.78586671841990920e+01,-3.71692613519804094e-06,-8.78586671743649958e+01
 9.60000000000000142e+00,-3.71443341744213633e-06,-8.78586758246123765e+01,-3.71441128570021347e-06,-8.78586758128322742e+01
 9.70000000000000107e+00,-3.71191906594859263e-06,-8.78586844593623653e+01,-3.71189788257522911e-06,-8.78586844456630018e+01
 9.80000000000000071e+00,-3.70940617170042134e-06,-8.78586930884490442e+01,-3.70938592544304152e-06,-8.78586930728608593e+01
