"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-4.56779118542724450e-05,-8.78573376168269533e+01,-4.56749301734801479e-05,-8.78573376392268699e+01
 1.00000000000000006e-01,-4.56499320595933882e-05,-8.78573417185015018e+01,-4.56468466105498024e-05,-8.78573417500128073e+01
 2.00000000000000011e-01,-4.56219500295540514e-05,-8.78573458201760360e+01,-4.56187830683339065e-05,-8.78573458585336340e+01
 3.00000000000000044e-01,-4.55939657641671534e-05,-8.78573499218505845e+01,-4.55907395337400685e-05,-8.78573499647904868e+01
 4.00000000000000022e-01,-4.55659792634326741e-05,-8.78573540235251329e+01,-4.55627159936827677e-05,-8.78573540687845167e+01
 5.00000000000000000e-01,-4.55379905273252497e-05,-8.78573581251996671e+01,-4.55347124351024435e-05,-8.78573581705168891e+01
 6.00000000000000089e-01,-4.55100869880377274e-05,-8.78573622177911773e+01,-4.55067288449335312e-05,-8.78573622699887551e+01
 7.00000000000000067e-01,-4.54822096747884054e-05,-8.78573663074273981e+01,-4.54787652100984791e-05,-8.78573663672012515e+01
 8.00000000000000044e-01,-4.54543301422905558e-05,-8.78573703970636188e+01,-4.54508215175772050e-05,-8.78573704621555578e+01
 9.00000000000000022e-01,-4.54264483905378631e-05,-8.78573744866998396e+01,-4.54228977542994823e-05,-8.78573745548527967e+01
 1.00000000000000000e+00,-4.53985644195429650e-05,-8.78573785763360604e+01,-4.53949939072336142e-05,-8.78573786452941192e+01
 1.10000000000000009e+00,-4.53707270533627060e-05,-8.78573826609079163e+01,-4.53671099633609618e-05,-8.78573827334806907e+01
 1.20000000000000018e+00,-4.53429456165151861e-05,-8.78573867394493107e+01,-4.53392459096382071e-05,-8.78573868194136480e+01
 1.30000000000000004e+00,-4.53151766146167123e-05,-8.78573908164724173e+01,-4.53114017330541311e-05,-8.78573909030941422e+01
 1.40000000000000013e+00,-4.52874200507119684e-05,-8.78573948919772363e+01,-4.52835774205980165e-05,-8.78573949845233244e+01
 1.50000000000000000e+00,-4.52596759278127122e-05,-8.78573989659637533e+01,-4.52557729592659966e-05,-8.78573990637023314e+01
 1.60000000000000009e+00,-4.52319442489608557e-05,-8.78574030384319968e+01,-4.52279883360420413e-05,-8.78574031406323002e+01
 1.70000000000000018e+00,-4.52042250171780569e-05,-8.78574071093819384e+01,-4.52002235379611323e-05,-8.78574072153143959e+01
 1.80000000000000004e+00,-4.51765182354971952e-05,-8.78574111788135923e+01,-4.51724785520083713e-05,-8.78574112877497555e+01
 1.90000000000000013e+00,-4.51488239069434589e-05,-8.78574152467269585e+01,-4.51447533652260175e-05,-8.78574153579395158e+01
 2.00000000000000000e+00,-4.51211420345344266e-05,-8.78574193131220369e+01,-4.51170479646317258e-05,-8.78574194258848280e+01
 2.10000000000000009e+00,-4.50934726212925626e-05,-8.78574233779988134e+01,-4.50893623372624293e-05,-8.78574234915868288e+01
 2.20000000000000018e+00,-4.50658156702452847e-05,-8.78574274413573164e+01,-4.50616964701556984e-05,-8.78574275550466695e+01
 2.30000000000000027e+00,-4.50381711844122991e-05,-8.78574315031975175e+01,-4.50340503503558523e-05,-8.78574316162654725e+01
 2.40000000000000036e+00,-4.50105684685675453e-05,-8.78574355604784500e+01,-4.50064239649140477e-05,-8.78574356752443890e+01
 2.50000000000000000e+00,-4.49829855970869941e-05,-8.78574396154763662e+01,-4.49788173009070216e-05,-8.78574397319845559e+01
 2.60000000000000009e+00,-4.49554199613737810e-05,-8.78574436684624231e+01,-4.49512303453744041e-05,-8.78574437864871243e+01
