"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V"
 0.00000000000000000e+00,-1.07639673510182498e-05,-8.78581823248825771e+01,-1.07639958404191804e-05,-8.78581824400991422e+01
 1.00000000000000006e-01,-1.07651556849295895e-05,-8.78581923926706452e+01,-1.07651860859673456e-05,-8.78581925234895209e+01
 2.00000000000000011e-01,-1.07663440154994266e-05,-8.78582024604587133e+01,-1.07663755084209835e-05,-8.78582026001895144e+01
 3.00000000000000044e-01,-1.07675320405970142e-05,-8.78582125257808997e+01,-1.07675641083404825e-05,-8.78582126702036845e+01
 4.00000000000000022e-01,-1.07687180287269801e-05,-8.78582225745056320e+01,-1.07687518862879746e-05,-8.78582227335365644e+01
 5.00000000000000000e-01,-1.07699040135255095e-05,-8.78582326232303643e+01,-1.07699388428186168e-05,-8.78582327901926732e+01
 6.00000000000000089e-01,-1.07710894646349808e-05,-8.78582426676265413e+01,-1.07711249784945290e-05,-8.78582428401765725e+01
 7.00000000000000067e-01,-1.07722730519671752e-05,-8.78582526968386475e+01,-1.07723102938760897e-05,-8.78582528834927956e+01
 8.00000000000000044e-01,-1.07734560945752205e-05,-8.78582627216320873e+01,-1.07734947895201925e-05,-8.78582629201458474e+01
 9.00000000000000022e-01,-1.07746385924631521e-05,-8.78582727420068750e+01,-1.07746784659802463e-05,-8.78582729501402611e+01
 1.00000000000000000e+00,-1.07758205456297738e-05,-8.78582827579629964e+01,-1.07758613238200973e-05,-8.78582829734805557e+01
 1.10000000000000009e+00,-1.07770019540756413e-05,-8.78582927695004372e+01,-1.07770433635931528e-05,-8.78582929901712646e+01
 1.20000000000000018e+00,-1.07781828178082594e-05,-8.78583027766192259e+01,-1.07782245858580259e-05,-8.78583030002168783e+01
 1.30000000000000004e+00,-1.07793631368264439e-05,-8.78583127793193484e+01,-1.07794049911681221e-05,-8.78583130036219160e+01
 1.40000000000000013e+00,-1.07805422098167825e-05,-8.78583227718768995e+01,-1.07805845800803099e-05,-8.78583230003908824e+01
 1.50000000000000000e+00,-1.07817205218061194e-05,-8.78583327582504694e+01,-1.07817633531497175e-05,-8.78583329905282824e+01
 1.60000000000000009e+00,-1.07828981092162479e-05,-8.78583427387373064e+01,-1.07829413109314803e-05,-8.78583429740386066e+01
 1.70000000000000018e+00,-1.07840749720571816e-05,-8.78583527133374247e+01,-1.07841184539789733e-05,-8.78583529509263741e+01
 1.80000000000000004e+00,-1.07852511103232674e-05,-8.78583626820508101e+01,-1.07852947828490665e-05,-8.78583629211960471e+01
 1.90000000000000013e+00,-1.07864265240245189e-05,-8.78583726448774769e+01,-1.07864702980916536e-05,-8.78583728848521446e+01
 2.00000000000000000e+00,-1.07876012131605042e-05,-8.78583826018174250e+01,-1.07876450002583667e-05,-8.78583828418991146e+01
 2.10000000000000009e+00,-1.07887750331522503e-05,-8.78583925516905850e+01,-1.07888188899095399e-05,-8.78583927923414763e+01
 2.20000000000000018e+00,-1.07899479964612754e-05,-8.78584024945986499e+01,-1.07899919675898426e-05,-8.78584027361836917e+01
 2.30000000000000027e+00,-1.07911201774136449e-05,-8.78584124311482100e+01,-1.07911642338526364e-05,-8.78584126734302231e+01
 2.40000000000000036e+00,-1.07922915760091691e-05,-8.78584223613392510e+01,-1.07923356892530242e-05,-8.78584226040855611e+01
 2.50000000000000000e+00,-1.07934621922511429e-05,-8.78584322851717729e+01,-1.07935063343374100e-05,-8.78584325281541680e+01
 2.60000000000000009e+00,-1.07946320261463426e-05,-8.78584422026457901e+01,-1.07946761696556590e-05,-8.78584424456404918e+01
 2.70000000000000018e+00,-1.07958010776980615e-05,-8.78584521137613024e+01,-1.07958451957628741e-05,-8.78584523565490230e+01
 2.80000000000000027e+00,-1.07969693268354879e-05,-8.78584620183545013e+01,-1.07970134132036957e-05,-8.78584622608841954e+01
 2.90000000000000036e+00,-1.07981367390692547e-05,-8.78584719161438130e+01,-1.07981808225297339e-05,-8.78584721586504713e+01
 3.00000000000000000e+00,-1.07993033522818684e-05,-8.78584818074384231e+01,-1.07993474242873705e-05,-8.78584820498522845e+01
 3.10000000000000009e+00,-1.08004691664732055e-05,-8.78584916922383030e+01,-1.08005132190282070e-05,-8.78584919344941113e+01
 3.20000000000000018e+00,-1.08016341816483735e-05,-8.78585015705434671e+01,-1.08016782072968771e-05,-8.78585018125803714e+01
 3.30000000000000027e+00,-1.08027983978107386e-05,-8.78585114423539153e+01,-1.08028423896467152e-05,-8.78585116841155269e+01
 3.40000000000000036e+00,-1.08039618149619236e-05,-8.78585213076696334e+01,-1.08040057666153925e-05,-8.78585215491039833e+01
 3.50000000000000000e+00,-1.08051244331018169e-05,-8.78585311664905930e+01,-1.08051683387562315e-05,-8.78585314075502026e+01
 3.60000000000000009e+00,-1.08062862414290795e-05,-8.78585410187285589e+01,-1.08063301066138625e-05,-8.78585412594585904e+01
 3.70000000000000018e+00,-1.08074472495047163e-05,-8.78585508644615771e+01,-1.08074910707311608e-05,-8.78585511048335803e+01
 3.80000000000000027e+00,-1.08086074573320915e-05,-8.78585607036896619e+01,-1.08086512316579694e-05,-8.78585609436796062e+01
 3.90000000000000036e+00,-1.08097668649163214e-05,-8.78585705364127989e+01,-1.08098105899371551e-05,-8.78585707760010735e+01
 4.00000000000000000e+00,-1.08109254722590305e-05,-8.78585803626310025e+01,-1.08109691461133347e-05,-8.78585806018024158e+01
 4.10000000000000053e+00,-1.08120832793601087e-05,-8.78585901823442441e+01,-1.08121269007311131e-05,-8.78585904210880244e+01
 4.20000000000000018e+00,-1.08132402862298863e-05,-8.78585999955525665e+01,-1.08132838543316206e-05,-8.78586002338623047e+01
 4.29999999999999982e+00,-1.08143964928682534e-05,-8.78586098022559270e+01,-1.08144400074594520e-05,-8.78586100401296761e+01
 4.40000000000000036e+00,-1.08155518992785776e-05,-8.78586196024543540e+01,-1.08155953606557275e-05,-8.78586198398945442e+01
 4.50000000000000000e+00,-1.08167065054642320e-05,-8.78586293961478475e+01,-1.08167499144685284e-05,-8.78586296331612999e+01
 4.60000000000000053e+00,-1.08178603114285791e-05,-8.78586391833363933e+01,-1.08179036694320002e-05,-8.78586394199343346e+01
 4.70000000000000018e+00,-1.08190133171749953e-05,-8.78586489640199915e+01,-1.08190566260942158e-05,-8.78586492002180393e+01
 4.80000000000000071e+00,-1.08201655227068433e-05,-8.78586587381986561e+01,-1.08202087849928004e-05,-8.78586589740168193e+01
 4.90000000000000036e+00,-1.08213169280274926e-05,-8.78586685058723731e+01,-1.08213601466688607e-05,-8.78586687413350376e+01
 5.00000000000000000e+00,-1.08224675331403195e-05,-8.78586782670411424e+01,-1.08225107116617484e-05,-8.78586785021770851e+01
 5.10000000000000053e+00,-1.08236173380486832e-05,-8.78586880217049782e+01,-1.08236604805108270e-05,-8.78586882565473246e+01
 5.20000000000000018e+00,-1.08247664619648632e-05,-8.78586977708366845e+01,-1.08248094537589292e-05,-8.78586980044501615e+01
 5.30000000000000071e+00,-1.08259148383173568e-05,-8.78587075138929947e+01,-1.08259576319419222e-05,-8.78587077458899444e+01
 5.40000000000000036e+00,-1.08270624232740844e-05,-8.78587172505161504e+01,-1.08271050156008972e-05,-8.78587174808710500e+01
 5.50000000000000000e+00,-1.08282092168331606e-05,-8.78587269807061517e+01,-1.08282516052682365e-05,-8.78587272093978271e+01
 5.60000000000000053e+00,-1.08293552190048733e-05,-8.78587367044630128e+01,-1.08293974014885062e-05,-8.78587369314746525e+01
 5.70000000000000018e+00,-1.08305004297908184e-05,-8.78587464217867335e+01,-1.08305424047958179e-05,-8.78587466471058747e+01
 5.80000000000000071e+00,-1.08316448491891036e-05,-8.78587561326772857e+01,-1.08316866157260303e-05,-8.78587563562958564e+01
 5.90000000000000036e+00,-1.08327884772082789e-05,-8.78587658371346976e+01,-1.08328300348184746e-05,-8.78587660590489463e+01
 6.00000000000000000e+00,-1.08339313138516799e-05,-8.78587755351589692e+01,-1.08339726626072609e-05,-8.78587757553694928e+01
 6.10000000000000053e+00,-1.08350733591174194e-05,-8.78587852267500722e+01,-1.08351144996282342e-05,-8.78587854452618302e+01
 6.20000000000000018e+00,-1.08362146130140422e-05,-8.78587949119080349e+01,-1.08362555464154978e-05,-8.78587951287302928e+01
 6.30000000000000071e+00,-1.08373550755466255e-05,-8.78588045906328574e+01,-1.08373958035048900e-05,-8.78588048057792435e+01
 6.40000000000000036e+00,-1.08384947467115338e-05,-8.78588142629245255e+01,-1.08385352714322505e-05,-8.78588144764130021e+01
 6.50000000000000000e+00,-1.08396336265155840e-05,-8.78588239287830390e+01,-1.08396739507299310e-05,-8.78588241406359032e+01
 6.60000000000000053e+00,-1.08407717149621050e-05,-8.78588335882083982e+01,-1.08408118419302816e-05,-8.78588337984522667e+01
 6.70000000000000018e+00,-1.08419090120561655e-05,-8.78588432412006171e+01,-1.08419489455691319e-05,-8.78588434498664128e+01
 6.80000000000000071e+00,-1.08430455177993628e-05,-8.78588528877596957e+01,-1.08430852621753457e-05,-8.78588530948826758e+01
 6.90000000000000036e+00,-1.08441812321950208e-05,-8.78588625278856057e+01,-1.08442207922847423e-05,-8.78588627335053616e+01
 7.00000000000000000e+00,-1.08453161552482116e-05,-8.78588721615783754e+01,-1.08453555364296600e-05,-8.78588723657387902e+01
 7.10000000000000053e+00,-1.08464502869570461e-05,-8.78588817888380049e+01,-1.08464894951372159e-05,-8.78588819915872676e+01
 7.20000000000000018e+00,-1.08475836273300762e-05,-8.78588914096644658e+01,-1.08476226689432243e-05,-8.78588916110551139e+01
 7.30000000000000071e+00,-1.08487161763706305e-05,-8.78589010240578006e+01,-1.08487550583747922e-05,-8.78589012241466065e+01
 7.40000000000000036e+00,-1.08498479340803016e-05,-8.78589106320179667e+01,-1.08498866639677255e-05,-8.78589108308660798e+01
 7.50000000000000000e+00,-1.08509789004606750e-05,-8.78589202335449926e+01,-1.08510174862421668e-05,-8.78589204312177969e+01
 7.60000000000000053e+00,-1.08521090755185678e-05,-8.78589298286388640e+01,-1.08521475257356601e-05,-8.78589300252060781e+01
 7.70000000000000018e+00,-1.08532384592555638e-05,-8.78589394172995952e+01,-1.08532767829735574e-05,-8.78589396128351865e+01
 7.80000000000000071e+00,-1.08543670516749970e-05,-8.78589489995271720e+01,-1.08544052584881747e-05,-8.78589491941094423e+01
 7.90000000000000036e+00,-1.08554948527784564e-05,-8.78589585753215943e+01,-1.08555329528031242e-05,-8.78589587690331086e+01
 8.00000000000000000e+00,-1.08566218625744919e-05,-8.78589681446828763e+01,-1.08566598664472322e-05,-8.78589683376104631e+01
 8.09999999999999964e+00,-1.08577480810612113e-05,-8.78589777076110039e+01,-1.08577859999493234e-05,-8.78589778998457973e+01
 8.20000000000000107e+00,-1.08588735082436867e-05,-8.78589872641059770e+01,-1.08589113538382241e-05,-8.78589874557433888e+01
 8.30000000000000071e+00,-1.08599981441269883e-05,-8.78589968141678099e+01,-1.08600359286357881e-05,-8.78589970053074865e+01
 8.40000000000000036e+00,-1.08611219887109654e-05,-8.78590063577964884e+01,-1.08611597248690951e-05,-8.78590065485423537e+01
 8.50000000000000000e+00,-1.08622450420024230e-05,-8.78590158949920266e+01,-1.08622827430686943e-05,-8.78590160854522964e+01
 8.59999999999999964e+00,-1.08633673040029587e-05,-8.78590254257544103e+01,-1.08634049837546996e-05,-8.78590256160415350e+01
 8.70000000000000107e+00,-1.08644887747158962e-05,-8.78590349500836396e+01,-1.08645264474524357e-05,-8.78590351403143330e+01
 8.80000000000000071e+00,-1.08656094866324029e-05,-8.78590444682448748e+01,-1.08656471346889672e-05,-8.78590446582749678e+01
 8.90000000000000036e+00,-1.08667296776236200e-05,-8.78590539821794607e+01,-1.08667670459861340e-05,-8.78590541699276599e+01
 9.00000000000000000e+00,-1.08678490933461972e-05,-8.78590634898115610e+01,-1.08678861818709958e-05,-8.78590636752766869e+01
 9.09999999999999964e+00,-1.08689677337999212e-05,-8.78590729911411472e+01,-1.08690045428636460e-05,-8.78590731743262694e+01
 9.20000000000000107e+00,-1.08700855989915308e-05,-8.78590824861682478e+01,-1.08701221294876576e-05,-8.78590826670806564e+01
 9.30000000000000071e+00,-1.08712026889242923e-05,-8.78590919748928485e+01,-1.08712389422648606e-05,-8.78590921535440827e+01
 9.40000000000000036e+00,-1.08723190035945007e-05,-8.78591014573149351e+01,-1.08723549817205594e-05,-8.78591016337207975e+01
 9.50000000000000000e+00,-1.08734345430158645e-05,-8.78591109334345362e+01,-1.08734702483713560e-05,-8.78591111076150071e+01
 9.60000000000000142e+00,-1.08745493071846837e-05,-8.78591204032516373e+01,-1.08745847427460344e-05,-8.78591205752309747e+01
 9.70000000000000107e+00,-1.08756632961076991e-05,-8.78591298667662386e+01,-1.08756984653559670e-05,-8.78591300365728927e+01
 9.80000000000000071e+00,-1.08767765097846922e-05,-8.78591393239783400e+01,-1.08768114167299329e-05,-8.78591394916449957e+01
 9.90000000000000036e+00,-1.08778889482241433e-05,-8.78591487748879416e+01,-1.08779235973845204e-05,-8.78591489404515045e+01
 1.00000000000000000e+01,-1.08790006114223562e-05,-8.78591582194950433e+01,-1.08790350075492771e-05,-8.78591583829942664e+01
 1.01000000000000014e+01,-1.08801114993878146e-05,-8.78591676577996452e+01,-1.08801456469440369e-05,-8.78591678192709509e+01
 1.02000000000000011e+01,-1.08812216121202915e-05,-8.78591770898017472e+01,-1.08812555171239504e-05,-8.78591772492942482e+01
 1.03000000000000007e+01,-1.08823309496282794e-05,-8.78591865155013494e+01,-1.08823646186125585e-05,-8.78591866730683932e+01
 1.04000000000000004e+01,-1.08834395119098097e-05,-8.78591959348984659e+01,-1.08834729519264345e-05,-8.78591960905975498e+01
 1.05000000000000000e+01,-1.08845472989698866e-05,-8.78592053479930684e+01,-1.08845805175786720e-05,-8.78592055018859241e+01
 1.06000000000000014e+01,-1.08856543108135145e-05,-8.78592147547851710e+01,-1.08856873160858425e-05,-8.78592149069376944e+01
 1.07000000000000011e+01,-1.08867605474422095e-05,-8.78592241552747879e+01,-1.08867933479697352e-05,-8.78592243057570670e+01
 1.08000000000000007e+01,-1.08878660088574946e-05,-8.78592335494618908e+01,-1.08878986137399522e-05,-8.78592336983482056e+01
 1.09000000000000004e+01,-1.08889706950661121e-05,-8.78592429373465080e+01,-1.08890031139148015e-05,-8.78592430847152883e+01
 1.10000000000000000e+01,-1.08900746060695818e-05,-8.78592523189286112e+01,-1.08901068490073581e-05,-8.78592524648625073e+01
 1.11000000000000014e+01,-1.08911777418694214e-05,-8.78592616942082287e+01,-1.08912098195341798e-05,-8.78592618387940121e+01
 1.12000000000000011e+01,-1.08922801024758579e-05,-8.78592710631853464e+01,-1.08923120260048553e-05,-8.78592712065139807e+01
 1.13000000000000007e+01,-1.08933816878834468e-05,-8.78592804258599500e+01,-1.08934134689394187e-05,-8.78592805680265911e+01
 1.14000000000000004e+01,-1.08944824980989304e-05,-8.78592897822320680e+01,-1.08945141488457189e-05,-8.78592899233359788e+01
 1.15000000000000000e+01,-1.08955825331255680e-05,-8.78592991323016861e+01,-1.08956140662403002e-05,-8.78592992724463357e+01
