"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53990140451962390e+01, 4.18436594503242160e-06,-8.53990131785097049e+01, 4.18446934499058311e-06
 1.00000000000000006e-01,-8.53990248929489155e+01, 4.18429037559215166e-06,-8.53990240309029787e+01, 4.18439354993247519e-06
 2.00000000000000011e-01,-8.53990357245581180e+01, 4.18421497175159255e-06,-8.53990348791356979e+01, 4.18431779381481390e-06
 3.00000000000000044e-01,-8.53990465522373654e+01, 4.18413960853504953e-06,-8.53990457232113300e+01, 4.18424207657916159e-06
 4.00000000000000022e-01,-8.53990573799166128e+01, 4.18406424572957160e-06,-8.53990565631333709e+01, 4.18416639816744145e-06
 5.00000000000000000e-01,-8.53990682075958603e+01, 4.18398888333515622e-06,-8.53990673989053022e+01, 4.18409075852099898e-06
 6.00000000000000089e-01,-8.53990790352751077e+01, 4.18391352135180677e-06,-8.53990782305306055e+01, 4.18401515758153885e-06
 7.00000000000000067e-01,-8.53990898496316220e+01, 4.18383828788625073e-06,-8.53990890580127626e+01, 4.18393959529026933e-06
 8.00000000000000044e-01,-8.53991006602118148e+01, 4.18376309114133647e-06,-8.53990998813552409e+01, 4.18386407158893320e-06
 9.00000000000000022e-01,-8.53991114680639356e+01, 4.18368792103671039e-06,-8.53991107005615362e+01, 4.18378858641860407e-06
 1.00000000000000000e+00,-8.53991222731879560e+01, 4.18361277757203368e-06,-8.53991215156351018e+01, 4.18371313972071469e-06
 1.10000000000000009e+00,-8.53991330755839044e+01, 4.18353766074654146e-06,-8.53991323265794051e+01, 4.18363773143645641e-06
 1.20000000000000018e+00,-8.53991438752517809e+01, 4.18346257055989578e-06,-8.53991431333979136e+01, 4.18356236150729502e-06
 1.30000000000000004e+00,-8.53991546721915569e+01, 4.18338750701116150e-06,-8.53991539360940948e+01, 4.18348702987411101e-06
 1.40000000000000013e+00,-8.53991654664032609e+01, 4.18331247009991512e-06,-8.53991647346714018e+01, 4.18341173647805592e-06
 1.50000000000000000e+00,-8.53991762578868929e+01, 4.18323745982556370e-06,-8.53991755291333021e+01, 4.18333648126029568e-06
 1.60000000000000009e+00,-8.53991870456472100e+01, 4.18316248448900472e-06,-8.53991863194832490e+01, 4.18326126416166929e-06
 1.70000000000000018e+00,-8.53991978266977583e+01, 4.18308756900052932e-06,-8.53991971057246815e+01, 4.18318608512319867e-06
 1.80000000000000004e+00,-8.53992086041270682e+01, 4.18301268759665465e-06,-8.53992078878610670e+01, 4.18311094408566099e-06
 1.90000000000000013e+00,-8.53992193779351680e+01, 4.18293784027655822e-06,-8.53992186658958303e+01, 4.18303584099001889e-06
 2.00000000000000000e+00,-8.53992301481220437e+01, 4.18286302703933371e-06,-8.53992294398324390e+01, 4.18296077577690129e-06
 2.10000000000000009e+00,-8.53992409146876810e+01, 4.18278824788458809e-06,-8.53992402096743177e+01, 4.18288574838703792e-06
 2.20000000000000018e+00,-8.53992516776321082e+01, 4.18271350281124395e-06,-8.53992509754249198e+01, 4.18281075876116441e-06
 2.30000000000000027e+00,-8.53992624369553113e+01, 4.18263879181865161e-06,-8.53992617370876701e+01, 4.18273580683968691e-06
 2.40000000000000036e+00,-8.53992731926572759e+01, 4.18256411490642058e-06,-8.53992724946659933e+01, 4.18266089256336480e-06
 2.50000000000000000e+00,-8.53992839447380305e+01, 4.18248947207338620e-06,-8.53992832481633570e+01, 4.18258601587236450e-06
 2.60000000000000009e+00,-8.53992946924421119e+01, 4.18241486820401901e-06,-8.53992939975831433e+01, 4.18251117670737677e-06
 2.70000000000000018e+00,-8.53993054356394623e+01, 4.18234030413874850e-06,-8.53993047429288055e+01, 4.18243637500858499e-06
 2.80000000000000027e+00,-8.53993161749363736e+01, 4.18226577595611280e-06,-8.53993154842037683e+01, 4.18236161071626911e-06
 2.90000000000000036e+00,-8.53993269103328316e+01, 4.18219128365544531e-06,-8.53993262214114424e+01, 4.18228688377062690e-06
 3.00000000000000000e+00,-8.53993376418288506e+01, 4.18211682723590492e-06,-8.53993369545552525e+01, 4.18221219411177906e-06
 3.10000000000000009e+00,-8.53993483694244304e+01, 4.18204240669665223e-06,-8.53993476836386094e+01, 4.18213754167993692e-06
 3.20000000000000018e+00,-8.53993590931195712e+01, 4.18196802203710701e-06,-8.53993584086649236e+01, 4.18206292641514750e-06
 3.30000000000000027e+00,-8.53993698129142587e+01, 4.18189367325642902e-06,-8.53993691296376056e+01, 4.18198834825720624e-06
 3.40000000000000036e+00,-8.53993805288085071e+01, 4.18181936035378222e-06,-8.53993798465600662e+01, 4.18191380714608136e-06
 3.50000000000000000e+00,-8.53993912408023021e+01, 4.18174508332867026e-06,-8.53993905594357017e+01, 4.18183930302166486e-06
 3.60000000000000009e+00,-8.53994019483549920e+01, 4.18167084344446140e-06,-8.53994012682679369e+01, 4.18176483582350486e-06
 3.70000000000000018e+00,-8.53994126518415726e+01, 4.18159663982369984e-06,-8.53994119730601540e+01, 4.18169040549149844e-06
 3.80000000000000027e+00,-8.53994233513645895e+01, 4.18152247222570961e-06,-8.53994226738157494e+01, 4.18161601196528687e-06
 3.90000000000000036e+00,-8.53994340469240285e+01, 4.18144834064983173e-06,-8.53994333705381194e+01, 4.18154165518425563e-06
 4.00000000000000000e+00,-8.53994447385198896e+01, 4.18137424509523526e-06,-8.53994440632306606e+01, 4.18146733508805108e-06
 4.10000000000000053e+00,-8.53994554261521870e+01, 4.18130018556117990e-06,-8.53994547518967693e+01, 4.18139305161589099e-06
 4.20000000000000018e+00,-8.53994661098209065e+01, 4.18122616204700664e-06,-8.53994654365398134e+01, 4.18131880470742171e-06
 4.29999999999999982e+00,-8.53994767895260622e+01, 4.18115217455188880e-06,-8.53994761171631893e+01, 4.18124459430160521e-06
 4.40000000000000036e+00,-8.53994874652676401e+01, 4.18107822307508351e-06,-8.53994867937702793e+01, 4.18117042033783204e-06
 4.50000000000000000e+00,-8.53994981370456401e+01, 4.18100430761602073e-06,-8.53994974663644655e+01, 4.18109628275523272e-06
 4.60000000000000053e+00,-8.53995088048600763e+01, 4.18093042817370350e-06,-8.53995081349491016e+01, 4.18102218149293947e-06
 4.70000000000000018e+00,-8.53995194687109347e+01, 4.18085658474756176e-06,-8.53995187995275984e+01, 4.18094811648982022e-06
 4.80000000000000071e+00,-8.53995301285982293e+01, 4.18078277733676881e-06,-8.53995294601032953e+01, 4.18087408768483353e-06
 4.90000000000000036e+00,-8.53995407845219319e+01, 4.18070900594075715e-06,-8.53995401166795887e+01, 4.18080009501667372e-06
 5.00000000000000000e+00,-8.53995514364820849e+01, 4.18063527055844594e-06,-8.53995507688165532e+01, 4.18072632208788733e-06
 5.10000000000000053e+00,-8.53995620844786458e+01, 4.18056157118952096e-06,-8.53995614167109096e+01, 4.18065268872490684e-06
 5.20000000000000018e+00,-8.53995727285116430e+01, 4.18048790783290476e-06,-8.53995720606068147e+01, 4.18057909509008229e-06
 5.30000000000000071e+00,-8.53995833685810766e+01, 4.18041428048794090e-06,-8.53995827005075654e+01, 4.18050554114329566e-06
 5.40000000000000036e+00,-8.53995940046869322e+01, 4.18034068915398225e-06,-8.53995933364164728e+01, 4.18043202684453733e-06
 5.50000000000000000e+00,-8.53996046369217652e+01, 4.18026713216441779e-06,-8.53996039683368338e+01, 4.18035855215373757e-06
 5.60000000000000053e+00,-8.53996152658684196e+01, 4.18019359902717577e-06,-8.53996145962719595e+01, 4.18028511703059285e-06
 5.70000000000000018e+00,-8.53996258908903485e+01, 4.18012010119966173e-06,-8.53996252202251327e+01, 4.18021172143508088e-06
 5.80000000000000071e+00,-8.53996365119875378e+01, 4.18004663868150300e-06,-8.53996358401996645e+01, 4.18013836532668721e-06
 5.90000000000000036e+00,-8.53996471291600017e+01, 4.17997321147173141e-06,-8.53996464561988233e+01, 4.18006504866543614e-06
 6.00000000000000000e+00,-8.53996577424077401e+01, 4.17989981956971762e-06,-8.53996570682259204e+01, 4.17999177141068277e-06
