"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53511408332794304e+01, 2.09791918375994031e-07,-8.53511407683378707e+01, 2.09796239294333124e-07
 1.00000000000000006e-01,-8.53511537583674311e+01, 2.09787412604004038e-07,-8.53511536981485364e+01, 2.09791730036278583e-07
 2.00000000000000011e-01,-8.53511666752805951e+01, 2.09782912164607451e-07,-8.53511666224831487e+01, 2.09787223772056515e-07
 3.00000000000000044e-01,-8.53511795900502221e+01, 2.09778412999536015e-07,-8.53511795413464966e+01, 2.09782720496729803e-07
 4.00000000000000022e-01,-8.53511924829513475e+01, 2.09773926492373058e-07,-8.53511924547433694e+01, 2.09778220205362600e-07
 5.00000000000000000e-01,-8.53512053758524729e+01, 2.09769440022131897e-07,-8.53512053626785416e+01, 2.09773722893050904e-07
 6.00000000000000089e-01,-8.53512182687535983e+01, 2.09764953588808641e-07,-8.53512182651567883e+01, 2.09769228554869165e-07
 7.00000000000000067e-01,-8.53512311616547095e+01, 2.09760467192414804e-07,-8.53512311621828701e+01, 2.09764737185938924e-07
 8.00000000000000044e-01,-8.53512440382160520e+01, 2.09755989934392566e-07,-8.53512440537615760e+01, 2.09760248781363853e-07
 9.00000000000000022e-01,-8.53512569071951503e+01, 2.09751516936444345e-07,-8.53512569398976524e+01, 2.09755763336267927e-07
 1.00000000000000000e+00,-8.53512697761742487e+01, 2.09747043975125190e-07,-8.53512698205958742e+01, 2.09751280845780152e-07
 1.10000000000000009e+00,-8.53512826451533613e+01, 2.09742571050442724e-07,-8.53512826958609736e+01, 2.09746801305049888e-07
 1.20000000000000018e+00,-8.53512955076609785e+01, 2.09738101720668037e-07,-8.53512955656977397e+01, 2.09742324709216091e-07
 1.30000000000000004e+00,-8.53513083509679120e+01, 2.09733642984624704e-07,-8.53513084301109046e+01, 2.09737851053449351e-07
 1.40000000000000013e+00,-8.53513211906814888e+01, 2.09729186260630342e-07,-8.53513212891052149e+01, 2.09733380332921527e-07
 1.50000000000000000e+00,-8.53513340268017089e+01, 2.09724731548628968e-07,-8.53513341426854026e+01, 2.09728912542813133e-07
 1.60000000000000009e+00,-8.53513468593285722e+01, 2.09720278848553296e-07,-8.53513469908562286e+01, 2.09724447678305585e-07
 1.70000000000000018e+00,-8.53513596882620789e+01, 2.09715828160343689e-07,-8.53513598336224106e+01, 2.09719985734612114e-07
 1.80000000000000004e+00,-8.53513725136022430e+01, 2.09711379483932703e-07,-8.53513726709886953e+01, 2.09715526706931472e-07
 1.90000000000000013e+00,-8.53513853353490362e+01, 2.09706932819260938e-07,-8.53513855029598005e+01, 2.09711070590490285e-07
 2.00000000000000000e+00,-8.53513981535024868e+01, 2.09702488166260978e-07,-8.53513983295404444e+01, 2.09706617380516078e-07
 2.10000000000000009e+00,-8.53514109680625666e+01, 2.09698045524873370e-07,-8.53514111507353590e+01, 2.09702167072244900e-07
