"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53834237852948803e+01, 3.08760579288735905e-06,-8.53834217089538470e+01, 3.08766345670704179e-06
 1.00000000000000006e-01,-8.53834352117537776e+01, 3.08754746574862995e-06,-8.53834331334720957e+01, 3.08760515548697750e-06
 2.00000000000000011e-01,-8.53834466230973561e+01, 3.08748924458584613e-06,-8.53834445534711648e+01, 3.08754688645888234e-06
 3.00000000000000044e-01,-8.53834580281923223e+01, 3.08743106744151594e-06,-8.53834559689551469e+01, 3.08748864957479560e-06
 4.00000000000000022e-01,-8.53834694332872743e+01, 3.08737289065348718e-06,-8.53834673799281205e+01, 3.08743044478690354e-06
 5.00000000000000000e-01,-8.53834808383822406e+01, 3.08731471422163917e-06,-8.53834787863941926e+01, 3.08737227204729501e-06
 6.00000000000000089e-01,-8.53834922434772068e+01, 3.08725653814597148e-06,-8.53834901883574418e+01, 3.08731413130820372e-06
 7.00000000000000067e-01,-8.53835036323502692e+01, 3.08719847557368476e-06,-8.53835015858219606e+01, 3.08725602252182650e-06
 8.00000000000000044e-01,-8.53835150176588229e+01, 3.08714043821791531e-06,-8.53835129787918419e+01, 3.08719794564032379e-06
 9.00000000000000022e-01,-8.53835263999837366e+01, 3.08708242202647616e-06,-8.53835243672711499e+01, 3.08713990061606268e-06
 1.00000000000000000e+00,-8.53835377793249961e+01, 3.08702442699916571e-06,-8.53835357512639916e+01, 3.08708188740125189e-06
 1.10000000000000009e+00,-8.53835491556826156e+01, 3.08696645313517419e-06,-8.53835471307744314e+01, 3.08702390594830510e-06
 1.20000000000000018e+00,-8.53835605290565809e+01, 3.08690850043417719e-06,-8.53835585058065618e+01, 3.08696595620953944e-06
 1.30000000000000004e+00,-8.53835718994469062e+01, 3.08685056889560931e-06,-8.53835698763644615e+01, 3.08690803813729618e-06
 1.40000000000000013e+00,-8.53835832668535772e+01, 3.08679265851908686e-06,-8.53835812424521947e+01, 3.08685015168412411e-06
 1.50000000000000000e+00,-8.53835946312765941e+01, 3.08673476930398344e-06,-8.53835926040738684e+01, 3.08679229680228953e-06
 1.60000000000000009e+00,-8.53836059927159710e+01, 3.08667690124979339e-06,-8.53836039612335327e+01, 3.08673447344438697e-06
 1.70000000000000018e+00,-8.53836173478531038e+01, 3.08661907729098660e-06,-8.53836153139352803e+01, 3.08667668156285427e-06
 1.80000000000000004e+00,-8.53836286972132967e+01, 3.08656129379619689e-06,-8.53836266621831612e+01, 3.08661892111033466e-06
 1.90000000000000013e+00,-8.53836400426185662e+01, 3.08650353817250369e-06,-8.53836380059812825e+01, 3.08656119203925199e-06
 2.00000000000000000e+00,-8.53836513840689406e+01, 3.08644581041912096e-06,-8.53836493453336942e+01, 3.08650349430223637e-06
 2.10000000000000009e+00,-8.53836627215644199e+01, 3.08638811053538419e-06,-8.53836606802444607e+01, 3.08644582785194247e-06
 2.20000000000000018e+00,-8.53836740551049900e+01, 3.08633043852075170e-06,-8.53836720107176603e+01, 3.08638819264098768e-06
