"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53936327146871434e+01, 3.82407943681054943e-06,-8.53936311190408901e+01, 3.82412244303420630e-06
 1.00000000000000006e-01,-8.53936437506477404e+01, 3.82400923984723401e-06,-8.53936421604801836e+01, 3.82405217192273205e-06
 2.00000000000000011e-01,-8.53936547866083373e+01, 3.82393904328676575e-06,-8.53936531976457900e+01, 3.82398193757559039e-06
 3.00000000000000044e-01,-8.53936658029528530e+01, 3.82386901329484208e-06,-8.53936642305414324e+01, 3.82391173994448097e-06
 4.00000000000000022e-01,-8.53936768181979033e+01, 3.82379899301668970e-06,-8.53936752591708625e+01, 3.82384157898122708e-06
 5.00000000000000000e-01,-8.53936878334429537e+01, 3.82372897313865197e-06,-8.53936862835377752e+01, 3.82377145463800356e-06
 6.00000000000000089e-01,-8.53936988486880040e+01, 3.82365895366080427e-06,-8.53936973036459079e+01, 3.82370136686656934e-06
 7.00000000000000067e-01,-8.53937098624819129e+01, 3.82358894684681573e-06,-8.53937083194989839e+01, 3.82363131561896117e-06
 8.00000000000000044e-01,-8.53937208532231296e+01, 3.82351913525061710e-06,-8.53937193311007121e+01, 3.82356130084749026e-06
 9.00000000000000022e-01,-8.53937318411610278e+01, 3.82344934774212206e-06,-8.53937303384548017e+01, 3.82349132250413154e-06
 1.00000000000000000e+00,-8.53937428262956217e+01, 3.82337958432064279e-06,-8.53937413415649758e+01, 3.82342138054113351e-06
 1.10000000000000009e+00,-8.53937538086268830e+01, 3.82330984498579899e-06,-8.53937523404349434e+01, 3.82335147491086921e-06
 1.20000000000000018e+00,-8.53937647881548259e+01, 3.82324012973713579e-06,-8.53937633350683996e+01, 3.82328160556560241e-06
 1.30000000000000004e+00,-8.53937757648794502e+01, 3.82317043857388664e-06,-8.53937743254690673e+01, 3.82321177245772222e-06
 1.40000000000000013e+00,-8.53937867388007561e+01, 3.82310077149574998e-06,-8.53937853116406558e+01, 3.82314197553950513e-06
 1.50000000000000000e+00,-8.53937977099187577e+01, 3.82303112850196265e-06,-8.53937962935868597e+01, 3.82307221476373835e-06
 1.60000000000000009e+00,-8.53938086782334267e+01, 3.82296150959214432e-06,-8.53938072713113598e+01, 3.82300249008294570e-06
 1.70000000000000018e+00,-8.53938196437447772e+01, 3.82289191476584014e-06,-8.53938182448178935e+01, 3.82293280144954256e-06
 1.80000000000000004e+00,-8.53938306064528234e+01, 3.82282234402221069e-06,-8.53938292141101272e+01, 3.82286314881637459e-06
 1.90000000000000013e+00,-8.53938415663575370e+01, 3.82275279736110776e-06,-8.53938401791917556e+01, 3.82279353213610453e-06
 2.00000000000000000e+00,-8.53938525234589463e+01, 3.82268327478161399e-06,-8.53938511400664879e+01, 3.82272395136159244e-06
 2.10000000000000009e+00,-8.53938634777570229e+01, 3.82261377628358371e-06,-8.53938620967380189e+01, 3.82265440644543328e-06
 2.20000000000000018e+00,-8.53938744292517953e+01, 3.82254430186617665e-06,-8.53938730492100007e+01, 3.82258489734096824e-06
 2.30000000000000027e+00,-8.53938853779432350e+01, 3.82247485152901503e-06,-8.53938839974861565e+01, 3.82251542400073044e-06
 2.40000000000000036e+00,-8.53938963183835256e+01, 3.82240547065587685e-06,-8.53938949415701529e+01, 3.82244598637791537e-06
 2.50000000000000000e+00,-8.53939072529935430e+01, 3.82233613907753796e-06,-8.53939058814656704e+01, 3.82237658442561352e-06
 2.60000000000000009e+00,-8.53939181838972132e+01, 3.82226683909947333e-06,-8.53939168171763896e+01, 3.82230721809695938e-06
 2.70000000000000018e+00,-8.53939291110945788e+01, 3.82219757072083254e-06,-8.53939277487060053e+01, 3.82223788734505445e-06
 2.80000000000000027e+00,-8.53939400345856114e+01, 3.82212833394084309e-06,-8.53939386760581698e+01, 3.82216859212320095e-06
 2.90000000000000036e+00,-8.53939509543703110e+01, 3.82205912875903996e-06,-8.53939495992365636e+01, 3.82209933238467061e-06
 3.00000000000000000e+00,-8.53939618704486918e+01, 3.82198995517449904e-06,-8.53939605182448673e+01, 3.82203010808285713e-06
 3.10000000000000009e+00,-8.53939727828207538e+01, 3.82192081318660199e-06,-8.53939714330867332e+01, 3.82196091917104327e-06
 3.20000000000000018e+00,-8.53939836914864969e+01, 3.82185170279465510e-06,-8.53939823437658418e+01, 3.82189176560294715e-06
 3.30000000000000027e+00,-8.53939945964458929e+01, 3.82178262399811880e-06,-8.53939932502858596e+01, 3.82182264733186589e-06
 3.40000000000000036e+00,-8.53940054976989842e+01, 3.82171357679599105e-06,-8.53940041526504530e+01, 3.82175356431145242e-06
 3.50000000000000000e+00,-8.53940163952457425e+01, 3.82164456118780937e-06,-8.53940150508632598e+01, 3.82168451649532997e-06
 3.60000000000000009e+00,-8.53940272890861820e+01, 3.82157557717280467e-06,-8.53940259449279608e+01, 3.82161550383731746e-06
 3.70000000000000018e+00,-8.53940381792202885e+01, 3.82150662475036198e-06,-8.53940368348482082e+01, 3.82154652629097209e-06
