"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53515732409370003e+01, 2.54879128541437624e-07,-8.53515744055642500e+01, 2.54863840238374342e-07
 1.00000000000000006e-01,-8.53515861439683903e+01, 2.54873674543127364e-07,-8.53515873127106772e+01, 2.54858395819405957e-07
 2.00000000000000011e-01,-8.53515990280494208e+01, 2.54868231645167520e-07,-8.53516002143987436e+01, 2.54852955050541140e-07
 3.00000000000000044e-01,-8.53516119121304371e+01, 2.54862788791778443e-07,-8.53516131106331102e+01, 2.54847517926897806e-07
 4.00000000000000022e-01,-8.53516247962114676e+01, 2.54857345982969557e-07,-8.53516260014184525e+01, 2.54842084443582539e-07
 5.00000000000000000e-01,-8.53516376764157769e+01, 2.54851905610663597e-07,-8.53516388867594173e+01, 2.54836654595742051e-07
 6.00000000000000089e-01,-8.53516505387829625e+01, 2.54846476288276663e-07,-8.53516517666606660e+01, 2.54831228378520833e-07
 7.00000000000000067e-01,-8.53516634011501480e+01, 2.54841047010183729e-07,-8.53516646411268454e+01, 2.54825805787098950e-07
 8.00000000000000044e-01,-8.53516762635173336e+01, 2.54835617776389188e-07,-8.53516775101626024e+01, 2.54820386816668218e-07
 9.00000000000000022e-01,-8.53516891213439095e+01, 2.54830191512531236e-07,-8.53516903737725698e+01, 2.54814971462441790e-07
 1.00000000000000000e+00,-8.53517019583917431e+01, 2.54824778681047123e-07,-8.53517032319613804e+01, 2.54809559719644994e-07
 1.10000000000000009e+00,-8.53517147918333450e+01, 2.54819368217056943e-07,-8.53517160847336811e+01, 2.54804151583519675e-07
 1.20000000000000018e+00,-8.53517276216687151e+01, 2.54813960120487428e-07,-8.53517289320940762e+01, 2.54798747049338332e-07
 1.30000000000000004e+00,-8.53517404478978392e+01, 2.54808554391274468e-07,-8.53517417740471984e+01, 2.54793346112380660e-07
 1.40000000000000013e+00,-8.53517532705207174e+01, 2.54803151029340295e-07,-8.53517546105976521e+01, 2.54787948767952510e-07
 1.50000000000000000e+00,-8.53517660895373780e+01, 2.54797750034602165e-07,-8.53517674417500558e+01, 2.54782555011366983e-07
 1.60000000000000009e+00,-8.53517789049477926e+01, 2.54792351407000945e-07,-8.53517802675090280e+01, 2.54777164837958463e-07
 1.70000000000000018e+00,-8.53517917167519613e+01, 2.54786955146463418e-07,-8.53517930878791304e+01, 2.54771778243101303e-07
 1.80000000000000004e+00,-8.53518045249499124e+01, 2.54781561252902446e-07,-8.53518059028649958e+01, 2.54766395222149157e-07
 1.90000000000000013e+00,-8.53518173295416176e+01, 2.54776169726254184e-07,-8.53518187124712000e+01, 2.54761015770505018e-07
 2.00000000000000000e+00,-8.53518301305270768e+01, 2.54770780566450340e-07,-8.53518315167023189e+01, 2.54755639883588344e-07
 2.10000000000000009e+00,-8.53518429279063042e+01, 2.54765393773408382e-07,-8.53518443155629427e+01, 2.54750267556812133e-07
 2.20000000000000018e+00,-8.53518557174784291e+01, 2.54760012223215552e-07,-8.53518571090576472e+01, 2.54744898785629302e-07
 2.30000000000000027e+00,-8.53518684990516192e+01, 2.54754636047028973e-07,-8.53518698971909942e+01, 2.54739533565518335e-07
 2.40000000000000036e+00,-8.53518812758527190e+01, 2.54749263035462942e-07,-8.53518826799675594e+01, 2.54734171891942364e-07
 2.50000000000000000e+00,-8.53518940478817427e+01, 2.54743893188395589e-07,-8.53518954573919046e+01, 2.54728813760413122e-07
 2.60000000000000009e+00,-8.53519068151386620e+01, 2.54738526505751690e-07,-8.53519082294685774e+01, 2.54723459166459492e-07
 2.70000000000000018e+00,-8.53519195776235051e+01, 2.54733162987414140e-07,-8.53519209962021392e+01, 2.54718108105603263e-07
 2.80000000000000027e+00,-8.53519323353362580e+01, 2.54727802633298450e-07,-8.53519337575971235e+01, 2.54712760573415671e-07
 2.90000000000000036e+00,-8.53519450882769206e+01, 2.54722445443296939e-07,-8.53519465136580635e+01, 2.54707416565470599e-07
 3.00000000000000000e+00,-8.53519578364454929e+01, 2.54717091417315851e-07,-8.53519592643895209e+01, 2.54702076077353839e-07
 3.10000000000000009e+00,-8.53519705798419892e+01, 2.54711740555252379e-07,-8.53519720097960146e+01, 2.54696739104677126e-07
 3.20000000000000018e+00,-8.53519833184663810e+01, 2.54706392857017636e-07,-8.53519847498820639e+01, 2.54691405643078029e-07
 3.30000000000000027e+00,-8.53519960523186967e+01, 2.54701048322504103e-07,-8.53519974846521876e+01, 2.54686075688206238e-07
 3.40000000000000036e+00,-8.53520087813989363e+01, 2.54695706951613788e-07,-8.53520102141109192e+01, 2.54680749235713935e-07
 3.50000000000000000e+00,-8.53520215035874941e+01, 2.54690370222696693e-07,-8.53520229382627633e+01, 2.54675426281297874e-07
 3.60000000000000009e+00,-8.53520342204273987e+01, 2.54685037059336414e-07,-8.53520356571122250e+01, 2.54670106820657563e-07
 3.70000000000000018e+00,-8.53520469321460240e+01, 2.54679707302835346e-07,-8.53520483706637947e+01, 2.54664790849513579e-07
 3.80000000000000027e+00,-8.53520596387433841e+01, 2.54674380953069346e-07,-8.53520610789219916e+01, 2.54659478363603283e-07
 3.90000000000000036e+00,-8.53520723402194506e+01, 2.54669058009955881e-07,-8.53520737818912778e+01, 2.54654169358689763e-07
 4.00000000000000000e+00,-8.53520850365742518e+01, 2.54663738473370807e-07,-8.53520864795761725e+01, 2.54648863830538965e-07
 4.10000000000000053e+00,-8.53520977278077595e+01, 2.54658422343222699e-07,-8.53520991719811377e+01, 2.54643561774956488e-07
 4.20000000000000018e+00,-8.53521104139200020e+01, 2.54653109619392071e-07,-8.53521118591106500e+01, 2.54638263187745972e-07
