"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53950703995815701e+01, 3.92192312808938879e-06,-8.53950677267307583e+01, 3.92210286157772412e-06
 1.00000000000000006e-01,-8.53950813828373612e+01, 3.92185178687441318e-06,-8.53950787191716501e+01, 3.92203103352365537e-06
 2.00000000000000011e-01,-8.53950923627634211e+01, 3.92178047467216509e-06,-8.53950897073694790e+01, 3.92195924288442104e-06
 3.00000000000000044e-01,-8.53951033254680425e+01, 3.92170931086816236e-06,-8.53951006913277695e+01, 3.92188748961645313e-06
 4.00000000000000022e-01,-8.53951142881726639e+01, 3.92163814745822223e-06,-8.53951116710500315e+01, 3.92181577367635138e-06
 5.00000000000000000e-01,-8.53951252508772853e+01, 3.92156698444234554e-06,-8.53951226465398037e+01, 3.92174409502049613e-06
 6.00000000000000089e-01,-8.53951362135819068e+01, 3.92149582182045098e-06,-8.53951336178005960e+01, 3.92167245360575222e-06
 7.00000000000000067e-01,-8.53951471707661938e+01, 3.92142470646525476e-06,-8.53951445848359185e+01, 3.92160084938908191e-06
 8.00000000000000044e-01,-8.53951581109059958e+01, 3.92135373622506782e-06,-8.53951555476492672e+01, 3.92152928232745762e-06
 9.00000000000000022e-01,-8.53951690482679595e+01, 3.92128278996218049e-06,-8.53951665062441805e+01, 3.92145775237770778e-06
 1.00000000000000000e+00,-8.53951799828520706e+01, 3.92121186767600068e-06,-8.53951774606241258e+01, 3.92138625949738757e-06
 1.10000000000000009e+00,-8.53951909146583290e+01, 3.92114096936633528e-06,-8.53951884107926134e+01, 3.92131480364358798e-06
 1.20000000000000018e+00,-8.53952018436867490e+01, 3.92107009503235335e-06,-8.53951993567531389e+01, 3.92124338477373376e-06
 1.30000000000000004e+00,-8.53952127699373165e+01, 3.92099924467362120e-06,-8.53952102985091983e+01, 3.92117200284526065e-06
 1.40000000000000013e+00,-8.53952236934100313e+01, 3.92092841828970854e-06,-8.53952212360642591e+01, 3.92110065781617446e-06
 1.50000000000000000e+00,-8.53952346141049077e+01, 3.92085761587994367e-06,-8.53952321694218313e+01, 3.92102934964393549e-06
 1.60000000000000009e+00,-8.53952455320219315e+01, 3.92078683744405216e-06,-8.53952430985853681e+01, 3.92095807828641826e-06
 1.70000000000000018e+00,-8.53952564471611169e+01, 3.92071608298120815e-06,-8.53952540235583655e+01, 3.92088684370174884e-06
 1.80000000000000004e+00,-8.53952673595224354e+01, 3.92064535249129560e-06,-8.53952649443442766e+01, 3.92081564584798132e-06
 1.90000000000000013e+00,-8.53952782691059298e+01, 3.92057464597332686e-06,-8.53952758609465832e+01, 3.92074448468326803e-06
 2.00000000000000000e+00,-8.53952891759115573e+01, 3.92050396342726805e-06,-8.53952867733687526e+01, 3.92067336016608911e-06
 2.10000000000000009e+00,-8.53953000799393465e+01, 3.92043330485229163e-06,-8.53952976816142240e+01, 3.92060227225478156e-06
 2.20000000000000018e+00,-8.53953109774151784e+01, 3.92036270139922176e-06,-8.53953085856864789e+01, 3.92053122090785177e-06
 2.30000000000000027e+00,-8.53953218683239470e+01, 3.92029215319159990e-06,-8.53953194855889706e+01, 3.92046020608389846e-06
 2.40000000000000036e+00,-8.53953327555552733e+01, 3.92022163637770924e-06,-8.53953303813251239e+01, 3.92038922774201163e-06
 2.50000000000000000e+00,-8.53953436391091572e+01, 3.92015115095704495e-06,-8.53953412728984063e+01, 3.92031828584081882e-06
 2.60000000000000009e+00,-8.53953545189855987e+01, 3.92008069692902174e-06,-8.53953521603122425e+01, 3.92024738033943288e-06
 2.70000000000000018e+00,-8.53953653951846121e+01, 3.92001027429265703e-06,-8.53953630435701001e+01, 3.92017651119682610e-06
 2.80000000000000027e+00,-8.53953762677061690e+01, 3.91993988304768572e-06,-8.53953739226753754e+01, 3.92010567837253400e-06
 2.90000000000000036e+00,-8.53953871365502977e+01, 3.91986952319304562e-06,-8.53953847976315359e+01, 3.92003488182563473e-06
 3.00000000000000000e+00,-8.53953980017169698e+01, 3.91979919472847160e-06,-8.53953956684419921e+01, 3.91996412151569010e-06
