"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53970716855003644e+01, 4.14387157214232022e-06,-8.53970717017441245e+01, 4.14458396022228298e-06
 1.00000000000000006e-01,-8.53970825915896086e+01, 4.14379613639510656e-06,-8.53970826191119841e+01, 4.14450953753589239e-06
 2.00000000000000011e-01,-8.53970934976788385e+01, 4.14372070107327115e-06,-8.53970935322807208e+01, 4.14443514876941815e-06
 3.00000000000000044e-01,-8.53971044037680684e+01, 4.14364526617706811e-06,-8.53971044412538447e+01, 4.14436079383999839e-06
 4.00000000000000022e-01,-8.53971153097536870e+01, 4.14356983264919343e-06,-8.53971153460349086e+01, 4.14428647266445025e-06
 5.00000000000000000e-01,-8.53971261991902253e+01, 4.14349455015032478e-06,-8.53971262466274794e+01, 4.14421218515910551e-06
 6.00000000000000089e-01,-8.53971370886267778e+01, 4.14341926807451520e-06,-8.53971371430350956e+01, 4.14413793124064323e-06
 7.00000000000000067e-01,-8.53971479780633160e+01, 4.14334398642210012e-06,-8.53971480352612815e+01, 4.14406371082534014e-06
 8.00000000000000044e-01,-8.53971588672781081e+01, 4.14326870720244075e-06,-8.53971589233095756e+01, 4.14398952382948481e-06
 9.00000000000000022e-01,-8.53971697374975633e+01, 4.14319360054958638e-06,-8.53971698071835306e+01, 4.14391537016895925e-06
 1.00000000000000000e+00,-8.53971806049566737e+01, 4.14311851933273755e-06,-8.53971806868866565e+01, 4.14384124975990635e-06
 1.10000000000000009e+00,-8.53971914696554109e+01, 4.14304346355134622e-06,-8.53971915624224920e+01, 4.14376716251797857e-06
 1.20000000000000018e+00,-8.53972023315937889e+01, 4.14296843320494738e-06,-8.53972024337945612e+01, 4.14369310835874960e-06
 1.30000000000000004e+00,-8.53972131907718079e+01, 4.14289342829290744e-06,-8.53972133010063885e+01, 4.14361908719789221e-06
 1.40000000000000013e+00,-8.53972240471894537e+01, 4.14281844881476307e-06,-8.53972241640615124e+01, 4.14354509895057777e-06
 1.50000000000000000e+00,-8.53972349008467404e+01, 4.14274349476996541e-06,-8.53972350229634145e+01, 4.14347114353215464e-06
 1.60000000000000009e+00,-8.53972457517436681e+01, 4.14266856615779701e-06,-8.53972458777156334e+01, 4.14339722085764085e-06
 1.70000000000000018e+00,-8.53972565998802224e+01, 4.14259366297804780e-06,-8.53972567283216932e+01, 4.14332333084172155e-06
 1.80000000000000004e+00,-8.53972674452564178e+01, 4.14251878522983265e-06,-8.53972675747850758e+01, 4.14324947339959350e-06
 1.90000000000000013e+00,-8.53972782878722541e+01, 4.14244393291268652e-06,-8.53972784171093053e+01, 4.14317564844553018e-06
 2.00000000000000000e+00,-8.53972891277277171e+01, 4.14236910602614948e-06,-8.53972892552978919e+01, 4.14310185589405835e-06
 2.10000000000000009e+00,-8.53972999641602684e+01, 4.14229431048752171e-06,-8.53973000893543315e+01, 4.14302809565954213e-06
 2.20000000000000018e+00,-8.53973107921719787e+01, 4.14221959093642715e-06,-8.53973109192821056e+01, 4.14295436765617370e-06
 2.30000000000000027e+00,-8.53973216165281030e+01, 4.14214490480932892e-06,-8.53973217450847528e+01, 4.14288067179781064e-06
 2.40000000000000036e+00,-8.53973324372286413e+01, 4.14207025210542489e-06,-8.53973325667657264e+01, 4.14280700799856213e-06
 2.50000000000000000e+00,-8.53973432542735935e+01, 4.14199563282416448e-06,-8.53973433843285505e+01, 4.14273337617177670e-06
 2.60000000000000009e+00,-8.53973540676629597e+01, 4.14192104696474808e-06,-8.53973541977766928e+01, 4.14265977623130600e-06
 2.70000000000000018e+00,-8.53973648773967540e+01, 4.14184649452628802e-06,-8.53973650071136490e+01, 4.14258620809032240e-06
 2.80000000000000027e+00,-8.53973756834749622e+01, 4.14177197550832181e-06,-8.53973758123429008e+01, 4.14251267166224895e-06
