"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53862032588472317e+01, 3.73958540235558098e-06,-8.53862055166894152e+01, 3.73951665171339052e-06
 1.00000000000000006e-01,-8.53862145640121213e+01, 3.73951491416227504e-06,-8.53862168377105064e+01, 3.73944602535203803e-06
 2.00000000000000011e-01,-8.53862258691770108e+01, 3.73944442640537615e-06,-8.53862281542844812e+01, 3.73937544262522149e-06
 3.00000000000000044e-01,-8.53862371743419146e+01, 3.73937393908466195e-06,-8.53862394664150770e+01, 3.73930490345651267e-06
 4.00000000000000022e-01,-8.53862484795068042e+01, 3.73930345220035480e-06,-8.53862507741060739e+01, 3.73923440776866133e-06
 5.00000000000000000e-01,-8.53862597771834544e+01, 3.73923302669177210e-06,-8.53862620773612235e+01, 3.73916395548440790e-06
 6.00000000000000089e-01,-8.53862710618489018e+01, 3.73916270750291359e-06,-8.53862733761842634e+01, 3.73909354652558988e-06
 7.00000000000000067e-01,-8.53862823465143634e+01, 3.73909238874770122e-06,-8.53862846705789593e+01, 3.73902318081373558e-06
 8.00000000000000044e-01,-8.53862936311798109e+01, 3.73902207042628280e-06,-8.53862959605490488e+01, 3.73895285826969105e-06
 9.00000000000000022e-01,-8.53863049158452725e+01, 3.73895175253850968e-06,-8.53863072460982693e+01, 3.73888257881398766e-06
 1.00000000000000000e+00,-8.53863161853305144e+01, 3.73888155835622449e-06,-8.53863185272303724e+01, 3.73881234236646815e-06
 1.10000000000000009e+00,-8.53863274466859963e+01, 3.73881143062315902e-06,-8.53863298039490957e+01, 3.73874214884651148e-06
 1.20000000000000018e+00,-8.53863387051156764e+01, 3.73874132707964902e-06,-8.53863410762581623e+01, 3.73867199817295074e-06
 1.30000000000000004e+00,-8.53863499606195546e+01, 3.73867124772506516e-06,-8.53863523441613097e+01, 3.73860189026400191e-06
 1.40000000000000013e+00,-8.53863612131976453e+01, 3.73860119255885345e-06,-8.53863636076622754e+01, 3.73853182503762902e-06
 1.50000000000000000e+00,-8.53863724628499341e+01, 3.73853116158038415e-06,-8.53863748667647826e+01, 3.73846180241087748e-06
 1.60000000000000009e+00,-8.53863837095764211e+01, 3.73846115478925237e-06,-8.53863861214725404e+01, 3.73839182230061099e-06
 1.70000000000000018e+00,-8.53863949533771205e+01, 3.73839117218475633e-06,-8.53863973717892861e+01, 3.73832188462284369e-06
 1.80000000000000004e+00,-8.53864061942520038e+01, 3.73832121376656443e-06,-8.53864086177187147e+01, 3.73825198929340678e-06
