"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53959469961139348e+01, 3.98067976584748530e-06,-8.53959453884210973e+01, 3.98079698878720759e-06
 1.00000000000000006e-01,-8.53959579507357489e+01, 3.98060730425761647e-06,-8.53959563493559415e+01, 3.98072384450123042e-06
 2.00000000000000011e-01,-8.53959688861574477e+01, 3.98053502804534914e-06,-8.53959673060619053e+01, 3.98065074860646915e-06
 3.00000000000000044e-01,-8.53959798215791324e+01, 3.98046275223562829e-06,-8.53959782585425273e+01, 3.98057770095829713e-06
 4.00000000000000022e-01,-8.53959907570008312e+01, 3.98039047682837684e-06,-8.53959892068013176e+01, 3.98050470141079685e-06
 5.00000000000000000e-01,-8.53960016924225300e+01, 3.98031820182359140e-06,-8.53960001508418145e+01, 3.98043174981594929e-06
 6.00000000000000089e-01,-8.53960126247424682e+01, 3.98024595579666198e-06,-8.53960110906675141e+01, 3.98035884602500107e-06
 7.00000000000000067e-01,-8.53960235477799898e+01, 3.98017379568643586e-06,-8.53960220262819405e+01, 3.98028598988716762e-06
 8.00000000000000044e-01,-8.53960344681954098e+01, 3.98010166013300948e-06,-8.53960329576886039e+01, 3.98021318125034978e-06
 9.00000000000000022e-01,-8.53960453859886854e+01, 3.98002954913622868e-06,-8.53960438848910144e+01, 3.98014041996064928e-06
 1.00000000000000000e+00,-8.53960563011598595e+01, 3.97995746269504821e-06,-8.53960548078926678e+01, 3.98006770586284311e-06
 1.10000000000000009e+00,-8.53960672137089176e+01, 3.97988540080914959e-06,-8.53960657266970742e+01, 3.97999503880013952e-06
 1.20000000000000018e+00,-8.53960781236358457e+01, 3.97981336347797294e-06,-8.53960766413077437e+01, 3.97992241861408661e-06
 1.30000000000000004e+00,-8.53960890309406579e+01, 3.97974135070087959e-06,-8.53960875517281579e+01, 3.97984984514473238e-06
 1.40000000000000013e+00,-8.53960999337144528e+01, 3.97966937828545844e-06,-8.53960984579618128e+01, 3.97977731823053578e-06
 1.50000000000000000e+00,-8.53961108305032610e+01, 3.97959745827092420e-06,-8.53961093600122041e+01, 3.97970483770836080e-06
 1.60000000000000009e+00,-8.53961217235846135e+01, 3.97952557179608252e-06,-8.53961202578828136e+01, 3.97963240341355526e-06
 1.70000000000000018e+00,-8.53961326129584961e+01, 3.97945371886010755e-06,-8.53961311515771371e+01, 3.97956001517969750e-06
 1.80000000000000004e+00,-8.53961434986249088e+01, 3.97938189946241736e-06,-8.53961420410986563e+01, 3.97948767283899708e-06
 1.90000000000000013e+00,-8.53961543805838517e+01, 3.97931011360218527e-06,-8.53961529264508528e+01, 3.97941537622196609e-06
 2.00000000000000000e+00,-8.53961652588353246e+01, 3.97923836127866927e-06,-8.53961638076372083e+01, 3.97934312515741155e-06
 2.10000000000000009e+00,-8.53961761333793277e+01, 3.97916664249112650e-06,-8.53961746846611760e+01, 3.97927091947275813e-06
 2.20000000000000018e+00,-8.53961870034929262e+01, 3.97909496199707507e-06,-8.53961855575262518e+01, 3.97919875899354836e-06
 2.30000000000000027e+00,-8.53961978690882262e+01, 3.97902332037414402e-06,-8.53961964262359032e+01, 3.97912664354377051e-06
 2.40000000000000036e+00,-8.53962087306687749e+01, 3.97895171430730557e-06,-8.53962072907935976e+01, 3.97905457294600590e-06
 2.50000000000000000e+00,-8.53962195882345725e+01, 3.97888014379587195e-06,-8.53962181512027882e+01, 3.97898254702094272e-06
 2.60000000000000009e+00,-8.53962304417856188e+01, 3.97880860883890717e-06,-8.53962290074669426e+01, 3.97891056558777419e-06
 2.70000000000000018e+00,-8.53962412913219140e+01, 3.97873710943572598e-06,-8.53962398595895280e+01, 3.97883862846378767e-06
 2.80000000000000027e+00,-8.53962521368434579e+01, 3.97866564558571515e-06,-8.53962507075739836e+01, 3.97876673546508468e-06
 2.90000000000000036e+00,-8.53962629783502649e+01, 3.97859421728770406e-06,-8.53962615514237768e+01, 3.97869488640569066e-06
 3.00000000000000000e+00,-8.53962738155642427e+01, 3.97852282414420810e-06,-8.53962723911423609e+01, 3.97862308109811150e-06
 3.10000000000000009e+00,-8.53962846486035545e+01, 3.97845146632328878e-06,-8.53962832267331891e+01, 3.97855131935316491e-06
 3.20000000000000018e+00,-8.53962954775848857e+01, 3.97838014399062829e-06,-8.53962940581996861e+01, 3.97847960097998135e-06
