"environment.time","0.membrane.V","0.rapid_time_dependent_potassium_current.i_Kr","1.membrane.V","1.rapid_time_dependent_potassium_current.i_Kr"
 0.00000000000000000e+00,-8.53999482863211057e+01, 4.24648203541957615e-06,-8.53999478895842117e+01, 4.24626893408180101e-06
 1.00000000000000006e-01,-8.53999591025365419e+01, 4.24640482970606735e-06,-8.53999587093376533e+01, 4.24619216905227715e-06
 2.00000000000000011e-01,-8.53999699041232674e+01, 4.24632772626331745e-06,-8.53999695249559778e+01, 4.24611544259171837e-06
 3.00000000000000044e-01,-8.53999807057100071e+01, 4.24625062325676918e-06,-8.53999803364427095e+01, 4.24603875463416961e-06
 4.00000000000000022e-01,-8.53999915072967326e+01, 4.24617352068668006e-06,-8.53999911438013157e+01, 4.24596210511391466e-06
 5.00000000000000000e-01,-8.54000023088834581e+01, 4.24609641855287981e-06,-8.54000019470352925e+01, 4.24588549396504250e-06
 6.00000000000000089e-01,-8.54000130962734971e+01, 4.24601943114303036e-06,-8.54000127461481213e+01, 4.24580892112144561e-06
 7.00000000000000067e-01,-8.54000238795127018e+01, 4.24594247758344996e-06,-8.54000235411432840e+01, 4.24573238651690717e-06
 8.00000000000000044e-01,-8.54000346627519065e+01, 4.24586552445833224e-06,-8.54000343320242621e+01, 4.24565589008527138e-06
 9.00000000000000022e-01,-8.54000454459910969e+01, 4.24578857176776952e-06,-8.54000451187945231e+01, 4.24557943176018590e-06
 1.00000000000000000e+00,-8.54000562229950475e+01, 4.24571167366738166e-06,-8.54000559014575344e+01, 4.24550301147527386e-06
 1.10000000000000009e+00,-8.54000669879666248e+01, 4.24563488050644095e-06,-8.54000666800167920e+01, 4.24542662916386866e-06
 1.20000000000000018e+00,-8.54000777529382020e+01, 4.24555808777781824e-06,-8.54000774544757348e+01, 4.24535028475962985e-06
 1.30000000000000004e+00,-8.54000885179097651e+01, 4.24548129548151183e-06,-8.54000882248378446e+01, 4.24527397819566470e-06
 1.40000000000000013e+00,-8.54000992828813423e+01, 4.24540450361743447e-06,-8.54000989911065886e+01, 4.24519770940514060e-06
 1.50000000000000000e+00,-8.54001100287574388e+01, 4.24532788813259812e-06,-8.54001097532854061e+01, 4.24512147832111062e-06
 1.60000000000000009e+00,-8.54001207701212479e+01, 4.24525131465369771e-06,-8.54001205113777644e+01, 4.24504528487677096e-06
 1.70000000000000018e+00,-8.54001315087629109e+01, 4.24517476668554757e-06,-8.54001312653871310e+01, 4.24496912900476980e-06
 1.80000000000000004e+00,-8.54001422446824421e+01, 4.24509824422760813e-06,-8.54001420153169306e+01, 4.24489301063798147e-06
 1.90000000000000013e+00,-8.54001529778798414e+01, 4.24502174727933730e-06,-8.54001527611706166e+01, 4.24481692970925319e-06
 2.00000000000000000e+00,-8.54001637083551088e+01, 4.24494527584010826e-06,-8.54001635029516422e+01, 4.24474088615096464e-06
 2.10000000000000009e+00,-8.54001744361082302e+01, 4.24486882990964151e-06,-8.54001742406634463e+01, 4.24466487989581142e-06
 2.20000000000000018e+00,-8.54001851611392198e+01, 4.24479240948696209e-06,-8.54001849743094823e+01, 4.24458891087602073e-06
